ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score
236810,엔비티,,1440,12.3,6.4,5.4,-70.4,2.5,-7.3,-28.7,-21.8,-18.5,-21.8,-40.6,3.2,4860,1405,5,False,True,False,78772,59908,2.8,1.2,1.0,1.31,0,False,False,False,False,-,97.2,0.4,0.0,0.9,0.0,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,110.2,109.2
291810,핀텔,,1354,23.3,17.4,8.9,-73.9,9.2,-14.1,-35.5,-40.9,-20.5,-28.9,-43.5,1.75,5190,1240,5,True,False,False,318915,128637,3.1,4.3,2.0,2.48,0,False,False,False,False,-,88.3,1.7,0.7,3.0,0.7,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,108.3,107.3
006920,모헨즈,,3755,10.3,9.2,17.2,-50.8,40.4,-4.6,-28.3,12.1,-14.6,-23.5,1.2,0.48,7630,2675,10,False,True,True,93670,184104,3.3,3.6,8.5,0.51,0,False,False,False,False,-,82.3,2.1,0.5,6.5,1.2,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,107.3,106.3
419530,SAMG엔터,,27800,28.5,22.2,21.6,-72.0,16.8,-3.0,-26.3,-25.6,-21.4,-20.3,-38.5,1.51,99400,23800,5,False,True,False,200774,212645,92.6,52.7,76.7,0.94,7,False,True,False,True,5일선회복/거래량동반양봉,79.0,22.2,7.0,-90.8,57.2,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,106.0,105.0
300080,플리토,,9050,30.2,30.9,19.8,-55.2,38.1,0.6,-24.2,-32.6,-14.6,-19.5,-33.1,1.14,20200,6553,10,True,True,False,189876,128879,13.6,16.7,13.4,1.47,6,False,True,True,False,5일선회복/+3%반등,74.6,14.2,0.4,1.5,-2.1,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,105.6,104.6
221800,지구홀딩스,,11380,23.4,6.2,14.1,-65.3,inf,-9.0,-27.1,-40.3,-27.2,-36.0,24.3,0.84,32800,0,10,False,True,True,196425,458130,32.3,23.6,79.9,0.43,4,False,False,False,True,거래량동반양봉,82.9,-7.5,0.8,-26.8,-2.9,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,104.9,103.9
337930,젝시믹스,,3235,15.9,0.0,1.5,-55.4,0.0,-12.8,-26.1,-41.7,-18.9,-22.5,-33.9,1.86,7250,3235,5,True,False,False,291964,201541,12.3,9.9,7.8,1.45,0,False,False,False,False,-,91.8,2.8,-1.6,6.7,-0.0,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,104.8,103.8
123840,뉴온,,4150,15.4,13.1,23.8,-78.7,7.2,-2.1,-30.8,-55.1,-17.7,-27.5,-57.1,1.73,19459,3870,10,False,True,True,11229,10367,0.8,0.5,0.5,1.08,3,False,True,False,False,5일선회복,83.4,0.4,-0.0,-0.2,0.0,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,104.4,103.4
484590,삼양컴텍,,9840,19.3,13.3,20.4,-56.6,5.0,-1.7,-30.2,-22.2,-13.9,-17.9,,0.84,22650,9370,5,False,True,False,161677,262112,19.7,16.0,31.4,0.62,3,False,True,False,False,5일선회복,81.0,2.3,0.2,-44.3,9.4,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,104.0,103.0
054620,APS,,5490,22.0,18.4,21.6,-49.0,53.1,-1.4,-26.5,4.2,-12.7,-27.3,3.4,0.73,10770,3585,5,False,True,False,94383,171253,6.7,5.1,11.0,0.55,6,False,True,True,False,5일선회복/+3%반등,77.1,2.7,0.2,22.7,0.1,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,103.1,102.1
389650,넥스트바이오메디컬,,46600,23.7,16.8,14.2,-53.9,21.4,-1.2,-23.4,-34.4,-14.9,-26.4,-33.2,1.06,101000,38400,5,False,True,False,66988,68896,34.6,31.8,37.5,0.97,3,False,False,True,False,+3%반등,79.6,14.0,6.7,79.4,-36.6,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,102.6,101.6
179290,엠아이텍,,5110,20.2,5.1,8.3,-40.0,1.6,-5.4,-23.7,-30.0,-16.1,-21.1,-25.0,3.58,8510,5030,5,False,True,False,236720,182377,34.5,12.3,10.6,1.3,0,False,False,False,False,-,89.5,1.7,-19.8,11.2,-21.1,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,102.5,101.5
305090,마이크로디지탈,,3400,11.5,2.7,13.3,-71.5,2.3,-15.0,-46.9,-59.1,-32.7,-41.4,-59.9,1.97,11930,3325,5,False,True,False,260232,201544,13.5,9.7,9.5,1.29,0,False,False,False,False,-,89.5,5.8,-12.6,13.9,-17.2,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,102.5,101.5
950250,테라뷰,,4620,17.5,17.8,23.9,-77.8,12.1,1.0,-33.6,-46.5,-19.0,-30.8,,0.65,20800,4120,10,False,True,True,392181,693584,21.0,17.5,40.6,0.57,6,False,True,True,False,5일선회복/+3%반등,78.5,5.1,0.0,1.2,-3.4,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,102.5,101.5
033340,좋은사람들,,1137,15.1,0.0,6.9,-61.1,49.6,-11.5,-34.5,-46.2,-24.1,-30.5,-38.1,1.46,2925,760,5,False,True,False,1084545,1303152,21.9,13.1,19.6,0.83,0,False,False,False,False,-,89.5,2.7,0.0,15.9,0.0,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,102.5,101.5
101360,에코앤드림,,14830,17.7,16.3,23.5,-44.9,7.4,-1.5,-28.7,-29.7,-14.5,-16.2,-26.1,0.92,26900,13810,5,False,True,False,91062,108080,14.8,13.2,19.0,0.84,6,False,True,True,False,5일선회복/+3%반등,76.3,0.9,0.9,5.1,-32.8,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,102.3,101.3
019660,글로본,,1928,14.1,6.4,2.5,-47.9,inf,-5.0,-17.8,-14.9,-10.6,-17.4,-25.5,6.38,3700,0,10,True,True,False,85103,47113,5.9,1.7,1.0,1.81,0,False,False,False,False,-,92.1,-0.7,0.0,-0.4,-0.0,True,0,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,102.1,101.1
131100,티엔엔터테인먼트,,1082,12.4,5.2,5.5,-52.3,1.1,-5.2,-18.3,-24.1,-11.3,-14.2,-23.3,0.85,2270,1070,5,False,True,False,55114,43589,0.4,0.6,0.5,1.26,0,False,False,False,False,-,82.0,0.1,0.2,0.1,0.4,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,102.0,101.0
278650,HLB바이오스텝,,4000,10.1,8.5,10.5,-60.4,5.8,-16.4,-38.3,-35.7,-29.7,-34.4,-40.4,1.65,10100,3780,10,True,True,False,150607,58071,3.6,6.1,2.6,2.59,3,False,True,False,False,5일선회복,89.0,-1.0,-0.3,-4.8,-2.1,True,0,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,102.0,101.0
456070,이엔셀,,11150,20.9,11.0,18.1,-46.8,11.5,-6.1,-30.0,-34.3,-18.2,-23.6,-20.2,1.14,20950,10000,5,False,True,False,164058,128423,15.9,19.0,17.7,1.28,0,False,False,False,False,-,81.9,3.8,0.4,9.6,-0.4,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,101.9,100.9
194480,데브시스터즈,,17390,16.7,12.2,23.9,-70.1,4.1,-1.8,-28.0,-51.2,-13.1,-32.4,-52.7,0.83,58200,16700,5,False,True,False,74790,84448,12.2,12.8,17.0,0.89,3,False,True,False,False,5일선회복,78.9,2.5,0.5,-13.9,-20.3,True,15,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,101.9,100.9
037070,파세코,,6900,15.2,7.7,2.2,-34.8,23.2,-17.2,-26.8,-17.2,-21.2,-20.4,-6.8,2.45,10590,5600,5,True,False,False,277753,156759,27.2,20.1,13.1,1.77,0,False,False,False,False,-,88.7,7.9,-0.0,-0.3,0.1,True,8,강세,-1,0,-1,0,19.6,-0.7,1504.56,,2.14,344.0,344.0,344.0,10,10,1.0,101.7,100.7
