ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level
462310,뉴키즈온,,3270,29.0,27.7,19.0,-79.7,12.8,-6.6,-28.1,-24.1,-14.9,-20.7,-41.4,3.11,16100,2900,10,True,True,False,56181,40958,4.3,1.8,1.6,1.37,7,False,True,False,True,5일선회복/거래량동반양봉,87.0,0.5,0.9,-0.9,5.5,True,15,조정,-4,-1,-3,0,9.1,-12.3,1507.13,1.15,2.25,1022.0,1022.0,1022.0,10,10,1.0,119.0,115.0,462310,01467503,0,0,0,0,,,,,,,,,,,안전
042000,카페24,,20750,24.6,24.3,26.0,-63.4,8.6,-0.5,-22.4,-38.0,-8.8,-18.4,-37.0,2.71,56700,19110,15,True,True,True,215687,158231,90.9,44.4,35.3,1.36,7,False,True,False,True,5일선회복/거래량동반양봉,80.8,2.8,10.2,8.9,-21.8,True,15,조정,-4,-1,-3,0,9.1,-12.3,1507.13,1.15,2.25,1022.0,1022.0,1022.0,10,10,1.0,117.8,113.8,042000,00260879,0,0,0,0,,,,,,,,,,,안전
226340,본느,,2560,28.2,44.0,4.2,-50.5,38.0,-20.9,-28.4,-5.4,-18.0,-14.9,-24.8,8.84,5175,1855,5,True,False,False,364532,201588,31.4,9.2,6.1,1.81,4,False,False,False,True,거래량동반양봉,92.5,0.2,0.7,0.1,2.2,True,15,조정,-4,-1,-3,0,9.1,-12.3,1507.13,1.15,2.25,1022.0,1022.0,1022.0,10,10,1.0,116.5,112.5,226340,01098792,1,2,1,0,"[20260428] 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) (20260428900647)",[20260515] [기재정정]주식병합결정               (20260515903415) || [20260227] 주식병합결정               (20260227901554),[20260526] 주권매매거래정지해제              (액면병합 주권 변경상장) (20260526900454),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260428900647,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260515903415 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260227901554,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260526900454,,20260428900647,20260515903415 || 20260227901554,위험
417180,핑거스토리,,5420,8.1,17.3,6.7,-69.8,10.6,-10.6,-31.4,-39.8,-24.6,-28.5,-42.6,2.71,17961,4900,10,True,True,False,26472,11654,1.8,1.5,0.7,2.27,4,False,False,False,True,거래량동반양봉,94.0,-0.5,0.1,-1.4,-0.8,True,8,조정,-4,-1,-3,0,9.1,-12.3,1507.13,1.15,2.25,1022.0,1022.0,1022.0,10,10,1.0,116.0,112.0,417180,01584934,1,7,1,0,"[20260422] 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) (20260422900736)",[20260325] 전환사채(해외전환사채포함)발행후만기전사채취득              (제3회차) (20260325900786) || [20260312] 주식병합결정               (20260312900686) || [20251226] 전환사채(해외전환사채포함)발행후만기전사채취득              (제3회차) (20251226900512),[20260519] 주권매매거래정지해제              (액면병합 주권 변경상장) (20260519900529),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260422900736,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260325900786 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260312900686 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251226900512,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260519900529,,20260422900736,20260325900786 || 20260312900686 || 20251226900512,위험
138070,신진에스엠,,1455,7.6,1.9,-7.0,-42.8,0.6,-13.2,-21.7,-28.9,-16.2,-17.6,-27.3,5.87,2545,1447,10,True,False,True,119726,70152,6.2,1.8,1.2,1.71,4,False,False,False,True,거래량동반양봉,93.0,0.2,0.0,-0.3,-0.2,True,8,조정,-4,-1,-3,0,9.1,-12.3,1507.13,1.15,2.25,1022.0,1022.0,1022.0,10,10,1.0,115.0,111.0,138070,00577380,0,0,0,0,,,,,,,,,,,안전
287840,인투셀,,27150,22.6,11.9,2.7,-63.8,26.9,-7.7,-32.4,-46.2,-16.5,-29.0,-39.7,2.0,74900,21400,5,False,True,False,86533,82797,45.0,25.3,27.1,1.05,0,False,False,False,False,-,93.4,5.6,4.1,23.2,25.5,True,15,조정,-4,-1,-3,0,9.1,-12.3,1507.13,1.15,2.25,1022.0,1022.0,1022.0,10,10,1.0,113.4,109.4,287840,01374443,0,0,0,0,,,,,,,,,,,안전
455180,케이지에이,,1627,7.9,10.6,-13.6,-79.2,10.8,-34.7,-48.3,-50.2,-37.7,-42.0,-59.6,5.15,7820,1468,5,True,False,False,215879,103158,8.7,4.1,2.4,2.09,0,False,False,False,False,-,99.8,1.6,-1.7,-0.5,-1.3,True,8,조정,-4,-1,-3,0,9.1,-12.3,1507.13,1.15,2.25,1022.0,1022.0,1022.0,10,10,1.0,112.8,108.8,455180,01638387,1,0,1,0,[20251114] 주권매매거래정지              (상장적격성 실질심사 대상 (사유발생)) (20251114901014),,[20251114] 주권매매거래정지해제              (상장적격성 실질심사 미해당 (사유발생 해소)) (20251114903401),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251114901014,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251114903401,,20251114901014,,위험
049470,비트플래닛,,1997,15.2,6.4,23.4,-89.9,18.5,0.1,-40.6,-41.2,-26.4,-35.3,-71.2,2.51,19850,1685,10,True,True,False,164641,100464,5.3,3.4,2.2,1.64,3,False,False,True,False,+3%반등,88.2,2.7,0.0,-2.1,-1.4,True,8,조정,-4,-1,-3,0,9.1,-12.3,1507.13,1.15,2.25,1022.0,1022.0,1022.0,10,10,1.0,109.2,105.2,049470,00351579,1,12,1,0,"[20260415] 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) (20260415900522)",[20260521] [기재정정]주요사항보고서(전환사채권발행결정) (20260521000587) || [20260521] [기재정정]주요사항보고서(전환사채권발행결정) (20260521000523) || [20260514] 주요사항보고서(전환사채권발행결정) (20260514000974),[20260514] 주권매매거래정지해제              (액면병합 주권 변경상장) (20260514900853),,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260415900522,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260521000587 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260521000523 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260514000974,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260514900853,,20260415900522,20260521000587 || 20260521000523 || 20260514000974,위험
337930,젝시믹스,,3005,12.1,6.1,6.8,-56.4,2.7,-10.3,-32.0,-44.6,-20.8,-26.6,-38.0,1.29,6900,2925,5,False,True,False,313915,230994,9.2,10.0,8.5,1.36,0,False,False,False,False,-,88.7,6.5,0.9,8.8,0.9,True,15,조정,-4,-1,-3,0,9.1,-12.3,1507.13,1.15,2.25,1022.0,1022.0,1022.0,10,10,1.0,108.7,104.7,337930,01391103,0,2,0,0,,[20260430] [첨부추가]전환사채(해외전환사채포함)발행후만기전사채취득              (제1회차) (20260430901349) || [20250910] 전환사채(해외전환사채포함)발행후만기전사채취득              (제1회차) (20250910900243),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260430901349 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250910900243,,,,20260430901349 || 20250910900243,주의
494120,큐리오시스,,32550,19.1,7.1,-1.8,-66.2,6.0,-20.7,-45.3,-58.4,-29.8,-39.3,,3.91,96400,30700,0,False,False,False,151014,117413,151.2,53.8,52.4,1.29,0,False,False,False,False,-,100.0,55.4,-21.5,37.0,-141.5,True,8,조정,-4,-1,-3,0,9.1,-12.3,1507.13,1.15,2.25,1022.0,1022.0,1022.0,10,10,1.0,108.0,104.0,494120,01786958,0,3,0,0,,[20251103] [기재정정]주요사항보고서(유상증자결정) (20251103000094) || [20251001] [기재정정]주요사항보고서(유상증자결정) (20251001000427) || [20250822] 주요사항보고서(유상증자결정) (20250822000169),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251103000094 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251001000427 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250822000169,,,,20251103000094 || 20251001000427 || 20250822000169,주의
