ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level
002360,SH에너지화학,,2025,3.3,1.6,3.1,-66.5,1.3,-22.7,-43.4,-45.6,-36.0,-45.3,-48.4,1.42,6050,1999,10,True,True,False,182447,80998,2.4,4.1,2.0,2.25,0,False,False,False,False,-,90.9,1.0,-0.0,-2.4,-0.8,True,8,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,108.9,104.9,002360,00136457,0,1,0,0,,[20260227] 주식병합결정               (20260227801434),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260227801434,,,,20260227801434,주의
004310,현대약품,,6340,24.2,12.3,-0.2,-60.3,91.5,-13.2,-28.8,-46.8,-15.3,-23.1,-9.7,1.03,15960,3310,0,False,False,False,390691,439980,28.8,26.2,33.6,0.89,4,False,False,False,True,거래량동반양봉,89.0,29.4,0.6,23.5,1.0,True,15,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,108.0,104.0,004310,00164706,0,0,0,0,,,,,,,,,,,안전
118000,메타케어,,1331,2.0,7.5,4.3,-67.8,4.8,-18.6,-36.0,-60.5,-27.4,-36.4,-53.1,1.99,4130,1270,5,True,False,False,91672,48124,1.3,1.3,0.8,1.9,0,False,False,False,False,-,93.2,1.0,0.0,0.6,-0.6,True,8,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,106.2,102.2,118000,00791209,0,8,1,0,,[20260310] [기재정정]주요사항보고서(감자결정) (20260310002666) || [20260306] 주요사항보고서(감자결정) (20260306000577) || [20250925] 유상증자또는주식관련사채등의발행결과(자율공시)               (20250925800509),[20260306] 매매거래정지및정지해제(중요내용공시)               (20260306800954),,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310002666 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260306000577 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250925800509,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260306800954,,,20260310002666 || 20260306000577 || 20250925800509,주의
484870,엠앤씨솔루션,,67400,18.1,3.6,9.1,-70.7,2.1,-18.8,-42.4,-48.6,-26.2,-34.6,-54.1,2.23,230000,66000,5,True,False,False,43023,24757,36.6,31.5,21.7,1.74,0,False,False,False,False,-,92.5,15.8,-38.1,-7.8,-66.2,True,8,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,105.5,101.5,484870,01519790,0,0,0,0,,,,,,,,,,,안전
006200,한국전자홀딩스,,2565,14.0,10.8,8.3,-54.1,7.3,-18.3,-36.0,-40.3,-27.1,-34.7,-29.0,1.2,5590,2390,10,True,True,False,108847,74292,2.4,3.1,2.2,1.47,0,False,False,False,False,-,87.5,-0.8,0.1,-3.0,-0.7,True,8,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,105.5,101.5,006200,00159254,0,2,0,0,,[20260304] 주식병합결정               (20260304801670) || [20260213] 유상증자또는주식관련사채등의발행결과(자율공시)               (20260213801923),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260304801670 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260213801923,,,,20260304801670 || 20260213801923,주의
465770,STX그린로지스,,2715,19.9,5.0,-0.5,-78.1,inf,-16.3,-43.7,-54.1,-23.4,-45.7,-57.4,0.32,12400,0,0,False,False,False,136810,273948,2.3,4.1,10.5,0.5,0,False,False,False,False,-,90.0,1.5,0.2,6.3,0.1,True,15,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,105.0,101.0,465770,01784394,0,0,2,0,,,[20250703] 매매거래정지및정지해제(풍문등조회공시)               (20250703800629) || [20250702] 매매거래정지및정지해제(풍문등조회공시)               (20250702800680),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250703800629 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250702800680,,,,안전
027740,마니커,,1085,7.5,6.7,-9.9,-57.8,3.8,-29.3,-33.9,-35.8,-28.2,-31.6,-32.5,1.41,2574,1045,5,True,False,False,215267,128534,2.1,2.6,1.8,1.67,0,False,False,False,False,-,92.0,0.2,0.0,-3.3,-1.9,True,8,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,105.0,101.0,027740,00204208,0,1,0,0,,[20260306] 주식병합결정               (20260306801041),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260306801041,,,,20260306801041,주의
011090,에넥스,,1331,0.0,14.5,11.0,-68.1,12.8,-12.5,-37.8,-45.2,-28.3,-34.2,-48.0,1.34,4170,1180,10,True,True,False,116320,70784,1.3,1.6,1.1,1.64,0,False,False,False,False,-,86.2,0.1,-0.0,-1.0,-0.7,True,8,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,104.2,100.2,011090,00139764,0,1,0,0,,[20260305] 주식병합결정               (20260305801188),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260305801188,,,,20260305801188,주의
024890,대원화성,,2955,0.0,8.9,0.2,-42.1,5.7,-19.9,-34.8,-27.7,-28.1,-27.6,-28.0,1.85,5105,2795,5,True,False,False,50339,23776,1.4,1.6,0.8,2.12,0,False,False,False,False,-,91.0,0.2,-0.0,-0.7,-0.9,True,8,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,104.0,100.0,024890,00112022,0,2,0,0,,[20260311] [기재정정]주식병합결정               (20260311801002) || [20260310] 주식병합결정               (20260310801209),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260311801002 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260310801209,,,,20260311801002 || 20260310801209,주의
000890,보해양조,,1315,6.7,5.4,10.7,-53.3,3.5,-14.6,-37.7,-46.8,-28.1,-34.9,-38.9,0.98,2815,1270,10,True,True,False,211625,117329,1.6,3.0,1.8,1.8,0,False,False,False,False,-,85.7,-0.5,0.2,-2.6,-1.3,True,8,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,103.7,99.7,000890,00123541,0,1,0,0,,[20260305] 주식병합결정               (20260305801205),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260305801205,,,,20260305801205,주의
004060,SG세계물산,,2970,32.0,10.5,22.7,-67.1,6.6,-5.3,-39.3,-56.6,-15.2,-32.5,-22.6,1.25,9030,2785,5,False,True,False,300577,494526,19.3,9.0,18.1,0.61,4,False,False,False,True,거래량동반양봉,79.0,4.7,0.3,-3.9,-3.2,True,15,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,103.0,99.0,004060,00133511,0,2,0,0,,[20260313] [기재정정]주식병합결정               (20260313801372) || [20260309] 주식병합결정               (20260309800626),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260313801372 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260309800626,,,,20260313801372 || 20260309800626,주의
008250,이건산업,,2875,20.8,9.5,1.5,-51.4,3.0,-19.1,-29.4,-30.8,-17.3,-23.9,-34.9,1.08,5910,2790,5,True,False,False,57399,36467,1.2,1.7,1.2,1.57,0,False,False,False,False,-,89.5,-0.5,0.1,-2.0,-0.1,True,8,강세,-4,0,-1,-3,82.0,31.5,1516.49,,2.74,-121906.0,-121906.0,-121906.0,10,10,1.0,102.5,98.5,008250,00145446,0,0,0,0,,,,,,,,,,,안전
