ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level
006920,모헨즈,,3120,11.7,14.4,9.9,-59.1,16.6,-16.9,-37.6,-32.5,-21.4,-32.6,-16.0,8.06,7630,2675,5,True,False,False,615834,263017,67.5,19.6,9.7,2.34,4,False,False,False,True,거래량동반양봉,94.9,2.4,0.6,11.1,1.8,True,15,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,118.9,117.9,006920,00163318,0,0,0,0,,,,,,,,,,,안전
191420,테고사이언스,,8360,23.8,13.1,-7.1,-58.7,7.5,-22.9,-33.5,-35.7,-25.2,-31.1,-44.5,4.87,20250,7780,5,True,False,False,62259,31623,13.4,5.6,3.4,1.97,0,False,False,False,False,-,99.2,7.7,0.0,5.6,0.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,112.2,111.2,191420,00926522,0,0,0,0,,,,,,,,,,,안전
431190,케이쓰리아이,,2880,16.3,8.4,-7.2,-61.3,4.9,-28.2,-39.0,-39.4,-27.7,-31.4,-40.6,2.5,7450,2745,5,True,False,False,82455,49301,3.5,2.6,1.9,1.67,0,False,False,False,False,-,97.5,0.9,-0.0,1.8,-0.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,110.5,109.5,431190,01689266,0,0,0,0,,,,,,,,,,,안전
336680,탑런토탈솔루션,,3000,12.4,9.4,-6.3,-52.4,2.7,-12.3,-24.0,-26.5,-15.3,-18.8,-25.7,3.14,6300,2920,5,True,False,False,78293,48136,4.6,2.5,1.7,1.63,0,False,False,False,False,-,97.0,0.1,0.0,1.0,-1.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,110.0,109.0,336680,00814582,0,6,0,0,,[20260211] [기재정정]주요사항보고서(전환사채권발행결정) (20260211000622) || [20260210] 주요사항보고서(전환사채권발행결정) (20260210000604) || [20260210] 주요사항보고서(유상증자결정) (20260210000592),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260211000622 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260210000604 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260210000592,,,,20260211000622 || 20260210000604 || 20260210000592,주의
136410,아셈스,,5290,14.5,7.0,6.9,-57.2,1.9,-14.3,-29.5,-35.4,-16.2,-24.4,-42.7,1.46,12350,5190,5,True,False,False,73618,46466,3.6,4.1,2.9,1.58,0,False,False,False,False,-,89.3,2.9,0.2,0.2,0.4,True,15,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,109.3,108.3,136410,00922304,0,0,0,0,,,,,,,,,,,안전
338840,와이바이오로직스,,16050,20.9,11.7,3.2,-57.8,84.3,-13.6,-29.9,-37.3,-16.5,-33.1,-25.4,0.67,38000,8710,5,False,False,True,149467,154504,16.6,25.6,29.9,0.97,0,False,False,False,False,-,88.2,17.2,12.6,20.5,42.4,True,15,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,108.2,107.2,338840,01226234,0,4,0,0,,[20251231] [기재정정]주요사항보고서(전환사채매수선택권행사자지정) (20251230000920) || [20251230] 주요사항보고서(전환사채매수선택권행사자지정) (20251230000803) || [20251230] [기재정정]주요사항보고서(전환사채권발행결정) (20251230000741),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251230000920 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251230000803 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251230000741,,,,20251230000920 || 20251230000803 || 20251230000741,주의
335870,윙스풋,,1500,28.5,43.0,22.0,-51.9,24.3,-6.0,-22.4,-20.5,-11.7,-19.6,-22.5,3.27,3120,1207,10,True,True,False,51755,33848,1.7,0.8,0.6,1.53,7,False,True,False,True,5일선회복/거래량동반양봉,82.4,0.6,-0.0,0.2,-0.0,True,8,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,107.4,106.4,335870,01405585,0,3,0,0,,[20250728] 최대주주변경을수반하는주식담보제공계약해제ㆍ취소등               (20250728900294) || [20250627] 최대주주변경을수반하는주식담보제공계약체결               (20250627900737) || [20250612] 최대주주변경               (20250612900504),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250728900294 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250627900737 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250612900504,,,,20250728900294 || 20250627900737 || 20250612900504,주의
173940,에프엔씨엔터,,2980,7.1,43.5,-7.9,-41.6,35.5,-15.2,-26.0,-16.2,-19.5,-23.6,-17.4,3.57,5100,2200,5,True,False,False,41522,28876,3.2,1.3,1.0,1.44,4,False,False,False,True,거래량동반양봉,89.6,0.6,-1.8,0.7,-3.2,True,8,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,106.6,105.6,173940,00925295,0,3,0,0,,[20260511] [기재정정]주요사항보고서(전환사채권발행결정) (20260511000523) || [20260504] [기재정정]주요사항보고서(전환사채권발행결정) (20260504000005) || [20260420] 주요사항보고서(전환사채권발행결정) (20260420000528),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260511000523 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260504000005 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260420000528,,,,20260511000523 || 20260504000005 || 20260420000528,주의
239610,에이치엘사이언스,,6000,6.9,13.8,-4.6,-56.5,5.8,-18.7,-34.1,-29.4,-20.9,-22.8,-32.2,2.6,13780,5670,5,True,False,False,5271,3364,0.5,0.3,0.3,1.57,4,False,False,False,True,거래량동반양봉,97.0,-0.0,0.0,0.1,0.0,True,0,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,106.0,105.0,239610,01011438,0,0,0,0,,,,,,,,,,,안전
068050,팬엔터테인먼트,,1124,19.6,23.9,8.6,-59.0,9.9,-13.6,-30.6,-33.8,-16.6,-25.3,-39.2,2.18,2740,1023,5,True,False,False,111504,79120,2.0,1.3,1.1,1.41,4,False,False,False,True,거래량동반양봉,89.0,1.1,-0.0,0.2,0.1,True,8,조정,-1,-1,0,0,3.9,-15.9,1527.63,,3.64,-896.0,-896.0,-896.0,10,10,1.0,106.0,105.0,068050,00397191,0,0,0,0,,,,,,,,,,,안전
