ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,annual_year,annual_latest_억,annual_prev_억,annual_yoy_%,annual_fs_div,annual_op_account_nm,annual_op_account_id,ocf_latest_억,ocf_prev_억,ocf_account_nm,ocf_account_id,dart_annual_status,dart_annual_message,dart_ocf_status,dart_ocf_message,q_period,q_basis,q_latest_억,q_prev_억,quarterly_yoy_%,q_latest_key,q_prev_key,q_fs_div,q_source_api,q_op_account_nm,q_op_account_id,dart_q_status,dart_q_message,earnings_pattern,fundamental_score,ocf_score,ocf_pattern,ocf_to_op_ratio,ocf_threshold_group,momentum_score,stock_score,final_score
357780,솔브레인,,324000,33.2,1.3,-3.7,-38.9,109.0,-15.3,-30.5,-31.9,-21.5,-23.0,-2.9,1.07,530000,155000,0,False,False,False,77580,67176,235.3,283.0,277.7,1.15,0,False,False,False,False,-,81.1,63.4,-116.0,536.6,-768.3,True,8,조정,-3,-1,-1,-1,1.3,-17.4,1527.7,1.48,5.01,-2433.0,-2433.0,-2433.0,10,10,1.0,89.1,86.1,357780,01489648,0,0,0,0,,,,,,,,,,,안전,2025,1336.4,1679.5,-20.4,CFS,영업이익,dart_OperatingIncomeLoss,1469.2,2623.5,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,447.0,360.5,24.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.1,default,-1,113.1,110.1
035760,CJ ENM,,36850,24.2,9.3,11.5,-55.2,1.9,-6.8,-30.5,-42.9,-12.1,-25.9,-42.1,0.56,82300,36150,0,False,False,False,107095,131948,27.4,42.1,56.4,0.81,0,False,False,False,False,-,85.4,-35.7,13.5,-213.9,-99.2,True,8,조정,-3,-1,-1,-1,1.3,-17.4,1527.7,1.48,5.01,-2433.0,-2433.0,-2433.0,10,10,1.0,93.4,90.4,35760,00265324,0,0,0,0,,,,,,,,,,,안전,2025,1328.9,1044.8,27.2,CFS,영업이익(손실),dart_OperatingIncomeLoss,11663.7,14025.8,영업활동 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,14.6,7.0,107.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,8.78,default,2,110.4,107.4
058470,리노공업,,85100,36.5,0.0,-3.2,-34.0,117.9,-12.6,-27.1,-29.9,-16.9,-21.2,8.6,0.97,129000,39050,0,False,False,False,1000901,954187,791.6,941.9,980.3,1.05,0,False,False,False,False,-,72.4,142.4,-106.3,403.1,-1168.6,True,8,조정,-3,-1,-1,-1,1.3,-17.4,1527.7,1.48,5.01,-2433.0,-2433.0,-2433.0,10,10,1.0,80.4,77.4,58470,00369657,0,0,0,0,,,,,,,,,,,안전,2025,188.6,223.4,-15.6,OFS,영업외이익(손실),dart_NonOperatingProfitLoss,1794.7,1101.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,58.4,30.7,90.1,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업외이익(손실),dart_NonOperatingProfitLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,9.52,default,2,107.4,104.4
098460,고영,,27800,33.3,2.1,-5.6,-38.2,105.2,-19.0,-33.2,-9.2,-23.9,-17.5,9.4,0.6,45000,13550,0,False,False,False,1595251,2733500,458.3,508.5,1043.1,0.58,0,False,False,False,False,-,80.3,88.9,45.1,-45.1,-54.2,True,15,조정,-3,-1,-1,-1,1.3,-17.4,1527.7,1.48,5.01,-2433.0,-2433.0,-2433.0,10,10,1.0,95.3,92.3,98460,00579999,0,0,0,0,,,,,,,,,,,안전,2025,173.4,33.2,422.0,CFS,영업이익,dart_OperatingIncomeLoss,180.9,364.0,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,98.5,31.9,209.1,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.04,default,-3,107.3,104.3
213420,덕산네오룩스,,31700,19.0,2.8,2.5,-44.7,1.4,-18.4,-39.6,-15.2,-26.7,-33.7,-26.7,0.95,57300,31250,0,False,False,False,257272,238028,73.2,90.5,102.6,1.08,0,False,False,False,False,-,86.9,-12.9,-35.0,85.1,-337.1,True,0,조정,-3,-1,-1,-1,1.3,-17.4,1527.7,1.48,5.01,-2433.0,-2433.0,-2433.0,10,10,1.0,86.9,83.9,213420,01061558,0,0,0,0,,,,,,,,,,,안전,2025,607.4,524.7,15.8,CFS,영업이익,dart_OperatingIncomeLoss,605.5,588.3,Ⅰ.영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,170.9,99.0,72.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.0,default,2,103.9,100.9
067310,하나마이크론,,37700,31.1,1.0,8.8,-35.6,275.9,-6.8,-13.3,7.7,-16.9,-3.5,30.6,0.34,58500,10030,10,False,True,True,1279037,2566560,338.8,535.6,1232.6,0.5,0,False,False,False,False,-,70.7,-105.7,96.8,870.5,-97.1,True,8,조정,-3,-1,-1,-1,1.3,-17.4,1527.7,1.48,5.01,-2433.0,-2433.0,-2433.0,10,10,1.0,88.7,85.7,67310,00445054,0,0,0,0,,,,,,,,,,,안전,2025,1276.9,1067.9,19.6,CFS,영업이익(손실),dart_OperatingIncomeLoss,1749.2,409.7,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,720.4,117.4,513.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.37,default,-3,100.7,97.7
095340,ISC,,174900,36.4,0.5,-2.2,-40.2,253.7,-13.6,-31.7,-13.4,-20.3,-24.7,24.7,0.98,292500,49450,0,False,False,False,249880,240716,413.3,506.9,534.6,1.04,0,False,False,False,False,-,76.5,149.1,-1.9,533.0,-130.3,True,8,조정,-3,-1,-1,-1,1.3,-17.4,1527.7,1.48,5.01,-2433.0,-2433.0,-2433.0,10,10,1.0,84.5,81.5,95340,00572905,0,0,0,0,,,,,,,,,,,안전,2025,600.5,447.8,34.1,CFS,영업이익,dart_OperatingIncomeLoss,417.1,506.7,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,236.2,69.9,237.8,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,2,현금창출보통,0.69,default,2,98.5,95.5
240810,원익IPS,,104900,45.5,21.0,20.5,-30.8,397.2,-1.0,-18.7,-21.0,-11.7,-12.1,24.7,1.81,151500,21100,10,True,True,False,1455716,899329,1694.2,1743.4,1094.1,1.62,0,False,False,False,False,-,46.5,-2.4,657.8,721.9,-574.7,True,8,조정,-3,-1,-1,-1,1.3,-17.4,1527.7,1.48,5.01,-2433.0,-2433.0,-2433.0,10,10,1.0,64.5,61.5,240810,01135941,0,0,0,0,,,,,,,,,,,안전,2025,738.1,106.4,593.6,CFS,영업순손익,dart_OperatingIncomeLoss,1566.1,782.8,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,107.3,-73.8,245.4,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업순손익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,2.12,default,3,82.5,79.5
039030,이오테크닉스,,396500,45.3,1.2,1.6,-33.7,196.1,-13.4,-17.2,-11.1,-17.4,-14.6,19.3,1.11,598000,133900,5,False,True,False,192508,151854,683.1,876.6,725.8,1.27,0,False,False,False,False,-,54.0,336.5,-415.2,1522.2,-959.8,True,8,조정,-3,-1,-1,-1,1.3,-17.4,1527.7,1.48,5.01,-2433.0,-2433.0,-2433.0,10,10,1.0,67.0,64.0,39030,00246417,0,0,0,0,,,,,,,,,,,안전,2025,807.5,312.0,158.8,CFS,영업이익(손실),dart_OperatingIncomeLoss,1002.9,553.6,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,298.0,144.8,105.8,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.24,default,-1,81.0,78.0
068760,셀트리온제약,,40500,22.3,3.2,-14.5,-48.3,1.0,-15.1,-26.0,-35.5,-17.1,-24.4,-30.9,1.25,78300,40100,0,False,False,False,121647,116592,58.4,54.2,57.3,1.04,-30,True,False,False,False,⚠️떨어지는칼날,88.6,-21.4,32.3,23.2,-19.8,True,8,조정,-3,-1,-1,-1,1.3,-17.4,1527.7,1.48,5.01,-2433.0,-2433.0,-2433.0,10,10,1.0,66.6,63.6,68760,00541349,0,0,0,0,,,,,,,,,,,안전,2025,560.9,372.2,50.7,OFS,영업이익(손실),dart_OperatingIncomeLoss,864.3,565.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,129.0,107.4,20.2,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.54,default,-1,80.6,77.6
