ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score
090370,메타랩스,,1074,28.2,6.4,-9.0,-59.2,2.2,-10.6,-22.2,-28.4,-15.5,-21.6,-28.1,5.41,2630,1051,5,True,False,False,100994,61583,3.6,1.1,0.8,1.64,0,False,False,False,False,-,96.1,0.2,0.2,-0.6,0.4,True,15,강세,-4,0,-1,-3,64.1,8.1,1525.86,,3.49,-152273.0,-152273.0,-152273.0,10,10,1.0,116.1,112.1
067830,세이브존I&C,,2340,22.2,12.7,12.2,-43.4,3.8,-4.3,-26.5,-21.1,-12.8,-20.4,-17.9,2.61,4135,2255,15,True,True,True,183446,133737,8.4,4.3,3.5,1.37,4,False,False,False,True,거래량동반양봉,88.1,3.8,-1.9,4.1,-2.0,True,8,강세,-4,0,-1,-3,64.1,8.1,1525.86,,3.49,-152273.0,-152273.0,-152273.0,10,10,1.0,115.1,111.1
161000,애경케미칼,,10270,29.7,11.4,5.0,-48.5,21.8,-14.4,-29.9,0.1,-21.4,-26.0,-8.1,0.51,19960,8430,10,False,True,True,211515,450761,22.8,22.9,62.3,0.47,0,False,False,False,False,-,87.0,29.7,0.4,36.5,6.7,True,15,강세,-4,0,-1,-3,64.1,8.1,1525.86,,3.49,-152273.0,-152273.0,-152273.0,10,10,1.0,112.0,108.0
008500,일정실업,,1293,27.3,0.0,-14.0,-81.9,inf,-25.0,-47.0,-58.4,-36.2,-46.8,-56.3,8.93,7130,0,10,True,False,True,346704,132868,16.0,5.1,2.3,2.61,0,False,False,False,False,-,100.0,-0.6,-0.0,-0.6,0.0,True,0,강세,-4,0,-1,-3,64.1,8.1,1525.86,,3.49,-152273.0,-152273.0,-152273.0,10,10,1.0,110.0,106.0
003280,흥아해운,,1880,12.2,7.2,13.7,-60.8,21.9,-8.7,-31.5,-26.3,-20.3,-35.1,-9.4,0.16,4795,1542,10,False,True,True,7390209,29701801,93.4,142.5,767.1,0.25,0,False,False,False,False,-,84.5,28.1,0.2,33.9,-0.8,True,15,강세,-4,0,-1,-3,64.1,8.1,1525.86,,3.49,-152273.0,-152273.0,-152273.0,10,10,1.0,109.5,105.5
308170,씨티알모빌리티,,3690,27.3,26.2,17.3,-63.8,11.8,-3.9,-27.6,-31.5,-15.3,-24.5,-32.1,2.27,10200,3300,10,False,True,True,40128,30623,2.6,1.5,1.3,1.31,7,False,True,False,True,5일선회복/거래량동반양봉,84.2,0.2,-0.0,-0.9,-0.0,True,8,강세,-4,0,-1,-3,64.1,8.1,1525.86,,3.49,-152273.0,-152273.0,-152273.0,10,10,1.0,109.2,105.2
024890,대원화성,,2840,11.1,2.5,14.3,-44.4,1.6,-5.8,-37.3,-28.5,-25.4,-29.2,-30.3,2.41,5105,2795,10,False,True,True,44213,32100,2.3,1.3,1.1,1.38,0,False,False,False,False,-,89.1,0.2,0.0,-0.8,-0.9,True,8,강세,-4,0,-1,-3,64.1,8.1,1525.86,,3.49,-152273.0,-152273.0,-152273.0,10,10,1.0,107.1,103.1
002030,아세아,,172500,16.2,17.9,14.1,-57.1,8.5,-6.8,-33.1,-39.4,-16.9,-29.7,-44.4,1.71,402000,159000,10,True,True,False,5425,3346,10.1,9.3,6.7,1.62,3,False,True,False,False,5일선회복,85.9,0.7,-0.4,-3.8,-8.8,True,8,강세,-4,0,-1,-3,64.1,8.1,1525.86,,3.49,-152273.0,-152273.0,-152273.0,10,10,1.0,106.9,102.9
071090,하이스틸,,3015,16.0,9.0,6.5,-51.8,3.3,-10.1,-34.5,-15.0,-17.7,-24.6,-23.7,0.37,6250,2920,10,False,True,True,201051,328798,3.6,6.3,12.5,0.61,0,False,False,False,False,-,87.4,3.2,0.0,16.3,0.3,True,8,강세,-4,0,-1,-3,64.1,8.1,1525.86,,3.49,-152273.0,-152273.0,-152273.0,10,10,1.0,105.4,101.4
058430,포스코스틸리온,,5120,23.2,14.4,10.5,-51.2,43.8,-11.4,-36.9,12.5,-19.1,-14.0,14.4,0.33,10500,3560,5,False,True,False,414786,1288699,17.2,22.2,92.3,0.32,0,False,False,False,False,-,84.7,5.1,1.6,40.1,-0.1,True,15,강세,-4,0,-1,-3,64.1,8.1,1525.86,,3.49,-152273.0,-152273.0,-152273.0,10,10,1.0,104.7,100.7
