market,ticker,name,sector,final_score,keep_reason
kosdaq,006920,모헨즈,비금속광물(시멘트·유리),138.9,선정
kosdaq,188040,바이오포트,식료품,129.7,선정
kosdaq,475230,엔알비,금속가공,125.5,선정
kosdaq,263750,펄어비스,출판·SW,125.0,선정
kosdaq,277070,린드먼아시아,금융(은행),124.7,선정
kosdaq,060260,뉴보텍,고무·플라스틱,123.5,선정
kosdaq,337930,젝시믹스,IT서비스,123.5,선정
kosdaq,045060,오공,화학,122.7,선정
kosdaq,077360,덕산하이메탈,반도체·전자부품,122.1,선정
kosdaq,068050,팬엔터테인먼트,미디어·엔터,121.0,선정
kosdaq,263720,디앤씨미디어,출판·SW,120.5,선정
kosdaq,150900,파수AI,출판·SW,120.4,선정
kosdaq,067290,JW신약,제약·바이오,120.2,선정
kosdaq,208370,셀바스헬스케어,의료·정밀·광학,119.5,선정
kosdaq,024740,한일단조,자동차·부품,119.4,선정
kosdaq,413630,씨피시스템,고무·플라스틱,118.7,선정
kosdaq,451250,삐아,화학,118.4,선정
kosdaq,065950,웰크론,섬유,118.0,선정
kosdaq,239610,에이치엘사이언스,식료품,118.0,선정
kosdaq,0008Z0,에스엔시스,전기장비,117.4,선정
kospi,008250,이건산업,목재,117.5,선정
kospi,002360,SH에너지화학,화학,116.9,선정
kospi,000890,보해양조,음료,116.7,선정
kospi,009240,한샘,도매,116.7,선정
kospi,095720,웅진씽크빅,교육,115.9,선정
kospi,000390,SP삼화,화학,115.4,선정
kospi,025750,한솔홈데코,목재,115.2,선정
kospi,001550,조비,화학,114.9,선정
kospi,001620,케이비아이동국실업,자동차·부품,114.2,선정
kospi,123690,한국화장품,도매,114.2,선정
kospi,012690,모나리자,펄프·종이,114.1,선정
kospi,460860,동국제강,철강·1차금속,113.6,선정
kospi,024890,대원화성,고무·플라스틱,113.0,선정
kospi,027740,마니커,식료품,113.0,선정
kospi,058730,다스코,금속가공,112.6,선정
kospi,241590,화승엔터프라이즈,가죽·신발,112.1,선정
kospi,010040,한국내화,비금속광물(시멘트·유리),111.1,선정
kospi,001020,페이퍼코리아,펄프·종이,110.8,선정
kospi,014280,금강공업,철강·1차금속,110.2,선정
kospi,084680,이월드,기타제조,109.0,선정
