market,ticker,name,sector,final_score_v3,grade,bucket,final_score,keep_reason
kosdaq,240810,원익IPS,기계·장비,63.6,B,OBSERVE,79.5,선정
kosdaq,098460,고영,기계·장비,62.0,B,OBSERVE,104.3,선정
kosdaq,095340,ISC,도매,55.1,B,OBSERVE,95.5,선정
kosdaq,213420,덕산네오룩스,반도체·전자부품,55.0,B,OBSERVE,100.9,선정
kosdaq,067310,하나마이크론,반도체·전자부품,51.7,B,OBSERVE,97.7,선정
kosdaq,058470,리노공업,반도체·전자부품,50.1,B,OBSERVE,104.4,선정
kosdaq,039030,이오테크닉스,기계·장비,47.5,B,OBSERVE,78.0,선정
kosdaq,357780,솔브레인,화학,47.0,B,OBSERVE,110.1,선정
kosdaq,035760,CJ ENM,방송,42.0,B,OBSERVE,107.4,선정
kosdaq,005290,동진쎄미켐,화학,40.3,C,OBSERVE,75.1,선정
kosdaq,140860,파크시스템스,의료·정밀·광학,26.5,WATCH,WATCH,70.1,선정
kosdaq,068760,셀트리온제약,제약·바이오,-999.0,EXCLUDE,EXCLUDE,77.6,선정
kosdaq,293490,카카오게임즈,출판·SW,-999.0,EXCLUDE,EXCLUDE,73.6,선정
kosdaq,028300,HLB,제약·바이오,-999.0,EXCLUDE,EXCLUDE,63.1,선정
kosdaq,086520,에코프로,금융(은행),-999.0,EXCLUDE,EXCLUDE,62.7,선정
kosdaq,247540,에코프로비엠,전기장비,-999.0,EXCLUDE,EXCLUDE,39.6,선정
kospi,120110,코오롱인더,화학,82.0,B,OBSERVE,114.4,선정
kospi,282330,BGF리테일,소매,64.2,B,WAIT,61.7,선정
kospi,010120,LS ELECTRIC,전기장비,62.6,B,OBSERVE,91.5,선정
kospi,006360,GS건설,건설,59.0,B,OBSERVE,104.3,선정
kospi,251270,넷마블,출판·SW,57.6,WATCH,WATCH,83.5,선정
kospi,267250,HD현대,금융(은행),53.4,WATCH,WATCH,76.8,선정
kospi,015760,한국전력,전력·가스,47.5,B,OBSERVE,84.9,선정
kospi,170900,동아에스티,제약·바이오,45.6,B,OBSERVE,94.4,선정
kospi,259960,크래프톤,출판·SW,44.9,B,OBSERVE,90.6,선정
kospi,012450,한화에어로스페이스,조선·기타운송,44.0,WATCH,WATCH,101.8,선정
kospi,241560,두산밥캣,기계·장비,42.5,C,OBSERVE,89.9,선정
kospi,010140,삼성중공업,조선·기타운송,39.9,B,OBSERVE,72.6,선정
kospi,011170,롯데케미칼,화학,39.3,C,OBSERVE,79.3,선정
kospi,267260,HD현대일렉트릭,전기장비,39.0,B,OBSERVE,93.6,선정
kospi,004020,현대제철,철강·1차금속,38.7,WATCH,WATCH,92.8,선정
kospi,103140,풍산,철강·1차금속,37.5,WATCH,WATCH,104.1,선정
kospi,011200,HMM,운수·물류,36.6,B,OBSERVE,57.4,선정
kospi,006400,삼성SDI,전기장비,35.1,C,OBSERVE,83.4,선정
kospi,086280,현대글로비스,운수·물류,34.5,B,OBSERVE,80.1,선정
kospi,272210,한화시스템,반도체·전자부품,34.0,WATCH,WATCH,88.3,선정
