ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,dart_status,annual_year,annual_latest_억,annual_prev_억,annual_yoy_%,annual_fs_div,annual_op_account_nm,annual_op_account_id,ocf_latest_억,ocf_prev_억,ocf_account_nm,ocf_account_id,dart_annual_status,dart_annual_message,dart_ocf_status,dart_ocf_message,q_period,q_basis,q_latest_억,q_prev_억,quarterly_yoy_%,q_latest_key,q_prev_key,q_fs_div,q_source_api,q_op_account_nm,q_op_account_id,dart_q_status,dart_q_message,earnings_pattern,fundamental_score,ocf_score,ocf_pattern,ocf_to_op_ratio,ocf_threshold_group,momentum_score,stock_score,final_score,final_score_v3,grade,bucket,entry_score,value_score,value_source,quality_score,turnaround_score,reversal_score,supply_score_v2,oversold_component,main_candidate,market,dilution_60d
014570,고려제약,제약·바이오,3245,24.2,20.8,-28.5,-31.0,6.0,-5.9,-6.1,1.4,-5.8,-5.0,-14.6,7.42,4700,3060,5,True,False,False,8543,4977,1.1,0.3,0.2,1.72,0,False,False,False,False,-,77.8,0.2,0.0,0.4,0.0,True,3,반등,-5,-3,0,-2,-14.3,2.1,1364.68,,-1.22,-3238.0,-3238.0,-3238.0,10,10,1.0,85.8,80.8,014570,103015,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,69.1,91.4,-24.4,OFS,영업이익,dart_OperatingIncomeLoss,131.1,48.7,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,26.6,22.4,18.6,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.9,default,-2,108.8,103.8,81.4,B,OBSERVE,48.2,15.0,PYKRX,20.0,12.0,0,15.0,19.45,True,kosdaq,
100700,세운메디칼,제약·바이오,2300,30.3,13.0,-11.2,-32.9,12.2,-4.8,-4.2,6.5,-4.6,-2.5,-6.2,0.63,3430,2050,0,False,False,False,99328,140959,2.1,2.3,3.4,0.7,0,False,False,False,False,-,69.1,1.9,-0.1,0.7,-0.5,True,3,반등,-5,-3,0,-2,-14.3,2.1,1364.68,,-1.22,-3238.0,-3238.0,-3238.0,10,10,1.0,72.1,67.1,100700,362201,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,127.0,113.8,11.6,CFS,영업이익,dart_OperatingIncomeLoss,177.7,131.9,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,34.4,24.4,41.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.4,default,-3,84.1,79.1,81.3,B,OBSERVE,49.3,15.0,PYKRX,23.0,11.0,0,15.0,17.275,True,kosdaq,
065510,휴비츠,의료·정밀·광학,6640,22.7,16.7,18.4,-34.2,5.9,0.2,-5.1,-3.5,-3.6,-3.5,-14.5,0.89,10090,6270,5,False,True,False,15898,17964,1.1,1.1,1.2,0.89,0,False,False,False,False,-,62.2,0.2,1.0,-3.1,5.7,True,10,반등,-5,-3,0,-2,-14.3,2.1,1364.68,,-1.22,-3238.0,-3238.0,-3238.0,10,10,1.0,77.2,72.2,065510,398668,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,55.5,133.3,-58.4,CFS,영업이익(손실),dart_OperatingIncomeLoss,126.6,49.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,21.3,18.6,14.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.28,default,7,109.2,104.2,75.6,B,OBSERVE,53.1,10.0,PYKRX,20.0,12.0,3,15.0,15.55,True,kosdaq,
078140,대봉엘에스,제약·바이오,7330,12.6,10.8,22.4,-47.2,8.1,-0.1,-7.4,0.3,-4.7,-6.1,-25.1,1.06,13890,6780,5,False,True,False,10220,11655,0.9,0.8,0.9,0.88,0,False,False,False,False,-,68.7,0.1,-0.0,-2.4,-0.0,True,3,반등,-5,-3,0,-2,-14.3,2.1,1364.68,,-1.22,-3238.0,-3238.0,-3238.0,10,10,1.0,76.7,71.7,078140,442826,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,73.3,90.5,-19.0,CFS,영업이익(손실),dart_OperatingIncomeLoss,89.1,143.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,36.7,23.5,56.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.22,default,4,105.7,100.7,74.2,B,OBSERVE,45.1,12.0,PYKRX,20.0,17.0,3,5.0,17.175,True,kosdaq,
208350,지란지교시큐리티,출판·SW,2925,39.5,14.7,-4.0,-23.5,14.0,-2.7,0.7,8.1,-3.5,-0.5,-1.7,0.9,3825,2565,5,True,False,False,12927,9365,0.3,0.4,0.3,1.38,0,False,False,False,False,-,49.0,0.2,0.0,-0.2,0.0,True,3,반등,-5,-3,0,-2,-14.3,2.1,1364.68,,-1.22,-3238.0,-3238.0,-3238.0,10,10,1.0,57.0,52.0,208350,1047169,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,24.8,13.8,79.6,CFS,영업이익,dart_OperatingIncomeLoss,66.4,33.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,9.8,1.3,642.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,2.68,default,2,74.0,69.0,73.2,B,OBSERVE,47.8,12.0,PYKRX,23.0,11.0,0,15.0,12.25,True,kosdaq,
318010,팜스빌,식료품,3445,37.9,21.6,-18.1,-20.3,9.9,-9.1,-5.7,3.5,-6.3,-5.6,-2.9,8.28,4320,3135,10,True,False,True,5103,2721,0.7,0.2,0.1,1.88,0,False,False,False,False,-,61.2,0.1,0.0,0.0,0.0,True,3,반등,-5,-3,0,-2,-14.3,2.1,1364.68,,-1.22,-3238.0,-3238.0,-3238.0,10,10,1.0,74.2,69.2,318010,986898,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,-6.7,-2.6,-160.8,CFS,영업이익,dart_OperatingIncomeLoss,18.9,-3.5,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,-1.6,-2.9,44.4,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,0,회계손실현금유입,,default,-2,92.2,87.2,72.3,C,OBSERVE,42.5,15.0,PYKRX,10.0,17.0,0,15.0,15.3,True,kosdaq,
092460,한라IMS,조선·기타운송,16290,32.0,32.9,24.5,-26.5,24.4,0.0,-9.1,9.0,-3.1,-3.8,-4.0,1.13,22150,13100,5,False,True,False,15588,14883,2.7,2.5,2.5,1.05,3,False,False,True,False,+3%반등,53.0,1.4,-0.3,3.2,-0.9,True,3,반등,-5,-3,0,-2,-14.3,2.1,1364.68,,-1.22,-3238.0,-3238.0,-3238.0,10,10,1.0,64.0,59.0,092460,528515,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,222.7,159.6,39.5,CFS,영업이익(손실),dart_OperatingIncomeLoss,220.5,-1.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,91.9,61.6,49.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,0.99,default,4,83.0,78.0,72.2,B,WAIT,62.1,3.0,PYKRX,23.0,11.0,7,15.0,13.25,True,kosdaq,
451250,삐아,화학,7230,33.3,25.3,28.4,-42.4,16.6,-0.3,-5.6,-4.2,-2.4,-1.6,-12.4,0.4,12550,6200,0,False,False,False,5515,13461,0.4,0.4,1.0,0.41,0,False,False,False,False,-,54.6,0.3,0.0,-2.5,3.4,True,3,반등,-5,-3,0,-2,-14.3,2.1,1364.68,,-1.22,-3238.0,-3238.0,-3238.0,10,10,1.0,57.6,52.6,451250,1283974,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,44.7,55.4,-19.3,CFS,영업이익(손실),dart_OperatingIncomeLoss,31.5,-9.8,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,17.7,1.9,848.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,0.7,default,2,84.6,79.6,71.6,B,OBSERVE,56.0,3.0,PYKRX,20.0,17.0,3,15.0,13.65,True,kosdaq,
179290,엠아이텍,의료·정밀·광학,4525,6.4,16.4,4.8,-42.4,13.1,-6.7,-12.3,6.3,-9.0,-8.5,-23.8,0.47,7860,4000,5,True,False,False,68299,42135,0.9,3.1,2.1,1.62,0,False,False,False,False,-,74.6,1.4,-0.1,0.4,0.3,True,8,반등,-5,-3,0,-2,-14.3,2.1,1364.68,,-1.22,-3238.0,-3238.0,-3238.0,10,10,1.0,87.6,82.6,179290,531829,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,206.7,175.8,17.6,CFS,영업이익,dart_OperatingIncomeLoss,148.7,236.6,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,58.0,40.6,42.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,0.72,default,-3,99.6,94.6,70.6,B,OBSERVE,49.7,3.0,PYKRX,23.0,11.0,0,15.0,18.65,True,kosdaq,
106190,하이텍팜,제약·바이오,9970,31.9,43.5,18.4,-60.1,4.9,-4.2,-14.6,-26.3,-4.1,-8.2,-28.5,0.86,25000,9500,0,False,False,False,32009,24585,2.1,3.2,2.6,1.3,0,False,False,False,False,-,67.1,0.5,-0.1,1.4,-0.1,True,8,반등,-5,-3,0,-2,-14.3,2.1,1364.68,,-1.22,-3238.0,-3238.0,-3238.0,10,10,1.0,75.1,70.1,106190,409964,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,128.6,155.6,-17.4,OFS,영업이익(손실),dart_OperatingIncomeLoss,170.3,146.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,62.9,32.2,95.6,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.32,default,2,102.1,97.1,69.8,B,OBSERVE,44.9,6.0,PYKRX,20.0,17.0,0,10.0,16.775,True,kosdaq,
