ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,dart_status,annual_year,annual_latest_억,annual_prev_억,annual_yoy_%,annual_fs_div,annual_op_account_nm,annual_op_account_id,ocf_latest_억,ocf_prev_억,ocf_account_nm,ocf_account_id,dart_annual_status,dart_annual_message,dart_ocf_status,dart_ocf_message,q_period,q_basis,q_latest_억,q_prev_억,quarterly_yoy_%,q_latest_key,q_prev_key,q_fs_div,q_source_api,q_op_account_nm,q_op_account_id,dart_q_status,dart_q_message,earnings_pattern,fundamental_score,ocf_score,ocf_pattern,ocf_to_op_ratio,ocf_threshold_group,momentum_score,stock_score,final_score,final_score_v3,grade,bucket,entry_score,value_score,value_source,quality_score,turnaround_score,reversal_score,supply_score_v2,oversold_component,main_candidate
214150,클래시스,,32500,15.5,6.2,14.2,-58.1,3.2,-6.3,-26.9,-37.0,-18.7,-25.4,-38.3,1.18,77600,31500,10,True,True,False,520003,339496,132.6,172.5,129.9,1.53,0,False,False,False,False,-,83.7,-141.1,24.3,-402.7,-61.9,True,8,약세,-7,-7,0,0,-16.7,10.5,1384.18,,-5.48,1180.0,1180.0,1180.0,10,10,1.0,101.7,94.7,214150,1061327,0,3,0,0,,[20260626] 최대주주변경을수반하는주식담보제공계약체결               (20260626900920) || [20260626] 최대주주변경을수반하는주식담보제공계약체결               (20260626900913) || [20260626] 최대주주변경을수반하는주식담보제공계약체결               (20260626900906),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626900920 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626900913 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260626900906,,,,20260626900920 || 20260626900913 || 20260626900906,주의,SAFE,2025.0,1706.0,1224.4,39.3,CFS,영업이익,dart_OperatingIncomeLoss,1639.4,1028.0,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,372.0,387.8,-4.1,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,관망,0,5,현금창출양호,0.96,default,4,110.7,103.7,24.0,WATCH,WATCH,14.4,3.0,PYKRX,18.0,0.0,3,-10.0,20.0,False
314930,바이오다인,,7390,25.4,19.9,17.4,-56.2,12.0,-4.2,-12.6,-30.1,-7.5,-14.3,-36.7,1.25,16860,6600,10,True,True,False,51225,32552,3.1,3.8,2.6,1.57,0,False,False,False,False,-,73.1,1.8,-6.6,1.1,-7.5,True,8,약세,-7,-7,0,0,-16.7,10.5,1384.18,,-5.48,1180.0,1180.0,1180.0,10,10,1.0,91.1,84.1,314930,1117413,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,6.5,-17.3,137.7,CFS,영업이익(손실),dart_OperatingIncomeLoss,8.3,8.8,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-4.0,-8.1,50.1,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.28,default,2,108.1,101.1,42.3,B,OBSERVE,19.6,0.0,PYKRX,23.0,11.0,0,-10.0,18.275,True
035900,JYP Ent.,,39350,24.1,12.4,19.4,-55.5,3.1,0.0,-12.3,-36.1,-8.8,-17.5,-36.0,0.56,88500,38150,10,False,True,True,256270,335474,75.6,101.2,141.9,0.76,0,False,False,False,False,-,72.8,77.8,-89.9,-353.2,-376.5,True,8,약세,-7,-7,0,0,-16.7,10.5,1384.18,,-5.48,1180.0,1180.0,1180.0,10,10,1.0,90.8,83.8,035900,258689,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,1552.5,1282.6,21.0,CFS,영업이익,dart_OperatingIncomeLoss,1243.3,892.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,333.7,196.3,70.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,0.8,default,2,107.8,100.8,58.2,B,OBSERVE,37.6,3.0,PYKRX,23.0,11.0,3,0.0,18.2,True
413630,씨피시스템,,3340,28.3,15.8,15.7,-46.0,127.7,-7.6,6.7,1.1,-12.3,4.2,-13.2,0.06,6190,1467,10,False,True,True,491015,8283618,16.6,16.4,337.4,0.06,3,False,True,False,False,5일선회복,65.7,8.2,0.0,15.5,-0.3,True,3,약세,-7,-7,0,0,-16.7,10.5,1384.18,,-5.48,1180.0,1180.0,1180.0,10,10,1.0,81.7,74.7,413630,1601222,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,21.4,33.2,-35.5,CFS,영업이익(손실),dart_OperatingIncomeLoss,39.9,44.6,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,5.3,4.8,12.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.86,default,0,106.7,99.7,52.4,B,WAIT,37.3,0.0,PYKRX,20.0,12.0,4,0.0,16.425,True
065370,위세아이텍,,2660,26.9,19.0,22.0,-64.7,11.3,-3.3,-10.4,-38.3,-9.4,-12.4,-43.5,0.89,7530,2390,5,False,True,False,21419,20302,0.5,0.6,0.6,1.06,3,False,True,False,False,5일선회복,69.2,-0.7,0.0,-0.9,-0.0,True,0,약세,-7,-7,0,0,-16.7,10.5,1384.18,,-5.48,1180.0,1180.0,1180.0,10,10,1.0,77.2,70.2,065370,374738,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,7.9,9.3,-15.3,CFS,영업이익(손실),dart_OperatingIncomeLoss,22.0,15.2,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,3.9,-10.7,136.4,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.78,default,2,104.2,97.2,63.3,B,WAIT,29.1,15.0,PYKRX,20.0,17.0,4,-10.0,17.3,True
371950,풍원정밀,,3350,30.7,8.9,10.3,-83.2,8.1,-18.7,-36.3,-61.6,-26.7,-40.8,-65.8,0.65,19970,3100,5,True,False,False,105020,70412,1.6,3.9,2.9,1.49,0,False,False,False,False,-,84.8,-0.7,-0.7,0.3,-9.9,True,0,약세,-7,-7,0,0,-16.7,10.5,1384.18,,-5.48,1180.0,1180.0,1180.0,10,10,1.0,89.8,82.8,371950,417167,0,3,0,0,,[20260821] 유상증자또는주식관련사채등의청약결과(자율공시)               (20260821900447) || [20260814] 주요사항보고서(유상증자결정) (20260814004178) || [20260601] 주요사항보고서(전환사채매수선택권행사자지정) (20260601000382),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260821900447 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260814004178 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260601000382,,,,20260821900447 || 20260814004178 || 20260601000382,주의,SAFE,2025.0,-199.3,-182.5,-9.2,CFS,영업이익(손실),dart_OperatingIncomeLoss,-50.2,-56.0,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-30.1,-50.1,40.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,-5,이중적자,,default,-3,101.8,94.8,-999.0,EXCLUDE,EXCLUDE,-999.0,-5.0,PYKRX,-15.0,8.5,0,-10.0,20.0,False
376300,디어유,,18490,22.4,19.4,21.4,-68.6,4.6,-1.7,-7.8,-31.9,-5.2,-10.5,-39.1,0.47,58900,17680,10,False,True,True,49749,115381,7.7,9.2,23.0,0.43,3,False,True,False,False,5일선회복,68.0,-7.1,-0.7,3.8,-63.2,True,0,약세,-7,-7,0,0,-16.7,10.5,1384.18,,-5.48,1180.0,1180.0,1180.0,10,10,1.0,81.0,74.0,376300,1456011,0,1,0,0,,[20251017] 최대주주변경               (20251017900525),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251017900525,,,,20251017900525,주의,SAFE,2025.0,313.9,254.1,23.5,CFS,영업이익,dart_OperatingIncomeLoss,354.8,237.4,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,97.0,54.8,76.9,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.13,default,2,98.0,91.0,38.0,WATCH,WATCH,33.2,0.0,PYKRX,23.0,11.0,7,-10.0,17.0,False
048550,SM C&C,,1303,22.5,14.1,22.9,-31.4,67.7,-0.7,-16.4,27.1,-11.8,-13.2,3.4,0.65,1900,777,10,False,True,True,530503,977331,8.5,6.9,14.9,0.54,4,False,False,False,True,거래량동반양봉,65.6,-3.4,-0.0,-1.6,0.9,True,0,약세,-7,-7,0,0,-16.7,10.5,1384.18,,-5.48,1180.0,1180.0,1180.0,10,10,1.0,79.6,72.6,048550,185046,0,1,0,0,,[20251017] 최대주주변경               (20251017900568),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251017900568,,,,20251017900568,주의,SAFE,2025.0,-12.9,15.9,-181.5,CFS,영업이익,dart_OperatingIncomeLoss,-234.4,55.6,영업활동으로부터의 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,-22.4,-29.4,23.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,-5,이중적자,,default,2,96.6,89.6,-999.0,EXCLUDE,EXCLUDE,-999.0,-5.0,PYKRX,-15.0,8.5,7,-10.0,16.4,False
086900,메디톡스,,67800,30.6,13.7,18.6,-51.9,3.4,-5.2,-4.5,-33.8,-7.8,-10.0,-35.3,1.12,141100,65600,5,False,True,False,29812,24825,19.0,20.4,18.1,1.2,0,False,False,False,False,-,68.6,-31.2,2.5,-28.9,-6.6,True,3,약세,-7,-7,0,0,-16.7,10.5,1384.18,,-5.48,1180.0,1180.0,1180.0,10,10,1.0,76.6,69.6,086900,580199,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,-104.2,-28.5,-265.7,CFS,영업외손익,dart_NonOperatingProfitLoss,614.1,365.6,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,23.3,-9.3,351.1,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업외손익,dart_NonOperatingProfitLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,0,회계손실현금유입,,default,-1,95.6,88.6,34.2,C,OBSERVE,13.0,0.0,PYKRX,10.0,17.0,0,-10.0,17.15,True
039830,오로라,,17610,28.6,18.5,19.5,-33.3,94.8,3.5,-6.8,-6.9,-15.1,-9.6,9.4,0.43,26400,9040,10,False,True,True,160615,178021,14.2,28.2,35.3,0.9,3,False,False,True,False,+3%반등,61.8,-13.9,13.5,34.9,-17.8,True,3,약세,-7,-7,0,0,-16.7,10.5,1384.18,,-5.48,1180.0,1180.0,1180.0,10,10,1.0,77.8,70.8,039830,141556,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,444.8,309.7,43.6,CFS,영업이익,dart_OperatingIncomeLoss,197.0,202.6,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,141.9,97.3,45.9,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,2,현금창출보통,0.44,default,5,94.8,87.8,57.4,B,WAIT,38.3,9.0,PYKRX,15.0,11.0,7,0.0,15.45,True
