rank,ticker,lowvol_score,n_universe,name,sector,oversold_score,realized_vol,roe_value,return_1w_%,return_1m_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,final_score,top10pct,top20pct,dilution_60d
1,067160,1.875,105,SOOP,출판·SW,58.0,0.025105433521195403,21.81,-2.5,-16.2,-53.2,16.7,-0.7,-21.1,-14.7,-34.1,-57.9,66.0,1,1,
2,487580,1.818,105,폴레드,전기장비,46.5,0.0275552391889588,22.83,0.5,-15.5,-88.1,8.3,-0.5,8.6,0.3,-25.6,-25.2,63.5,1,1,
3,236200,1.768,105,슈프리마,반도체·전자부품,56.6,0.02361343150773981,11.98,-0.2,-12.5,-20.2,11.1,1.0,12.8,-3.3,-6.3,34.2,74.6,1,1,
4,053980,1.709,105,오상자이엘,출판·SW,60.0,0.020810580452070356,9.53,-4.4,-8.8,-37.8,8.9,-0.7,-4.2,0.0,0.0,-32.3,46.0,1,1,
5,376300,1.699,105,디어유,출판·SW,46.0,0.019982581302419672,8.88,-1.2,-11.2,-65.5,12.1,2.9,-5.3,-9.9,-26.8,,57.0,1,1,
6,241520,1.692,105,DSC인베스트먼트,금융(은행),41.9,0.02940905962308958,13.73,0.1,-3.4,-59.4,11.9,1.0,-0.6,0.6,0.9,118.6,65.9,1,1,
7,079940,1.69,105,가비아,출판·SW,41.6,0.022388999571437876,9.08,1.5,-0.3,-10.1,32.9,-498.4,-465.2,498.0,475.0,55.2,76.6,1,1,
8,039200,1.685,105,오스코텍,제약·바이오,58.8,0.03483993744927221,28.87,-4.6,-10.1,-47.1,48.3,-4.0,85.0,-2.1,-118.3,6220.5,66.8,1,1,
9,041830,1.662,105,인바디,의료·정밀·광학,66.9,0.026190705108216108,10.17,-5.7,-14.5,-21.6,50.8,22.8,-19.8,-27.9,37.4,70.7,70.9,1,1,
10,140860,1.636,105,파크시스템스,의료·정밀·광학,49.4,0.03319492433391771,15.32,-4.0,-13.4,-28.1,74.9,130.3,260.4,-150.8,-284.8,-64.8,65.4,1,1,
11,050890,1.624,105,쏠리드,반도체·전자부품,49.4,0.028521231927566993,10.36,0.9,-16.1,-58.9,51.9,-45.4,-58.6,15.2,-15.1,-14.6,79.4,0,1,
12,240550,1.576,105,동방메디컬,의료·정밀·광학,58.9,0.02975908929681903,9.69,-6.7,-16.5,-51.2,6.4,0.9,-5.9,-2.6,2.3,-3.9,32.9,0,1,
13,083500,1.548,105,에프엔에스테크,기계·장비,47.5,0.032132133313417265,10.37,0.3,-14.6,-53.9,8.2,-0.7,6.0,-3.5,-12.7,-17.2,60.5,0,1,
14,195940,1.545,105,HK이노엔,제약·바이오,54.4,0.025711304990186926,5.7,-3.2,-2.3,-30.5,53.7,-24.5,-161.5,2.6,152.8,,59.4,0,1,
15,138360,1.501,105,앤로보틱스,기계·장비,44.0,0.0359017603718588,12.25,-3.1,-16.0,-66.3,17.3,-1.6,-4.7,0.0,0.1,97.0,62.0,0,1,
16,102710,1.482,105,이엔에프테크놀로지,화학,63.5,0.035327820699697456,11.6,-1.4,-19.9,-36.4,34.2,24.0,44.2,-82.7,-132.7,16.0,90.5,0,1,
17,095500,1.477,105,미래나노텍,고무·플라스틱,54.1,0.025119044352167934,4.62,-2.5,-10.2,-52.8,5.8,-1.0,0.1,-0.3,0.8,-57.4,47.1,0,1,
18,254490,1.473,105,미래반도체,도매,42.5,0.03795963045260501,12.82,-1.5,-18.6,-68.5,11.3,-0.3,-3.3,0.0,-2.5,645.5,40.5,0,1,
19,475430,1.449,105,키스트론,전기장비,46.2,0.02631861659577505,5.18,-0.4,-8.9,-46.9,8.2,-1.1,-1.1,0.0,0.0,50.6,80.2,0,1,
20,213420,1.425,105,덕산네오룩스,반도체·전자부품,47.6,0.03874546791739494,11.77,-4.3,-11.7,-46.2,64.8,142.4,137.0,-202.2,-253.8,80.0,78.6,0,1,
21,214150,1.418,105,클래시스,의료·정밀·광학,50.4,0.04291308466574005,23.77,0.8,-26.8,-58.7,119.3,-6.1,-305.2,-2.2,-112.5,2.2,82.4,0,1,
22,038290,1.417,105,마크로젠,전문서비스,52.2,0.018554572545532198,1.29,-2.4,-4.8,-42.6,5.1,-1.0,3.0,0.1,-1.5,145.7,70.2,0,0,
23,114840,1.408,105,아이패밀리에스씨,화학,49.9,0.042343786506950636,20.75,-6.6,-11.0,-67.9,5.5,-1.9,-13.6,-1.7,7.9,,42.9,0,0,
24,319660,1.388,105,피에스케이,기계·장비,46.0,0.04077633984175875,14.58,-2.8,-7.4,-44.0,412.9,-741.2,254.9,637.1,-153.3,324.2,79.0,0,0,
25,038500,1.382,105,삼표시멘트,비금속광물(시멘트·유리),57.6,0.03008822378907781,5.19,-2.5,-15.2,-70.1,26.7,-4.3,15.9,-1.5,-18.5,-58.9,57.6,0,0,
26,018290,1.38,105,브이티,화학,66.8,0.04446288817437442,24.69,-5.5,-20.5,-68.0,30.6,-22.6,-61.2,-8.9,-24.4,-63.3,67.8,0,0,
27,222080,1.355,105,SFA넥셀,기계·장비,53.3,0.033349275194797544,5.65,-0.7,-6.7,-62.3,33.9,2.7,-6.2,-9.1,-33.2,890.9,86.3,0,0,
28,060280,1.342,105,큐렉소,소매,69.8,0.028317228017661945,2.86,-1.4,-14.5,-64.4,15.7,-8.3,-4.8,-5.1,-26.7,1286.0,72.8,0,0,
29,063080,1.334,105,컴투스홀딩스,출판·SW,40.0,0.02991856317358152,4.32,-3.7,-5.7,-55.8,5.0,-0.4,-2.0,-0.1,8.2,-139.8,16.0,0,0,
30,257720,1.333,105,실리콘투,도매,50.3,0.04836239474753768,39.51,-9.4,-3.9,-22.5,867.0,278.9,2350.0,-587.1,-1846.8,,46.3,0,0,유상증자 08/18
31,037460,1.331,105,삼지전자,반도체·전자부품,40.0,0.04418523154059218,15.45,3.2,-21.8,-52.0,22.7,-6.1,-38.3,9.4,72.8,442.0,65.0,0,0,
32,001540,1.296,105,안국약품,제약·바이오,61.2,0.03236783220066004,4.52,-3.1,-19.4,-25.6,7.3,-4.5,-11.9,-0.6,-4.6,74.0,59.2,0,0,
33,092730,1.254,105,네오팜,화학,52.0,0.04574543755840943,14.24,-5.9,-14.3,-16.9,17.3,3.5,-31.5,-2.2,51.7,39.6,76.0,0,0,
34,368770,1.246,105,파이버프로,의료·정밀·광학,50.2,0.04847880294171595,20.39,3.9,-7.7,-59.2,19.2,3.1,-20.6,0.2,1.5,30.0,77.2,0,0,
35,038680,1.229,105,에스넷,IT서비스,62.6,0.035213583263296724,4.35,-4.1,-0.7,-40.0,9.7,-3.2,2.4,0.0,0.0,79.9,60.6,0,0,
36,060250,1.226,105,NHN KCP,금융보조,40.8,0.047688937369152654,15.3,-8.1,-2.4,-43.2,88.2,-22.6,-87.4,4.8,59.1,,41.8,0,0,
37,281740,1.222,105,레이크머티리얼즈,화학,68.4,0.03910248441804202,5.71,-1.4,-17.9,-62.0,43.2,-8.9,-32.2,-23.9,-87.9,40.0,98.4,0,0,
38,019210,1.203,105,와이지-원,금속가공,60.3,0.040392855828732095,6.41,-7.3,-26.8,-53.6,127.8,-12.1,-100.1,10.3,-51.1,206.8,83.3,0,0,
39,439090,1.194,105,마녀공장,화학,43.3,0.04108106383130937,7.44,2.4,-16.3,-22.8,35.8,-8.5,14.3,-2.6,2.8,-15.4,51.3,0,0,
40,277810,1.189,105,레인보우로보틱스,기계·장비,43.6,0.03120184113051663,1.06,-5.0,-11.0,-55.5,387.3,-77.8,257.1,-290.0,-691.1,1.4,49.6,0,0,
41,039440,1.183,105,에스티아이,기계·장비,44.0,0.03957833778342014,5.57,-1.6,-20.3,-55.7,15.0,-4.8,-11.5,-3.4,-5.0,-46.2,44.0,0,0,
42,362320,1.18,105,청담글로벌,도매,53.3,0.03343544465979563,2.18,3.2,-17.5,-53.8,5.4,-1.5,-1.3,0.0,0.0,-53.2,60.3,0,0,
43,123330,1.152,105,제닉,화학,48.8,0.0652127360288788,46.02,-18.0,-19.7,-32.8,117.0,8.1,27.5,-88.8,-100.0,,49.8,0,0,
44,099190,1.142,105,아이센스,의료·정밀·광학,63.4,0.023513493373614667,0.0,0.5,-10.4,-40.0,7.5,-1.2,3.6,-8.8,-9.3,41.8,69.4,0,0,
45,372320,1.094,105,큐로셀,지주·전문서비스,63.8,0.0259880761054277,0.0,-5.0,-12.6,-65.4,5.3,-0.9,-9.8,-4.2,-4.8,19.8,54.8,0,0,
46,319400,1.089,105,현대무벡스,기계·장비,51.8,0.044405084938313265,7.08,-1.8,-13.7,-57.0,316.2,-11.4,-166.4,-19.7,-125.6,-28.2,37.8,0,0,
