rank,ticker,lowvol_score,n_universe,name,sector,oversold_score,realized_vol,roe_value,return_1w_%,return_1m_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,final_score,top10pct,top20pct,dilution_60d
1,035900,2.618,100,JYP Ent.,미디어·엔터,63.9,0.012158488893834848,25.87,-4.1,-4.3,-57.3,70.3,-55.0,-108.6,35.2,41.3,-41.4,50.9,1,1,
2,080160,2.533,100,모두투어,사업지원,63.7,0.024854901555885166,16.45,-13.7,-5.8,-51.6,10.7,-24.4,-34.3,0.2,0.1,-131.8,55.7,1,1,
3,200670,2.476,100,휴메딕스,제약·바이오,68.2,0.01661860220657315,18.59,-3.8,-3.2,-66.5,8.0,-4.2,-20.3,0.0,-5.4,8.2,42.2,1,1,
4,030520,2.426,100,한컴,출판·SW,57.3,0.017858680011204983,9.29,-5.5,-4.1,-40.5,22.0,-18.0,-16.3,-1.5,-18.7,-12.6,46.3,1,1,
5,214150,2.392,100,클래시스,의료·정밀·광학,63.1,0.01968352321794996,23.77,-3.2,-8.1,-60.4,70.0,-6.1,-27.6,-2.2,-52.2,2.2,73.1,1,1,
6,041830,2.355,100,인바디,의료·정밀·광학,63.4,0.023846903837319553,10.17,-7.1,-12.4,-25.0,48.0,17.9,32.2,-20.9,54.6,70.7,69.4,1,1,
7,015750,2.297,100,성우하이텍,자동차·부품,45.5,0.015866891345794974,9.95,-3.2,-2.8,-51.5,10.8,-2.9,9.1,-1.4,-11.0,-0.5,44.5,1,1,
8,036620,2.288,100,감성코퍼레이션,도매,54.6,0.01830743225916548,26.06,-2.1,-4.4,-52.3,10.2,-4.5,-3.4,-1.7,-27.1,4.1,64.6,1,1,
9,213420,2.23,100,덕산네오룩스,반도체·전자부품,69.2,0.03226964595323839,11.77,-6.3,-9.1,-49.7,64.4,-16.6,122.1,-39.4,-265.0,80.0,76.2,1,1,
10,253450,2.228,100,스튜디오드래곤,미디어·엔터,69.0,0.018114103449014162,1.29,-7.1,-5.1,-59.7,13.5,-1.3,4.4,-5.5,-14.2,629.8,71.0,1,1,
