rank,ticker,mom_score,n_universe,name,sector,oversold_score,vs_SMA20_%,return_1m_%,vol_1w_vs_1m_ratio,return_1w_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,lv_a_rank,v3_bucket,v3_grade,top10pct,top20pct,dilution_60d
1,420570,2.697,122,제이투케이바이오,화학,41.2,-2.3,5.6,1.97,11.3,-28.1,7.9,1.6,4.8,0.2,3.1,285.6,96.0,WAIT,B,1,1,
2,365340,2.434,122,성일하이텍,화학,66.1,-3.3,6.8,1.15,0.7,-58.9,13.2,-7.8,-17.1,-4.5,-8.4,136.3,86.0,EXCLUDE,EXCLUDE,1,1,
3,259630,2.398,122,엠플러스,기계·장비,51.5,-2.6,2.0,0.99,0.7,-55.0,5.3,1.7,-4.1,0.0,0.2,-67.0,37.0,WATCH,WATCH,1,1,
4,014940,2.369,122,오리엔탈정공,기계·장비,46.8,-2.5,-1.0,1.61,-1.0,-65.0,5.8,-0.7,7.2,0.0,0.2,41.4,22.0,OBSERVE,B,1,1,
5,047920,2.357,122,HLB제약,지주·전문서비스,40.1,4.0,-6.1,1.73,14.8,-66.9,21.0,9.5,-9.7,-12.0,-34.8,98.3,115.0,WATCH,WATCH,1,1,
6,380550,2.348,122,뉴로핏,출판·SW,57.9,-1.7,-5.3,2.94,5.3,-80.4,6.8,-8.9,-8.6,-6.6,-9.4,-55.3,88.0,EXCLUDE,EXCLUDE,1,1,
7,418420,2.307,122,라온텍,반도체·전자부품,42.7,0.4,9.6,0.49,2.7,-67.7,9.9,0.6,-3.6,0.0,0.5,-1079.8,102.0,EXCLUDE,EXCLUDE,1,1,
8,052020,2.27,122,에스티큐브,도매,45.2,-3.0,-1.2,1.74,-3.3,-65.7,10.5,-4.0,-18.1,0.0,0.0,-10.2,64.0,EXCLUDE,EXCLUDE,1,1,
9,214180,2.27,122,헥토이노베이션,IT서비스,50.2,-2.6,-0.6,1.0,-2.8,-45.4,8.0,-2.4,-5.4,0.3,0.2,-4.0,17.0,WAIT,B,1,1,
10,461300,2.201,122,아이스크림미디어,출판·SW,59.9,-2.9,1.5,0.78,-3.3,-32.6,5.3,-1.5,5.1,5.2,22.1,34.4,3.0,OBSERVE,B,1,1,
11,025320,2.168,122,시노펙스,반도체·전자부품,42.0,-1.1,-2.4,0.76,1.3,-53.9,11.6,0.8,9.0,-1.0,-16.0,-133.5,46.0,WATCH,WATCH,1,1,
12,460930,2.143,122,현대힘스,조선·기타운송,45.9,-2.3,-1.9,0.78,-0.8,-60.7,19.4,4.8,13.6,-0.3,-4.8,47.5,43.0,OBSERVE,B,1,1,
13,030520,2.127,122,한컴,출판·SW,56.7,-3.4,-2.0,1.39,-3.0,-39.7,22.1,-20.6,-9.9,-0.2,-19.6,-12.6,8.0,OBSERVE,B,0,1,
14,200670,2.119,122,휴메딕스,제약·바이오,67.6,-3.7,-1.4,1.5,-3.3,-65.8,7.9,-4.9,-19.7,-1.1,-5.4,8.2,4.0,OBSERVE,B,0,1,
15,067160,2.115,122,SOOP,출판·SW,64.7,-2.7,-2.4,0.99,-0.7,-53.6,11.5,-0.7,10.1,-14.7,-27.2,-57.9,12.0,OBSERVE,B,0,1,
16,015750,2.111,122,성우하이텍,자동차·부품,47.8,-2.3,-0.8,0.72,-2.3,-51.1,10.7,-2.3,12.3,0.8,-10.4,-0.5,10.0,OBSERVE,B,0,1,
17,0088M0,2.102,122,메쥬,의료·정밀·광학,42.6,-3.5,1.2,0.8,0.9,-83.4,7.9,-7.1,-4.9,1.9,-5.5,64.7,35.0,EXCLUDE,EXCLUDE,0,1,
18,068760,2.094,122,셀트리온제약,제약·바이오,62.5,-2.8,-5.2,1.51,0.8,-49.7,30.6,-23.1,-40.3,6.9,-39.5,24.4,30.0,WAIT,B,0,1,
19,253450,2.09,122,스튜디오드래곤,미디어·엔터,60.4,-2.5,-0.7,0.75,-2.8,-58.4,13.6,-1.3,1.8,-5.5,-13.8,629.8,28.0,WATCH,WATCH,0,1,
20,323990,2.074,122,박셀바이오,지주·전문서비스,55.1,-0.8,8.5,0.37,-1.6,-62.2,10.5,-0.9,-1.5,0.0,0.0,-22.4,98.0,EXCLUDE,EXCLUDE,0,1,
21,243840,2.066,122,신흥에스이씨,전기장비,50.4,-2.4,15.2,0.45,0.5,-54.6,14.2,-1.0,-39.1,0.2,1.5,142.9,103.0,OBSERVE,B,0,1,
22,035900,2.061,122,JYP Ent.,미디어·엔터,60.8,-2.1,-0.9,0.67,-2.2,-56.6,70.1,-55.0,-100.2,35.2,18.4,-41.4,2.0,OBSERVE,B,0,1,
23,080160,2.061,122,모두투어,사업지원,49.2,-5.0,0.3,1.4,-10.9,-49.9,10.3,-18.4,-28.6,0.0,0.1,-131.8,1.0,OBSERVE,B,0,1,
24,036830,2.049,122,솔브레인홀딩스,엔지니어링,63.0,-5.0,6.2,0.84,-1.6,-50.1,27.8,-13.8,-48.9,8.1,0.2,371.1,42.0,WATCH,WATCH,0,1,
25,242040,2.029,122,나무AX,출판·SW,42.2,-2.2,-6.6,0.9,0.3,-72.7,6.3,2.0,0.7,0.0,0.0,128.1,60.0,WATCH,WATCH,0,0,
26,085660,2.012,122,차바이오텍,제약·바이오,41.1,-0.6,-2.4,0.63,1.8,-66.5,24.1,-8.9,-40.1,3.0,-20.6,-35.8,70.0,EXCLUDE,EXCLUDE,0,0,
27,225570,1.988,122,넥슨게임즈,출판·SW,48.8,-4.1,19.6,0.64,-6.6,-29.6,23.8,-35.3,-33.2,37.5,94.8,148.9,58.0,EXCLUDE,EXCLUDE,0,0,
28,338220,1.963,122,뷰노,출판·SW,46.3,-0.8,-24.5,2.22,20.1,-80.8,5.5,5.8,7.7,-11.7,-20.0,-2383.6,121.0,EXCLUDE,EXCLUDE,0,0,유상증자 08/28
29,900290,1.947,122,GRT,금융(은행),57.1,-4.4,6.7,0.68,0.0,-51.0,11.9,-1.3,-13.4,0.0,-3.8,-16.5,84.0,WATCH,WATCH,0,0,
30,298830,1.939,122,슈어소프트테크,출판·SW,63.2,-4.2,-0.5,0.82,-4.3,-62.1,6.5,-3.5,-6.8,0.0,-0.1,1363.0,9.0,OBSERVE,B,0,0,
