ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,dart_status,annual_year,annual_latest_억,annual_prev_억,annual_yoy_%,annual_fs_div,annual_op_account_nm,annual_op_account_id,ocf_latest_억,ocf_prev_억,ocf_account_nm,ocf_account_id,dart_annual_status,dart_annual_message,dart_ocf_status,dart_ocf_message,q_period,q_basis,q_latest_억,q_prev_억,quarterly_yoy_%,q_latest_key,q_prev_key,q_fs_div,q_source_api,q_op_account_nm,q_op_account_id,dart_q_status,dart_q_message,earnings_pattern,fundamental_score,ocf_score,ocf_pattern,ocf_to_op_ratio,ocf_threshold_group,momentum_score,stock_score,final_score,final_score_v3,grade,bucket,entry_score,value_score,value_source,quality_score,turnaround_score,reversal_score,supply_score_v2,oversold_component,main_candidate,market,dilution_60d
009200,무림페이퍼,펄프·종이,1494,38.6,21.0,33.0,-44.4,18.9,-0.8,-1.7,10.1,-1.0,-0.3,-16.2,13.3,2685,1256,10,True,False,True,288217,93679,19.3,4.3,1.4,3.08,7,False,True,False,True,5일선회복/거래량동반양봉,54.8,0.3,-0.0,0.5,-0.0,True,3,강세,-3,0,0,-3,12.5,4.8,1355.98,,-1.79,-14223.0,-14223.0,-14223.0,10,10,1.0,74.8,71.8,009200,136086,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,59.5,893.9,-93.3,CFS,영업이익,dart_OperatingIncomeLoss,189.6,1821.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,280.3,98.4,184.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,3.19,default,1,100.8,97.8,78.7,B,WAIT,60.0,10.0,PYKRX,20.0,17.0,8,10.0,13.7,True,kospi,
008060,대덕,금융(은행),14520,35.5,36.7,37.0,-40.4,78.8,2.5,-5.9,-17.3,-2.7,-1.5,1.7,1.5,24350,8120,10,False,True,True,67020,68144,15.0,9.6,10.1,0.98,10,False,True,True,True,5일선회복/+3%반등/거래량동반양봉,48.6,1.1,0.5,16.6,-4.0,True,10,강세,-3,0,0,-3,12.5,4.8,1355.98,,-1.79,-14223.0,-14223.0,-14223.0,10,10,1.0,78.6,75.6,008060,109189,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,113.1,84.2,34.4,CFS,영업이익(손실),dart_OperatingIncomeLoss,887.9,1485.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,674.1,-197.5,441.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,7.85,default,5,98.6,95.6,78.2,B,WAIT,71.3,9.0,PYKRX,18.0,11.0,15,13.0,12.15,True,kospi,
005180,빙그레,식료품,84400,30.7,33.1,18.9,-12.1,37.2,-3.0,-4.1,36.3,-4.7,8.1,12.6,0.52,96000,61500,5,False,False,True,32361,75252,31.0,27.5,67.4,0.43,4,False,False,False,True,거래량동반양봉,48.3,42.3,-21.6,162.4,60.2,True,3,강세,-3,0,0,-3,12.5,4.8,1355.98,,-1.79,-14223.0,-14223.0,-14223.0,10,10,1.0,60.3,57.3,005180,124726,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,883.6,1312.8,-32.7,CFS,영업이익,dart_OperatingIncomeLoss,1143.2,1471.4,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,697.3,268.3,159.9,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.29,default,-3,82.3,79.3,71.1,B,WAIT,57.5,3.0,PYKRX,20.0,17.0,4,15.0,12.075,True,kospi,
068290,삼성출판사,출판·SW,6190,36.8,34.4,17.5,-66.9,12.5,-1.6,-1.1,5.5,-1.6,-1.1,-26.6,0.83,18710,5500,0,False,False,False,6611,8040,0.4,0.4,0.5,0.82,0,False,False,False,False,-,53.4,-0.2,0.6,-1.5,1.5,True,3,강세,-3,0,0,-3,12.5,4.8,1355.98,,-1.79,-14223.0,-14223.0,-14223.0,10,10,1.0,56.4,53.4,068290,423690,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,-8.0,-1.8,-338.5,OFS,영업이익(손실),dart_OperatingIncomeLoss,18.8,30.6,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,-2.1,-5.0,56.9,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,0,회계손실현금유입,,default,-1,75.4,72.4,70.4,C,OBSERVE,41.9,15.0,PYKRX,10.0,17.0,0,15.0,13.35,True,kospi,
280360,롯데웰푸드,식료품,124500,18.5,2.4,1.0,-19.7,38.3,-8.3,-4.3,33.4,-10.3,1.5,7.0,0.27,155000,90000,0,False,False,False,20552,35985,11.9,26.5,50.6,0.57,0,False,False,False,False,-,64.6,36.9,-16.7,-47.0,175.2,True,3,강세,-3,0,0,-3,12.5,4.8,1355.98,,-1.79,-14223.0,-14223.0,-14223.0,10,10,1.0,67.6,64.6,280360,1258507,0,2,0,0,,[20260428] [기재정정]주요사항보고서(감자결정) (20260428000814) || [20260304] 주요사항보고서(감자결정) (20260304000890),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260428000814 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260304000890,,,,20260428000814 || 20260304000890,주의,SAFE,2025.0,1095.2,1571.0,-30.3,CFS,영업이익(손실),dart_OperatingIncomeLoss,2311.0,2855.7,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,647.1,343.3,88.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.11,default,-3,89.6,86.6,67.2,WATCH,WATCH,50.7,9.0,PYKRX,20.0,17.0,0,15.0,16.15,False,kospi,
016090,대현,의복,1410,24.3,29.6,28.1,-25.8,3.0,-0.4,-4.7,-3.4,-1.7,-3.6,-12.7,0.34,1900,1369,5,False,False,True,39856,68919,0.3,0.6,1.0,0.58,3,False,True,False,False,5일선회복,51.5,-1.3,0.0,-2.8,0.1,True,0,강세,-3,0,0,-3,12.5,4.8,1355.98,,-1.79,-14223.0,-14223.0,-14223.0,10,10,1.0,59.5,56.5,016090,113614,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,70.8,143.7,-50.8,OFS,영업이익,dart_OperatingIncomeLoss,260.9,156.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,18.3,10.7,71.5,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,3.69,default,2,86.5,83.5,66.9,B,WAIT,33.8,20.0,PYKRX,20.0,17.0,7,-10.0,12.875,True,kospi,
483650,달바글로벌,화학,178500,33.7,42.4,37.2,-36.9,53.6,9.2,-23.2,-14.0,-5.9,-16.9,-4.5,0.89,283000,116200,10,False,True,True,201032,157004,252.4,354.7,296.0,1.28,6,False,True,True,False,5일선회복/+3%반등,55.9,-51.1,157.6,452.5,-1018.6,True,8,강세,-3,0,0,-3,12.5,4.8,1355.98,,-1.79,-14223.0,-14223.0,-14223.0,10,10,1.0,79.9,76.9,483650,1649204,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,1014.7,598.4,69.6,CFS,영업이익,dart_OperatingIncomeLoss,684.8,158.1,Ⅰ. 영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,472.4,292.3,61.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,2,현금창출보통,0.67,default,7,98.9,95.9,66.0,B,WAIT,63.9,0.0,PYKRX,15.0,11.0,11,15.0,13.975,True,kospi,
078520,에이블씨엔씨,화학,10700,33.2,45.7,42.1,-36.3,22.8,6.9,-6.6,12.6,-2.6,-2.5,-5.5,0.67,16790,8710,5,False,True,False,95485,112390,7.6,10.1,12.8,0.85,6,False,True,True,False,5일선회복/+3%반등,46.2,2.5,12.7,-2.1,11.6,True,10,강세,-3,0,0,-3,12.5,4.8,1355.98,,-1.79,-14223.0,-14223.0,-14223.0,10,10,1.0,67.2,64.2,078520,400857,0,0,1,0,,,[20251211] 매매거래정지및정지해제(중요내용공시)               (20251211800767),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251211800767,,,,안전,SAFE,2025.0,179.5,181.9,-1.3,CFS,영업이익,dart_OperatingIncomeLoss,356.5,53.0,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,104.1,68.3,52.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,관망,0,5,현금창출양호,1.99,default,5,77.2,74.2,65.6,B,WAIT,63.0,3.0,PYKRX,20.0,5.0,11,15.0,11.55,True,kospi,
003680,한성기업,식료품,4570,42.4,2.4,-1.0,-73.6,16.7,-2.6,-9.1,1.3,-4.4,-25.9,-15.0,0.78,17340,3915,0,False,False,False,57058,101514,3.4,2.7,4.9,0.56,0,False,False,False,False,-,61.0,-0.4,-0.0,-4.8,0.7,True,0,강세,-3,0,0,-3,12.5,4.8,1355.98,,-1.79,-14223.0,-14223.0,-14223.0,10,10,1.0,61.0,58.0,003680,161860,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,58.3,110.0,-47.0,OFS,영업이익,dart_OperatingIncomeLoss,86.8,188.7,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,36.9,30.2,22.0,thstrm_amount,frmtrm_q_amount,OFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.49,default,0,86.0,83.0,64.2,B,OBSERVE,32.5,12.0,PYKRX,20.0,17.0,0,0.0,15.25,True,kospi,
001460,BYC,의복,35650,38.0,9.5,-2.7,-50.1,22.3,-3.8,-4.9,11.4,-4.9,-0.4,-15.4,1.34,71500,29150,5,True,False,False,4421,2468,1.2,1.6,0.9,1.79,0,False,False,False,False,-,67.2,1.8,0.7,1.6,2.1,True,10,강세,-3,0,0,-3,12.5,4.8,1355.98,,-1.79,-14223.0,-14223.0,-14223.0,10,10,1.0,82.2,79.2,001460,122579,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,265.7,238.3,11.5,CFS,영업이익,dart_OperatingIncomeLoss,342.3,282.2,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,29.9,27.8,7.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.29,default,-3,94.2,91.2,63.8,B,OBSERVE,43.2,6.0,PYKRX,20.0,6.0,0,15.0,16.8,True,kospi,
