ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,dart_status,annual_year,annual_latest_억,annual_prev_억,annual_yoy_%,annual_fs_div,annual_op_account_nm,annual_op_account_id,ocf_latest_억,ocf_prev_억,ocf_account_nm,ocf_account_id,dart_annual_status,dart_annual_message,dart_ocf_status,dart_ocf_message,q_period,q_basis,q_latest_억,q_prev_억,quarterly_yoy_%,q_latest_key,q_prev_key,q_fs_div,q_source_api,q_op_account_nm,q_op_account_id,dart_q_status,dart_q_message,earnings_pattern,fundamental_score,ocf_score,ocf_pattern,ocf_to_op_ratio,ocf_threshold_group,momentum_score,stock_score,final_score,final_score_v3,grade,bucket,entry_score,value_score,value_source,quality_score,turnaround_score,reversal_score,supply_score_v2,oversold_component,main_candidate
012160,영흥,,2180,19.0,23.7,21.0,-46.0,70.2,-1.6,-15.7,10.7,-8.5,-7.9,-11.9,0.87,4040,1281,10,False,True,True,41820,42640,0.7,0.9,1.0,0.98,3,False,True,False,False,5일선회복,69.4,0.7,-2.1,1.5,-5.4,True,8,강세,-3,0,0,-3,8.6,3.9,1387.96,,-0.2,-61999.0,-61999.0,-61999.0,10,10,1.0,90.4,87.4,012160,141477,0,3,1,0,,[20260402] 주식병합결정               (20260402800486) || [20260223] 주요사항보고서(감자결정) (20260223001573) || [20251226] 유상증자또는주식관련사채등의발행결과(자율공시)               (20251226800652),[20260223] 매매거래정지및정지해제(중요내용공시)               (20260223800335),,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260402800486 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260223001573 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20251226800652,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260223800335,,,20260402800486 || 20260223001573 || 20251226800652,주의,SAFE,2025.0,-131.7,30.7,-528.6,CFS,영업이익(손실),dart_OperatingIncomeLoss,414.2,199.5,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,21.7,-23.8,191.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,0,회계손실현금유입,,default,4,114.4,111.4,38.4,WATCH,WATCH,27.1,7.0,PYKRX,10.0,17.0,7,-10.0,17.35,False
010060,OCI홀딩스,,203500,13.4,4.8,22.2,-50.8,144.0,-6.9,-29.8,-20.7,-13.9,-12.0,-1.1,0.57,414000,83400,0,False,False,False,129813,219873,252.9,263.7,520.6,0.59,3,False,True,False,False,5일선회복,81.0,183.9,-214.5,903.1,-1438.8,True,8,강세,-3,0,0,-3,8.6,3.9,1387.96,,-0.2,-61999.0,-61999.0,-61999.0,10,10,1.0,92.0,89.0,010060,148896,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,-576.3,1015.3,-156.8,CFS,영업이익,dart_OperatingIncomeLoss,5538.8,1163.9,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,1080.9,-803.4,234.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,0,회계손실현금유입,,default,2,114.0,111.0,55.0,C,OBSERVE,39.9,1.0,PYKRX,10.0,17.0,7,0.0,20.0,True
002880,디와이에이,,3500,23.4,10.4,20.8,-54.2,3.4,-0.7,-9.7,-6.0,-9.3,-12.8,-25.4,0.46,7650,3385,5,False,True,False,14847,34039,0.6,0.5,1.3,0.44,3,False,True,False,False,5일선회복,71.4,-0.4,0.1,-1.1,0.2,True,3,강세,-3,0,0,-3,8.6,3.9,1387.96,,-0.2,-61999.0,-61999.0,-61999.0,10,10,1.0,82.4,79.4,002880,149804,0,2,0,0,,[20260811] [기재정정]주식병합결정               (20260811800718) || [20260625] 주식병합결정               (20260625800676),,,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260811800718 || https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260625800676,,,,20260811800718 || 20260625800676,주의,SAFE,2025.0,302.1,374.7,-19.4,CFS,영업이익(손실),dart_OperatingIncomeLoss,800.3,40.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,135.0,102.8,31.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.65,default,2,109.4,106.4,42.8,WATCH,WATCH,35.3,1.0,PYKRX,20.0,17.0,7,-10.0,17.85,False
011070,LG이노텍,,531000,27.5,21.7,29.0,-70.3,232.3,-2.2,-9.5,-53.6,-5.5,-9.0,1.7,0.83,1788000,159800,5,False,False,True,139439,239181,1058.1,719.7,1401.1,0.58,7,False,True,False,True,5일선회복/거래량동반양봉,65.2,495.6,-355.7,879.3,-1998.6,True,3,강세,-3,0,0,-3,8.6,3.9,1387.96,,-0.2,-61999.0,-61999.0,-61999.0,10,10,1.0,80.2,77.2,011070,105961,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,6650.1,7060.4,-5.8,CFS,영업이익,dart_OperatingIncomeLoss,13314.0,11100.6,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,2457.5,113.9,2057.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.0,default,4,109.2,106.2,69.3,B,WAIT,60.8,0.0,PYKRX,20.0,17.0,11,5.0,16.3,True
007810,코리아써키트,,52200,29.7,30.6,37.2,-64.8,306.2,2.2,-15.3,-56.2,-3.8,-9.3,-24.3,2.09,148300,12850,5,False,False,True,219269,245593,257.8,112.0,134.8,0.89,6,False,True,True,False,5일선회복/+3%반등,68.2,69.0,-31.8,285.5,-274.5,True,8,강세,-3,0,0,-3,8.6,3.9,1387.96,,-0.2,-61999.0,-61999.0,-61999.0,10,10,1.0,87.2,84.2,007810,152686,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,538.2,-331.5,262.3,CFS,영업이익(손실),dart_OperatingIncomeLoss,391.4,995.3,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,192.9,61.6,213.4,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,0.73,default,6,108.2,105.2,72.0,B,WAIT,65.2,0.0,PYKRX,23.0,11.0,11,10.0,17.05,True
035720,카카오,,33600,27.5,7.9,6.6,-51.8,4.2,-2.6,-13.2,-11.0,-5.0,-7.6,-28.5,0.91,69700,32250,10,False,True,True,1200320,2029975,497.2,407.3,720.8,0.59,0,False,False,False,False,-,79.0,-171.9,-98.9,187.3,-317.4,True,0,강세,-3,0,0,-3,8.6,3.9,1387.96,,-0.2,-61999.0,-61999.0,-61999.0,10,10,1.0,89.0,86.0,035720,258801,0,1,1,0,,[20260211] 주요사항보고서(감자결정) (20260211001067),[20260821] 매매거래정지및정지해제(중요내용공시)               (20260821800086),,,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260211001067,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260821800086,,,20260211001067,주의,SAFE,2025.0,7320.4,4952.8,47.8,CFS,영업이익,dart_OperatingIncomeLoss,14047.6,12504.6,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,2770.2,2039.0,35.9,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.92,default,4,108.0,105.0,36.8,WATCH,WATCH,26.0,0.0,PYKRX,23.0,11.0,3,-10.0,19.75,False
012330,현대모비스,,380500,18.5,1.9,15.2,-53.7,34.5,-8.4,-25.0,-37.8,-11.1,-18.2,-17.6,1.02,822000,283000,0,False,False,False,269648,324352,1276.4,1044.6,1405.3,0.83,0,False,False,False,False,-,81.5,20.5,-467.9,700.7,-4778.1,True,8,강세,-3,0,0,-3,8.6,3.9,1387.96,,-0.2,-61999.0,-61999.0,-61999.0,10,10,1.0,89.5,86.5,012330,164788,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,33574.6,30734.6,9.2,CFS,영업이익(손실),dart_OperatingIncomeLoss,44725.2,42526.9,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,9751.6,8700.0,12.1,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.33,default,2,106.5,103.5,45.0,B,OBSERVE,16.6,6.0,PYKRX,23.0,6.0,0,-10.0,20.0,True
007070,GS리테일,,23400,18.3,10.4,-1.2,-21.9,46.7,-6.6,-12.4,0.6,-8.3,-9.3,0.3,3.16,29950,15950,5,True,False,False,286135,184504,135.1,69.1,46.5,1.55,0,False,False,False,False,-,79.9,1.4,-26.3,69.3,-101.1,True,8,강세,-3,0,0,-3,8.6,3.9,1387.96,,-0.2,-61999.0,-61999.0,-61999.0,10,10,1.0,92.9,89.9,007070,140177,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,2921.2,2561.3,14.1,CFS,영업이익(손실),dart_OperatingIncomeLoss,9385.8,6601.8,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,1094.1,858.4,27.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,3.21,default,-2,105.9,102.9,53.0,B,OBSERVE,20.1,9.0,PYKRX,23.0,11.0,0,-10.0,19.975,True
483650,달바글로벌,,182100,27.4,38.1,37.3,-35.7,56.7,8.7,-19.1,-14.9,-6.6,-15.5,-2.3,2.01,283000,116200,5,False,True,False,188478,153921,574.4,324.1,295.5,1.22,10,False,True,True,True,5일선회복/+3%반등/거래량동반양봉,64.0,-103.7,177.4,572.0,-876.4,True,8,강세,-3,0,0,-3,8.6,3.9,1387.96,,-0.2,-61999.0,-61999.0,-61999.0,10,10,1.0,87.0,84.0,483650,1649204,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,1014.7,598.4,69.6,CFS,영업이익,dart_OperatingIncomeLoss,684.8,158.1,Ⅰ. 영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,472.4,292.3,61.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,2,현금창출보통,0.67,default,6,105.0,102.0,67.0,B,WAIT,66.5,0.0,PYKRX,15.0,11.0,15,10.0,16.0,True
009200,무림페이퍼,,1494,34.3,25.2,23.5,-44.4,18.9,0.5,-3.0,2.3,-1.3,-0.1,-16.5,1.03,2685,1256,15,True,True,True,73101,32910,0.5,1.1,0.5,2.22,0,False,False,False,False,-,54.8,0.3,0.0,0.7,-0.0,True,3,강세,-3,0,0,-3,8.6,3.9,1387.96,,-0.2,-61999.0,-61999.0,-61999.0,10,10,1.0,72.8,69.8,009200,136086,0,0,0,0,,,,,,,,,,,안전,SAFE,2025.0,59.5,893.9,-93.3,CFS,영업이익,dart_OperatingIncomeLoss,189.6,1821.3,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 H1,3개월,280.3,98.4,184.7,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,3.19,default,7,104.8,101.8,78.7,B,OBSERVE,56.0,10.0,PYKRX,20.0,17.0,3,15.0,13.7,True
