rank,ticker,lowvol_score,n_universe,name,sector,oversold_score,realized_vol,roe_value,return_1w_%,return_1m_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,final_score,top10pct,top20pct,dilution_60d
1,462870,1.915,107,시프트업,출판·SW,59.0,0.01275506025646453,20.73,-1.1,-5.5,-27.4,11.1,-8.9,-28.7,7.0,18.3,-58.8,68.0,1,1,
2,030190,1.765,107,NICE평가정보,IT서비스,54.9,0.016898445026565557,16.61,-4.5,3.0,-17.0,19.7,1.6,-31.6,-2.1,39.8,19.2,69.9,1,1,
3,207940,1.709,107,삼성바이오로직스,제약·바이오,62.8,0.01910853326339221,16.52,-1.1,-11.1,-29.6,610.7,-5.4,596.7,-80.3,-868.5,94.8,78.8,1,1,유상증자 08/28
4,035250,1.689,107,강원랜드,예술·스포츠,50.9,0.009350470174802126,7.92,-2.6,0.7,-26.4,34.5,-54.3,-60.0,18.1,59.5,-25.1,46.9,1,1,
5,064400,1.606,107,LG씨엔에스,IT서비스,65.6,0.02062261951964514,15.03,-2.1,-4.6,-54.1,370.3,110.1,234.4,-124.0,-200.0,-9.2,75.6,1,1,
6,194370,1.606,107,제이에스코퍼레이션,가죽·신발,49.7,0.020406264441689165,14.81,-1.6,2.1,-21.0,7.3,-5.8,2.3,0.9,-17.4,100.8,64.7,1,1,CB 06/26
7,068270,1.594,107,셀트리온,제약·바이오,55.5,0.012062947029757154,5.93,1.1,-7.2,-24.7,729.0,-227.0,-766.9,143.6,-1017.8,86.3,85.5,1,1,
8,010690,1.568,107,화신,자동차·부품,46.7,0.02007622090223159,11.68,-0.5,-9.3,-54.2,14.6,0.6,-16.2,0.1,-3.1,-78.1,45.7,1,1,
9,036570,1.549,107,NC,출판·SW,54.1,0.01982285068997381,10.3,1.7,-5.2,-39.2,159.7,38.7,336.1,12.8,-574.3,106.0,92.1,1,1,
10,097520,1.541,107,엠씨넥스,반도체·전자부품,60.7,0.021320239207103783,13.22,0.3,-5.0,-41.6,5.8,0.5,-22.9,-1.1,-1.5,-86.5,75.7,1,1,
11,000270,1.513,107,기아,자동차·부품,66.7,0.021655700791718437,12.31,-3.9,-7.2,-42.8,958.5,-191.8,77.1,-139.3,-1210.9,-4.9,57.7,1,1,
12,097230,1.492,107,HJ중공업,건설,60.8,0.018734186667413086,7.69,-2.6,-11.7,-54.6,32.1,9.4,24.8,-0.6,-5.2,1114.7,79.8,0,1,
13,037710,1.491,107,광주신세계,소매,59.3,0.013935144446639961,5.14,-1.0,-8.7,-41.1,9.2,-0.9,-3.4,-0.7,0.9,18.0,71.3,0,1,
14,064350,1.486,107,현대로템,조선·기타운송,65.3,0.025501118895314482,25.01,-0.5,-10.0,-56.2,407.6,30.3,139.1,-43.3,-767.5,-9.8,89.3,0,1,
15,001800,1.463,107,오리온홀딩스,금융(은행),67.6,0.014944419941119783,4.91,-4.7,-4.9,-19.0,15.1,-18.4,-23.7,5.7,13.5,82.5,74.6,0,1,
16,034230,1.445,107,파라다이스,예술·스포츠,64.9,0.016497360824437125,5.52,-2.6,2.0,-59.7,35.6,-33.4,-40.0,14.1,52.2,-17.0,71.9,0,1,
17,415640,1.444,107,KB발해인프라,금융(은행),42.0,0.014117992975595177,,-2.5,0.5,-9.2,26.2,37.9,114.6,-39.6,-117.1,,48.0,0,1,
18,282330,1.438,107,BGF리테일,소매,61.2,0.024461772169769636,14.87,-5.1,-3.6,-12.1,78.0,-1.4,119.2,-1.4,-28.7,22.2,61.2,0,1,
19,005850,1.438,107,에스엘,자동차·부품,53.0,0.02312311051561961,12.18,-3.4,-6.1,-36.6,35.2,1.3,-46.2,-12.2,-8.5,347.1,57.0,0,1,
20,069620,1.429,107,대웅제약,제약·바이오,67.3,0.02645231611515907,19.47,-1.4,-8.8,-44.7,25.5,-6.5,-24.2,-0.7,-22.8,-219.5,59.3,0,1,
21,000080,1.415,107,하이트진로,음료,65.5,0.012329785540236896,3.71,-2.3,-1.1,-23.3,12.8,-12.1,5.6,-0.9,-3.6,0.7,64.5,0,1,
22,003230,1.383,107,삼양식품,식료품,52.9,0.029402456279709624,31.3,1.4,-7.2,-22.2,732.3,-56.3,323.6,492.3,-37.9,46.7,87.9,0,0,
23,105630,1.38,107,한세실업,의복,44.7,0.021258953283916825,7.79,-2.0,-1.7,-42.7,5.4,-3.8,-2.3,-1.5,-6.9,192.8,69.7,0,0,
24,042660,1.373,107,한화오션,조선·기타운송,47.2,0.028299127214013804,19.9,-2.5,-5.6,-46.1,576.3,-208.2,346.0,-66.2,-257.7,98.0,59.2,0,0,
25,004980,1.369,107,성신양회,비금속광물(시멘트·유리),59.2,0.016336239306135234,4.42,-0.8,1.9,-46.4,6.1,-2.8,6.0,-1.3,-1.2,-15.6,60.2,0,0,
26,018250,1.369,107,애경산업,화학,68.0,0.01528237398274406,3.81,-2.7,-0.8,-41.4,6.0,-2.3,-8.6,-1.1,-1.5,-59.4,27.0,0,0,
27,022100,1.362,107,포스코DX,연구개발,44.3,0.0226204563686354,9.14,-5.4,2.4,-54.1,300.6,-21.9,-135.8,0.1,2109.1,-42.3,39.3,0,0,
28,014830,1.361,107,유니드,화학,64.7,0.020503867641293246,6.03,-2.7,-1.3,-39.8,8.0,-4.4,-15.6,0.6,19.2,-26.1,56.7,0,0,
29,271980,1.335,107,제일약품,제약·바이오,44.7,0.025196282928045564,11.08,0.3,0.1,-47.5,11.9,-0.9,-3.3,0.0,0.0,-250.4,25.7,0,0,
30,003850,1.333,107,보령,제약·바이오,61.6,0.021322213822622962,7.65,-10.3,-9.1,-23.0,10.8,-11.4,-34.3,18.8,15.4,-6.2,60.6,0,0,
31,093050,1.333,107,LF,의복,50.7,0.02104040080158302,5.96,-2.9,-3.6,-18.0,5.0,-10.3,-30.0,11.3,20.5,96.3,67.7,0,0,
32,004000,1.313,107,롯데정밀화학,화학,65.7,0.018639472452572515,4.36,-3.3,0.7,-37.8,22.3,-11.6,1.9,-11.9,-43.5,610.6,79.7,0,0,
33,001250,1.312,107,GS글로벌,도매,68.4,0.015642659489477743,3.66,-3.0,-2.5,-54.8,7.2,-2.5,-8.8,0.0,-0.1,-40.8,59.4,0,0,
34,178920,1.306,107,PI첨단소재,고무·플라스틱,58.4,0.02324049973941323,8.56,-1.5,-5.0,-42.6,5.1,0.1,-0.3,-0.2,1.9,42.1,78.4,0,0,
35,009290,1.303,107,광동제약,제약·바이오,44.0,0.018008232689911363,3.95,-0.9,2.1,-50.9,6.6,-2.8,-4.6,0.3,0.5,-37.8,49.0,0,0,
36,278470,1.299,107,에이피알,화학,52.8,0.036707323628301265,65.2,-1.1,-4.7,-22.5,1115.3,-47.2,377.9,-309.7,-1013.9,134.5,79.8,0,0,
37,015760,1.261,107,한국전력,전력·가스,48.6,0.031047360487346902,17.74,-6.6,-2.8,-55.5,605.3,-525.3,-784.4,-258.8,241.3,-47.2,34.6,0,0,
38,012690,1.246,107,모나리자,펄프·종이,61.4,0.01377182748189163,1.71,-0.7,0.0,-46.2,5.7,-0.8,-1.8,0.0,0.7,156.5,93.4,0,0,
39,251270,1.238,107,넷마블,출판·SW,67.1,0.020056617717793806,4.14,-1.3,-7.3,-49.6,227.7,-3806.6,-3866.3,-16.4,-38.5,-20.7,69.1,0,0,
40,483650,1.196,107,달바글로벌,화학,64.0,0.04125487054919197,41.16,8.7,-19.1,-35.7,295.5,-103.7,572.0,177.4,-876.4,61.6,102.0,0,0,
41,267260,1.168,107,HD현대일렉트릭,전기장비,41.1,0.042299453143435695,36.11,-2.7,-2.5,-49.2,923.6,-500.6,-215.6,236.1,69.7,37.2,58.1,0,0,
42,002140,1.165,107,고려산업,식료품,64.3,0.027433995111013892,8.07,-3.7,-4.6,-39.9,11.5,1.9,0.0,0.0,-0.2,7.6,68.3,0,0,
43,031430,1.142,107,신세계인터내셔날,소매,47.7,0.015356672991141906,0.51,-0.6,2.0,-38.8,6.4,-10.5,-9.0,5.1,-18.0,198.2,69.7,0,0,
