rank,ticker,lowvol_score,n_universe,name,sector,oversold_score,realized_vol,roe_value,return_1w_%,return_1m_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,final_score,top10pct,top20pct,dilution_60d
1,005690,2.348,102,파미셀,반도체·전자부품,66.9,0.03226469190438567,32.51,-6.4,-8.1,-50.4,124.9,-8.2,-260.0,-0.5,-41.6,62.0,73.9,1,1,
2,017960,2.343,102,한국카본,금속가공,61.4,0.033227894372911855,17.74,-9.6,-3.0,-58.3,64.3,-14.8,-62.9,-21.3,27.3,59.3,68.4,1,1,
3,069620,2.324,102,대웅제약,제약·바이오,54.4,0.03503901505751592,19.47,-9.9,-6.7,-41.8,31.5,-15.9,12.6,-9.0,-72.0,-219.5,33.4,1,1,
4,009240,2.284,102,한샘,도매,53.4,0.02517461011520129,11.66,-5.8,-3.2,-31.8,21.1,-19.4,-55.0,17.1,85.6,400.2,78.4,1,1,
5,003090,2.275,102,대웅,제약·바이오,45.0,0.030069206549638072,15.09,-6.3,-1.2,-44.9,9.9,-2.5,-9.0,0.2,-0.7,-124.1,35.0,1,1,
6,267260,2.196,102,HD현대일렉트릭,전기장비,58.7,0.04594558071326658,36.11,-12.3,-7.5,-50.1,1000.2,-628.1,9.1,-65.6,-664.7,37.2,68.7,1,1,
7,097520,2.152,102,엠씨넥스,반도체·전자부품,62.5,0.030655885397515265,13.22,-5.5,-2.1,-41.4,8.6,-11.9,-48.1,0.0,-0.5,-86.5,59.5,1,1,
8,317450,2.147,102,명인제약,제약·바이오,57.0,0.023162771716592773,12.35,-3.8,2.9,-66.8,9.3,-4.1,-35.3,1.6,18.5,9.8,60.0,1,1,
9,023590,2.113,102,다우기술,IT서비스,43.2,0.02106551883181864,14.66,-2.9,-1.8,-38.5,11.5,-5.9,-1.7,-1.1,4.7,90.4,35.2,1,1,
10,192080,2.098,102,더블유게임즈,출판·SW,42.9,0.01918733072644536,10.81,-3.4,-6.1,-25.2,28.0,6.6,-36.9,-9.9,7.9,217.9,62.9,1,1,
