rank,ticker,mom_score,n_universe,name,sector,oversold_score,vs_SMA20_%,return_1m_%,vol_1w_vs_1m_ratio,return_1w_%,drawdown_52w_high_%,amt_avg_1m_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,quarterly_yoy_%,lv_a_rank,v3_bucket,v3_grade,top10pct,top20pct,dilution_60d
1,415640,2.71,107,KB발해인프라,금융(은행),42.0,-1.4,0.5,2.33,-2.5,-9.2,26.2,37.9,114.6,-39.6,-117.1,,20,OBSERVE,C,1,1,
2,002790,2.678,107,아모레퍼시픽홀딩스,화학,50.3,-1.6,0.6,1.62,1.0,-27.5,27.2,-8.1,25.5,22.2,39.6,97.2,84,WAIT,B,1,1,
3,001040,2.678,107,CJ,금융(은행),45.6,-1.9,3.7,1.1,-0.6,-45.7,154.5,-66.8,47.4,69.5,8.3,-14.1,82,WATCH,WATCH,1,1,
4,031430,2.598,107,신세계인터내셔날,소매,47.7,-0.3,2.0,0.89,-0.6,-38.8,6.4,-10.5,-9.0,5.1,-18.0,198.2,68,OBSERVE,C,1,1,
5,105630,2.584,107,한세실업,의복,44.7,-1.2,-1.7,1.4,-2.0,-42.7,5.4,-3.8,-2.3,-1.5,-6.9,192.8,28,OBSERVE,B,1,1,
6,009290,2.575,107,광동제약,제약·바이오,44.0,-1.0,2.1,0.88,-0.9,-50.9,6.6,-2.8,-4.6,0.3,0.5,-37.8,55,OBSERVE,B,1,1,
7,035250,2.547,107,강원랜드,예술·스포츠,50.9,-1.7,0.7,1.0,-2.6,-26.4,34.5,-54.3,-60.0,18.1,59.5,-25.1,6,OBSERVE,B,1,1,
8,005490,2.285,107,POSCO홀딩스,철강·1차금속,44.5,-2.3,1.2,0.85,-2.5,-39.9,811.5,-148.0,-665.4,257.4,1784.9,34.9,69,OBSERVE,B,1,1,
9,004980,2.257,107,성신양회,비금속광물(시멘트·유리),59.2,-1.6,1.9,0.74,-0.8,-46.4,6.1,-2.8,6.0,-1.3,-1.2,-15.6,48,WAIT,B,1,1,
10,089590,2.234,107,제주항공,운수·물류,42.3,-4.2,5.5,1.21,-7.1,-35.2,10.4,-8.3,11.1,-0.5,13.6,-7.4,67,WATCH,WATCH,1,1,
11,004000,2.201,107,롯데정밀화학,화학,65.7,-3.3,0.7,1.04,-3.3,-37.8,22.3,-11.6,1.9,-11.9,-43.5,610.6,16,OBSERVE,B,1,1,
12,014820,2.192,107,동원시스템즈,고무·플라스틱,48.9,-1.8,3.9,0.65,-0.2,-30.5,8.9,-2.5,-4.0,1.9,8.2,23.7,75,WAIT,B,0,1,
13,051900,2.187,107,LG생활건강,화학,43.9,-2.3,-3.6,1.04,0.9,-12.5,214.1,-108.5,46.6,208.9,249.9,87.5,100,WATCH,WATCH,0,1,
14,036460,2.164,107,한국가스공사,전력·가스,42.5,-2.4,-1.9,0.92,-3.6,-22.0,59.4,0.6,220.6,4.3,-43.5,66.9,37,WAIT,B,0,1,
15,123690,2.154,107,한국화장품,도매,50.2,-1.8,1.9,0.71,-3.6,-51.3,19.2,-2.0,-5.8,0.0,0.0,-79.2,52,OBSERVE,C,0,1,
16,241560,2.15,107,두산밥캣,기계·장비,56.9,-3.8,1.0,1.19,-3.6,-25.5,87.6,-72.0,30.7,4.4,12.5,71.4,30,OBSERVE,C,0,1,
17,194370,2.131,107,제이에스코퍼레이션,가죽·신발,49.7,-2.8,2.1,0.8,-1.6,-21.0,7.3,-5.8,2.3,0.9,-17.4,100.8,18,WATCH,WATCH,0,1,CB 06/26
18,002020,2.089,107,코오롱,금융(은행),49.9,-2.3,-2.0,0.85,-2.6,-71.9,6.1,0.1,-0.6,-0.4,3.4,129.4,90,WATCH,WATCH,0,1,
19,267260,2.079,107,HD현대일렉트릭,전기장비,41.1,-1.8,-2.5,0.78,-2.7,-49.2,923.6,-500.6,-215.6,236.1,69.7,37.2,32,WAIT,B,0,1,
20,066570,2.056,107,LG전자,반도체·전자부품,52.9,-1.9,-1.9,0.77,-0.4,-54.6,1348.6,220.2,293.6,-24.4,605.5,147.0,95,WATCH,WATCH,0,1,
21,298020,2.047,107,효성티앤씨,화학,54.8,-2.6,2.3,0.72,-3.8,-41.1,47.8,28.8,30.9,-35.3,64.1,157.5,44,WAIT,B,0,1,
22,000080,2.033,107,하이트진로,음료,65.5,-2.6,-1.1,0.84,-2.3,-23.3,12.8,-12.1,5.6,-0.9,-3.6,0.7,25,OBSERVE,B,0,0,
23,034230,2.028,107,파라다이스,예술·스포츠,64.9,-2.3,2.0,0.67,-2.6,-59.7,35.6,-33.4,-40.0,14.1,52.2,-17.0,13,OBSERVE,B,0,0,
24,010780,2.028,107,아이에스동서,비금속광물(시멘트·유리),46.2,-1.5,-3.4,0.76,-1.7,-55.0,14.4,-12.5,2.9,2.9,-1.7,-90.5,96,WAIT,B,0,0,
25,001250,2.023,107,GS글로벌,도매,68.4,-2.8,-2.5,0.93,-3.0,-54.8,7.2,-2.5,-8.8,0.0,-0.1,-40.8,22,OBSERVE,B,0,0,
26,462870,1.93,107,시프트업,출판·SW,59.0,-2.9,-5.5,1.07,-1.1,-27.4,11.1,-8.9,-28.7,7.0,18.3,-58.8,8,OBSERVE,B,0,0,
