market,run_id,run_timestamp,ticker,name,sector,price,RSI,Stoch_K,BB_pct,drawdown_52w_high_%,distance_to_52w_low_%,return_1w_%,return_1m_%,return_3m_%,vs_SMA20_%,vs_SMA50_%,vs_SMA200_%,volume_vs_avg,52w_high,52w_low,acc_score,acc_signal_vol,acc_signal_return,acc_signal_candle,avg_volume_1w,avg_volume_1m,amt_today_억,amt_avg_1w_억,amt_avg_1m_억,vol_1w_vs_1m_ratio,trend_score,falling_knife,reversal_above_sma5,reversal_rebound_3pct,reversal_vol_up_candle,trend_details,oversold_score,foreign_5d_억,inst_5d_억,foreign_20d_억,inst_20d_억,supply_fetched,supply_score,market_regime,regime_score,regime_kospi_score,regime_fx_score,regime_flow_score,kospi_vs_sma200_%,kospi_return_1m_%,usdkrw,usdkrw_vs_sma20_%,usdkrw_return_1m_%,foreign_kospi_5d_억,foreign_kospi_5d_raw_억,foreign_kospi_5d_adjusted_억,foreign_proxy_success,foreign_proxy_total,foreign_proxy_coverage,stock_score_stage1,composite_score,stock_code,corp_code,danger_count,warning_count,fp_avoided_count,soft_downgraded_count,danger_details,warning_details,fp_avoided_details,soft_downgraded_details,danger_urls,warning_urls,fp_avoided_urls,soft_downgraded_urls,danger_rcept_nos,warning_rcept_nos,risk_level,annual_year,annual_latest_억,annual_prev_억,annual_yoy_%,annual_fs_div,annual_op_account_nm,annual_op_account_id,ocf_latest_억,ocf_prev_억,ocf_account_nm,ocf_account_id,dart_annual_status,dart_annual_message,dart_ocf_status,dart_ocf_message,q_period,q_basis,q_latest_억,q_prev_억,quarterly_yoy_%,q_latest_key,q_prev_key,q_fs_div,q_source_api,q_op_account_nm,q_op_account_id,dart_q_status,dart_q_message,earnings_pattern,fundamental_score,ocf_score,ocf_pattern,ocf_to_op_ratio,ocf_threshold_group,momentum_score,stock_score,final_score,smartmoney_score,smartmoney_trigger,roe_value,roe_gate,insider_score,insider_source,buyback_cancel_flag,catalyst_score,realized_vol,dart_status,os_count_20d,os_streak,os_is_new20,drop_acuteness,reversal_score,supply_score_v2,supply_intensity,quality_score,turnaround_score,oversold_component,PBR,PER,DIV,BPS,EPS,value_score,value_source,main_candidate,final_score_v3,entry_score,grade,bucket,v30_final_score_v3,v30_grade,v30_bucket,dscore_v3
kospi,20260722,20260722_2033,013580,계룡건설,건설,18740,33.7,9.1,30.2,-43.7,14.7,-0.7,-4.3,-33.5,-8.6,-11.6,-15.5,0.24,33300,16340,5,0,1,0,92308,562847,26.8,17.1,132.5,0.16,7,0,1,0,1,5일선회복/거래량동반양봉,57.0,-7.4,-0.1,-38.4,2.3,1,0,조정,0,-2,0,2,20.7,-25.4,1479.2,,-3.65,29568.0,29568.0,29568.0,10,10,1.0,69.0,69.0,013580,102432,0,0,0,0,,,,,,,,,,,안전,2025.0,1668.7,871.4,91.5,CFS,영업이익(손실),dart_OperatingIncomeLoss,2098.7,-80.3,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,407.9,311.2,31.1,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.26,default,2,86.0,86.0,3.0,0.0,10.64,1.0,0.0,OFF,0.0,0.0,0.06324142193208637,SAFE,7.0,2.0,0.0,0.1627906976744186,11,0.0,-0.057,23.0,11.0,14.25,0.18,1.66,3.74,106029.0,11283.0,20.0,PYKRX,True,68.5,52.4,A,BUY,79.2,A,BUY,-10.7
kospi,20260722,20260722_2033,200880,서연이화,자동차·부품,10560,43.1,23.5,27.1,-42.3,4.3,-0.8,-9.7,-24.7,-2.6,-12.9,-19.6,1.31,18310,10120,10,0,1,1,44955,55019,7.2,4.8,6.0,0.82,3,0,0,1,0,+3%반등,44.5,3.4,-0.5,14.0,-6.2,1,3,조정,0,-2,0,2,20.7,-25.4,1479.2,,-3.65,29568.0,29568.0,29568.0,10,10,1.0,60.5,60.5,200880,1036446,0,0,0,0,,,,,,,,,,,안전,2025.0,1618.0,1544.0,4.8,CFS,영업이익,dart_OperatingIncomeLoss,1640.9,2667.1,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,485.8,386.3,25.8,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,관망,0,5,현금창출양호,1.01,default,2,67.5,67.5,5.0,0.0,5.12,0.0,0.0,OFF,0.0,0.0,0.034425386500479,SAFE,12.0,2.0,0.0,0.08247422680412372,7,15.0,0.483,23.0,5.0,11.125,0.24,4.76,2.37,43348.0,2220.0,20.0,PYKRX,True,82.1,57.2,B,WAIT,81.1,B,WAIT,1.0
kospi,20260722,20260722_2033,102260,동성케미컬,화학,3465,33.9,32.9,31.2,-27.4,5.0,0.9,-5.2,-22.5,-1.4,-8.0,-16.1,0.79,4773,3300,5,0,1,0,98642,127851,3.3,3.4,4.5,0.77,3,0,0,1,0,+3%반등,45.2,2.8,-0.3,6.9,-0.3,1,3,조정,0,-2,0,2,20.7,-25.4,1479.2,,-3.65,29568.0,29568.0,29568.0,10,10,1.0,56.2,56.2,102260,679314,0,0,0,0,,,,,,,,,,,안전,2025.0,27.2,71.9,-62.2,CFS,기타영업외손익,dart_NonOperatingProfitLoss,1130.8,939.0,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,6.4,0.4,1501.2,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,기타영업외손익,dart_NonOperatingProfitLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,41.57,default,5,86.2,86.2,2.0,0.0,7.31,0.0,0.0,OFF,0.0,0.0,0.02092489606588162,SAFE,7.0,0.0,0.0,-0.17307692307692307,7,15.0,0.556,15.0,17.0,11.3,0.38,5.17,4.33,9170.0,670.0,15.0,PYKRX,True,80.4,59.3,B,WAIT,80.3,B,WAIT,0.1
kospi,20260722,20260722_2033,051600,한전KPS,건설,43650,39.2,35.9,30.5,-36.7,4.4,1.0,-8.0,-26.9,-1.9,-11.2,-18.7,1.1,69000,41800,10,0,1,1,89504,116618,55.4,38.8,52.0,0.77,7,0,1,0,1,5일선회복/거래량동반양봉,43.2,18.4,12.0,10.1,50.0,1,10,조정,0,-2,0,2,20.7,-25.4,1479.2,,-3.65,29568.0,29568.0,29568.0,10,10,1.0,70.2,70.2,051600,159218,0,0,0,0,,,,,,,,,,,안전,2025.0,1401.0,2095.0,-33.1,CFS,영업이익(손실),dart_OperatingIncomeLoss,1357.3,5404.7,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,370.2,78.0,374.6,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,0.97,default,7,102.2,102.2,7.0,0.0,9.23,0.0,0.0,OFF,0.0,0.0,0.027506429863147636,SAFE,12.0,2.0,0.0,-0.125,11,15.0,0.585,20.0,17.0,10.8,1.46,15.81,3.78,29906.0,2761.0,3.0,PYKRX,True,76.9,71.1,B,WAIT,76.8,B,WAIT,0.1
kospi,20260722,20260722_2033,439260,대한조선,조선·기타운송,45600,29.8,29.9,26.8,-60.7,8.3,3.1,-21.1,-49.6,-7.1,-22.4,-38.2,0.97,116000,42100,10,0,1,1,60293,71791,30.4,27.1,35.5,0.84,6,0,1,1,0,5일선회복/+3%반등,69.9,13.1,2.3,114.2,-45.7,1,15,조정,0,-2,0,2,20.7,-25.4,1479.2,,-3.65,29568.0,29568.0,29568.0,10,10,1.0,100.9,100.9,439260,182696,0,0,0,0,,,,,,,,,,,안전,2025.0,2941.0,1580.6,86.1,CFS,영업이익,dart_OperatingIncomeLoss,1619.7,1583.0,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,826.4,697.4,18.5,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,2,현금창출보통,0.55,default,7,119.9,119.9,7.0,0.0,25.8,0.0,0.0,OFF,1.0,8.0,0.041443655528447816,SAFE,20.0,21.0,0.0,-0.14691943127962084,11,15.0,0.434,15.0,6.0,17.475,1.61,6.23,0.55,28354.0,7314.0,11.0,PYKRX,True,76.8,61.4,B,WAIT,75.5,B,WAIT,1.3
kospi,20260722,20260722_2033,248070,솔루엠,반도체·전자부품,14540,36.9,43.1,26.2,-40.3,7.4,1.4,-18.5,-25.2,-4.3,-17.7,-16.8,0.49,24350,13540,10,0,1,1,108656,144715,10.1,15.5,22.2,0.75,6,0,1,1,0,5일선회복/+3%반등,54.5,-3.5,11.0,-46.2,30.7,1,8,조정,0,-2,0,2,20.7,-25.4,1479.2,,-3.65,29568.0,29568.0,29568.0,10,10,1.0,78.5,78.5,248070,1159233,0,0,0,0,,,,,,,,,,,안전,2025.0,465.0,690.9,-32.7,CFS,영업이익,dart_OperatingIncomeLoss,546.4,-53.3,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,216.6,114.7,88.8,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.18,default,5,108.5,108.5,5.0,0.0,2.81,0.0,0.0,OFF,0.0,0.0,0.03178047518061929,SAFE,20.0,24.0,0.0,-0.07567567567567567,11,15.0,0.338,20.0,17.0,13.625,1.45,51.74,0.52,9997.0,281.0,0.0,PYKRX,True,76.3,72.0,B,WAIT,76.6,B,WAIT,-0.3
kospi,20260722,20260722_2033,011070,LG이노텍,반도체·전자부품,647000,20.9,17.1,21.6,-63.8,335.7,0.9,-42.7,64.2,-18.3,-31.1,43.3,0.68,1788000,148500,5,0,1,0,199908,313083,1324.2,1294.8,2543.6,0.64,6,0,1,1,0,5일선회복/+3%반등,79.6,685.7,-282.9,8852.2,-6810.2,1,8,조정,0,-2,0,2,20.7,-25.4,1479.2,,-3.65,29568.0,29568.0,29568.0,10,10,1.0,98.6,98.6,011070,105961,0,0,0,0,,,,,,,,,,,안전,2025.0,6650.1,7060.4,-5.8,CFS,영업이익,dart_OperatingIncomeLoss,13314.0,11100.6,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,2953.2,1251.2,136.0,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,2.0,default,5,128.6,128.6,2.0,0.0,5.92,0.0,0.0,OFF,0.0,0.0,0.05492448801781691,SAFE,16.0,3.0,0.0,-0.02107728337236534,11,10.0,0.158,20.0,17.0,19.9,2.66,44.87,0.29,243532.0,14421.0,0.0,PYKRX,True,75.7,67.9,B,WAIT,77.9,B,WAIT,-2.2
kospi,20260722,20260722_2033,034020,두산에너빌리티,기계·장비,69200,27.3,22.7,21.4,-50.3,35.4,-2.4,-26.5,-36.2,-12.1,-26.2,-24.2,0.99,139200,51100,5,0,1,0,2706324,3106417,2077.0,1857.1,2463.5,0.87,3,0,1,0,0,5일선회복,76.5,727.9,-294.7,335.2,385.4,1,8,조정,0,-2,0,2,20.7,-25.4,1479.2,,-3.65,29568.0,29568.0,29568.0,10,10,1.0,92.5,92.5,034020,159616,0,0,0,0,,,,,,,,,,,안전,2025.0,7627.1,10176.0,-25.0,CFS,영업이익,dart_OperatingIncomeLoss,7518.0,2422.0,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,2335.1,1424.8,63.9,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익,dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,0.99,default,4,121.5,121.5,2.0,0.0,1.09,0.0,0.0,OFF,0.0,0.0,0.05050458999551759,SAFE,14.0,3.0,0.0,0.09056603773584905,7,10.0,0.176,20.0,17.0,19.125,5.69,524.24,0.0,12156.0,132.0,0.0,PYKRX,True,74.9,59.6,B,WAIT,73.1,B,WAIT,1.8
kospi,20260722,20260722_2033,015760,한국전력,전력·가스,33900,33.0,25.3,21.4,-51.2,5.9,-0.1,-10.8,-26.1,-6.4,-10.2,-26.3,0.72,69500,32000,5,0,1,0,1539885,1944264,473.3,519.2,706.6,0.79,3,0,1,0,0,5일선회복,63.5,504.1,-322.9,-121.9,756.4,1,8,조정,0,-2,0,2,20.7,-25.4,1479.2,,-3.65,29568.0,29568.0,29568.0,10,10,1.0,79.5,79.5,015760,159193,0,0,0,0,,,,,,,,,,,안전,2025.0,134905.6,83647.1,61.3,CFS,영업이익(손실),dart_OperatingIncomeLoss,208801.5,158761.2,영업활동으로 인한 현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,37841.7,37536.1,0.8,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,성장지속,10,5,현금창출양호,1.55,default,2,96.5,96.5,2.0,0.0,17.74,1.0,0.0,OFF,0.0,0.0,0.030648352833292838,SAFE,10.0,3.0,0.0,0.009259259259259259,7,10.0,0.256,20.0,6.0,15.875,0.45,2.55,4.55,75035.0,13311.0,14.0,PYKRX,True,73.3,51.0,B,WAIT,72.9,B,WAIT,0.4
kospi,20260722,20260722_2033,195870,해성디에스,반도체·전자부품,54100,33.1,28.8,27.7,-50.1,149.9,-4.9,-37.0,-10.6,-10.3,-26.2,-8.8,1.54,108500,21650,0,0,0,0,194152,216097,176.6,107.4,130.4,0.9,3,0,0,1,0,+3%반등,72.3,3.2,15.4,218.0,-260.4,1,15,조정,0,-2,0,2,20.7,-25.4,1479.2,,-3.65,29568.0,29568.0,29568.0,10,10,1.0,90.3,90.3,195870,1032413,0,0,0,0,,,,,,,,,,,안전,2025.0,464.9,568.7,-18.2,CFS,영업이익(손실),dart_OperatingIncomeLoss,669.6,606.2,영업활동현금흐름,ifrs-full_CashFlowsFromUsedInOperatingActivities,ok,연간 영업이익 YoY 계산 성공,ok,OCF 추출 성공,2026 Q1,3개월,109.8,3.5,2995.3,thstrm_amount,frmtrm_q_amount,CFS,fnlttSinglAcntAll,영업이익(손실),dart_OperatingIncomeLoss,ok,3개월 기준 YoY 계산 성공,턴어라운드,20,5,현금창출양호,1.44,default,2,117.3,117.3,4.0,0.0,4.22,0.0,0.0,OFF,0.0,0.0,0.08470957837388213,SAFE,17.0,13.0,0.0,0.13243243243243244,7,8.0,0.143,20.0,17.0,18.075,1.63,38.62,1.66,33198.0,1401.0,0.0,PYKRX,True,72.4,56.9,B,WAIT,70.1,B,WAIT,2.3
