rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
1,415640,KOSPI,3.922,1103,KB발해인프라,금융(은행),,1.29,0.0186,-5.9,20.0,1.5,13.3,27.8,52.1,-25.1,-49.8,1,1,
2,293940,KOSPI,3.897,1103,신한알파리츠,,,0.65,0.0142,-14.4,-5.1,0.8,5.9,-4.1,-9.2,2.5,12.1,1,1,
3,002960,KOSPI,3.882,1103,한국쉘석유,석유정제,,0.65,0.0167,-14.1,16.4,-2.8,7.0,2.0,1.5,-2.2,14.4,1,1,
4,026960,KOSPI,3.864,1103,동서,도매,,2.54,0.0206,-15.8,-4.7,-3.8,14.9,3.3,9.1,-3.7,7.9,1,1,
5,214320,KOSPI,3.859,1103,이노션,엔지니어링,,0.75,0.0151,-14.0,6.0,-4.2,11.1,-2.5,-22.4,-1.1,-4.7,1,1,
6,383800,KOSPI,3.839,1103,LX홀딩스,금융(은행),,0.63,0.0181,-17.0,0.8,6.3,5.6,0.1,2.5,-0.3,0.4,1,1,
7,192400,KOSPI,3.829,1103,쿠쿠홀딩스,금융(은행),,0.98,0.0154,-20.4,-10.7,3.8,6.1,-1.5,1.1,0.3,0.4,1,1,
8,094800,KOSPI,3.815,1103,맵스리얼티,금융(은행),,0.67,0.0308,-9.8,34.6,13.2,6.4,-0.6,-2.8,11.3,54.3,1,1,
9,122900,KOSPI,3.815,1103,아이마켓코리아,도매,,0.27,0.0166,-2.2,-9.3,2.3,6.6,-1.4,1.2,-0.3,4.4,1,1,
10,017940,KOSPI,3.807,1103,E1,도매,,0.67,0.024,-13.3,13.1,12.1,7.7,16.5,18.5,0.3,5.4,1,1,
11,033270,KOSPI,3.805,1103,유나이티드제약,제약·바이오,,0.29,0.0169,-14.8,-11.5,-0.4,5.1,4.8,-1.5,2.7,0.7,1,1,
12,096760,KOSPI,3.797,1103,JW홀딩스,금융(은행),,0.31,0.0218,-6.5,15.1,6.6,5.1,-0.7,-0.6,-0.9,0.7,1,1,
13,453340,KOSPI,3.794,1103,현대그린푸드,소매,,0.61,0.0211,-4.5,22.9,-4.5,6.6,-4.9,-14.7,2.1,7.3,1,1,
14,001800,KOSPI,3.788,1103,오리온홀딩스,금융(은행),,1.54,0.0283,-9.7,34.6,-7.9,17.7,-0.7,-21.3,-3.2,-5.4,1,1,
15,069260,KOSPI,3.769,1103,TKG휴켐스,화학,,0.67,0.0221,-22.4,-10.5,0.1,7.6,-4.0,-3.4,3.6,2.3,1,1,
16,035250,KOSPI,3.764,1103,강원랜드,예술·스포츠,,3.16,0.0147,-24.3,-20.0,0.7,40.9,-6.2,-18.8,10.3,9.6,1,1,
17,093050,KOSPI,3.763,1103,LF,의복,,0.66,0.0249,-14.5,21.8,-0.9,5.5,-3.9,-29.0,2.8,4.3,1,1,
18,030200,KOSPI,3.763,1103,KT,통신,,13.84,0.0227,-20.3,-2.9,3.0,184.2,-6.8,-9.9,-6.7,58.8,1,1,
19,033780,KOSPI,3.76,1103,KT&G,담배,WATCH,17.68,0.0205,-9.9,32.5,-9.8,429.3,-52.5,-125.5,9.4,-310.1,1,1,
20,000080,KOSPI,3.752,1103,하이트진로,음료,,1.09,0.0178,-20.6,-19.2,-2.9,15.3,9.6,36.5,-3.0,-8.0,1,1,
21,004690,KOSPI,3.724,1103,삼천리,전력·가스,,0.48,0.0205,-15.5,-8.3,11.1,10.6,-11.2,-24.0,12.9,15.6,1,1,
22,035600,KOSDAQ,3.722,1103,KG이니시스,출판·SW,,0.28,0.0195,-13.6,-2.8,2.2,5.7,-1.1,6.7,-0.2,-0.2,1,1,
23,136480,KOSDAQ,3.722,1103,하림,식료품,,0.28,0.0139,-21.7,-9.8,-2.4,5.8,-5.5,-6.2,0.0,0.0,1,1,
24,003850,KOSPI,3.721,1103,보령,제약·바이오,OBSERVE,0.75,0.0269,-18.1,6.3,-0.6,8.6,-11.4,-43.0,-0.9,0.6,1,1,
25,009410,KOSPI,3.719,1103,태영건설,건설,,0.51,0.027,-20.0,-13.9,4.8,5.6,-2.6,-5.6,1.5,1.1,1,1,유상증자 08/27
26,323410,KOSPI,3.715,1103,카카오뱅크,금융(은행),,10.52,0.0253,-23.2,-14.5,0.2,159.0,15.2,-45.8,62.2,137.3,1,1,
27,024110,KOSPI,3.715,1103,기업은행,,,16.67,0.0184,-26.8,5.2,0.7,200.5,-60.4,-24.3,125.1,40.3,1,1,
28,005945,KOSPI,3.71,1103,NH투자증권우,,,0.44,0.0199,-19.9,47.0,-6.0,9.3,-2.4,-32.9,-0.9,-15.6,1,1,
29,030000,KOSPI,3.708,1103,제일기획,엔지니어링,,2.19,0.0201,-17.9,-2.6,-0.9,52.5,-17.2,68.3,1.6,-104.5,1,1,
30,006040,KOSPI,3.697,1103,동원산업,금융(은행),,1.67,0.0232,-24.4,-13.8,0.1,17.7,3.8,47.6,6.7,5.7,1,1,
31,003690,KOSPI,3.693,1103,코리안리,보험,,2.58,0.0237,-5.6,38.5,0.6,40.5,-57.3,-8.2,48.0,24.5,1,1,
32,032640,KOSPI,3.692,1103,LG유플러스,통신,,6.4,0.0234,-15.3,-0.4,0.9,128.2,-104.2,-218.9,98.5,244.1,1,1,
33,007310,KOSPI,3.676,1103,오뚜기,식료품,,1.33,0.0231,-23.3,-12.7,-2.8,15.7,5.3,-5.6,5.3,22.0,1,1,
34,001790,KOSPI,3.674,1103,대한제당,식료품,,0.25,0.0308,-8.2,-7.3,5.6,5.0,-1.5,-4.0,10.1,35.3,1,1,
