rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
1,122900,KOSPI,2.95,1053,아이마켓코리아,도매,,0.28,0.0152,0.0,-2.3,4.0,5.4,-1.6,-14.7,0.7,5.3,1,1,
2,293940,KOSPI,2.892,1053,신한알파리츠,,,0.67,0.012,-11.2,-7.1,3.9,5.5,-2.8,-13.6,9.8,19.6,1,1,
3,002960,KOSPI,2.875,1053,한국쉘석유,석유정제,,0.66,0.0149,-12.8,20.7,-0.2,5.5,-1.8,12.4,3.1,-3.7,1,1,
4,330590,KOSPI,2.853,1053,롯데리츠,,,1.17,0.0173,-16.6,-3.1,2.9,5.2,-5.0,-6.8,12.9,31.7,1,1,
5,453340,KOSPI,2.839,1053,현대그린푸드,소매,,0.62,0.0207,-1.7,13.0,0.4,6.6,-3.6,-12.4,4.8,4.7,1,1,
6,033270,KOSPI,2.828,1053,유나이티드제약,제약·바이오,,0.29,0.0158,-16.2,-11.3,-0.7,5.9,-1.8,-2.0,-0.0,6.2,1,1,
7,353810,KOSDAQ,2.788,1053,이지바이오,식료품,,0.21,0.0225,-22.2,5.8,-0.6,5.0,-1.6,-15.1,5.5,10.6,1,1,
8,049430,KOSDAQ,2.786,1053,코메론,의료·정밀·광학,,0.21,0.0244,-0.6,80.5,15.4,6.9,2.0,6.4,14.0,20.9,1,1,
9,034310,KOSPI,2.78,1053,NICE,엔지니어링,WATCH,0.44,0.0211,-22.0,-4.8,-8.7,5.2,-1.5,-12.6,-0.4,19.1,1,1,
10,067920,KOSDAQ,2.755,1053,이글루,IT서비스,,0.07,0.0221,-24.4,-6.8,16.9,5.1,-2.6,-5.5,0.4,0.1,1,1,
11,069260,KOSPI,2.698,1053,TKG휴켐스,화학,,0.66,0.0178,-23.4,-11.0,1.6,6.7,-6.6,-5.2,2.0,8.4,1,1,
12,017890,KOSDAQ,2.69,1053,한국알콜,화학,,0.29,0.033,-7.8,42.6,6.3,5.9,1.5,29.6,-0.2,1.9,1,1,
13,011040,KOSDAQ,2.676,1053,경동제약,제약·바이오,WATCH,0.15,0.0126,-18.5,-15.4,-1.6,8.7,-1.2,-2.9,-0.1,-0.0,1,1,
14,094800,KOSPI,2.675,1053,맵스리얼티,금융(은행),,0.73,0.0206,-1.6,46.1,9.0,10.7,45.6,68.3,4.9,32.0,1,1,
15,004690,KOSPI,2.675,1053,삼천리,전력·가스,,0.47,0.0184,-17.1,0.9,0.6,8.6,-1.5,-17.7,0.2,23.1,1,1,
16,417310,KOSPI,2.656,1053,코람코더원리츠,,,0.1,0.0098,0.0,90.2,5.6,12.7,-1.1,23.2,2.8,5.8,1,1,
