rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
1,199800,KOSDAQ,1.0,1053,툴젠,지주·전문서비스,EXCLUDE,0.29,0.0568,-76.5,10.0,-11.1,7.1,13.4,6.0,-15.3,-23.9,1,1,
2,042700,KOSPI,0.999,1053,한미반도체,기계·장비,,22.78,0.072,-41.6,157.9,14.4,1488.2,22.4,-1823.9,-79.7,3539.2,1,1,
3,185750,KOSPI,0.998,1053,종근당,제약·바이오,WATCH,0.89,0.0193,-34.0,-17.8,-6.7,13.5,-22.8,-81.1,0.5,7.2,1,1,
4,084110,KOSDAQ,0.997,1053,휴온스글로벌,제약·바이오,OBSERVE,0.28,0.0572,-70.9,-52.1,-3.9,14.2,-5.8,-56.1,0.2,-1.7,1,1,
5,282330,KOSPI,0.996,1053,BGF리테일,소매,OBSERVE,2.42,0.0337,-8.7,28.5,-4.2,79.7,2.7,120.4,-4.6,-47.4,1,1,
6,039030,KOSDAQ,0.995,1053,이오테크닉스,기계·장비,,6.0,0.0622,-20.4,94.0,25.5,527.7,-26.5,-1439.1,150.4,1808.2,1,1,
7,009450,KOSPI,0.994,1053,경동나비엔,전기장비,,0.88,0.0292,-24.5,-23.3,-5.2,18.7,0.8,28.3,-0.6,-57.9,1,1,
8,002710,KOSPI,0.993,1053,TCC스틸,철강·1차금속,,0.3,0.0494,-49.0,-41.1,10.8,31.8,-18.1,-70.0,0.2,-4.5,1,1,
9,003670,KOSPI,0.992,1053,포스코퓨처엠,전기장비,,15.96,0.0532,-39.4,16.6,5.0,609.7,-365.6,-714.0,250.2,1011.6,1,1,
10,034310,KOSPI,0.991,1053,NICE,엔지니어링,WATCH,0.44,0.0211,-22.0,-4.8,-8.7,5.2,-1.5,-12.6,-0.4,19.1,1,1,
11,007310,KOSPI,0.991,1053,오뚜기,식료품,OBSERVE,1.27,0.0202,-27.0,-17.2,-5.1,13.0,-14.0,-6.4,2.3,17.5,1,1,
12,200670,KOSDAQ,0.99,1053,휴메딕스,제약·바이오,OBSERVE,0.28,0.0353,-64.3,-60.5,-1.2,8.1,-4.9,-19.7,-1.1,-5.4,1,1,
13,066970,KOSPI,0.989,1053,엘앤에프,전기장비,EXCLUDE,4.43,0.0655,-48.9,67.5,-10.5,811.1,-15.6,-986.6,-446.6,-259.4,1,1,
14,006280,KOSPI,0.988,1053,녹십자,제약·바이오,,1.47,0.0287,-30.4,-8.7,-3.8,27.8,-20.7,-40.1,-3.2,14.8,1,1,
15,087010,KOSDAQ,0.987,1053,펩트론,제약·바이오,,3.72,0.0871,-58.6,-38.4,-12.7,199.0,7.7,199.4,-22.7,-443.3,1,1,
16,000240,KOSPI,0.986,1053,한국앤컴퍼니,금융(은행),,2.34,0.021,-28.9,-2.7,3.1,15.8,-21.3,-54.6,17.2,70.6,1,1,
17,466100,KOSDAQ,0.985,1053,클로봇,출판·SW,EXCLUDE,0.73,0.0627,-68.9,23.1,-12.1,70.7,-13.2,-140.4,1.0,-92.3,1,1,
18,018290,KOSDAQ,0.984,1053,브이티,화학,OBSERVE,0.4,0.0426,-63.6,-61.3,-8.9,23.0,-15.5,-83.1,0.4,-12.5,1,1,
19,097955,KOSPI,0.983,1053,CJ제일제당우,,,0.15,0.0141,-23.0,-11.2,-12.0,10.8,-86.5,-102.3,-0.0,-0.8,1,1,
20,082270,KOSDAQ,0.982,1053,젬백스,기계·장비,,0.48,0.0459,-82.1,-79.5,3.5,17.6,-4.5,-5.7,2.7,-15.4,1,1,
21,012750,KOSPI,0.981,1053,에스원,사업지원,,3.21,0.0303,-10.2,-3.3,6.6,59.1,-42.3,-51.8,35.1,54.2,1,1,
22,278280,KOSDAQ,0.98,1053,천보,화학,WATCH,0.44,0.0422,-54.7,-19.8,-1.2,13.5,5.0,8.0,-4.2,-6.2,1,1,
23,003090,KOSPI,0.979,1053,대웅,제약·바이오,OBSERVE,0.92,0.0298,-45.8,-32.4,-6.9,10.3,-12.1,-18.7,-2.5,-6.0,1,1,
24,009970,KOSPI,0.978,1053,영원무역홀딩스,금융(은행),,2.16,0.0295,-33.2,25.7,-2.8,15.4,-9.2,-18.6,6.0,17.8,1,1,
25,047810,KOSPI,0.977,1053,한국항공우주,조선·기타운송,,12.67,0.0482,-35.6,33.9,-0.5,415.9,-75.4,-76.4,53.4,-129.3,1,1,
26,009240,KOSPI,0.976,1053,한샘,도매,,0.93,0.025,-23.4,-10.8,0.5,15.2,-9.3,-47.4,17.2,76.4,1,1,
27,068760,KOSDAQ,0.975,1053,셀트리온제약,제약·바이오,WAIT,1.75,0.0249,-48.0,-20.8,-7.9,30.5,-23.0,-40.0,6.9,-39.3,1,1,
28,300720,KOSPI,0.974,1053,한일시멘트,비금속광물(시멘트·유리),,1.2,0.0238,-22.5,-24.3,0.4,13.3,-6.3,-6.8,8.2,57.0,1,1,
29,005300,KOSPI,0.973,1053,롯데칠성,음료,OBSERVE,0.88,0.0157,-35.9,-18.1,-3.1,13.5,-24.5,-41.1,-2.3,-34.9,1,1,
30,330590,KOSPI,0.972,1053,롯데리츠,,,1.17,0.0173,-16.6,-3.1,2.9,5.2,-5.0,-6.8,12.9,31.7,1,1,
31,373220,KOSPI,0.972,1053,LG에너지솔루션,전기장비,,83.19,0.0463,-30.8,0.0,-1.8,1126.3,-114.1,-261.0,524.7,1885.1,1,1,
32,003540,KOSPI,0.971,1053,대신증권,,,1.26,0.0291,-46.1,-5.1,1.7,16.2,-27.8,-21.3,15.3,39.3,1,1,
33,001800,KOSPI,0.97,1053,오리온홀딩스,금융(은행),OBSERVE,1.45,0.0216,-14.7,23.5,-5.8,14.9,-18.8,-25.7,5.1,12.4,1,1,
34,328130,KOSDAQ,0.969,1053,루닛,출판·SW,,0.76,0.0551,-55.5,-53.3,10.6,47.4,-62.8,-108.2,22.0,-19.4,1,1,
35,005070,KOSPI,0.968,1053,코스모신소재,화학,,1.38,0.0534,-36.8,-8.4,3.6,35.8,-29.6,-69.7,40.0,110.4,1,1,
36,004990,KOSPI,0.967,1053,롯데지주,금융(은행),,2.43,0.0225,-36.8,-24.8,5.6,33.7,-39.3,-53.6,34.5,96.9,1,1,
37,450080,KOSPI,0.966,1053,에코프로머티,전기장비,OBSERVE,2.46,0.0528,-59.8,-30.7,-7.1,92.3,-21.4,-145.8,5.6,0.8,1,1,
38,175330,KOSPI,0.965,1053,JB금융지주,,,5.85,0.0342,-16.4,12.2,15.0,150.1,-96.0,-569.0,136.1,809.5,1,1,
39,034230,KOSPI,0.964,1053,파라다이스,예술·스포츠,EXCLUDE,0.89,0.0398,-59.4,-57.2,1.7,35.9,-38.1,-46.6,4.9,52.4,1,1,
40,037710,KOSPI,0.963,1053,광주신세계,소매,WATCH,0.27,0.0801,-34.2,24.0,-4.9,8.8,-1.8,-3.7,-0.7,0.6,1,1,
41,145020,KOSDAQ,0.962,1053,휴젤,제약·바이오,WATCH,2.6,0.0364,-37.3,-26.9,-17.2,88.6,-122.8,-119.7,-54.6,-152.5,1,1,
42,105630,KOSPI,0.961,1053,한세실업,의복,OBSERVE,0.35,0.0284,-43.8,-6.9,-3.6,5.2,-4.1,-5.6,-2.7,-6.2,1,1,
43,051600,KOSPI,0.96,1053,한전KPS,건설,,2.09,0.0252,-31.3,-14.1,5.0,71.9,-64.4,-106.3,32.8,112.9,1,1,
44,101160,KOSDAQ,0.959,1053,월덱스,반도체·전자부품,,0.51,0.0433,-11.0,26.7,13.3,13.2,1.4,33.4,12.1,45.4,1,1,
45,011760,KOSPI,0.958,1053,현대코퍼레이션,도매,,0.35,0.0299,-19.8,16.8,1.8,7.2,0.5,1.9,0.0,3.1,1,1,
46,383220,KOSPI,0.957,1053,F&F,의복,,2.63,0.0377,-20.2,-9.6,8.2,40.4,-27.8,-64.5,42.7,97.6,1,1,
47,139130,KOSPI,0.956,1053,iM금융지주,,,2.88,0.0244,-16.0,25.8,6.3,72.4,-39.3,-91.8,30.1,201.1,1,1,
48,365270,KOSDAQ,0.955,1053,큐라클,지주·전문서비스,EXCLUDE,0.2,0.0568,-54.1,132.4,-17.4,5.6,-1.8,-0.6,-0.4,-6.2,1,1,
49,018670,KOSPI,0.954,1053,SK가스,도매,,2.27,0.0364,-15.7,-3.5,4.5,25.6,-12.7,-83.9,6.9,132.5,1,1,
50,051900,KOSPI,0.953,1053,LG생활건강,화학,,4.48,0.0321,-10.3,6.6,-5.4,212.3,-124.4,23.2,192.2,273.9,1,1,
51,007070,KOSPI,0.953,1053,GS리테일,소매,OBSERVE,1.95,0.0297,-20.9,55.9,-13.7,48.5,6.9,81.7,-42.1,-117.2,0,1,
52,000880,KOSPI,0.951,1053,한화,화학,,7.05,0.0474,-12.4,17.5,31.4,329.7,7.5,622.9,-13.0,-53.0,0,1,
52,006120,KOSPI,0.951,1053,SK디스커버리,금융(은행),,0.99,0.0397,-16.7,-2.8,11.4,12.6,-7.7,-25.4,2.1,8.7,0,1,
54,017800,KOSPI,0.95,1053,현대엘리베이터,기계·장비,,2.9,0.0198,-33.6,-8.5,1.0,62.9,-71.0,-51.7,46.2,132.0,0,1,
55,033270,KOSPI,0.949,1053,유나이티드제약,제약·바이오,,0.29,0.0158,-16.2,-11.3,-0.7,5.9,-1.8,-2.0,-0.0,6.2,0,1,
56,178920,KOSPI,0.948,1053,PI첨단소재,고무·플라스틱,WAIT,0.55,0.0414,-40.5,6.3,-0.3,5.1,-0.7,-2.8,-0.7,1.9,0,1,
57,180640,KOSPI,0.947,1053,한진칼,금융(은행),,9.29,0.0404,-19.6,7.8,14.5,119.2,-50.2,-95.8,19.2,153.2,0,1,
58,011210,KOSPI,0.946,1053,현대위아,자동차·부품,OBSERVE,1.47,0.0331,-46.8,14.2,-10.8,32.6,-18.2,-68.6,-1.4,-8.9,0,1,
59,007340,KOSPI,0.945,1053,DN오토모티브,전기장비,,2.87,0.053,-21.9,76.8,2.6,54.6,-44.1,-159.4,55.3,205.2,0,1,
60,279570,KOSPI,0.944,1053,케이뱅크,금융(은행),EXCLUDE,2.19,0.0259,-35.3,,-2.9,34.1,-47.6,-33.8,-4.9,26.8,0,1,
61,277810,KOSDAQ,0.943,1053,레인보우로보틱스,기계·장비,,8.53,0.0592,-50.1,64.2,-1.1,309.3,67.4,269.1,96.7,-276.2,0,1,
62,003240,KOSPI,0.942,1053,태광산업,화학,,1.01,0.0271,-42.0,-0.1,1.9,10.8,-2.8,8.1,-6.7,-6.7,0,1,
63,443060,KOSPI,0.941,1053,HD현대마린솔루션,연구개발,,10.51,0.0373,-16.4,-10.1,13.6,267.9,34.8,-108.6,-31.3,333.5,0,1,
64,006040,KOSPI,0.94,1053,동원산업,금융(은행),WATCH,1.57,0.0216,-29.0,-14.4,-7.3,13.8,-5.3,29.3,-5.5,-5.2,0,1,
65,047920,KOSDAQ,0.939,1053,HLB제약,지주·전문서비스,WATCH,0.24,0.0841,-64.7,-44.6,-2.8,21.7,9.3,-10.9,-11.5,-34.8,0,1,
66,000670,KOSPI,0.938,1053,영풍,철강·1차금속,,0.81,0.0497,-37.1,-1.1,11.7,47.8,-59.2,-47.0,-3.3,-73.0,0,1,
67,034020,KOSPI,0.937,1053,두산에너빌리티,기계·장비,,55.41,0.0473,-36.6,20.4,18.5,2802.2,-1942.8,-4249.0,-746.2,3950.1,0,1,
