rank,ticker,market,wu_score,n_universe,wu_b_score,wu_b_rank,name,sector,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct
1,055550,KOSPI,3.679,1076,1.798,19.0,신한지주,,49.95,0.03,-3.3,56.2,-2.6,1252.3,169.2,810.2,307.1,359.4,1,1
2,033780,KOSPI,3.651,1076,1.725,42.0,KT&G,담배,19.28,0.024,-1.7,33.9,7.0,518.7,91.8,98.0,12.5,174.9,1,1
3,105560,KOSPI,3.646,1076,1.776,25.0,KB금융,,60.9,0.0314,-7.8,55.1,-6.9,2194.4,293.4,-662.5,13.3,1481.5,1,1
4,086790,KOSPI,3.623,1076,1.754,34.0,하나금융지주,,35.78,0.0307,-4.7,45.4,1.5,1202.2,-126.1,-275.3,313.4,1194.5,1,1
5,271560,KOSPI,3.546,1076,1.668,65.0,오리온,식료품,5.44,0.0239,-5.8,22.6,0.3,143.7,102.9,155.5,-55.6,-0.0,1,1
6,161390,KOSPI,3.544,1076,1.768,28.0,한국타이어앤테크놀로지,고무·플라스틱,8.67,0.0344,-8.7,53.4,-2.1,240.2,69.0,61.2,-46.8,239.2,1,1
7,010950,KOSPI,3.535,1076,1.86,8.0,S-Oil,석유정제,15.72,0.0414,-7.7,114.6,5.7,628.1,-268.7,-406.0,170.3,1821.8,1,1
8,316140,KOSPI,3.513,1076,1.593,93.0,우리금융지주,,24.28,0.0253,-18.3,21.9,6.0,770.2,-18.1,400.7,549.7,1311.5,1,1
9,278470,KOSPI,3.472,1076,1.819,15.0,에이피알,화학,14.49,0.042,-15.7,118.2,3.2,992.8,-941.6,366.4,982.0,8.2,1,1
10,003690,KOSPI,3.467,1076,1.715,47.0,코리안리,보험,2.59,0.0297,0.0,27.5,5.8,41.2,35.4,121.0,-4.9,30.9,1,1
11,415640,KOSPI,3.44,1076,1.681,60.0,KB발해인프라,금융(은행),1.27,0.0182,-7.2,27.9,-5.4,9.2,6.0,25.9,-9.1,-18.7,1,1
12,417310,KOSPI,3.434,1076,1.856,10.0,코람코더원리츠,,0.44,0.0115,-0.5,83.1,8.6,19.1,16.0,96.8,-7.1,24.9,1,1
13,007070,KOSPI,3.431,1076,1.779,24.0,GS리테일,소매,2.37,0.0356,-3.6,51.9,9.4,59.2,-18.4,-68.5,71.9,191.3,1,1
14,111770,KOSPI,3.43,1076,1.722,44.0,영원무역,도매,4.01,0.0358,-7.7,39.4,4.0,61.0,48.5,15.0,-41.0,4.8,1,1
15,001450,KOSPI,3.42,1076,1.748,36.0,현대해상,,3.5,0.0372,-0.6,39.2,7.5,196.0,77.0,-109.5,-67.9,469.2,1,1
16,078930,KOSPI,3.393,1076,1.783,23.0,GS,금융(은행),9.04,0.0432,-1.6,51.5,21.3,481.9,-559.5,-803.4,555.2,1410.6,1,1
17,000810,KOSPI,3.387,1076,1.702,50.0,삼성화재,,28.13,0.0419,-13.7,42.8,-2.8,692.1,244.3,-401.1,-170.8,584.4,1,1
18,068270,KOSPI,3.365,1076,1.479,161.0,셀트리온,제약·바이오,46.74,0.0296,-15.1,2.3,14.7,1373.2,879.6,1243.2,469.9,2756.1,1,1
19,005830,KOSPI,3.364,1076,1.514,137.0,DB손해보험,,10.63,0.0293,-21.0,14.2,4.2,350.2,-101.4,-1446.2,112.0,1720.6,1,1
20,139130,KOSPI,3.363,1076,1.601,90.0,iM금융지주,,2.73,0.0295,-20.2,29.3,-3.2,92.6,-52.8,-198.2,88.9,313.4,1,1
21,032640,KOSPI,3.347,1076,1.496,146.0,LG유플러스,통신,6.35,0.0269,-16.1,6.4,-0.1,150.4,-72.7,-96.8,50.3,212.8,1,1
22,138040,KOSPI,3.346,1076,1.434,184.0,메리츠금융지주,,20.67,0.0259,-15.5,-2.5,7.4,336.7,-62.4,147.0,335.5,1517.4,1,1
23,009970,KOSPI,3.345,1076,1.644,75.0,영원무역홀딩스,금융(은행),2.61,0.034,-19.4,39.1,6.4,26.1,16.7,5.1,-4.0,32.1,1,1
24,000815,KOSPI,3.341,1076,1.616,87.0,삼성화재우,,1.2,0.0243,-11.9,17.9,-1.8,44.6,28.2,-21.1,6.8,11.7,1,1
25,003490,KOSPI,3.326,1076,1.576,101.0,대한항공,운수·물류,9.89,0.0359,-10.5,11.0,0.4,678.7,432.0,772.0,55.1,283.0,1,1
26,030200,KOSPI,3.318,1076,1.409,198.0,KT,통신,13.21,0.0244,-23.9,4.9,-3.3,233.9,-4.4,-29.0,158.8,236.6,1,1
27,024110,KOSPI,3.316,1076,1.376,228.0,기업은행,,16.15,0.0193,-29.1,7.9,-4.7,232.6,44.2,118.6,-9.6,133.6,1,1
28,241560,KOSPI,3.313,1076,1.554,113.0,두산밥캣,기계·장비,6.22,0.0345,-15.4,12.3,3.2,107.4,57.7,166.3,-9.4,-57.0,1,1
