rank,ticker,market,wu_score,n_universe,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct,dilution_60d
1,161580,KOSDAQ,1.0,1093,필옵틱스,기계·장비,OBSERVE,0.6,0.0589,-59.0,-8.4,-0.6,23.6,4.6,17.3,-21.2,-38.6,1,1,
2,042700,KOSPI,0.999,1093,한미반도체,기계·장비,,21.92,0.0806,-43.8,140.8,14.7,1187.0,-189.9,1005.9,255.3,21.5,1,1,
3,348210,KOSDAQ,0.998,1093,넥스틴,기계·장비,EXCLUDE,0.33,0.0604,-68.3,-22.9,-1.9,21.2,9.4,4.7,-13.9,-29.8,1,1,
4,388720,KOSDAQ,0.997,1093,유일로보틱스,기계·장비,EXCLUDE,0.77,0.0475,-56.9,18.6,-9.3,14.5,1.0,20.1,-13.2,-27.1,1,1,
5,330590,KOSPI,0.996,1093,롯데리츠,,,1.13,0.0221,-19.1,-5.2,6.4,5.0,-0.9,-3.4,5.3,26.2,1,1,
6,001500,KOSPI,0.995,1093,현대차증권,,,0.49,0.0349,-42.6,2.5,-0.8,7.1,-4.1,-6.5,-1.4,-9.0,1,1,
7,087010,KOSDAQ,0.995,1093,펩트론,제약·바이오,OBSERVE,3.67,0.0872,-59.2,-45.5,-11.6,252.7,64.6,195.1,-253.1,-322.1,1,1,
8,000240,KOSPI,0.994,1093,한국앤컴퍼니,금융(은행),,2.33,0.0326,-29.1,19.5,-7.0,19.2,4.5,-10.7,5.9,51.9,1,1,
9,006280,KOSPI,0.993,1093,녹십자,제약·바이오,,1.49,0.0307,-29.2,-6.4,0.9,31.8,0.1,39.5,1.0,1.7,1,1,
10,112040,KOSDAQ,0.992,1093,위메이드,출판·SW,WATCH,0.51,0.0665,-55.0,-45.9,-5.9,39.3,-14.8,-104.8,-6.5,-28.2,1,1,
11,323280,KOSDAQ,0.991,1093,태성,기계·장비,EXCLUDE,1.37,0.0847,-50.0,48.1,10.1,125.7,18.4,-43.1,-53.9,-99.1,1,1,
12,042000,KOSDAQ,0.99,1093,카페24,IT서비스,OBSERVE,0.39,0.0444,-62.7,-55.1,-12.5,8.5,6.9,1.6,-12.4,-24.0,1,1,
13,115180,KOSDAQ,0.989,1093,큐리언트,지주·전문서비스,EXCLUDE,0.87,0.0794,-54.7,115.4,-1.5,65.1,12.6,-147.4,-50.9,-8.4,1,1,유상증자 09/04
14,015750,KOSDAQ,0.988,1093,성우하이텍,자동차·부품,WAIT,0.48,0.0353,-47.2,-4.5,0.3,12.4,11.9,19.4,-11.3,-21.8,1,1,
15,282330,KOSPI,0.987,1093,BGF리테일,소매,,2.55,0.0351,-3.6,3.1,10.6,109.6,58.4,367.3,-4.6,-60.1,1,1,
16,263750,KOSDAQ,0.986,1093,펄어비스,출판·SW,,2.17,0.0374,-52.1,10.7,-2.0,176.2,47.0,-652.8,-47.9,400.0,1,1,
17,032500,KOSDAQ,0.985,1093,케이엠더블유,반도체·전자부품,EXCLUDE,0.62,0.0631,-61.6,40.3,-11.8,33.0,3.9,-3.6,-15.0,-46.9,1,1,
18,029780,KOSPI,0.984,1093,삼성카드,,,5.35,0.0252,-31.5,-7.5,-2.5,53.9,-29.2,-95.1,-1.4,15.4,1,1,
19,005420,KOSPI,0.984,1093,코스모화학,화학,,0.4,0.0504,-50.9,-43.3,3.7,11.8,-7.5,1.2,0.9,10.3,1,1,
