rank,ticker,market,wu_score,n_universe,wu_b_score,wu_b_rank,name,sector,v3_bucket,mcap_조,lv63,nh252_%,mom12_%,r20d_%,amt20_억,foreign_5d_억,foreign_20d_억,inst_5d_억,inst_20d_억,top50,top10pct
1,055550,KOSPI,3.674,1212,1.787,29.0,신한지주,,,51.12,0.0278,0.0,76.2,10.9,1579.2,-804.3,-405.0,1553.6,1182.4,1,1
2,105560,KOSPI,3.612,1212,1.726,45.0,KB금융,,,60.62,0.0279,-0.6,52.8,12.8,2404.8,-1637.0,-1425.6,2746.4,1981.2,1,1
3,033780,KOSPI,3.605,1212,1.669,63.0,KT&G,담배,,17.92,0.0208,-8.7,43.9,-2.6,538.9,-42.6,285.2,143.0,-169.9,1,1
4,086790,KOSPI,3.573,1212,1.707,49.0,하나금융지주,,,34.24,0.0287,-5.5,50.2,11.0,1060.1,-338.2,407.1,685.5,312.4,1,1
5,000810,KOSPI,3.512,1212,1.722,47.0,삼성화재,,,30.09,0.0341,-7.7,56.5,0.6,1072.4,125.0,291.3,-49.0,-107.6,1,1
6,138930,KOSPI,3.48,1212,1.606,88.0,BNK금융지주,,,5.78,0.0231,-17.8,41.9,14.7,216.7,-177.0,-664.7,329.8,997.0,1,1
7,316140,KOSPI,3.468,1212,1.54,120.0,우리금융지주,,,22.68,0.0227,-23.7,40.5,8.0,710.0,-204.0,130.0,421.0,240.7,1,1
8,005935,KOSPI,3.459,1212,1.937,4.0,삼성전자우,,,170.5,0.0479,-9.6,327.1,10.4,9634.2,-2590.6,-5539.2,825.6,963.5,1,1
9,139130,KOSPI,3.452,1212,1.641,72.0,iM금융지주,,,2.94,0.0252,-15.5,45.9,10.2,113.6,-2.5,198.7,41.3,-136.7,1,1
10,271560,KOSPI,3.449,1212,1.589,96.0,오리온,식료품,,5.41,0.0242,-6.2,23.5,7.0,180.3,114.3,564.1,25.3,-286.4,1,1
11,078930,KOSPI,3.409,1212,1.736,41.0,GS,금융(은행),,7.26,0.0371,-4.9,58.2,11.7,229.6,-219.3,86.6,310.9,28.7,1,1
12,005930,KOSPI,3.406,1212,1.947,2.0,삼성전자,반도체·전자부품,,1859.12,0.0516,-12.3,443.8,7.6,102833.4,-76667.8,-138837.9,18150.4,3102.5,1,1
13,161390,KOSPI,3.402,1212,1.764,31.0,한국타이어앤테크놀로지,고무·플라스틱,,8.73,0.0387,-7.1,72.3,5.2,288.6,-15.6,354.4,92.8,-144.5,1,1
14,278470,KOSPI,3.398,1212,1.824,17.0,에이피알,화학,,14.17,0.0433,-17.5,175.5,3.4,1093.1,-734.8,-1643.8,993.6,1324.5,1,1
15,005940,KOSPI,3.389,1212,1.675,59.0,NH투자증권,,,11.79,0.036,-15.6,54.1,12.4,260.3,-13.8,373.6,127.0,-300.5,1,1
16,010950,KOSPI,3.388,1212,1.735,42.0,S-Oil,석유정제,,13.16,0.0387,-17.3,92.5,7.7,385.7,-203.6,660.2,389.1,-186.4,1,1
17,417310,KOSPI,3.386,1212,1.79,28.0,,,,0.4,0.0115,-5.1,84.8,3.1,14.0,-3.3,-6.5,8.5,60.8,1,1
18,047810,KOSPI,3.383,1212,1.634,73.0,한국항공우주,조선·기타운송,,15.7,0.0353,-20.2,52.6,28.9,740.5,-867.8,-1793.6,1132.5,2386.2,1,1
19,000815,KOSPI,3.368,1212,1.597,93.0,삼성화재우,,,1.26,0.0197,-7.6,25.2,4.2,64.0,33.5,344.1,2.1,-6.1,1,1
20,000270,KOSPI,3.365,1212,1.652,69.0,기아,자동차·부품,,62.74,0.0378,-22.0,66.3,6.1,1996.0,274.2,2488.1,568.5,-772.8,1,1
21,003690,KOSPI,3.356,1212,1.607,87.0,코리안리,보험,,2.4,0.028,-6.5,26.5,6.6,68.3,20.2,326.6,-8.3,-266.4,1,1
22,071055,KOSPI,3.349,1212,1.734,43.0,한국금융지주우,,,0.96,0.0318,-15.1,76.9,6.6,31.3,33.7,9.0,-4.0,29.0,1,1
23,415640,KOSPI,3.348,1212,1.551,113.0,KB발해인프라,금융(은행),,1.3,0.0128,0.0,15.2,10.4,16.8,30.1,48.7,1.8,-6.9,1,1
24,001450,KOSPI,3.342,1212,1.62,80.0,현대해상,,,3.13,0.0325,-11.0,34.8,7.3,204.6,-10.7,151.8,55.0,271.7,1,1
25,024110,KOSPI,3.34,1212,1.387,227.0,기업은행,,,16.99,0.0176,-25.4,14.3,5.2,316.1,23.6,-124.1,167.7,640.0,1,1
26,111770,KOSPI,3.302,1212,1.597,94.0,영원무역,도매,,3.71,0.0343,-14.5,31.9,13.1,69.7,-55.3,-3.0,99.2,43.6,1,1
27,023530,KOSPI,3.278,1212,1.807,24.0,롯데쇼핑,소매,,4.89,0.0462,-15.0,130.7,3.2,356.1,162.1,867.2,-245.8,-764.6,1,1
28,028670,KOSPI,3.269,1212,1.547,115.0,팬오션,운수·물류,,2.64,0.0311,-20.3,31.6,1.2,117.7,-14.4,94.1,64.0,27.9,1,1
29,030200,KOSPI,3.268,1212,1.353,258.0,KT,통신,,13.74,0.0222,-20.9,3.6,1.1,220.3,-5.2,-28.7,171.3,524.7,1,1
30,267250,KOSPI,3.267,1212,1.554,110.0,HD현대,금융(은행),WATCH,16.51,0.0367,-32.7,105.8,-15.7,440.3,-94.1,980.1,106.5,-961.2,1,1
31,032640,KOSPI,3.26,1212,1.421,204.0,LG유플러스,통신,WAIT,6.03,0.0267,-20.3,11.4,-9.7,177.4,0.9,125.6,7.6,85.9,1,1
32,007070,KOSPI,3.258,1212,1.622,78.0,GS리테일,소매,,2.09,0.0351,-15.3,40.8,9.2,45.0,-45.2,-119.4,76.0,201.5,1,1
33,071050,KOSPI,3.256,1212,1.716,48.0,한국금융지주,,,13.9,0.0449,-14.7,66.1,15.5,637.9,6.8,208.2,645.2,592.0,1,1
34,004170,KOSPI,3.256,1212,1.906,7.0,신세계,소매,,6.52,0.0533,-11.1,251.4,20.6,734.9,352.1,666.6,-327.0,-911.6,1,1
35,032830,KOSPI,3.254,1212,1.822,18.0,삼성생명,,,78.7,0.0526,-20.8,221.0,4.8,2142.6,205.8,805.2,31.4,417.3,1,1
36,005380,KOSPI,3.254,1212,1.652,68.0,현대차,자동차·부품,WATCH,102.79,0.0439,-33.1,239.8,-21.4,6940.1,173.8,-9528.1,481.4,-8604.0,1,1
37,241560,KOSPI,3.241,1212,1.418,206.0,두산밥캣,기계·장비,,6.23,0.0278,-15.3,6.5,6.4,186.3,47.1,321.7,33.7,-155.9,1,1
38,017670,KOSPI,3.235,1212,1.551,111.0,SK텔레콤,통신,OBSERVE,18.51,0.038,-31.2,87.3,-19.2,1340.0,367.2,163.5,-211.5,-798.8,1,1
39,010140,KOSPI,3.233,1212,1.504,149.0,삼성중공업,조선·기타운송,WAIT,20.86,0.0362,-31.1,62.7,-9.2,1196.3,-464.5,-1917.5,361.7,641.9,1,1
40,081660,KOSPI,3.232,1212,1.503,150.0,미스토홀딩스,도매,,2.43,0.0297,-15.7,17.5,19.5,100.9,-44.9,-293.0,92.4,402.1,1,1
41,088980,KOSPI,3.229,1212,1.321,287.0,맥쿼리인프라,금융(은행),OBSERVE,4.84,0.0082,-14.9,-7.4,-6.1,255.5,-118.9,-307.8,1.8,106.7,1,1
42,034730,KOSPI,3.224,1212,1.801,26.0,SK,금융(은행),,48.36,0.0526,-22.3,213.8,16.6,2605.8,-764.6,-2020.7,317.0,2088.1,1,1
43,005387,KOSPI,3.223,1212,1.508,145.0,현대차2우B,,,7.81,0.0356,-30.9,61.9,-6.9,351.6,78.5,207.2,-161.0,-780.6,1,1
44,005945,KOSPI,3.216,1212,1.608,86.0,NH투자증권우,,,0.49,0.0215,-11.3,31.5,10.2,12.8,4.6,-14.8,-0.1,5.0,1,1
45,068270,KOSPI,3.216,1212,1.355,255.0,셀트리온,제약·바이오,,40.91,0.0295,-25.7,11.6,10.4,1086.3,-423.2,735.3,1165.0,99.8,1,1
46,093050,KOSPI,3.202,1212,1.55,114.0,LF,의복,,0.7,0.0252,-9.1,18.2,15.5,10.1,-2.5,-29.0,11.8,37.8,1,1
47,005385,KOSPI,3.2,1212,1.511,142.0,현대차우,,,5.19,0.0357,-30.8,62.1,-6.3,215.7,10.9,137.5,-17.8,-230.5,1,1
48,005440,KOSPI,3.2,1212,1.605,89.0,현대지에프홀딩스,금융(은행),,2.33,0.037,-20.2,45.8,24.4,49.2,-27.0,1.0,74.8,151.8,1,1
49,082640,KOSPI,3.198,1212,1.477,168.0,동양생명,,,1.21,0.0256,-14.6,12.5,6.1,10.4,3.5,-23.2,0.1,39.3,1,1
50,138040,KOSPI,3.192,1212,1.263,339.0,메리츠금융지주,,,18.81,0.0222,-23.1,-6.0,9.3,339.3,-168.3,-317.3,523.4,1354.8,1,1
51,005830,KOSPI,3.192,1212,1.347,264.0,DB손해보험,,,9.56,0.0278,-29.0,16.6,7.1,338.6,-115.3,-522.6,122.3,438.7,0,1
52,003490,KOSPI,3.186,1212,1.467,171.0,대한항공,운수·물류,,10.59,0.0358,-4.2,6.2,20.8,933.2,-71.0,2053.0,706.6,2217.8,0,1
53,000660,KOSPI,3.183,1212,1.9,10.0,SK하이닉스,반도체·전자부품,,1669.86,0.0619,-19.7,643.3,22.6,145581.6,-82515.6,-183127.5,1628.3,7359.3,0,1
54,012450,KOSPI,3.183,1212,1.408,214.0,한화에어로스페이스,조선·기타운송,,59.76,0.0355,-24.6,17.2,15.2,2667.9,-791.2,-100.6,1836.0,2040.6,0,1
55,009970,KOSPI,3.173,1212,1.5,153.0,영원무역홀딩스,금융(은행),,2.36,0.0335,-27.2,41.8,5.4,28.7,-10.4,-3.7,16.2,13.2,0,1
56,192080,KOSPI,3.168,1212,1.506,146.0,더블유게임즈,출판·SW,,1.38,0.0311,-12.7,14.5,-4.1,66.7,11.7,123.3,16.3,-44.9,0,1
57,329180,KOSPI,3.166,1212,1.576,105.0,HD현대중공업,조선·기타운송,WAIT,61.19,0.0442,-21.7,43.3,-6.1,2160.3,-1999.0,593.8,1599.4,181.0,0,1
58,175330,KOSPI,3.155,1212,1.354,256.0,JB금융지주,,,4.91,0.0282,-30.4,20.6,5.2,151.8,-137.6,-399.3,156.3,572.6,0,1
59,298040,KOSPI,3.154,1212,1.693,54.0,효성중공업,전기장비,WAIT,29.06,0.0502,-32.3,309.2,-2.5,2050.9,-1066.9,-1053.2,1478.4,1659.8,0,1
60,007340,KOSPI,3.149,1212,1.627,77.0,DN오토모티브,전기장비,WAIT,2.19,0.0406,-26.8,89.2,-1.3,70.2,-6.2,-43.9,26.1,104.4,0,1
61,021240,KOSPI,3.143,1212,1.346,266.0,코웨이,미분류,,6.72,0.0302,-16.1,-3.2,8.7,220.4,-68.7,354.8,133.9,-223.3,0,1
62,069960,KOSPI,3.129,1212,1.76,32.0,현대백화점,소매,WATCH,3.81,0.051,-14.7,93.3,18.8,406.6,347.2,61.5,-458.0,-153.8,0,1
63,028260,KOSPI,3.114,1212,1.839,16.0,삼성물산,도매,,72.89,0.062,-16.0,183.4,10.0,3500.7,332.8,-3531.4,-1069.8,561.2,0,1
64,000240,KOSPI,3.108,1212,1.484,162.0,한국앤컴퍼니,금융(은행),,2.48,0.036,-24.5,29.2,9.4,54.5,-7.1,-219.3,24.4,296.0,0,1
65,005850,KOSPI,3.107,1212,1.738,40.0,에스엘,자동차·부품,WAIT,2.79,0.0496,-21.3,115.5,-6.1,115.4,-1.5,193.2,21.4,-152.6,0,1
66,402340,KOSPI,3.099,1212,1.845,15.0,SK스퀘어,금융(은행),,197.28,0.0634,-24.1,595.0,33.7,22173.9,-19817.7,-71669.4,23009.3,44954.4,0,1
67,161890,KOSPI,3.095,1212,1.372,237.0,한국콜마,화학,,2.75,0.0315,-1.3,-7.0,50.3,342.4,-9.1,-80.6,575.7,906.5,0,1
68,009150,KOSPI,3.093,1212,1.909,6.0,삼성전기,반도체·전자부품,,136.54,0.0694,-19.5,1185.3,9.9,23950.2,4481.0,28018.4,1836.8,-8658.6,0,1
69,214320,KOSPI,3.091,1212,1.37,243.0,이노션,엔지니어링,WAIT,0.75,0.0186,-13.8,-2.3,-3.0,26.0,2.9,-40.8,-2.8,54.1,0,1
70,267260,KOSPI,3.09,1212,1.514,138.0,HD현대일렉트릭,전기장비,WAIT,33.49,0.0443,-34.6,98.3,4.5,2100.5,-1684.6,-5066.9,904.4,4973.8,0,1
71,001800,KOSPI,3.09,1212,1.542,119.0,오리온홀딩스,금융(은행),,1.54,0.0373,-9.4,17.7,5.6,44.1,15.7,-80.0,6.4,88.1,0,1
72,030000,KOSPI,3.088,1212,1.256,348.0,제일기획,엔지니어링,OBSERVE,2.15,0.0187,-19.3,-10.6,2.2,126.7,-5.0,-542.6,47.3,948.8,0,1
73,036570,KOSPI,3.086,1212,1.538,122.0,NC,출판·SW,,5.44,0.0428,-25.3,45.0,-5.4,306.2,-16.6,591.1,254.2,233.5,0,1
74,002380,KOSPI,3.076,1212,1.584,99.0,KCC,화학,WATCH,4.17,0.0446,-28.7,76.0,-0.6,202.9,129.5,446.4,-80.9,-388.3,0,1
75,029780,KOSPI,3.072,1212,1.194,420.0,삼성카드,,,5.65,0.0226,-27.7,-6.5,7.9,112.9,10.1,-301.3,22.4,492.5,0,1
76,383220,KOSPI,3.072,1212,1.371,242.0,F&F,의복,,3.03,0.0335,-8.2,-5.9,11.9,85.2,-29.7,-225.2,53.4,291.2,0,1
77,000880,KOSPI,3.065,1212,1.477,169.0,한화,화학,,7.79,0.0415,-26.8,34.9,-2.9,227.4,-2.2,-128.8,55.0,-110.3,0,1
78,026960,KOSPI,3.061,1212,1.239,375.0,동서,도매,,2.53,0.0224,-19.9,-11.4,6.7,27.4,-7.5,-26.9,20.0,32.4,0,1
79,207940,KOSPI,3.059,1212,1.153,460.0,삼성바이오로직스,제약·바이오,,65.04,0.0268,-28.5,-9.3,13.0,870.9,534.1,2085.0,228.1,-1197.8,0,1
80,001720,KOSPI,3.056,1212,1.518,135.0,신영증권,,,2.92,0.0411,-30.4,61.8,6.4,32.2,6.8,48.6,17.1,11.9,0,1
81,282330,KOSPI,3.051,1212,1.406,215.0,BGF리테일,소매,,2.13,0.0348,-16.8,6.5,-3.2,141.9,-83.7,482.7,110.0,-372.4,0,1
82,267270,KOSPI,3.043,1212,1.442,188.0,HD건설기계,기계·장비,WATCH,5.93,0.0402,-37.6,84.2,-6.9,538.1,-290.1,-1603.6,145.3,667.0,0,1
83,011200,KOSPI,3.042,1212,1.138,474.0,HMM,운수·물류,WAIT,18.28,0.0245,-25.3,-14.7,3.9,311.2,-67.9,-94.0,125.3,120.2,0,1
84,293940,KOSPI,3.042,1212,1.347,263.0,신한알파리츠,,,0.63,0.0175,-17.1,-1.6,-1.3,14.8,1.5,-11.7,-2.5,35.6,0,1
85,042660,KOSPI,3.041,1212,1.505,148.0,한화오션,조선·기타운송,,35.57,0.0469,-22.5,28.4,12.6,2538.8,-1057.7,-716.3,-223.3,-1192.4,0,1
86,049430,KOSDAQ,3.04,1212,1.739,39.0,코메론,의료·정밀·광학,,0.18,0.0243,-13.7,74.1,12.6,6.3,1.4,0.6,13.8,30.2,0,1
87,031210,KOSPI,3.035,1212,1.206,403.0,서울보증보험,,,3.02,0.0239,-30.3,0.5,4.7,19.3,5.4,-51.8,0.3,34.3,0,1
88,088350,KOSPI,3.03,1212,1.418,205.0,한화생명,,,3.91,0.0384,-31.8,40.9,-1.3,323.0,-24.1,324.2,12.1,36.8,0,1
89,086280,KOSPI,3.028,1212,1.463,174.0,현대글로비스,운수·물류,,14.75,0.0439,-32.3,53.6,2.4,547.0,285.4,904.2,-63.9,-396.2,0,1
