date,net,ex,kospi,regime_pit,breadth_q,kq_above20_pit
20240201,-0.03700982781828272,-0.06695216741308829,0.4,약세,저,False
20240208,-0.10955919501157416,-0.057988681566937206,0.25,약세,중,False
20240219,-0.1633134849255235,-0.11905575801728552,0.4,강세,고,True
20240226,-0.17236352697513968,-0.10970779040309978,0.75,강세,고,True
20240305,-0.16027184025826793,-0.0914021150959733,0.55,강세,중,True
20240312,-0.33805717265643515,-0.1883377539928466,0.75,강세,중,True
20240319,-0.14311120227159008,-0.003978654655082153,0.7,강세,중,True
20240326,-0.04827906221945952,0.08135724904610311,0.75,강세,고,True
20240402,-0.09264474857993725,0.01718857975689174,0.7,강세,고,True
20240409,-0.09812643735152966,-0.011817850629758916,0.75,약세,저,False
20240417,-0.20142262629197033,-0.12339012996228489,0.6,약세,저,False
20240424,-0.12383514571887326,-0.015414225380338209,0.7,약세,저,False
20240502,-0.1470427977640632,-0.026953082111140475,0.65,조정,고,True
20240510,-0.21500640689151573,-0.11612254861265653,0.55,반등,고,True
20240520,-0.26290118721357403,-0.11134572668337228,0.5,반등,고,False
20240527,-0.03591392026316875,0.119319433427237,0.6,약세,중,False
20240603,-0.032527506524027576,0.1234148222235881,0.65,약세,저,False
20240611,-0.2919583855868099,-0.09066327071345082,0.7,약세,중,True
20240618,-0.3245903646384465,-0.16893013382953936,0.55,반등,중,True
20240625,-0.28699035691109737,-0.10083426973364024,0.7,반등,저,False
20240702,-0.19346314126414038,-0.01651389714158366,0.75,반등,저,False
20240709,-0.15507729417808608,-0.0075628813743834344,0.65,조정,저,True
20240716,-0.13060288350811075,0.004366344023197272,0.65,약세,중,True
20240723,0.007466825254974834,0.09733897991561338,0.55,약세,저,False
20240730,0.046211426010018535,0.15014539486761888,0.55,약세,저,False
20240806,0.08709649467603744,0.09403581682508425,0.35,약세,저,False
20240813,0.11252277221446882,0.11830359904036064,0.35,약세,저,False
20240821,0.213728185931848,0.23413206076361523,0.35,약세,중,True
20240828,0.2374991637722859,0.2671356666594379,0.35,약세,중,False
20240904,0.24714967391089332,0.24528966190870036,0.35,반등,중,False
20240911,0.2083469671117334,0.19055646984059466,0.35,약세,저,False
20240923,0.04333053685398705,0.06705259882730902,0.4,약세,중,True
20240930,-0.0055693576243462505,0.05204746639648299,0.45,반등,고,True
20241010,-0.2467310910112934,-0.1080433913838384,0.45,강세,고,True
20241017,-0.16968465065258834,-0.10554653261372546,0.5,반등,중,True
20241024,-0.08536326857233038,-0.07327911486472048,0.5,약세,저,False
