event,year,obs,events,rate,episodes,tickers
60,2023,155572,4302,0.0276527909906667,,
60,2024,324494,10423,0.03212077881255123,,
60,2025,324572,15677,0.04830053116103669,,
60,2026,184734,7441,0.04027953706410298,,
60,all,989372,37843,0.03824951585450164,2117.0,1170.0
120,2023,155503,2948,0.01895783361092712,,
120,2024,324404,5455,0.016815452337209158,,
120,2025,324019,12312,0.037997771735608095,,
120,2026,92467,1460,0.01578941676489991,,
120,all,896393,22175,0.024738033429533696,760.0,589.0
250,2023,155451,4412,0.028381933856971006,,
250,2024,323808,13652,0.042160786638995945,,
250,2025,225157,13013,0.057795227330262884,,
250,all,704416,31077,0.04411739653840912,552.0,493.0
120s,2023,155503,1229,0.007903384500620567,,
120s,2024,324404,1691,0.0052126360957324815,,
120s,2025,324019,4465,0.013780056107820838,,
120s,2026,92467,39,0.0004217720916651346,,
120s,all,896393,7424,0.00828208163160578,357.0,314.0
