event,combo,n,events,episodes,lift,placebo,mean_ex,med_ex,p_beat,p_lt_m30,lift_2023,lift_2024,lift_2025,lift_2026
120,mom252↑&mom12_1↑,92463,4906,172,2.1448374873274214,1.2350521609661569,-0.07723409693044,-0.1706689885502567,0.33496641900003243,0.369964201896975,,2.5983442061417583,1.697940887953624,1.847480444519895
120,mom252↑&dlow252↑,80740,4640,168,2.3230794519354374,1.2181147212411463,-0.07923993903596112,-0.18722318165609397,0.32766906118404754,0.3875897944017835,,2.6070252138231798,1.9349212540201304,1.9646827407817984
120,mom252↑&mom126↑,68135,3896,152,2.3114447438349606,1.2150510357736137,-0.07718209506563124,-0.1809353312324069,0.33357305349673444,0.3821090482131063,,2.5696735139620133,1.8510810320604325,2.3269601874843064
120,mom252↑&sma120gap↑,57389,3138,140,2.2103401366370843,1.2087137267269714,-0.08401842329085196,-0.19345699451143916,0.3255850424297339,0.3904406767847497,,2.156486716315465,1.806244324316855,2.407227243345935
120,mom252↑&rs63↑,51345,2841,143,2.23670085346787,1.2171557618660074,-0.08292394679697672,-0.1956188515213908,0.3219203427792385,0.39061252312786054,,2.3466762890052726,1.8249980528300829,2.2120417676962982
120,mom252↑&mom63↑,52840,2846,146,2.177243059176754,1.2102594938923488,-0.09297410018917468,-0.19954016167112032,0.31744890234670703,0.39562831188493564,,2.2589422805462607,1.7661679589293593,2.2881802916482545
120,mom252↑&beta60↑,30081,2032,108,2.7306514065536764,1.2363185502113105,0.021123028394317716,-0.10862309157397765,0.3935042053123234,0.3000232705029753,,2.373180482221161,2.530999488705593,2.1474603582938525
120,mom252↑&days_since_high↓,38876,2086,120,2.1690399875741715,1.1988989001308819,-0.07028436170199519,-0.17261418539183065,0.34944438728264227,0.37758514250437286,,2.194455883500889,1.7159414874456616,2.460248137044142
120,mom252↑&amt20↑,48313,2644,106,2.212240164199855,1.221584962077076,-0.07172078267974992,-0.1700225797337882,0.33796286713720947,0.3691966965413036,,2.234429780677069,1.902279008813988,1.7279047796307325
120,mom12_1↑&dlow252↑,74395,4401,156,2.3913461671614384,1.223656343659977,-0.06655970471914081,-0.17507230187053102,0.3356811613683715,0.3762752873176961,,2.6751750367626244,2.014636288254265,1.9137702656088305
120,mom12_1↑&mom126↑,62288,3697,140,2.3992742451617985,1.2298146320209924,-0.0633816679674993,-0.16944445431839372,0.33974441304906244,0.36872270742358076,,2.712980550981748,1.9335400949348016,2.2922108711687157
120,mom12_1↑&sma120gap↑,47475,2836,122,2.414771719762315,1.2176035117278246,-0.06224388182198235,-0.17836817314018383,0.33701948393891523,0.37520800421274353,,2.4157763303857007,1.9850080576286673,2.5050661031642822
120,mom12_1↑&rs63↑,43911,2619,130,2.4109988254657875,1.2317359406159694,-0.06291797960107975,-0.18242706205273918,0.3310559996356266,0.37519072669718295,,2.5803953269619058,1.9872074215667022,2.206977332889731
120,mom12_1↑&mom63↑,45219,2615,130,2.337682723734596,1.2291830765334872,-0.07507880502101183,-0.18714298356365333,0.32537207810875957,0.3815210420398505,,2.488446271979112,1.910653025970978,2.296404979969641
120,mom12_1↑&beta60↑,30141,2030,102,2.722533352918098,1.2472689744895722,0.022183392709921736,-0.10689339164960776,0.3939484423210909,0.30012275637835506,,2.3335469181596262,2.5681300475522124,2.0727347447073474
120,mom12_1↑&days_since_high↓,31264,1840,99,2.3790748662299404,1.1985882614104102,-0.03696903221382086,-0.1438326563437033,0.3719293756397134,0.35091479017400207,,2.539883421435916,1.8757144894276672,2.6315271772403763
120,mom12_1↑&amt20↑,45118,2572,100,2.30438984273382,1.2337265993174455,-0.05928758599553507,-0.16028138502429212,0.34378740192384416,0.3595017509641385,,2.375915372894789,1.976719381072615,1.7814626090348482
120,dlow252↑&mom126↑,103637,5333,215,2.080135274431932,1.0394825626028688,-0.0690644079203873,-0.1770161017522498,0.32371643332014627,0.3557995696517653,2.7909334998887236,1.9052345442629872,1.9743529097765753,2.335439740735293
120,dlow252↑&sma120gap↑,94057,4539,207,1.95076020766462,1.0349042917066327,-0.07622622796780554,-0.18962064987594607,0.3136289696673294,0.3649276502546328,2.5936433731724517,1.7474475329710653,1.8477585228648492,2.394921391188549
120,dlow252↑&rs63↑,87693,4221,209,1.9457419951953683,1.0380978377588177,-0.0783168242157087,-0.1929879767386924,0.3074931864572999,0.3671900835870594,2.7782203508500847,1.7621519690978409,1.8634223456462735,2.145901185735471
120,dlow252↑&mom63↑,88240,4192,210,1.9203951588421861,1.0376180903572403,-0.08377231279327958,-0.19489883419043003,0.30545104261106076,0.36983227561196735,2.7822622469627687,1.7411986507683286,1.8211792611696147,2.26620497072006
120,dlow252↑&beta60↑,47907,2938,150,2.4790634579036532,1.0412404040344139,0.0075294273699928185,-0.131457798711893,0.3637464253658129,0.29692946750996724,3.006399350398268,1.6579568353641339,2.7638177375623454,2.1922864193398603
120,dlow252↑&days_since_high↓,46247,2592,147,2.265615772414038,1.093474279047053,-0.05036790172798656,-0.16695429688102947,0.3512227820182931,0.3595044002854239,3.6200049219144916,1.9325372306364774,2.0773459494504336,2.4026389090984677
120,dlow252↑&amt20↑,68767,3680,144,2.1632293576224892,1.026946110806111,-0.055784550744524965,-0.17895011619318557,0.3246469963790772,0.34942632367269183,3.6522304850175877,1.9553587193722806,2.1917186054986573,1.783953932219095
120,mom126↑&sma120gap↑,100507,4435,212,1.7837424259006835,1.0300257841559528,-0.07990282586272646,-0.17500228692130504,0.3207736774553016,0.35052284915478527,1.7582881049298957,1.537103730520546,1.7061842552874977,2.2849682722568834
120,mom126↑&rs63↑,89270,3962,209,1.7940880949816052,1.031985554887198,-0.0809465411875199,-0.17964769348727755,0.31337515402710875,0.35270527612859864,2.19786013116237,1.6167688436169123,1.7350204220283993,1.953643236349388
120,mom126↑&mom63↑,90450,3950,211,1.7653196375631552,1.0399743788884714,-0.08767399593662908,-0.1823071172623273,0.3112106135986733,0.35708126036484245,2.618726964789207,1.583848367571506,1.68416928087242,2.0725709051101053
120,mom126↑&beta60↑,41121,2600,141,2.555903827917099,1.0400562499754964,0.009457864690394249,-0.12718096130192869,0.3672576056029766,0.29179737846842246,,1.6807719500669325,2.7310580908596376,2.696088150472878
120,mom126↑&days_since_high↓,54030,2632,162,1.9691814923480861,1.0788600729353874,-0.06186806303342079,-0.15827402008146058,0.3503979270775495,0.3493799740884694,,1.6775321872455413,1.778115817599741,2.467236200569901
120,mom126↑&amt20↑,64060,3281,133,2.070399356437613,1.02289465308911,-0.06414571974027675,-0.17220842080700183,0.32766156728067436,0.34483296909147676,3.001955301099822,1.8760107009580382,2.090629231871649,1.9068451906885722
120,sma120gap↑&rs63↑,126308,5093,264,1.629962623174239,1.0263675893421922,-0.08164759636700902,-0.17582995222918701,0.3089907210944675,0.33827627703708396,1.8553692454692878,1.4237174711526441,1.6077030692128198,1.8284726091332726
120,sma120gap↑&mom63↑,129110,5104,268,1.5980325183501969,1.0272618912043487,-0.0883079162072609,-0.17717437139158076,0.3073348307644644,0.34212686856169156,1.8280811246097648,1.393394466500015,1.5625029646561945,1.8955034932835093
120,sma120gap↑&beta60↑,38717,2413,140,2.5193612854984275,1.061827777601285,-0.0007975329678808374,-0.1455703978948366,0.3544954412790247,0.31141359092904924,2.3718515918307017,1.522036271783285,2.6003575591375236,2.832285647661431
120,sma120gap↑&days_since_high↓,62356,2899,176,1.8793375658825715,1.0728884689671114,-0.07069871728589912,-0.1622652540845546,0.3415870164859837,0.3501186734235679,2.5464862209329526,1.364081290512105,1.7803132984593046,2.2113052525388577
120,sma120gap↑&amt20↑,69904,3178,134,1.8377511087520124,1.0061947543198557,-0.07672179009463415,-0.18365450381864956,0.30929560540169376,0.3498226138704509,3.174315479462836,1.4235848943090006,1.8682414190747525,1.8711734646112719
120,rs63↑&mom63↑,152835,5918,311,1.5652617314787347,1.0301950733541183,-0.08379554534278265,-0.17191840228020505,0.3039879608728367,0.33163215232113064,1.5397085374781652,1.3640108589077136,1.5950699293818116,1.6944554963142824
120,rs63↑&beta60↑,41882,2489,158,2.4023280492727004,1.098372567325164,-0.008342338489190759,-0.14667542927599475,0.34430065421899625,0.30882001814622034,2.081912058592257,1.3170118874985,2.6377607957457014,2.2120701338650424
120,rs63↑&days_since_high↓,54265,2694,171,2.0068393680808336,1.0518400845323448,-0.05671882900428101,-0.1585798550474805,0.34445775361651154,0.34296507878006083,2.907405527836836,1.5252385263131376,1.9185923057222505,2.146775356826577
120,rs63↑&amt20↑,66649,2935,144,1.780120066654191,0.9922577271026428,-0.07907384713899403,-0.18777644487939016,0.3001245330012453,0.3528935167819472,2.122022275450962,1.4661790511356032,1.8737393672472964,1.6722481628778578
120,mom63↑&beta60↑,41573,2426,154,2.3589256848719486,1.100702339354924,-0.017079777968979918,-0.15382341289892798,0.3400283838067977,0.31758593317778366,1.9604606047998838,1.3376996689424858,2.5613753970633035,2.3583668600106953
120,mom63↑&days_since_high↓,55698,2665,170,1.9341601913977795,1.0596149641428734,-0.06976948561061493,-0.1643713646702371,0.3405687816438651,0.3526338468167618,2.797276530570289,1.484362255147526,1.8371041815455462,2.1319356010675707
120,mom63↑&amt20↑,68917,3004,143,1.7620100946878587,1.001835300175387,-0.0841818891146207,-0.18856970803502493,0.3008401410392211,0.35628364554464065,2.242486732810337,1.4551416148776368,1.8167764236520176,1.7466430677560045
120,beta60↑&days_since_high↓,17184,1260,96,2.9640198585401802,1.1244456288747666,0.047554295831102475,-0.09894874310394458,0.40502793296089384,0.2877094972067039,,1.4421259395050414,2.9739544275326497,2.721098244633109
120,beta60↑&amt20↑,55148,2709,123,1.985701967173462,0.9858874661677026,-0.03030385863236518,-0.15476152510873242,0.3309458185246972,0.30151592079495176,1.2997476798168461,1.392401426077896,2.485909492566628,1.7096793139264872
120,days_since_high↓&amt20↑,36255,1835,98,2.0459875518472206,1.0447358779732128,-0.06956034585552184,-0.17512215932259934,0.3389325610260654,0.3608881533581575,,2.013032226224109,1.8401159842731678,1.9885419323324847
120,mom252↑&mom12_1↑&dlow252↑,71600,4285,148,2.4192047797799376,1.2245636329854572,-0.06474094670962408,-0.17452413675953904,0.3369692737430168,0.37610335195530725,,2.7390389404030833,2.030291761372495,1.9665174391328806
120,mom252↑&mom12_1↑&mom126↑,58103,3546,131,2.4670332483652007,1.2265593956198109,-0.05958902752611641,-0.167345472638599,0.3433385539473005,0.36874171729514826,,2.8275612397375394,1.973026055828148,2.4016105598000363
120,mom252↑&mom12_1↑&sma120gap↑,45854,2777,118,2.448124392064633,1.2297924115700982,-0.06026898186388954,-0.17728005124310287,0.3394033235922711,0.37588869019060495,,2.4696127707824176,2.0003110286561236,2.5753425424792566
120,mom252↑&mom12_1↑&rs63↑,41258,2511,122,2.460216739353423,1.2462746684418773,-0.06000135058766005,-0.18145480640611228,0.33559552086868,0.37699355276552426,,2.6916545899397537,1.999101794883968,2.344810247845821
120,mom252↑&mom12_1↑&mom63↑,42521,2519,123,2.3947463820980346,1.2387274854599997,-0.07116364592737992,-0.18569857394721456,0.3300957174102208,0.382281696103102,,2.6075966666514896,1.9318325543957018,2.4274451702033053
120,mom252↑&mom12_1↑&beta60↑,27312,1886,95,2.7914060315340574,1.2506564669386417,0.02774585887787533,-0.10357524363450482,0.39806678383128297,0.29715875805506736,,2.4658151844762113,2.6073950655015388,2.1726779294626284
120,mom252↑&mom12_1↑&days_since_high↓,29875,1792,96,2.4247385617449635,1.2123692808724817,-0.03693397867014523,-0.1445021673655068,0.371581589958159,0.353673640167364,,2.552647769506954,1.9173794553326275,2.6558506399538486
120,mom252↑&mom12_1↑&amt20↑,41941,2445,92,2.356540512015228,1.2471834039049918,-0.05546989804539131,-0.1569786179771533,0.34784578336234234,0.3578360077251377,,2.375449855103807,2.0383121888953957,1.8066503260300806
120,mom252↑&dlow252↑&mom126↑,59533,3640,142,2.4716014618932465,1.2093192867120528,-0.0753529546166196,-0.19096551381021176,0.33050576990912606,0.39107721767759057,,2.7671051804210194,1.9919669459123805,2.4595026101091673
120,mom252↑&dlow252↑&sma120gap↑,50130,2949,131,2.378000249632804,1.2232710677154843,-0.08214220383870649,-0.20151345841505947,0.32286056253740275,0.39980051865150606,,2.4932778290791893,1.9196083641870334,2.520237232146264
120,mom252↑&dlow252↑&rs63↑,45322,2655,136,2.3680468313245164,1.2388764778567811,-0.08332228893696302,-0.20438755790406438,0.3192268655399144,0.400225056264066,,2.6024912008765293,1.9165117880879938,2.304694367970569
120,mom252↑&dlow252↑&mom63↑,46069,2659,136,2.333159235706511,1.2345825666186765,-0.0910905371927409,-0.20727818404334908,0.3153964705116239,0.40424146389111987,,2.5708197976508953,1.8731525656003667,2.3950518985063356
120,mom252↑&dlow252↑&beta60↑,26341,1881,101,2.886631623995531,1.2338393544350916,0.03605712191237513,-0.09886727688746078,0.4021487415056376,0.2938385027143996,,2.4330937587822334,2.759659159419547,2.296294244512238
120,mom252↑&dlow252↑&days_since_high↓,31649,1906,110,2.4344324697660498,1.2082755070297393,-0.0592117456528949,-0.177452723420919,0.34967929476444753,0.3844987203387153,,2.442279832603631,1.9865749980484282,2.5135507277397258
120,mom252↑&dlow252↑&amt20↑,41028,2427,97,2.3912460047357875,1.2187768058748123,-0.06303217139918459,-0.17323933952486525,0.3381593058399142,0.37028370868675053,,2.2932678485453803,2.1322696515616926,1.8544941638593957
120,mom252↑&mom126↑&sma120gap↑,50782,2901,130,2.309259588602465,1.2131374053878512,-0.07974736985623039,-0.19541075118254625,0.3293292899058722,0.3953566224252688,,2.207681073615899,1.8866067523198546,2.5526809578584126
120,mom252↑&mom126↑&rs63↑,44332,2536,130,2.312420189935102,1.2154795398988527,-0.08304818746076734,-0.20151006696320567,0.3241902012090589,0.39950825588739514,,2.449350257349689,1.882306306246225,2.2947985193529714
120,mom252↑&mom126↑&mom63↑,45345,2562,132,2.2839392451930913,1.2248760823166696,-0.08974820674727217,-0.20385231681525284,0.3208953578123277,0.4024478994376447,,2.380068583465998,1.8439753778674512,2.4248228572992216
120,mom252↑&mom126↑&beta60↑,20461,1586,85,3.133366208774997,1.2150190532135077,0.03995104983017183,-0.10686426498824697,0.3994428424808172,0.3010116807585162,,3.0583278001111456,2.8057280653410035,2.685018619612342
120,mom252↑&mom126↑&days_since_high↓,32844,1873,113,2.305242203346708,1.2049290534310877,-0.059535933012674805,-0.16713347036997261,0.3573864328340032,0.37623310193642673,,2.264731927731334,1.8436108182551278,2.689188341279546
120,mom252↑&mom126↑&amt20↑,35311,2190,87,2.507084234636364,1.1985923258740974,-0.057686624975012306,-0.17135297815530792,0.34436861034805016,0.3705927331426468,,2.41397087479261,2.1918280584191963,2.1719803214377293
