combo,n,events,episodes,lift,mean_ex_idx,med_ex_idx,mean_ex_ew,p_beat_idx,p_lt_m30,lift_2023,lift_2024,lift_2025,lift_2026
dlow252↑&mom126↑,20427,1148,101,2.6658893547321556,-0.030557137355016833,-0.1306438963437646,0.12463243268895881,0.3524746658833896,0.29250501786850736,,2.678554670387617,2.8086134068000623,2.613185230895814
dlow252↑&mom252↑,24103,1325,85,2.607651795556111,-0.05490425923348609,-0.14069006692995767,0.13883130003624797,0.3496245280670456,0.3364311496494212,,2.951469774973439,2.457301069411605,1.4549763836296805
dlow252↑&mom12_1↑,24579,1320,88,2.547502054487115,-0.056675420199037714,-0.14025671695814956,0.13858933598964798,0.3489564262175027,0.3361406078359575,,2.88485980211612,2.408528061546846,1.3142735610013676
dlow252↑&sma120gap↑,5931,300,58,2.3993751244324426,-0.012952992233999025,-0.125968776392536,0.10525602527680197,0.3550834597875569,0.2847749114820435,2.4460377358490564,2.1142087168561545,2.948191846779973,8.31330367742766
dlow252↑&on60↑,11576,679,75,2.7823776586566997,-2.2674436113690654e-06,-0.12408041614922044,0.14648388006182336,0.3563407049067035,0.2859364201796821,0.9185764029476071,2.4655882122743438,3.292716105684614,1.2278060008720428
dlow252↑&beta60↑,13989,672,69,2.2787014263449676,0.010308760830921429,-0.10550842364955704,0.14856409400962373,0.3744370576881836,0.24855243405532917,1.1191022320878037,2.074586261527699,2.8029198175676777,1.605664946650776
dlow252↑&bbw20↑,10732,387,65,1.7105474360120552,-0.11828347318908121,-0.19309504607944306,0.023340415109673326,0.29407379798732763,0.3558516585911293,1.8411036721444514,1.8517100747022006,1.6346664762286378,1.3141843124911816
dlow252↑&amt20↑,14287,878,64,2.9151324541475327,-0.004921141636677245,-0.11683972390726094,0.18209489449848562,0.36823685868271855,0.27402533771960524,2.3323597000483796,2.7796169946773244,3.4751852496773767,0.9840928624110823
mom126↑&mom252↑,14370,819,73,2.7035347422417586,-0.028545812775437964,-0.10799393765969934,0.15693673943421257,0.3780097425191371,0.2929714683368128,,3.215361532877061,2.376511790543805,1.817707580787108
mom126↑&mom12_1↑,15318,836,77,2.5888627909377577,-0.036275899283170064,-0.11544454383475139,0.14920802779843284,0.36923880402141274,0.297232014623319,,3.153370601943231,2.2364647597529843,1.7462563567251663
mom126↑&sma120gap↑,6797,309,66,2.156482959967498,-0.0012299323838965031,-0.09595347652237995,0.11367189787582141,0.38708253641312346,0.24231278505222892,,1.8309661092655547,2.915995863397185,11.011481186768217
mom126↑&on60↑,8492,505,70,2.8208904069789025,-0.003910730417321008,-0.11935200649264555,0.12555898505346086,0.35280263777673104,0.2601271785209609,,3.319855266586384,2.657204859788686,1.7184241687769701
