h,factor,decile,n,mean_ex,med_ex,p_ex_gt50,p_ex_lt_m30,p_beat
60,lv60,D1,94228,-0.06269741571111578,-0.049352749447319044,0.008925160249607336,0.1128645413252961,0.37014475527444074
60,lv60,D10,94994,-0.09949207509866177,-0.1647714082778065,0.05694043834347432,0.2708276312188138,0.2657536265448344
60,lv20,D1,98547,-0.056538938084776176,-0.046971640536857984,0.010999827493480269,0.1083137995068343,0.38266005053426283
60,lv20,D10,99304,-0.09599801173016746,-0.1551179950999304,0.05556674454201241,0.2512084105373399,0.26716949971803755
60,rv21,D1,98548,-0.056800453972327275,-0.04692563391566429,0.01070544303283679,0.1088809514145391,0.3824735154442505
60,rv21,D10,99305,-0.09579116262446247,-0.15480618266882573,0.05543527516237853,0.25107497104878906,0.26746890891697295
60,to20,D1,98489,-0.06488101744345373,-0.054188922758311886,0.017788788595680737,0.1404420798261735,0.38167714160972294
60,to20,D10,99201,-0.08895129414160367,-0.14315836114391667,0.04942490499087711,0.21217528049112408,0.25920101611878915
60,nh252,D1,81969,-0.07325648604004927,-0.12113579048903977,0.04965291756639705,0.19404896973245983,0.3052861447620442
60,nh252,D10,82900,-0.03430404781289574,-0.06608764094180353,0.054981905910735825,0.16523522316043426,0.3852593486127865
60,dlow252,D1,82178,-0.07145754758834791,-0.08276122451812873,0.027111879091727714,0.1479714765509017,0.32940689722310107
60,dlow252,D10,82761,-0.03750496310099315,-0.12303151774660404,0.08615168980558476,0.2337091141963002,0.34604463455009
60,mom12_1,D1,62115,-0.08029245399126227,-0.1236317670528243,0.0480238267729212,0.2114948080173871,0.30617403203735005
60,mom12_1,D10,62712,-0.03186544486118519,-0.10620620688620719,0.08183441765531317,0.21528575073351192,0.35669409363439214
60,mom21,D1,97436,-0.05631421433572797,-0.10049561333747636,0.04899626421445872,0.168110349357527,0.3263372880660126
60,mom21,D10,98246,-0.06741286388541765,-0.1355341571947642,0.06509170856828776,0.2227571605968691,0.3053559432445087
60,mom63,D1,90352,-0.06247591912301698,-0.10516676069472247,0.04703825039844165,0.1750486984239419,0.3181999291659288
60,mom63,D10,91181,-0.056042634761648474,-0.13062186998355974,0.071813206698764,0.22911571489674384,0.32187626808216624
60,ret5,D1,98501,-0.059969086219184925,-0.10736837038583369,0.05104516705414158,0.17977482462106983,0.319742946772114
60,ret5,D10,99298,-0.06352123062444746,-0.12404676775239426,0.06072629861628633,0.20350863058671875,0.30999617313541056
60,upratio63,D1,93480,-0.07318938146165352,-0.09939641245312514,0.03754813863928113,0.17544929396662387,0.3149015832263586
60,upratio63,D10,95097,-0.030830343302268613,-0.06560473622422924,0.05306161077636518,0.14287516956370863,0.375637506966571
60,on60,D1,94135,-0.0659838237389798,-0.09078557964814793,0.03862537844584905,0.16158708238168587,0.32690285228660965
60,on60,D10,95001,-0.068347523381353,-0.12328144117220896,0.0530204945211103,0.19350322628182862,0.292439026957611
60,size,D1,98411,-0.05996420552256582,-0.08947997899941107,0.036754021400046744,0.1376065683714219,0.31179441322616375
60,size,D10,99339,-0.03455176211405763,-0.04732899317715389,0.033743041504343714,0.1283785824298614,0.4085807185496129
