day,ex_ew,n
1,0.0027902940032626528,64
2,0.005027736854700942,64
3,0.006850647104303184,64
4,0.006177114072113638,64
5,0.005405584419445948,64
6,0.007900854741510024,64
7,0.00619750720326182,64
8,0.008411336107283774,64
9,0.01039812591103401,64
10,0.013228085842757828,64
11,0.0152551217062277,64
12,0.01624184532810175,63
13,0.01718958060566586,63
14,0.016415834586820804,63
15,0.014186425834086882,63
16,0.01642720584763592,63
17,0.013727286304309869,63
18,0.016474169380018656,63
19,0.019915006996855566,63
20,0.021079865198251745,63
21,0.02403383863533663,63
22,0.025467463881151637,62
23,0.026011348710750188,62
24,0.02696247354804363,62
25,0.024640811900063203,62
26,0.026847248585750737,62
27,0.025979555730540026,62
28,0.028127141892188567,62
29,0.03231736525274636,62
30,0.03205133827245809,62
31,0.03343819700012587,62
32,0.033851195362959746,61
33,0.03370660062298619,61
34,0.035690132241427384,61
35,0.03543656545246362,61
36,0.038403371000141046,61
37,0.03913300355438698,61
38,0.0401829079123558,61
39,0.04457032637545013,61
40,0.04494968130631309,61
41,0.04613076434419428,61
42,0.04679912637622016,60
43,0.046964933948661525,60
44,0.04855951741045646,60
45,0.04948525115867785,60
46,0.0514174396051034,60
47,0.051167863582206936,60
48,0.052864733256459046,60
49,0.05743946898290909,60
50,0.05704976034514353,60
51,0.058378321522902024,60
52,0.06433981195926396,59
53,0.06532667298092586,59
54,0.06645551786614931,59
55,0.06874556864861778,59
56,0.06837679758649025,59
57,0.06797402267418289,59
58,0.06927792003233914,59
59,0.07325683183673548,59
60,0.07286552792072082,59
61,0.07317302920814357,59
62,0.07968083935010098,58
63,0.08101267758471677,58
64,0.08224787520891531,58
65,0.08436446663474048,58
66,0.08538352169098803,58
67,0.08851815526837412,58
68,0.08893783677212733,58
69,0.09281654664593851,58
70,0.09202187647617653,58
71,0.09139759332455863,58
72,0.09729360745491826,57
73,0.09717479203136753,57
74,0.10055244163103032,57
75,0.10348463191890082,57
76,0.10260107886922724,57
77,0.10238441365830804,57
78,0.10215701335783695,57
79,0.10624259333583065,57
80,0.10699788630955027,57
81,0.1099360745894221,57
82,0.1145652029273807,56
83,0.11401666991176566,56
84,0.11616239860497031,56
85,0.11709330673167506,56
86,0.1155642518883084,56
87,0.11544906868447494,56
88,0.11629861792341899,56
89,0.11967815260668183,56
90,0.12095717005230656,56
91,0.12296175096558946,56
92,0.12683057689347188,55
93,0.1268427055901492,55
94,0.12741896660773508,55
95,0.12719526467030576,55
96,0.1256578050353044,55
97,0.1258002139796515,55
98,0.12416620836370298,55
99,0.1285767043788896,55
100,0.12896258162208446,55
101,0.1280446819134107,55
102,0.12850729741887573,54
103,0.1269018561014625,54
104,0.12537269955403743,54
105,0.12514309326242617,54
106,0.12391575723415933,54
107,0.12399522910261489,54
108,0.12543896001385357,54
109,0.12885039837289605,54
110,0.12629864281920805,54
111,0.12648893462697006,54
112,0.12752049343790772,53
113,0.12615068823325262,53
114,0.12530545210538446,53
115,0.12654774615626085,53
116,0.12563098015809265,53
117,0.1263673460477514,53
118,0.12673491330805237,53
119,0.12894556543445432,53
120,0.1279052134909245,53
