variant,h,market,n_anchor,ret,idx,ew,ex_idx,ex_idx_lo,ex_idx_hi,p_beat_idx,ex_ew,ex_ew_lo,ex_ew_hi,kospi_share,size_pct,amt_pct,avg_winners_of20,worst
R1 full (mom12_1+beta60+near_high),60,ALL,23,0.13210900107235862,0.07688288428662728,0.014256381728497074,0.05522611678573131,-0.008120496229869522,0.12284998393653421,0.4782608695652174,0.1178526193438615,0.036584778323280144,0.21001032677839715,0.42391304347826086,0.8025967892097567,0.9093044677366855,2.347826086956522,-0.3701567753350028
R1 full (mom12_1+beta60+near_high),60,KOSPI,23,0.16503396468603784,0.1595959694508222,0.040310534274093285,0.005437995235215666,-0.05913483824954684,0.07465020072788255,0.43478260869565216,0.12472343041194457,0.05030830285992027,0.23264543845014438,1.0,0.8855754384191105,0.9110709226234459,1.7391304347826086,-0.35147700034890256
R1 full (mom12_1+beta60+near_high),60,KOSDAQ,23,0.09344097966122429,0.024203885432943117,-0.002214772766602452,0.06923709422828117,-0.007747458764209166,0.1537703551777212,0.6086956521739131,0.09565575242782678,0.007647070811159069,0.19102362320209976,0.0,0.7152560066041539,0.8581493635422769,2.4782608695652173,-0.46886145576884913
R1 full (mom12_1+beta60+near_high),120,ALL,20,0.2591691808334144,0.2080956489052324,0.07044639643020219,0.051073531928182,-0.010341204398376252,0.1152372665572295,0.55,0.18872278440321225,0.058237348361600265,0.32636944665157974,0.4325,0.7910754861249021,0.9060004764741629,1.4,-0.20619245148359322
R1 full (mom12_1+beta60+near_high),120,KOSPI,20,0.4060901556928765,0.38034121152589967,0.11949929596115223,0.025748944166976716,-0.0623863828385811,0.12407191545354176,0.5,0.2865908597317242,0.11907791564535186,0.4673166177132966,1.0,0.8730409563062134,0.901007100592779,1.55,-0.09020857247523777
R1 full (mom12_1+beta60+near_high),120,KOSDAQ,20,0.12657098273946604,0.09639823733352511,0.03908735327900805,0.03017274540594097,-0.06704268352780345,0.0951110778407937,0.55,0.08748362946045801,-0.04631565166070825,0.2234306510199041,0.0,0.7023024198247658,0.8546903295015792,1.45,-0.17313141429522846
R1-beta (mom12_1+near_high),60,ALL,23,0.06037916097187009,0.07688288428662728,0.014256381728497074,-0.016503723314757194,-0.05718419916082487,0.029705559503402878,0.391304347826087,0.046122779243373005,0.006170647403348732,0.09222585784655658,0.49347826086956526,0.8116822054847882,0.8803864664353492,1.826086956521739,-0.385981373878881
R1-beta (mom12_1+near_high),60,KOSPI,23,0.083744086202732,0.1595959694508222,0.040310534274093285,-0.0758518832480902,-0.15214931948414614,-0.004566355649736525,0.34782608695652173,0.043433551928638695,-0.00027339707180288366,0.10853013737857538,1.0,0.8966177224553845,0.9096286437031794,1.173913043478261,-0.32064238974421766
R1-beta (mom12_1+near_high),60,KOSDAQ,23,0.03263743249271157,0.024203885432943117,-0.002214772766602452,0.008433547059768447,-0.031163220937657915,0.057029874893846574,0.43478260869565216,0.03485220525931403,-0.01890878183415911,0.09494461624853685,0.0,0.68022787186936,0.8158087563455407,2.0,-0.4599139198322674
R1-beta (mom12_1+near_high),120,ALL,20,0.19279580395497736,0.2080956489052324,0.07044639643020219,-0.015299844950254987,-0.11846294225316875,0.12823030966763233,0.4,0.12234940752477519,0.10346396956044791,0.19714126115713104,0.49749999999999994,0.8011368822022321,0.8719976362580638,1.25,-0.41175840960741694
R1-beta (mom12_1+near_high),120,KOSPI,20,0.2707231561441273,0.38034121152589967,0.11949929596115223,-0.10961805538177236,-0.3354534434824339,0.12619535543742638,0.45,0.1512238601829751,0.07406735108286253,0.23753257003526634,1.0,0.8896733803284782,0.9000163228122524,1.05,-0.15040510244494934
R1-beta (mom12_1+near_high),120,KOSDAQ,20,0.07997944254109131,0.09639823733352511,0.03908735327900805,-0.016418794792433793,-0.037023015148701086,0.040004135837812066,0.45,0.04089208926208325,0.0007199900283640383,0.1310450801541663,0.0,0.6727633632100574,0.812859441332451,1.1,-0.4922813384085887
R1-mom (beta60+near_high),60,ALL,30,0.10451357410117572,0.05484158083346207,0.0028638074798905695,0.04967199326771365,-0.0016151492249686257,0.09585844782669363,0.6666666666666666,0.10164976662128514,0.03784265118920158,0.16865220559093574,0.36666666666666664,0.7382805183818363,0.8800820365995238,2.533333333333333,-0.47368757911988646
R1-mom (beta60+near_high),60,KOSPI,30,0.1169668375343169,0.12461244539445447,0.030821049138340613,-0.0076456078601375675,-0.04928468698811788,0.03659700654617048,0.36666666666666664,0.0861457883959763,0.02332336716600874,0.17632054608207115,1.0,0.8729315630197203,0.910007624374346,1.6333333333333333,-0.3309818179729225
R1-mom (beta60+near_high),60,KOSDAQ,30,0.0620359492743113,0.010464409723144013,-0.014813495781654647,0.05157153955116729,0.00254084774874433,0.10250780534746518,0.5666666666666667,0.07684944505596596,0.017257983141668414,0.14120207787673958,0.0,0.6415091648304503,0.8524596526716478,2.433333333333333,-0.5126015133221792
R1-mom (beta60+near_high),120,ALL,27,0.16409492303462236,0.13215868084330995,0.023257056034256835,0.03193624219131244,-2.1389206826603697e-05,0.08085438340982935,0.6666666666666666,0.14083786700036557,0.058691765221123945,0.24488645850343482,0.387037037037037,0.7346015460289834,0.8812523353001841,1.3703703703703705,-0.21398586911047038
R1-mom (beta60+near_high),120,KOSPI,27,0.2654560034096328,0.2754117647915411,0.0786758005253916,-0.009955761381908282,-0.044888214062029655,0.04557652787232683,0.48148148148148145,0.18678020288424124,0.05759495171381721,0.3342152615236679,1.0,0.8649871370148481,0.9053051670364953,1.1111111111111112,-0.15883672477756347
R1-mom (beta60+near_high),120,KOSDAQ,27,0.07546855708644336,0.0395951178246317,-0.011929131944098082,0.03587343926181165,-0.021053320035472903,0.1101709898599802,0.4074074074074074,0.08739768903054143,-0.0030171205470754313,0.21033185209642263,0.0,0.6340566160923495,0.8559337444494931,1.3333333333333333,-0.3924312164219165
R1-nearhigh (mom12_1+beta60),60,ALL,23,0.09615742263388126,0.07688288428662728,0.014256381728497074,0.019274538347253994,-0.04387005041003123,0.08538510564913686,0.5652173913043478,0.08190104090538418,0.0001518778697457537,0.1728030080392002,0.3652173913043478,0.7890220300835119,0.890938359269073,2.0434782608695654,-0.4834632409648001
R1-nearhigh (mom12_1+beta60),60,KOSPI,23,0.16298087425306973,0.1595959694508222,0.040310534274093285,0.0033849048022475776,-0.048888495039355315,0.057656738194816454,0.5652173913043478,0.12267033997897646,0.04904498792866856,0.2255106704626737,1.0,0.87543804463916,0.9101402105413495,1.565217391304348,-0.36625431464292973
R1-nearhigh (mom12_1+beta60),60,KOSDAQ,23,0.0676785612290912,0.024203885432943117,-0.002214772766602452,0.043474675796148075,-0.030039095969541085,0.1260776611685271,0.6086956521739131,0.06989333399569364,-0.01655701660869733,0.16416146019531927,0.0,0.7346711569785092,0.858366943774356,2.3043478260869565,-0.4567037902109542
R1-nearhigh (mom12_1+beta60),120,ALL,20,0.22690566504408624,0.2080956489052324,0.07044639643020219,0.018810016138853906,-0.06745921322958832,0.11551987468163344,0.5,0.15645926861388412,-0.016671751622276028,0.35150271536501937,0.39249999999999996,0.7801231626780398,0.8825476842655748,1.5,-0.16426097469285714
R1-nearhigh (mom12_1+beta60),120,KOSPI,20,0.39718264568889744,0.38034121152589967,0.11949929596115223,0.01684143416299777,-0.031766453125548134,0.07921472888046832,0.5,0.2776833497277452,0.1045550721244558,0.46783416035124753,1.0,0.8641603432923628,0.9008393754180328,1.4,-0.03671055367972168
R1-nearhigh (mom12_1+beta60),120,KOSDAQ,20,0.12259300858984368,0.09639823733352511,0.03908735327900805,0.026194771256318593,-0.092645366860326,0.10874298342137684,0.6,0.08350565531083565,-0.05765641275897718,0.22819056817579172,0.0,0.7203453704451294,0.8503846398358885,1.25,-0.25338372966171074
