combo,h,cut,n,ic,lo,hi,pos
lv60,5,all_monthly,31,0.09475810973844373,0.037860866841602836,0.1455798947097183,0.8064516129032258
lv60,5,year_2024,12,0.09946143564094585,0.029440914688577357,0.16712238262357523,0.8333333333333334
lv60,5,year_2025,12,0.13817206469960872,0.06870175991417478,0.19895514554068558,0.8333333333333334
lv60,5,year_2026,7,0.012271342543585782,-0.14103608425921949,0.14711132045708453,0.7142857142857143
lv60,5,regime_강세,297,0.11499991947488704,0.09620580587728363,0.140211487178619,0.8821548821548821
lv60,5,regime_조정,56,0.1346701252346241,0.051685148082472515,0.20055389778389945,0.7678571428571429
lv60,5,regime_반등,60,0.12139212157492692,0.07501318712812496,0.17267053618963935,0.8333333333333334
lv60,5,regime_약세,231,0.10828301933276567,0.06314087180320622,0.15614967072333333,0.7662337662337663
lv60,5,top50_excess,31,0.00819804797783795,0.0010442780175353792,0.01466012350007606,0.6129032258064516
lv60,20,all_monthly,30,0.16491556057098658,0.11204341777026498,0.2237480957019171,0.8333333333333334
lv60,20,year_2024,12,0.15690109904341684,0.06958089139586095,0.2370430824604034,0.75
lv60,20,year_2025,12,0.1462029526499273,0.06580889189330379,0.22736229559569002,0.9166666666666666
lv60,20,year_2026,6,0.21836969946824444,0.04549303047884802,0.36995909242772407,0.8333333333333334
lv60,20,regime_강세,297,0.16752212055057067,0.14050780018735431,0.1923560495652261,0.9023569023569024
lv60,20,regime_조정,56,0.12257112768464216,0.05836892723407739,0.1603574182741964,0.8214285714285714
lv60,20,regime_반등,48,0.168499537948714,0.12303495384613579,0.22975502389958535,0.9166666666666666
lv60,20,regime_약세,228,0.1602394244947423,0.11814062106011833,0.21561453433536554,0.8070175438596491
lv60,20,top50_excess,30,0.031646959157307204,0.015569479958210512,0.04883243533766654,0.7741935483870968
lv60,60,all_monthly,29,0.21183335939123857,0.1749948716799705,0.25608578457340453,0.9655172413793104
lv60,60,year_2024,12,0.20379806906457407,0.15763827512656983,0.2446766738158931,1.0
lv60,60,year_2025,12,0.17814299720551163,0.12479388330287818,0.22757402168809754,0.9166666666666666
