universe,cut,h,n_days,excluded_frac,mean_all,mean_cut,diff,lo,hi,pos
전체(가드),희석(유상·CB·BW·EB·혼합)60d,20,629,0.0879248816080627,0.025187299014136494,0.026842819962728418,0.0016555209485919248,0.0012446660255050676,0.0020936242795562246,0.7710651828298887
전체(가드),희석(유상·CB·BW·EB·혼합)60d_플래그종목자체,20,629,,,,0.008198778754405516,0.003312669027897263,0.013451030677392516,0.5646153846153846
전체(가드),희석(유상·CB·BW·EB·혼합)60d,60,589,0.0867640647937146,0.05518535577437959,0.058506845541007484,0.0033214897666278857,0.0027179556719191035,0.0038467837156595033,0.8183361629881154
전체(가드),희석(유상·CB·BW·EB·혼합)60d_플래그종목자체,60,589,,,,0.019882454073508235,0.012332390482855058,0.028463355022284677,0.5615384615384615
전체(가드),희석+무상+감자60d,20,629,0.09871728435738586,0.025187299014136494,0.027046904472537752,0.001859605458401257,0.0014756644930567036,0.002281752830872234,0.7917329093799682
전체(가드),희석+무상+감자60d_플래그종목자체,20,629,,,,0.008598688498355848,0.004407592828840514,0.013160129447720971,0.5923076923076923
전체(가드),희석+무상+감자60d,60,589,0.09791065753648767,0.05518535577437959,0.0585528682642275,0.003367512489847907,0.002837830241750108,0.003929536751249787,0.8404074702886248
전체(가드),희석+무상+감자60d_플래그종목자체,60,589,,,,0.024015423437722786,0.017439915733965455,0.03110406445991263,0.6492307692307693
조용함상위20%,희석(유상·CB·BW·EB·혼합)60d,20,629,0.02801362135924039,0.03617728781612891,0.03659502199704934,0.00041773418092043646,6.830895155096354e-05,0.0006996671822791342,0.7376788553259142
조용함상위20%,희석(유상·CB·BW·EB·혼합)60d_플래그종목자체,20,594,,,,0.025201813648129876,0.013370790009128894,0.037986375936352276,0.6227642276422765
조용함상위20%,희석(유상·CB·BW·EB·혼합)60d,60,589,0.028428134164703196,0.08049234316306535,0.08176259999332738,0.0012702568302620449,0.0008555781460849038,0.0016998186683484487,0.6910016977928692
조용함상위20%,희석(유상·CB·BW·EB·혼합)60d_플래그종목자체,60,556,,,,0.04582785900871268,0.02664614803139829,0.06460195145290108,0.5853658536585366
