cut,key,metric,n,mean,lo,hi,pos
type,bonus,pre20,122,0.16432361781619734,0.11754185660930531,0.21710389837404595,0.7622950819672131
type,bonus,react,122,0.0902022720222202,0.06724158611561704,0.11356198215351043,0.8114754098360656
type,bonus,ex5,122,0.0135481175677973,-0.01550954871827067,0.04144135008937914,0.6557377049180327
type,bonus,ex20,122,0.05469610509134719,0.009151687226943112,0.10233319345408953,0.5491803278688525
type,bonus,ex60,114,-0.014624699712248125,-0.0720439520021921,0.046474798761780976,0.4016393442622951
type,bonus,raw20,122,0.029300146307709444,-0.016823395022689477,0.07633079220706905,0.5081967213114754
type,bonus,exm20,122,0.03216532931824147,-0.013707097133630688,0.07935161536987934,0.47540983606557374
type,bonus,exm60,114,-0.06765399537657778,-0.12446376944082253,-0.006374690766610428,0.32786885245901637
type,buyback_direct,pre20,355,0.026123711319000268,0.008901517569997488,0.044512639067004596,0.5267605633802817
type,buyback_direct,react,355,0.0487986523514287,0.04066575459774352,0.05779963857399747,0.8140845070422535
type,buyback_direct,ex5,353,0.01134008143975387,0.003971060573574276,0.018430005860403706,0.5746478873239437
type,buyback_direct,ex20,344,0.03295867236788683,0.01851720988725648,0.04779962584595834,0.5633802816901409
type,buyback_direct,ex60,320,0.08145407008931406,0.05420215769173827,0.11109622003030808,0.543661971830986
type,buyback_direct,raw20,344,0.0076084376610885095,-0.007125767234380605,0.0226606965817757,0.43661971830985913
type,buyback_direct,exm20,344,0.00876333124397474,-0.005779858564707193,0.023585927256803255,0.4676056338028169
type,buyback_direct,exm60,320,0.02605964123795169,-0.0007354668799045855,0.05582600541674042,0.4535211267605634
type,buyback_sell,pre20,918,0.07114935163175629,0.05489665745580153,0.08780558221779323,0.5708061002178649
type,buyback_sell,react,918,0.002504138818568841,-0.0011592807660219262,0.00616013318407007,0.46405228758169936
type,buyback_sell,ex5,916,0.008570047478839207,0.0030839664564102447,0.014686788627592087,0.4989106753812636
type,buyback_sell,ex20,904,0.0262186674593334,0.014591370682882961,0.03757846797662514,0.48474945533769065
type,buyback_sell,ex60,880,0.08514536696311625,0.05874185561945258,0.11350759491577901,0.49455337690631807
type,buyback_sell,raw20,904,0.007150057933737798,-0.004877091746979057,0.018683435379565193,0.42810457516339867
type,buyback_sell,exm20,904,-0.0025757010669928415,-0.014041325180707175,0.008896983082953634,0.3779956427015251
type,buyback_sell,exm60,880,0.021268585756349444,-0.006000360395798453,0.049260637610450235,0.4008714596949891
type,buyback_trust,pre20,830,0.012623153839867996,0.0041908422576692,0.020636306482519046,0.5325301204819277
type,buyback_trust,react,830,0.01981607195593766,0.01644539459833213,0.023636885216226332,0.6493975903614457
type,buyback_trust,ex5,827,0.014831617888672738,0.010576779698051736,0.018742693612589574,0.5734939759036145
type,buyback_trust,ex20,811,0.03376323644575386,0.02545485574483966,0.04192301969117915,0.5831325301204819
type,buyback_trust,ex60,757,0.0797821959402369,0.06104261531987748,0.09700009040697427,0.5614457831325301
type,buyback_trust,raw20,811,0.010246232794933826,0.0013285093317216183,0.019404763130278113,0.4771084337349398
type,buyback_trust,exm20,811,0.011472944871515912,0.003130483088369122,0.019600124622237248,0.4831325301204819
type,buyback_trust,exm60,757,0.03139204675503845,0.012565138160389752,0.0482678809085684,0.4493975903614458
type,bw,pre20,71,0.0716564468676646,0.012022923387477553,0.13542403345689624,0.5211267605633803
type,bw,react,71,0.05864575196154836,0.01931778634648202,0.0978774277128782,0.5774647887323944
type,bw,ex5,71,0.013088985400053139,-0.009746383844974652,0.03987052288015003,0.4788732394366197
type,bw,ex20,70,0.0414868242467594,-0.025185412572478662,0.12041224896444683,0.36619718309859156
type,bw,ex60,67,0.07224148602574547,-0.03347499383823213,0.16879637961339217,0.43661971830985913
type,bw,raw20,70,0.00130773533524432,-0.06456956669051758,0.08160489637669392,0.28169014084507044
type,bw,exm20,70,0.01801398529025953,-0.04866625871192984,0.09655898125914843,0.323943661971831
type,bw,exm60,67,0.018468367229168406,-0.08745650851820062,0.11432492005081074,0.352112676056338
type,cb,pre20,924,0.09392927349020079,0.07473201433446014,0.1118467930413133,0.5606060606060606
type,cb,react,924,0.029109853402543948,0.02127277805613358,0.03712997164756464,0.5292207792207793
type,cb,ex5,922,0.011316728277311948,0.0018889099255799636,0.02097177341203207,0.46320346320346323
type,cb,ex20,906,0.011022019014847943,-0.006161328467077263,0.029521181686164712,0.38852813852813856
type,cb,ex60,856,-0.016718971899112825,-0.04913154223813967,0.014947647299432378,0.31601731601731603
type,cb,raw20,906,-0.021792749437452793,-0.0396618468751494,-0.003233911837622477,0.3344155844155844
type,cb,exm20,906,-0.01410245458450489,-0.03088594219762214,0.00425693470894292,0.3268398268398268
type,cb,exm60,856,-0.0704239392905117,-0.10300281902033469,-0.03889755149141124,0.2532467532467532
type,eb,pre20,141,0.04369262446186973,0.008874503767684469,0.08404764199301827,0.5035460992907801
type,eb,react,141,0.01143139238139274,0.0024607322490499666,0.020958634691883235,0.524822695035461
type,eb,ex5,141,0.00485745210086274,-0.009779237558114115,0.018555896491030097,0.524822695035461
type,eb,ex20,140,0.027264470758318053,0.0003046214438158264,0.05403955373105414,0.5035460992907801
type,eb,ex60,138,0.026165934278759795,-0.013269352472974089,0.0694560066284641,0.41843971631205673
type,eb,raw20,140,0.014621798200688227,-0.013062041754678583,0.04198338136270744,0.45390070921985815
type,eb,exm20,140,-0.0013504222565389524,-0.028557908179097043,0.025090200266761807,0.425531914893617
type,eb,exm60,138,-0.0403368652068632,-0.08201722596183175,0.003889089171393704,0.3120567375886525
