model,entry,n,exc20_pct,lo,hi,win,ic20,ic_lo,ic_hi
v30,t 종가(불가능·참조),41,1.79,0.76,2.65,0.76,0.0415,0.0015,0.0791
v30,t+1 시가,40,1.93,0.99,2.81,0.75,0.0448,0.0037,0.0828
v30,t+1 종가(현행),40,1.8,0.82,2.68,0.78,0.0427,0.0025,0.0812
v30,t+2 종가,39,1.88,0.98,2.72,0.77,0.0503,0.0128,0.0869
v30,t+3 종가,38,1.94,0.98,2.81,0.74,0.0585,0.0224,0.0949
v30,t+5 종가,36,2.07,1.25,2.87,0.75,0.0582,0.022,0.0927
lv_b,t 종가(불가능·참조),28,1.89,0.58,3.22,0.68,0.0456,-0.0321,0.1199
lv_b,t+1 시가,27,1.9,0.53,3.31,0.67,0.0582,-0.0146,0.1285
lv_b,t+1 종가(현행),27,1.47,-0.05,3.03,0.74,0.0314,-0.0409,0.1037
lv_b,t+2 종가,26,1.64,0.05,3.24,0.69,0.0315,-0.0416,0.1028
lv_b,t+3 종가,25,1.37,-0.34,3.14,0.68,0.0255,-0.0437,0.0939
lv_b,t+5 종가,23,0.8,-0.43,2.13,0.57,-0.0068,-0.072,0.0632
lv_a,t 종가(불가능·참조),28,1.6,0.67,2.52,0.71,0.0209,-0.0288,0.0692
lv_a,t+1 시가,27,1.23,0.37,2.19,0.7,0.0257,-0.0171,0.0703
lv_a,t+1 종가(현행),27,0.72,-0.34,1.83,0.63,-0.0045,-0.0525,0.0443
lv_a,t+2 종가,26,0.23,-0.83,1.16,0.54,-0.02,-0.0649,0.0236
lv_a,t+3 종가,25,-0.0,-1.11,0.94,0.52,-0.0262,-0.0697,0.0153
lv_a,t+5 종가,23,0.22,-0.77,1.18,0.61,-0.0388,-0.0879,0.0106
sv_a,t 종가(불가능·참조),16,0.15,-0.52,0.92,0.44,0.0523,0.0318,0.0714
sv_a,t+1 시가,15,0.19,-0.58,0.89,0.53,0.0561,0.0374,0.0734
sv_a,t+1 종가(현행),15,0.11,-0.41,0.66,0.53,0.0412,0.0191,0.0608
sv_a,t+2 종가,14,-0.25,-1.02,0.48,0.57,0.0297,0.0072,0.0499
sv_a,t+3 종가,13,-0.45,-1.48,0.55,0.46,0.022,-0.003,0.0454
sv_a,t+5 종가,11,-1.35,-2.11,-0.46,0.18,0.0072,-0.0173,0.0268
