entry,cut,n,exc20,lo,hi,win
t 종가(불가능·참조),전체,630,0.032651297665309276,0.020780519995886468,0.046134700960540634,0.7841269841269841
t 종가(불가능·참조),강세,297,0.032125856545310166,0.017938499537390667,0.039305069032848,0.8451178451178452
t 종가(불가능·참조),조정,56,0.028047823013688834,-0.002370913513499237,0.05214283498564626,0.6785714285714286
t 종가(불가능·참조),반등,48,0.038969704321996715,0.016384608708555612,0.07229373458083117,0.8125
t 종가(불가능·참조),약세,229,0.03313412331425898,0.011704875080700021,0.06405868400467427,0.7248908296943232
t+1 시가,전체,629,0.03454084445387467,0.022502249842621065,0.048352972503448485,0.7901430842607313
t+1 시가,강세,297,0.03441633685952917,0.019886743953114076,0.042050372872272736,0.8451178451178452
t+1 시가,조정,56,0.028275266184278065,-0.0032586573929472553,0.0493385303941143,0.7142857142857143
t+1 시가,반등,48,0.04040331120341739,0.016456925089902232,0.07335894198529026,0.8333333333333334
t+1 시가,약세,228,0.03500774241282189,0.013235439546729379,0.06661886107496091,0.7280701754385965
t+1 종가(현행),전체,629,0.03236248731598107,0.020233884273858242,0.04602283131112493,0.7853736089030207
t+1 종가(현행),강세,297,0.032039072756635305,0.01792627814711075,0.03950863990576167,0.8383838383838383
t+1 종가(현행),조정,56,0.026067751890417018,-0.0047234029119357646,0.04789646435782758,0.6964285714285714
t+1 종가(현행),반등,48,0.03773833259789365,0.015016555324897958,0.0699329588179976,0.7916666666666666
t+1 종가(현행),약세,228,0.033198095800303334,0.011821987058131006,0.06421169982896624,0.7368421052631579
t+2 종가,전체,628,0.03216358015824544,0.02004095258065556,0.045614471527101866,0.785031847133758
t+2 종가,강세,297,0.03189883041964707,0.01785834176700405,0.03950970149025043,0.8451178451178452
t+2 종가,조정,56,0.022420052520690716,-0.006850501196024117,0.04321049436751304,0.7142857142857143
t+2 종가,반등,48,0.037017171368929826,0.013649842587235827,0.06741415282564206,0.7916666666666666
t+2 종가,약세,227,0.03388735038711739,0.013262483595498625,0.06504586063261729,0.7224669603524229
t+3 종가,전체,627,0.03198513278826091,0.0196170798406547,0.04506573388003003,0.7862838915470495
t+3 종가,강세,297,0.03221405445767905,0.018275576269702238,0.04013587168337691,0.8484848484848485
t+3 종가,조정,56,0.017194162031122454,-0.010050224497638333,0.036063707416820155,0.6607142857142857
t+3 종가,반등,48,0.03584886552090165,0.01067234763893972,0.06670651427554655,0.7708333333333334
t+3 종가,약세,226,0.034528696750277754,0.013529137831251536,0.06504477239616292,0.7389380530973452
t+5 종가,전체,625,0.031770501533174976,0.019216505608916114,0.04499931966484406,0.792
t+5 종가,강세,297,0.03269756322899469,0.018492844030407272,0.04010995460752727,0.8383838383838383
t+5 종가,조정,56,0.011499894802703954,-0.017045944602004936,0.03231405042156393,0.6071428571428571
t+5 종가,반등,48,0.03913353343475524,0.009796755309786836,0.074340481114607,0.7916666666666666
t+5 종가,약세,224,0.034031176184836,0.01290609971510491,0.06376739823109602,0.7767857142857143
