model,kmax,n,k,cum_exc_pct,lo,hi,win,day_exc_bp
v30,20,40,1,0.17,-0.09,0.41,0.62,17.2
v30,20,40,2,0.25,-0.17,0.63,0.72,7.8
v30,20,40,3,0.34,-0.13,0.77,0.65,8.8
v30,20,40,5,0.57,-0.03,1.12,0.72,9.1
v30,20,40,10,0.57,-0.19,1.32,0.68,7.5
v30,20,40,15,1.54,0.55,2.5,0.68,13.9
v30,20,40,20,1.79,0.81,2.68,0.78,12.1
v30,40,20,1,0.48,0.23,0.78,0.7,48.4
v30,40,20,3,0.82,0.44,1.19,0.75,16.3
v30,40,20,5,1.22,0.74,1.71,0.85,10.4
v30,40,20,10,1.93,1.32,2.56,0.9,14.3
v30,40,20,20,3.77,2.9,4.6,1.0,0.8
v30,40,20,25,4.04,3.05,5.02,0.95,9.3
v30,40,20,30,4.62,3.5,5.75,1.0,14.6
v30,40,20,35,4.99,3.95,6.02,1.0,16.6
v30,40,20,40,5.73,4.73,6.79,1.0,15.3
lv_b,20,27,1,0.29,-0.16,0.76,0.56,28.8
lv_b,20,27,2,0.57,-0.1,1.23,0.63,28.1
lv_b,20,27,3,0.8,-0.04,1.57,0.78,22.8
lv_b,20,27,5,1.01,-0.16,2.12,0.67,-3.9
lv_b,20,27,10,1.12,-0.36,2.39,0.7,-1.6
lv_b,20,27,15,1.14,-0.29,2.46,0.67,8.0
lv_b,20,27,20,1.48,-0.05,3.04,0.74,15.3
lv_b,40,7,1,0.48,-0.26,1.22,0.57,47.9
lv_b,40,7,3,0.97,-0.09,1.91,0.86,31.8
lv_b,40,7,5,2.33,1.18,3.44,0.86,24.3
lv_b,40,7,10,3.51,2.25,4.66,1.0,-27.6
lv_b,40,7,20,5.92,3.31,8.14,1.0,21.7
lv_b,40,7,25,5.82,3.67,8.12,1.0,12.4
lv_b,40,7,30,5.71,3.82,7.81,1.0,-41.7
lv_b,40,7,35,6.22,4.94,7.77,1.0,18.4
lv_b,40,7,40,7.36,5.2,9.77,1.0,-12.8
lv_a,20,27,1,0.78,0.46,1.08,0.85,77.8
lv_a,20,27,2,0.97,0.55,1.38,0.85,19.2
lv_a,20,27,3,1.04,0.44,1.55,0.81,6.9
lv_a,20,27,5,1.3,0.44,2.19,0.7,2.2
lv_a,20,27,10,1.31,0.44,2.17,0.78,-6.4
lv_a,20,27,15,0.98,0.15,1.75,0.7,13.6
lv_a,20,27,20,0.71,-0.36,1.83,0.63,-25.6
lv_a,40,7,1,1.13,0.61,1.69,1.0,113.3
lv_a,40,7,3,1.31,0.68,1.98,1.0,-5.0
lv_a,40,7,5,2.04,1.02,3.04,1.0,28.4
lv_a,40,7,10,1.9,1.08,2.75,1.0,-3.2
lv_a,40,7,20,2.64,0.19,5.12,0.71,-76.5
lv_a,40,7,25,3.49,1.16,6.13,1.0,91.1
lv_a,40,7,30,4.27,0.98,8.33,0.71,-6.3
lv_a,40,7,35,5.26,1.79,9.39,0.86,15.5
lv_a,40,7,40,4.49,1.34,7.85,0.71,-8.5
sv_a,20,15,1,0.4,0.03,0.73,0.67,39.8
sv_a,20,15,2,0.65,0.07,1.22,0.73,25.7
sv_a,20,15,3,0.85,0.14,1.54,0.67,19.4
sv_a,20,15,5,0.89,0.2,1.72,0.73,9.1
sv_a,20,15,10,0.95,0.17,1.75,0.8,-25.1
sv_a,20,15,15,0.67,-0.02,1.33,0.73,6.7
sv_a,20,15,20,0.11,-0.41,0.65,0.53,-5.7
