cut,k,n,rel_cum_pct,lo,hi,abs_cum_pct,day_rel_bp
전체,1,609,0.37,0.29,0.42,0.04,36.9
전체,2,609,0.59,0.42,0.69,0.07,22.0
전체,3,609,0.79,0.55,0.95,0.1,20.4
전체,5,609,1.16,0.75,1.4,0.16,18.2
전체,10,609,2.0,1.23,2.52,0.35,15.0
전체,15,609,2.76,1.65,3.57,0.55,14.5
전체,20,609,3.46,2.01,4.51,0.72,12.4
전체,25,609,4.09,2.47,5.41,0.95,11.5
전체,30,609,4.64,2.92,6.16,1.16,10.7
전체,40,609,5.69,3.59,7.48,1.52,9.7
강세,1,297,0.38,0.29,0.44,0.03,37.6
강세,2,297,0.59,0.44,0.71,0.03,21.4
강세,3,297,0.78,0.54,0.98,0.04,19.4
강세,5,297,1.12,0.78,1.46,0.05,16.9
강세,10,297,1.94,1.24,2.49,0.12,16.5
강세,15,297,2.74,1.61,3.36,0.35,12.5
강세,20,297,3.2,1.78,3.92,0.6,9.9
강세,25,297,3.85,2.29,4.68,0.86,11.4
강세,30,297,4.26,2.49,5.28,0.92,6.8
강세,40,297,5.32,3.15,6.48,1.2,8.1
조정,1,56,0.44,0.21,0.47,0.19,44.0
조정,2,56,0.73,0.2,0.89,0.34,29.2
조정,3,56,0.95,0.14,1.19,0.42,21.6
조정,5,56,1.44,-0.2,2.19,0.8,12.6
조정,10,56,2.08,-0.55,3.47,1.22,-7.4
조정,15,56,1.96,-0.91,4.14,1.05,-7.3
조정,20,56,2.61,-0.48,4.8,0.65,-2.4
조정,25,56,2.17,-1.88,4.87,0.93,8.2
조정,30,56,3.14,-1.58,5.89,1.0,11.4
조정,40,56,4.3,-1.98,7.76,0.84,16.9
반등,1,48,0.43,0.34,0.74,0.04,43.0
반등,2,48,0.74,0.58,1.24,0.09,31.1
반등,3,48,0.89,0.71,1.45,0.11,15.3
반등,5,48,1.1,0.72,1.97,0.12,4.4
반등,10,48,1.45,0.14,3.1,0.51,4.7
반등,15,48,2.49,1.1,4.72,0.72,37.1
반등,20,48,3.77,1.55,7.02,1.41,9.8
반등,25,48,4.94,2.19,8.93,1.21,21.8
반등,30,48,5.84,2.18,10.76,1.58,21.3
반등,40,48,7.0,3.46,11.69,2.91,5.2
약세,1,208,0.33,0.11,0.43,0.0,32.5
약세,2,208,0.51,0.08,0.74,0.05,18.8
약세,3,208,0.74,0.1,1.05,0.08,22.6
약세,5,208,1.14,0.2,1.63,0.17,24.8
약세,10,208,2.19,0.63,3.16,0.41,21.4
약세,15,208,3.07,0.82,4.63,0.67,17.9
약세,20,208,3.98,1.21,5.93,0.75,20.5
약세,25,208,4.75,1.53,6.99,1.01,10.0
약세,30,208,5.3,1.86,8.25,1.46,13.6
약세,40,208,6.29,2.47,9.46,1.83,11.1
