factor,decile,ex20,pos
lv60,1,-0.005337049706725253,0.3870967741935484
lv60,2,0.012985576989220062,0.5483870967741935
lv60,3,0.017827094811141343,0.6451612903225806
lv60,4,0.024199221806819653,0.7419354838709677
lv60,5,0.03228130702388547,0.7741935483870968
lv60,6,0.03484589218239282,0.9354838709677419
lv60,7,0.0325606851414728,0.967741935483871
lv60,8,0.03029503314094996,0.9354838709677419
lv60,9,0.03263375444206885,0.9032258064516129
lv60,10,0.03187510992166878,0.7741935483870968
lv20,1,-0.010800174416504004,0.3548387096774194
lv20,2,0.013887849833021165,0.5806451612903226
lv20,3,0.02827112125669034,0.7741935483870968
lv20,4,0.02679474457416308,0.8387096774193549
lv20,5,0.03089033441474657,0.8709677419354839
lv20,6,0.028345086276657973,0.9354838709677419
lv20,7,0.030998181446832793,0.967741935483871
lv20,8,0.03164367791315062,0.9354838709677419
lv20,9,0.031414044303781606,0.9032258064516129
lv20,10,0.03246384103469977,0.8064516129032258
rv21,1,-0.009536501116468709,0.3870967741935484
rv21,2,0.012949016938989876,0.5806451612903226
rv21,3,0.02745577643042245,0.7741935483870968
rv21,4,0.026997944466242,0.7741935483870968
rv21,5,0.0315669270359774,0.8709677419354839
rv21,6,0.027877963296379996,0.9354838709677419
rv21,7,0.03146753275243614,0.967741935483871
rv21,8,0.03083018517645774,0.9354838709677419
rv21,9,0.0326330299627273,0.9032258064516129
rv21,10,0.031667082457736986,0.8064516129032258
to20,1,-0.010554063030078583,0.3870967741935484
to20,2,0.013399443747300321,0.6774193548387096
to20,3,0.020828839439968834,0.6774193548387096
to20,4,0.025255781934858355,0.8064516129032258
to20,5,0.029375236489448394,0.8709677419354839
to20,6,0.029589554379577592,0.9354838709677419
to20,7,0.027718045066264164,0.8709677419354839
to20,8,0.03350625925865836,0.9354838709677419
to20,9,0.0363153280073842,0.967741935483871
to20,10,0.038424599664969784,0.8387096774193549
nh252,1,0.01781300412864141,0.7419354838709677
nh252,2,0.01817019445547409,0.6774193548387096
nh252,3,0.026164900136512133,0.8064516129032258
nh252,4,0.02535879916854734,0.8387096774193549
nh252,5,0.022437042277998063,0.8709677419354839
nh252,6,0.022113253777081288,0.8064516129032258
nh252,7,0.026790108380045145,0.8709677419354839
nh252,8,0.028466040185264788,0.9032258064516129
nh252,9,0.032605567627345865,0.8709677419354839
nh252,10,0.024069811776630288,0.7741935483870968
dlow252,1,0.018138058530091615,0.5483870967741935
dlow252,2,0.022633453843473195,0.7096774193548387
dlow252,3,0.021163745121809588,0.8387096774193549
dlow252,4,0.02189135380790659,0.7419354838709677
dlow252,5,0.030188684808472713,0.9354838709677419
dlow252,6,0.0252253556249517,0.967741935483871
dlow252,7,0.028315400583455386,0.967741935483871
dlow252,8,0.026917536046048792,0.967741935483871
dlow252,9,0.025331651376990484,0.9032258064516129
dlow252,10,0.024806513061881464,0.8387096774193549
mom12_1,1,0.012428492174468236,0.5483870967741935
mom12_1,2,0.025965822571612035,0.7419354838709677
mom12_1,3,0.020596753854202204,0.6451612903225806
mom12_1,4,0.024046341279269575,0.7419354838709677
