universe,flag,h,n_days,flag_share,flagged,unflagged,diff,lo,hi,pos
조용함상위20%,자사주취득60d,20,629,0.11723470712269066,0.03524814569130285,0.0363841182377432,-0.0011359725464403449,-0.00464968791160939,0.0019926324321848203,0.46740858505564387
조용함상위20%,자사주취득60d,60,589,0.11645174798955447,0.08281452653238427,0.08008373895876418,0.0027307875736200856,-0.0045804643426281145,0.009894628541186248,0.5127334465195246
조용함상위20%,희석60d,20,621,0.028322976518475665,0.02546125699251072,0.03655916771333174,-0.01109791072082102,-0.023279849171825972,0.002827178720516216,0.2640901771336554
조용함상위20%,희석60d,60,581,0.028764495018969657,0.05611310597032431,0.08201125205196319,-0.0258981460816389,-0.04357777057723588,-0.0079148928295273,0.29948364888123924
조용함top50,자사주취득60d,20,616,0.08984230055658626,0.030397896065760193,0.035353813061536114,-0.004955916995775922,-0.01057158280262282,-0.0002487177140012953,0.3912337662337662
조용함top50,자사주취득60d,60,576,0.09024801587301587,0.07537866231793451,0.0775921036811859,-0.00221344136325138,-0.012582423534578292,0.006972993117263706,0.4652777777777778
조용함top50,희석60d,20,258,0.0548062015503876,0.013047557458157163,0.026831223099796554,-0.01378366564163939,-0.023965147302658866,-0.004208777420877966,0.35658914728682173
조용함top50,희석60d,60,257,0.05486381322957199,0.011352697388345778,0.0575583285577714,-0.04620563116942562,-0.06731439437125125,-0.024693529447574834,0.28793774319066145
전체,자사주취득60d,20,629,0.06783421482003194,0.031981313921061016,0.024697217900511662,0.007284096020549354,0.002891364075647213,0.011564957184783741,0.6120826709062003
전체,자사주취득60d,60,589,0.06771497992412401,0.07499943704857753,0.053556485839668315,0.021442951208909208,0.013664539576318208,0.028928486112181632,0.7368421052631579
전체,희석60d,20,629,0.0879248816080627,0.008198778754405516,0.026842819962728418,-0.018644041208322904,-0.023451524033361936,-0.013802266163857982,0.2289348171701113
전체,희석60d,60,589,0.0867640647937146,0.019882454073508235,0.058506845541007484,-0.03862439146749925,-0.045016481564097925,-0.0322095913218651,0.18166383701188454
대형20%,자사주취득60d,20,629,0.09045695526336812,0.04418683473668359,0.04404115536140151,0.00014567937528207098,-0.005865972307859388,0.006257506746393186,0.5023847376788553
대형20%,자사주취득60d,60,589,0.09054438478244295,0.1266921799274052,0.11062153346884468,0.01607064645856051,0.005616082280098402,0.025133521754686854,0.5942275042444821
대형20%,희석60d,20,629,0.05161676808413232,0.018585727313303286,0.0451114009972185,-0.026525673683915216,-0.03859167486967313,-0.014602997890119677,0.37360890302066774
대형20%,희석60d,60,589,0.05145555231431171,0.048794668918717164,0.11515573524750994,-0.06636106632879277,-0.08459414107842342,-0.045237825934415984,0.2563667232597623
