inv,w,norm,uni,h,n,ic,lo,hi,pos
foreign,5,amt,전체,5,70,-0.009577925636771761,-0.038583191141476555,0.0200602486297307,0.5285714285714286
foreign,5,amt,전체,10,65,-0.02861512779786435,-0.06290685090667007,0.0059393808718339915,0.4153846153846154
foreign,5,amt,전체,20,55,-0.026120169622933193,-0.06253263904075616,0.007713309757009442,0.38181818181818183
foreign,5,amt,대형30%,5,70,-0.0034357229944933293,-0.05048167854908251,0.03419053067690823,0.5571428571428572
foreign,5,amt,대형30%,10,65,-0.03177436615371874,-0.07368592492864279,0.005874752015512339,0.4461538461538462
foreign,5,amt,대형30%,20,55,-0.00930360296286049,-0.045223864462867046,0.03210153234616165,0.4
foreign,5,amt,중소형,5,60,-0.023304841662245123,-0.05035083155133852,0.012092420374630361,0.4
foreign,5,amt,중소형,10,55,-0.03146485278750076,-0.07527333803822653,0.014774440677466921,0.41818181818181815
foreign,5,amt,중소형,20,45,-0.04314280201381835,-0.09452586635325007,0.021505805958108914,0.3333333333333333
foreign,5,mcap,전체,5,70,-0.0004370012070717791,-0.03164061933273796,0.03329278798453635,0.5428571428571428
foreign,5,mcap,전체,10,65,-0.021750591989890093,-0.05813913916143011,0.015990991681634655,0.4153846153846154
foreign,5,mcap,전체,20,55,-0.02335150243128941,-0.06533319605112631,0.02077316120289517,0.43636363636363634
foreign,5,mcap,대형30%,5,70,-0.009766307788004743,-0.05847407332752664,0.025310390102052972,0.5714285714285714
foreign,5,mcap,대형30%,10,65,-0.04273276249511864,-0.0886066537583148,-0.0015972725478248383,0.4153846153846154
foreign,5,mcap,대형30%,20,55,-0.022193323152435995,-0.06209469782230213,0.013863008224305366,0.43636363636363634
foreign,5,mcap,중소형,5,60,-0.0015874313833020427,-0.034717460915179424,0.040178303428854256,0.55
foreign,5,mcap,중소형,10,55,-0.011982057306746235,-0.055219724806973444,0.03448831574366471,0.4727272727272727
foreign,5,mcap,중소형,20,45,-0.02531264732384477,-0.07899034986685338,0.04138091391870684,0.4
foreign,5,none,전체,5,70,-0.005996030645963557,-0.038864906516296774,0.029031028977195037,0.5285714285714286
foreign,5,none,전체,10,65,-0.02257764486119109,-0.05724567920295294,0.007945844809202716,0.36923076923076925
foreign,5,none,전체,20,55,-0.017148720915467614,-0.055034713414551434,0.021819348402334463,0.41818181818181815
foreign,5,none,대형30%,5,70,-0.00877764335486809,-0.04969256905653308,0.02965301809673219,0.5142857142857142
foreign,5,none,대형30%,10,65,-0.0363274646057364,-0.07395755678491185,-0.0010991175826882244,0.4153846153846154
foreign,5,none,대형30%,20,55,-0.009763470730473855,-0.04307163672576136,0.02738002640803443,0.45454545454545453
foreign,5,none,중소형,5,60,-0.010323097141888353,-0.04382401963797938,0.030219594066237983,0.4666666666666667
foreign,5,none,중소형,10,55,-0.018275506136990083,-0.06423840330741393,0.03228842413502469,0.4727272727272727
foreign,5,none,중소형,20,45,-0.027628916025750336,-0.08505665628671662,0.039495086617826886,0.4222222222222222
foreign,20,amt,전체,5,70,-0.02788703499388816,-0.05334904446877373,-0.002934061885746194,0.32857142857142857
foreign,20,amt,전체,10,65,-0.040104195523959774,-0.07539992169328892,-0.009548366960965334,0.2153846153846154
foreign,20,amt,전체,20,55,-0.042603113097152895,-0.08080240872331199,-0.003340285677772282,0.2545454545454545
foreign,20,amt,대형30%,5,70,-0.008985808410144272,-0.03743490186065518,0.011060472322434844,0.45714285714285713
foreign,20,amt,대형30%,10,65,-0.009796604708865274,-0.03496556395256997,0.009193651750953425,0.35384615384615387
foreign,20,amt,대형30%,20,55,-0.000733330839764636,-0.024251829638590926,0.030093145980637927,0.4727272727272727
foreign,20,amt,중소형,5,60,-0.04394946224364537,-0.07571849238108473,-0.0034690401461753254,0.3
foreign,20,amt,중소형,10,55,-0.06244108770255762,-0.1060465516001577,-0.018073573904220198,0.2
foreign,20,amt,중소형,20,45,-0.06749686240057587,-0.1204391397507865,0.0006807437505329347,0.28888888888888886
foreign,20,mcap,전체,5,70,-0.014523543001592084,-0.041184086981218206,0.009586974674169753,0.4142857142857143
foreign,20,mcap,전체,10,65,-0.03041392082448742,-0.06616357744385058,0.004749593214047681,0.2923076923076923
foreign,20,mcap,전체,20,55,-0.03271827253837458,-0.07719052169445746,0.011144815762714278,0.32727272727272727
foreign,20,mcap,대형30%,5,70,-0.004781311493907744,-0.02912391364468599,0.012550630859131922,0.5285714285714286
foreign,20,mcap,대형30%,10,65,-0.015025543251544768,-0.043044326363782685,0.00816726684541388,0.3384615384615385
foreign,20,mcap,대형30%,20,55,-0.015552379559928263,-0.05185619948092214,0.022434791616937153,0.4
foreign,20,mcap,중소형,5,60,-0.021846665464000544,-0.04914025511734107,0.015952888082569474,0.38333333333333336
foreign,20,mcap,중소형,10,55,-0.039325919961242135,-0.08345146401457092,0.007885797498836326,0.4
foreign,20,mcap,중소형,20,45,-0.037935901437568996,-0.09396067839921592,0.030056322799623673,0.35555555555555557
foreign,20,none,전체,5,70,-0.01374300443464716,-0.03586161429072701,0.009348929286052928,0.37142857142857144
foreign,20,none,전체,10,65,-0.017874606826122335,-0.04809236412275198,0.008377840924613349,0.36923076923076925
foreign,20,none,전체,20,55,-0.017981036040444053,-0.05471044139823366,0.019790396811241222,0.34545454545454546
foreign,20,none,대형30%,5,70,-0.0016005339648940463,-0.0224771191538494,0.017750110484774453,0.5571428571428572
foreign,20,none,대형30%,10,65,0.003096820218751453,-0.016271253066172067,0.019263452816312737,0.4307692307692308
foreign,20,none,대형30%,20,55,0.01048944710677816,-0.014438208943037411,0.04438054651990207,0.509090909090909
foreign,20,none,중소형,5,60,-0.025890228403154456,-0.056729913252279114,0.014254523268391902,0.3333333333333333
foreign,20,none,중소형,10,55,-0.04189552494055245,-0.08756086141182684,0.006121304982859729,0.38181818181818183
foreign,20,none,중소형,20,45,-0.040808401865388984,-0.09847855341651439,0.025265852847147205,0.37777777777777777
foreign,60,amt,전체,5,70,-0.021630599860802326,-0.04726527384795453,0.0022447903579339715,0.32857142857142857
foreign,60,amt,전체,10,65,-0.03787625748481665,-0.07178558784601885,-0.011003155931636102,0.26153846153846155
foreign,60,amt,전체,20,55,-0.04228471832661338,-0.07795769357840457,-0.006720180766607423,0.32727272727272727
foreign,60,amt,대형30%,5,70,-0.009107798935557136,-0.03488486330343341,0.00675708632341735,0.42857142857142855
foreign,60,amt,대형30%,10,65,-0.02341995349899959,-0.04477142479956592,-0.006087506815517869,0.26153846153846155
foreign,60,amt,대형30%,20,55,-0.025750376667434145,-0.040615210594118524,-0.012177547032043426,0.21818181818181817
foreign,60,amt,중소형,5,60,-0.033047244911335476,-0.06657444525640675,0.012038386547534334,0.3
foreign,60,amt,중소형,10,55,-0.04986514439526228,-0.09500598164551753,0.00012804487887524857,0.2909090909090909
foreign,60,amt,중소형,20,45,-0.051862790501737824,-0.11219003565204333,0.018224160440414788,0.4
foreign,60,mcap,전체,5,70,-0.01350220907681493,-0.04313637582886592,0.011053415874389901,0.44285714285714284
foreign,60,mcap,전체,10,65,-0.032579664906412176,-0.06895818115328317,-0.0019496470499885564,0.27692307692307694
foreign,60,mcap,전체,20,55,-0.03719927919383866,-0.08002250844870953,0.005359605994561999,0.36363636363636365
foreign,60,mcap,대형30%,5,70,-0.015021278732346707,-0.04839607694735562,0.0047059272892767704,0.4857142857142857
foreign,60,mcap,대형30%,10,65,-0.03623434531603014,-0.06664894200259025,-0.012617341318271861,0.2923076923076923
foreign,60,mcap,대형30%,20,55,-0.04560565795670239,-0.0755914759435123,-0.02241604480545272,0.2727272727272727
foreign,60,mcap,중소형,5,60,-0.01615160096873984,-0.04590051296774614,0.02451793940265073,0.4166666666666667
foreign,60,mcap,중소형,10,55,-0.03381396829179784,-0.0793554912520941,0.019215714568128456,0.32727272727272727
foreign,60,mcap,중소형,20,45,-0.03341410620340145,-0.09390421463423193,0.03924379834025074,0.4222222222222222
foreign,60,none,전체,5,70,-0.010949247086082553,-0.033004619636269515,0.009180745139688064,0.44285714285714284
