basket,k,cut,cost_rt,n,ret_per20d,lo,hi,excess_per20d,ew_per20d,win
조용함top20,1,전체,0.0,648,0.007264373565692232,-0.008314668744905595,0.02220623903109364,0.007445025891382917,-0.00018065232569068973,0.5401234567901234
조용함top20,1,전체,0.005,648,-0.09273562643430776,-0.10831466874490557,-0.07779376096890636,0.007445025891382917,-0.00018065232569068973,0.5401234567901234
조용함top20,1,전체,0.008,648,-0.1527356264343078,-0.1683146687449056,-0.1377937609689064,0.007445025891382917,-0.00018065232569068973,0.5401234567901234
조용함top20,1,강세,0.0,297,0.005956399482482888,-0.01260688644013893,0.024919622252175644,0.0030429894585970764,0.0029134100238858178,0.5151515151515151
조용함top20,1,강세,0.005,297,-0.0940436005175171,-0.11260688644013891,-0.07508037774782433,0.0030429894585970764,0.0029134100238858178,0.5151515151515151
조용함top20,1,강세,0.008,297,-0.15404360051751714,-0.1726068864401389,-0.13508037774782436,0.0030429894585970764,0.0029134100238858178,0.5151515151515151
조용함top20,1,조정,0.0,56,0.037205994056670084,0.010375886840869663,0.07324383058660207,0.033731399365013,0.0034745946916570785,0.6607142857142857
조용함top20,1,조정,0.005,56,-0.06279400594332993,-0.08962411315913033,-0.02675616941339795,0.033731399365013,0.0034745946916570785,0.6607142857142857
조용함top20,1,조정,0.008,56,-0.12279400594332994,-0.14962411315913035,-0.08675616941339795,0.033731399365013,0.0034745946916570785,0.6607142857142857
조용함top20,1,반등,0.0,64,0.00483353012976946,-0.01861958189959704,0.03176577450145477,0.028741127620284232,-0.02390759749051477,0.484375
조용함top20,1,반등,0.005,64,-0.09516646987023054,-0.11861958189959702,-0.06823422549854523,0.028741127620284232,-0.02390759749051477,0.484375
조용함top20,1,반등,0.008,64,-0.15516646987023056,-0.17861958189959704,-0.12823422549854527,0.028741127620284232,-0.02390759749051477,0.484375
조용함top20,1,약세,0.0,231,0.0023609602978025093,-0.029476888896494136,0.027148417592813556,0.0008321141830038117,0.0015288461147987009,0.5584415584415584
조용함top20,1,약세,0.005,231,-0.09763903970219749,-0.12947688889649414,-0.07285158240718644,0.0008321141830038117,0.0015288461147987009,0.5584415584415584
조용함top20,1,약세,0.008,231,-0.1576390397021975,-0.18947688889649417,-0.13285158240718647,0.0008321141830038117,0.0015288461147987009,0.5584415584415584
조용함top20,5,전체,0.0,644,0.007298174158945848,-0.004965021017199509,0.01851647549112347,0.006766412265089176,0.0005317618938566724,0.5636645962732919
조용함top20,5,전체,0.005,644,-0.01270182584105415,-0.02496502101719951,-0.0014835245088765353,0.006766412265089176,0.0005317618938566724,0.5636645962732919
조용함top20,5,전체,0.008,644,-0.024701825841054157,-0.03696502101719951,-0.013483524508876533,0.006766412265089176,0.0005317618938566724,0.5636645962732919
조용함top20,5,강세,0.0,297,0.0018715503317864608,-0.014149453096675976,0.017031000318504606,0.0019177365219648352,-4.618619017837405e-05,0.5117845117845118
조용함top20,5,강세,0.005,297,-0.018128449668213538,-0.034149453096675976,-0.002968999681495395,0.0019177365219648352,-4.618619017837405e-05,0.5117845117845118
조용함top20,5,강세,0.008,297,-0.030128449668213538,-0.04614945309667598,-0.014968999681495397,0.0019177365219648352,-4.618619017837405e-05,0.5117845117845118
조용함top20,5,조정,0.0,56,0.03219127220176602,0.00650291661856097,0.0702466831530459,0.025632855798777547,0.0065584164029884795,0.6964285714285714
조용함top20,5,조정,0.005,56,0.012191272201766015,-0.01349708338143903,0.050246683153045896,0.025632855798777547,0.0065584164029884795,0.6964285714285714
조용함top20,5,조정,0.008,56,0.00019127220176601685,-0.02549708338143903,0.0382466831530459,0.025632855798777547,0.0065584164029884795,0.6964285714285714
조용함top20,5,반등,0.0,60,0.004083749884158672,-0.015075318307008478,0.02397008176533473,0.01664793566265079,-0.012564185778492125,0.5333333333333333
조용함top20,5,반등,0.005,60,-0.015916250115841326,-0.03507531830700847,0.003970081765334727,0.01664793566265079,-0.012564185778492125,0.5333333333333333
조용함top20,5,반등,0.008,60,-0.027916250115841326,-0.047075318307008465,-0.008029918234665272,0.01664793566265079,-0.012564185778492125,0.5333333333333333
조용함top20,5,약세,0.0,231,0.009075486898147751,-0.01494826425459212,0.02944937818474265,0.005860111200014211,0.0032153756981335357,0.6060606060606061
조용함top20,5,약세,0.005,231,-0.010924513101852246,-0.034948264254592104,0.009449378184742655,0.005860111200014211,0.0032153756981335357,0.6060606060606061
조용함top20,5,약세,0.008,231,-0.02292451310185225,-0.04694826425459212,-0.002550621815257347,0.005860111200014211,0.0032153756981335357,0.6060606060606061
조용함top20,10,전체,0.0,639,0.007949599831369003,-0.002895513993156584,0.018640775111839678,0.007840566974905667,0.00010903285646333673,0.5978090766823161
조용함top20,10,전체,0.005,639,-0.0020504001686309967,-0.012895513993156586,0.008640775111839676,0.007840566974905667,0.00010903285646333673,0.5978090766823161
조용함top20,10,전체,0.008,639,-0.008050400168630997,-0.018895513993156584,0.002640775111839677,0.007840566974905667,0.00010903285646333673,0.5978090766823161
조용함top20,10,강세,0.0,297,0.0023007240363444046,-0.011907833679462717,0.02005528588239537,0.00425069644845009,-0.0019499724121056863,0.5488215488215489
조용함top20,10,강세,0.005,297,-0.007699275963655595,-0.02190783367946272,0.01005528588239537,0.00425069644845009,-0.0019499724121056863,0.5488215488215489
조용함top20,10,강세,0.008,297,-0.013699275963655595,-0.02790783367946272,0.004055285882395371,0.00425069644845009,-0.0019499724121056863,0.5488215488215489
조용함top20,10,조정,0.0,56,0.0244938689282644,-0.009128329016140677,0.04475557740076252,0.007626488619399864,0.016867380308864536,0.6607142857142857
조용함top20,10,조정,0.005,56,0.014493868928264394,-0.019128329016140675,0.03475557740076252,0.007626488619399864,0.016867380308864536,0.6607142857142857
조용함top20,10,조정,0.008,56,0.008493868928264394,-0.025128329016140673,0.028755577400762518,0.007626488619399864,0.016867380308864536,0.6607142857142857
조용함top20,10,반등,0.0,55,0.009999241862148414,-0.010876532767437951,0.035882919709905196,0.0074129841510283435,0.0025862577111200676,0.6
조용함top20,10,반등,0.005,55,-7.581378515866884e-07,-0.020876532767437953,0.025882919709905212,0.0074129841510283435,0.0025862577111200676,0.6
조용함top20,10,반등,0.008,55,-0.006000758137851585,-0.026876532767437955,0.01988291970990521,0.0074129841510283435,0.0025862577111200676,0.6
조용함top20,10,약세,0.0,231,0.010713698229651672,-0.006480970740587575,0.025093898062344983,0.012609818012043693,-0.0018961197823920211,0.645021645021645
조용함top20,10,약세,0.005,231,0.0007136982296516708,-0.016480970740587575,0.015093898062344981,0.012609818012043693,-0.0018961197823920211,0.645021645021645
조용함top20,10,약세,0.008,231,-0.005286301770348329,-0.022480970740587573,0.00909389806234499,0.012609818012043693,-0.0018961197823920211,0.645021645021645
