k,state,share,n,next20_exc_pp,lo,hi,total40_exc_pp
10,전체,1.0,122,3.7509132954918027,2.5950685985539512,4.852205855152753,6.364092850233479
10,MFE≥5% & 지금≤+1% (되밀림),0.031609978924588264,62,2.9608721296919,1.2928687337971023,4.7369566711877775,5.885217977142625
10,MFE≥5% & 지금 ≥+3% (유지),0.22590807980291694,122,3.528629633394641,2.1922079514648027,4.818433489825529,14.677983553027577
10,MFE<3% (한 번도 안 오름),0.560975825527914,122,3.5043191820508954,2.3716935274647253,4.567559289714981,2.771084755711651
10,MFE≥5% & 고점대비 −5%↓ (트레일링 조건),0.04915932776429228,83,2.9387810581440563,1.6165487783613037,4.458363934591934,8.744426260219196
15,전체,1.0,122,3.693435618216438,2.5508466494741344,4.767300793124775,6.364092850233479
15,MFE≥5% & 지금≤+1% (되밀림),0.05600203458590812,85,3.862336437124761,2.8644885278708063,5.120655742998728,4.809177659994565
15,MFE≥5% & 지금 ≥+3% (유지),0.2774050904013528,122,3.310785330444363,2.0043202844291272,4.528643426019198,14.901800073140736
15,MFE<3% (한 번도 안 오름),0.4783919473688459,122,3.3627680047804067,2.1764899489931553,4.469707402366161,1.4743451789143125
15,MFE≥5% & 고점대비 −5%↓ (트레일링 조건),0.09744189205499637,111,3.477215086771516,2.4860448798805646,4.8142304228877,9.15502882422552
20,전체,1.0,122,3.43221827884867,2.2796716746734393,4.743815160812852,6.364092850233479
20,MFE≥5% & 지금≤+1% (되밀림),0.08264830073997159,103,4.075497532282573,3.080909788944939,5.499593688853232,3.948904044216602
20,MFE≥5% & 지금 ≥+3% (유지),0.31164336067891274,122,3.26224636246178,2.0055318100830477,4.530375361804112,15.889983340910826
20,MFE<3% (한 번도 안 오름),0.4219742712235144,121,3.082728669599472,1.9866194602625429,4.45854067324865,0.42400421700996654
20,MFE≥5% & 고점대비 −5%↓ (트레일링 조건),0.14799579388313722,119,3.216565991090097,2.3504048252205494,4.556721742190421,7.88876949657132
