universe,base,label,h,regime,n,ic_base,diff,lo,hi,pos
전체,lv60,+lv20,5,전체,644,0.11489659605208835,0.003466184081065028,0.00043372394841039585,0.006289754798494105,0.5574534161490683
전체,lv60,+lv20,5,강세,297,0.11499991947488704,0.0016008620285752704,-0.002763737187905767,0.00573134345273559,0.5353535353535354
전체,lv60,+lv20,5,조정,56,0.1346701252346241,0.0004165958640005227,-0.005508249739284537,0.006004218038251094,0.4107142857142857
전체,lv60,+lv20,5,반등,60,0.12139212157492692,0.00414319415626182,-0.0018891766346033464,0.01049974820891895,0.6333333333333333
전체,lv60,+lv20,5,약세,231,0.10828301933276567,0.006427902631858376,0.001653027302877694,0.011382725330892735,0.6017316017316018
전체,lv60,+rv21,5,전체,644,0.11489659605208835,0.0034369997546259546,0.0005287414904071142,0.006181116975610526,0.5652173913043478
전체,lv60,+rv21,5,강세,297,0.11499991947488704,0.0015734669760564578,-0.0027457013145929434,0.005639290820308316,0.5454545454545454
전체,lv60,+rv21,5,조정,56,0.1346701252346241,0.0008811505945306763,-0.004747144105536784,0.006079289012154916,0.44642857142857145
전체,lv60,+rv21,5,반등,60,0.12139212157492692,0.00409934728433955,-0.0015560165236609689,0.010168294324218853,0.6666666666666666
전체,lv60,+rv21,5,약세,231,0.10828301933276567,0.0062805319469101985,0.0014681028117359714,0.010949713316718457,0.5930735930735931
전체,lv60,+to20,5,전체,644,0.11489659605208835,0.009120504450893572,0.00452788963524582,0.013478569032557265,0.6086956521739131
전체,lv60,+to20,5,강세,297,0.11499991947488704,0.0054380944451896274,-0.0007631745164371848,0.012412191294260027,0.5589225589225589
전체,lv60,+to20,5,조정,56,0.1346701252346241,0.01247541343261577,-0.0034423450033274324,0.023285416556410563,0.625
전체,lv60,+to20,5,반등,60,0.12139212157492692,0.009205349055383144,-0.0005116720638236115,0.02111180769555901,0.5833333333333334
전체,lv60,+to20,5,약세,231,0.10828301933276567,0.013019682773180389,0.0047850490911168315,0.02068444268514982,0.6753246753246753
전체,lv60,+nh252,5,전체,644,0.11489659605208835,-0.018009962248983574,-0.02898592677240389,-0.007582936686740574,0.42701863354037267
전체,lv60,+nh252,5,강세,297,0.11499991947488704,-0.005700115924241503,-0.021968670659840386,0.010775947264247332,0.4713804713804714
전체,lv60,+nh252,5,조정,56,0.1346701252346241,-0.022318254420590832,-0.05167486946056043,0.005915863754457716,0.48214285714285715
전체,lv60,+nh252,5,반등,60,0.12139212157492692,-0.00825326173893647,-0.03388421583377095,0.011561299915467255,0.45
전체,lv60,+nh252,5,약세,231,0.10828301933276567,-0.03532668098249533,-0.05576688890940519,-0.014086702478864328,0.35064935064935066
전체,lv60,+dlow252,5,전체,644,0.11489659605208835,-0.018126937923393163,-0.025770000248192315,-0.0101880669333142,0.3385093167701863
전체,lv60,+dlow252,5,강세,297,0.11499991947488704,-0.027819938583830285,-0.03855138057647908,-0.017919971698844683,0.26936026936026936
전체,lv60,+dlow252,5,조정,56,0.1346701252346241,-0.018025141853926674,-0.029585317871254613,-0.0036078560310852047,0.2857142857142857
전체,lv60,+dlow252,5,반등,60,0.12139212157492692,-0.025871981635438305,-0.03975467582146687,-0.013807519052779299,0.26666666666666666
전체,lv60,+dlow252,5,약세,231,0.10828301933276567,-0.003677486672387057,-0.017986260974646437,0.011049403685936075,0.4588744588744589
전체,lv60,+mom12_1,5,전체,644,0.11489659605208835,-0.013319848206121457,-0.026685749449891938,-2.8859053610954576e-05,0.35093167701863354
전체,lv60,+mom12_1,5,강세,297,0.11499991947488704,-0.0072833512335945625,-0.024465213633315306,0.010085702591800966,0.37373737373737376
전체,lv60,+mom12_1,5,조정,56,0.1346701252346241,-0.012483711806141459,-0.045608104307417956,0.016769160562571685,0.3392857142857143
전체,lv60,+mom12_1,5,반등,60,0.12139212157492692,-0.005857639340318398,-0.03594678790143405,0.023089320081548643,0.3333333333333333
전체,lv60,+mom12_1,5,약세,231,0.10828301933276567,-0.023221994401738565,-0.05057653151588265,0.0012056722749036444,0.329004329004329
전체,lv60,+mom21,5,전체,644,0.11489659605208835,-0.05207378528860139,-0.06395834715023925,-0.04185293068068151,0.2391304347826087
전체,lv60,+mom21,5,강세,297,0.11499991947488704,-0.04192548498960643,-0.0570629520584827,-0.026522982848128582,0.2727272727272727
전체,lv60,+mom21,5,조정,56,0.1346701252346241,-0.06405904601856813,-0.10763792096642985,-0.02675598766014085,0.16071428571428573
전체,lv60,+mom21,5,반등,60,0.12139212157492692,-0.057169115193573664,-0.08119307548741438,-0.043305167318645685,0.16666666666666666
전체,lv60,+mom21,5,약세,231,0.10828301933276567,-0.06089261989303877,-0.08063580330472374,-0.04043100488213515,0.23376623376623376
전체,lv60,+mom63,5,전체,644,0.11489659605208835,-0.04456722447364094,-0.05846752656241301,-0.030751660891205422,0.35714285714285715
전체,lv60,+mom63,5,강세,297,0.11499991947488704,-0.028219017792866008,-0.04849095005606417,-0.006985773429876893,0.4107744107744108
전체,lv60,+mom63,5,조정,56,0.1346701252346241,-0.061994379055776476,-0.1139513152587384,-0.00438043109648936,0.4107142857142857
전체,lv60,+mom63,5,반등,60,0.12139212157492692,-0.02733563787202747,-0.059956710370717405,-0.0031056241768113685,0.4166666666666667
전체,lv60,+mom63,5,약세,231,0.10828301933276567,-0.06583731938137848,-0.08781314600424321,-0.041516063883862094,0.2597402597402597
전체,lv60,+ret5,5,전체,644,0.11489659605208835,-0.023426532125647933,-0.036507509209705205,-0.009826327975710826,0.34937888198757766
전체,lv60,+ret5,5,강세,297,0.11499991947488704,-0.03266271440247973,-0.04680107334967278,-0.01967697780261079,0.27946127946127947
전체,lv60,+ret5,5,조정,56,0.1346701252346241,-0.017234401060014105,-0.0378930936410678,0.006278561331000713,0.375
전체,lv60,+ret5,5,반등,60,0.12139212157492692,-0.021173235972041717,-0.040114390366917475,0.001922113778867752,0.35
전체,lv60,+ret5,5,약세,231,0.10828301933276567,-0.013637835037651484,-0.038244045322559,0.018280740354550705,0.4329004329004329
전체,lv60,+upratio63,5,전체,644,0.11489659605208835,-0.022332731472178322,-0.0333509518371944,-0.011366079813397321,0.4161490683229814
전체,lv60,+upratio63,5,강세,297,0.11499991947488704,-0.0075243719187823325,-0.02361538649129619,0.008189180265108436,0.5084175084175084
전체,lv60,+upratio63,5,조정,56,0.1346701252346241,-0.03514920304865295,-0.07078703580830825,0.007068589444737529,0.4107142857142857
전체,lv60,+upratio63,5,반등,60,0.12139212157492692,-0.007119233859430409,-0.031235778961417694,0.013072522971183312,0.43333333333333335
전체,lv60,+upratio63,5,약세,231,0.10828301933276567,-0.04221658530698743,-0.05880608659281834,-0.024679347914591896,0.2943722943722944
전체,lv60,+on60,5,전체,644,0.11489659605208835,-0.019659498314017695,-0.026445178385535666,-0.013396007427106196,0.2857142857142857
전체,lv60,+on60,5,강세,297,0.11499991947488704,-0.027270894915998187,-0.035075493063179704,-0.020104760380838405,0.2255892255892256
전체,lv60,+on60,5,조정,56,0.1346701252346241,-0.024545129433419514,-0.03636746459270475,-0.01324973772610372,0.21428571428571427
전체,lv60,+on60,5,반등,60,0.12139212157492692,-0.0309053942454841,-0.04866006406236193,-0.01695497789995697,0.25
전체,lv60,+on60,5,약세,231,0.10828301933276567,-0.005768009615477905,-0.017923510797108223,0.006555527326439352,0.38961038961038963
전체,lv60,cut:on60,5,전체,644,0.11489659605208835,-0.009596926281225151,-0.012747239599624916,-0.006934764550552685,0.34316770186335405
전체,lv60,cut:on60,5,강세,297,0.11499991947488704,-0.00960220467665054,-0.013262246371321574,-0.006103413308547356,0.3501683501683502
전체,lv60,cut:on60,5,조정,56,0.1346701252346241,-0.006978452087266153,-0.012208451188374464,-0.0005455513967751477,0.32142857142857145
전체,lv60,cut:on60,5,반등,60,0.12139212157492692,-0.007708267569516536,-0.014727210225104247,-0.002984316409314252,0.26666666666666666
전체,lv60,cut:on60,5,약세,231,0.10828301933276567,-0.010715482099938924,-0.016039897505789547,-0.004808335095595319,0.3593073593073593
전체,lv60,+size,5,전체,644,0.11489659605208835,0.003752162248511351,-0.005772778693278419,0.013966768008515922,0.5419254658385093
전체,lv60,+size,5,강세,297,0.11499991947488704,0.01360097493159409,0.0004103370185898953,0.02719617437124421,0.5858585858585859
전체,lv60,+size,5,조정,56,0.1346701252346241,0.004269533115271401,-0.028439575792963,0.028876212997285218,0.5
전체,lv60,+size,5,반등,60,0.12139212157492692,0.013994857051441741,0.0021809662925372183,0.029712319667369022,0.6666666666666666
전체,lv60,+size,5,약세,231,0.10828301933276567,-0.0116964603644322,-0.028323014742903378,0.003713734128695162,0.46320346320346323
전체,lv60,+amt20,5,전체,644,0.11489659605208835,-0.02735075673135342,-0.0354958946782169,-0.020948158005271597,0.2608695652173913
전체,lv60,+amt20,5,강세,297,0.11499991947488704,-0.04097579653605387,-0.050085703095571386,-0.03368803195327981,0.1717171717171717
전체,lv60,+amt20,5,조정,56,0.1346701252346241,-0.03260162496892405,-0.04228271380741418,-0.01647441837112149,0.19642857142857142
전체,lv60,+amt20,5,반등,60,0.12139212157492692,-0.037666575302330405,-0.05285387366191706,-0.02806204452775242,0.13333333333333333
전체,lv60,+amt20,5,약세,231,0.10828301933276567,-0.005880477261402734,-0.017993679394420464,0.007297140813177142,0.42424242424242425
전체,lv60,+max5_21,5,전체,644,0.11489659605208835,0.001972099031168836,-0.0020871652188642295,0.006362883535115377,0.5108695652173914
전체,lv60,+max5_21,5,강세,297,0.11499991947488704,-0.0007739397938904002,-0.007025893369056258,0.004566558385708489,0.4511784511784512
전체,lv60,+max5_21,5,조정,56,0.1346701252346241,-0.0005441676786197108,-0.009948017147751181,0.008943869315955056,0.42857142857142855
전체,lv60,+max5_21,5,반등,60,0.12139212157492692,0.003502253816880205,-0.00437245600289025,0.011948556670750876,0.6
전체,lv60,+max5_21,5,약세,231,0.10828301933276567,0.005715281627047927,-0.0021053591137951415,0.013089401369533196,0.5844155844155844
전체,lv60,+bbw20,5,전체,644,0.11489659605208835,-0.004370544016262149,-0.008345183941704965,-0.0006747024516794018,0.4472049689440994
전체,lv60,+bbw20,5,강세,297,0.11499991947488704,-0.005835520283487894,-0.012601576946290318,-0.00031318320767884154,0.4175084175084175
전체,lv60,+bbw20,5,조정,56,0.1346701252346241,-0.007600598154722857,-0.01678319522960173,0.003217352187580307,0.4107142857142857
전체,lv60,+bbw20,5,반등,60,0.12139212157492692,-0.007063692719280905,-0.01554048828747611,0.002677702526726024,0.43333333333333335
전체,lv60,+bbw20,5,약세,231,0.10828301933276567,-0.0010044405301107592,-0.0067061653554150395,0.005428897131863624,0.49783549783549785
전체,lv60,+sma20gap,5,전체,644,0.11489659605208835,-0.051194462709071346,-0.061342351483686275,-0.04155833012062399,0.25
전체,lv60,+sma20gap,5,강세,297,0.11499991947488704,-0.04145023554336246,-0.05622740269833481,-0.02844688429220139,0.3164983164983165
전체,lv60,+sma20gap,5,조정,56,0.1346701252346241,-0.06327091400568888,-0.09959616002410816,-0.02865595981868604,0.125
전체,lv60,+sma20gap,5,반등,60,0.12139212157492692,-0.05979248195459307,-0.09148996498541562,-0.04534805381441364,0.2
전체,lv60,+sma20gap,5,약세,231,0.10828301933276567,-0.058561878470429124,-0.07711437287392846,-0.040763682243148545,0.2077922077922078
전체,lv60,+rsi14,5,전체,644,0.11489659605208835,-0.01403231521236654,-0.026058195655990987,0.0011119660948367255,0.42080745341614906
전체,lv60,+rsi14,5,강세,297,0.11499991947488704,-0.02957488376450964,-0.046266806479926315,-0.014447620333140627,0.3602693602693603
전체,lv60,+rsi14,5,조정,56,0.1346701252346241,-0.011952408244270211,-0.03834175073639591,0.013122134035829151,0.39285714285714285
전체,lv60,+rsi14,5,반등,60,0.12139212157492692,-0.019221055870605776,-0.04079466081825484,0.00879317433745721,0.4166666666666667
전체,lv60,+rsi14,5,약세,231,0.10828301933276567,0.006794492187059696,-0.020392770435465307,0.03658429905524593,0.5064935064935064
전체,lv60,+dd52,5,전체,644,0.11489659605208835,-0.018009962248983574,-0.02898592677240389,-0.007582936686740574,0.42701863354037267
전체,lv60,+dd52,5,강세,297,0.11499991947488704,-0.005700115924241503,-0.021968670659840386,0.010775947264247332,0.4713804713804714
전체,lv60,+dd52,5,조정,56,0.1346701252346241,-0.022318254420590832,-0.05167486946056043,0.005915863754457716,0.48214285714285715
전체,lv60,+dd52,5,반등,60,0.12139212157492692,-0.00825326173893647,-0.03388421583377095,0.011561299915467255,0.45
전체,lv60,+dd52,5,약세,231,0.10828301933276567,-0.03532668098249533,-0.05576688890940519,-0.014086702478864328,0.35064935064935066
전체,lv60,+ev_buyback60,5,전체,644,0.11489659605208835,-0.0021658624185508504,-0.003514614747354455,-0.0007441335897951883,0.40372670807453415
전체,lv60,+ev_buyback60,5,강세,297,0.11499991947488704,-0.0017047375069372318,-0.003420331964317548,-5.525166347243651e-05,0.40404040404040403
전체,lv60,+ev_buyback60,5,조정,56,0.1346701252346241,-0.0014874197641795825,-0.005266581407918345,0.0014441777326928472,0.4642857142857143
전체,lv60,+ev_buyback60,5,반등,60,0.12139212157492692,-0.00563501847157624,-0.009959121845507844,-0.002282420093275205,0.35
전체,lv60,+ev_buyback60,5,약세,231,0.10828301933276567,-0.002022128757133155,-0.004427559757543853,0.0006872898013745362,0.4025974025974026
전체,lv60,+ev_dilution60,5,전체,644,0.11489659605208835,-0.0005131154642188839,-0.002278071879760487,0.001206934002744389,0.4767080745341615
전체,lv60,+ev_dilution60,5,강세,297,0.11499991947488704,-0.0006432962149787635,-0.0029691314904459437,0.001550900616736312,0.47474747474747475
전체,lv60,+ev_dilution60,5,조정,56,0.1346701252346241,-0.0017625006368560542,-0.00782896204083071,0.004113633100090396,0.44642857142857145
전체,lv60,+ev_dilution60,5,반등,60,0.12139212157492692,0.0005597019732268292,-0.003677594074671077,0.003969381918838093,0.48333333333333334
