combo,k,train_ic20,test_ic20,test_lo20,test_n20,test_regmin20,test_reg20,test_top50_ex20,train_ic60,test_ic60,test_lo60,test_n60,test_regmin60,test_reg60
lv60,1,0.1772194895571341,0.1389032372303985,0.0984545219924754,267,0.0688044407393037,+0.13/+0.07/+nan/+0.20,0.0248703291379741,0.2202688370912003,0.19149507169953,0.149830066452108,227,0.1620331404866453,+0.16/+0.23/+nan/+0.36
lv20,1,0.1730030838394309,0.1307503316469033,0.0915085736787676,267,0.0516210364058801,+0.12/+0.05/+nan/+0.20,0.0269015365138493,0.2066119158365044,0.1592161455451887,0.1216130258561092,227,0.1333994695593959,+0.13/+0.19/+nan/+0.30
to20,1,0.1754920848222036,0.1539420598239728,0.116022187602724,267,0.0911841278692955,+0.14/+0.09/+nan/+0.22,0.0357351939737617,0.2156752605683095,0.2129682246455255,0.1790810750263314,227,0.1808525597829517,+0.18/+0.27/+nan/+0.37
nh252,1,0.0516472241354731,0.0633680589325069,0.0280136050882862,267,0.0258394001313756,+0.08/+0.06/+nan/+0.03,0.0406936282784583,0.0857552343993832,0.1277724602957216,0.1023034190832812,227,0.1262901974555507,+0.13/+0.13/+nan/+0.14
dlow252,1,0.091495358371062,0.042362875775728,0.0046256027274733,267,-0.0312088704819464,+0.01/-0.03/+nan/+0.15,0.0096843347404647,0.1013485795377927,0.0051816278731794,-0.0395529198190433,227,-0.017718595893289,-0.02/+0.02/+nan/+0.15
mom12_1,1,0.0454832105642926,0.0071884707921094,-0.0306189548023629,267,-0.082832978790291,+0.04/+0.04/+nan/-0.08,0.041798182045513,0.0687015957691492,0.0339743467219139,-0.0002818953855927,227,-0.0550583041298211,+0.05/+0.03/+nan/-0.06
mom21,1,-0.0473493610674524,-0.0110714995006549,-0.0349449527686428,267,-0.0142417960241845,-0.01/-0.01/+nan/-0.01,0.0229749481245881,-0.0395660262783901,0.0103936627389749,-0.0153628705428883,227,-0.0058580398226872,+0.01/-0.01/+nan/-0.00
mom63,1,-0.0469977251240949,-0.0177897419649768,-0.0438498907753799,267,-0.0869194554262315,+0.00/+0.02/+nan/-0.09,0.0171738272111097,-0.0401267632574105,0.0269070606224904,-0.003497035379775,227,-0.0548440674294625,+0.04/+0.03/+nan/-0.05
ret5,1,0.0164037915322274,-0.0117467562585094,-0.0375339033759538,267,-0.035361823283955,-0.01/+0.01/+nan/-0.04,0.0084119741908217,0.0090759227636043,-0.0214925757043927,-0.040946594557167,227,-0.0620601546166028,-0.02/+0.03/+nan/-0.06
upratio63,1,0.0342719534026373,0.0475310308810724,0.022499398943952,267,-0.0369429917098646,+0.08/+0.07/+nan/-0.04,0.0378506886657952,0.0469009430619311,0.1330204321868629,0.1108834718693994,227,0.072059970256358,+0.14/+0.14/+nan/+0.07
on60,1,0.06751577374786,0.026839542617229,-0.0069268596926515,267,-0.0443748503237395,+0.00/-0.04/+nan/+0.12,0.0091925865206061,0.0732727866158582,0.0136173027315143,-0.0234976766303268,227,-0.0104760711010144,-0.01/+0.03/+nan/+0.17
size,1,0.1038410288725445,0.1200496270074636,0.0881244542141624,267,0.0400800274322644,+0.15/+0.09/+nan/+0.04,0.0687536901228788,0.1442116439340879,0.2145049824412351,0.1943979280519597,227,0.1685152223439487,+0.21/+0.25/+nan/+0.17
amt20,1,0.0604794731023554,0.0095815936440198,-0.0221867688338124,267,-0.032592853111362,-0.03/-0.01/+nan/+0.13,0.0307625253350425,0.0532715625684055,-0.0349874558598291,-0.0739984551202457,227,-0.0549312050325579,-0.05/-0.04/+nan/+0.11
max5_21,1,0.1583560796342503,0.1116085380394926,0.0794816308802026,267,0.0508608746456536,+0.11/+0.05/+nan/+0.15,0.0238984507310309,0.182590669318628,0.1412832933904918,0.1081500355973911,227,0.117882367659786,+0.12/+0.18/+nan/+0.26
bbw20,1,0.1401799857220232,0.1115987104733466,0.077822460409553,267,0.0747528504508688,+0.10/+0.07/+nan/+0.16,0.0327278884072276,0.1795320542363107,0.1514327878297917,0.122915878130425,227,0.1259755967038932,+0.13/+0.19/+nan/+0.28
sma20gap,1,-0.0296456753025598,0.0057477535183443,-0.0182302916126683,267,-0.0023050814383938,-0.00/+0.00/+nan/+0.03,0.0299779111920964,-0.0259949527821475,0.0250590946277145,0.0002727473347979,227,0.0048656550901983,+0.02/+0.00/+nan/+0.06
rsi14,1,0.048761496804401,0.0344061291294705,0.0082506331380073,267,0.0115052870234921,+0.01/+0.02/+nan/+0.10,0.0104334899087106,0.0449528425365923,-0.0117581578853939,-0.038507110678136,227,-0.0291289074655029,-0.03/+0.01/+nan/+0.08
ev_buyback60,1,0.0368698364890657,0.0326879935820131,0.018768350424825,267,0.0152399297963693,+0.03/+0.02/+nan/+0.05,0.0368020817487636,0.0536321793377672,0.0487255165970507,0.0336883753679337,227,0.0385726567852787,+0.04/+0.06/+nan/+0.10
ev_dilution60,1,0.0516480969878511,0.070075916483833,0.0592301632429611,267,0.0652906632474341,+0.07/+0.08/+nan/+0.08,,0.0741116087631942,0.0989298094820442,0.090331427498124,227,0.0918122188766765,+0.09/+0.11/+nan/+0.14
downvol60,1,0.1454757131680629,0.1195180001147764,0.0762049069301756,267,0.0461017885677209,+0.11/+0.05/+nan/+0.18,0.024335970650384,0.1846170879377089,0.1730146529214147,0.1337386502840767,227,0.145801559221147,+0.15/+0.20/+nan/+0.33
hl_range20,1,0.1838901094044872,0.1660478930694302,0.1262539220154382,267,0.1002005498649675,+0.15/+0.10/+nan/+0.24,0.031174013794829,0.2280512811959677,0.2095450234202517,0.1722087158136261,227,0.1745447387383679,+0.17/+0.26/+nan/+0.39
volvol20,1,0.128434135613952,0.1303671951149373,0.1104363550469314,267,0.1142104950445946,+0.14/+0.12/+nan/+0.11,0.0491461106210416,0.1514128079109186,0.1858626858120257,0.1736604851701211,227,0.1775159140355536,+0.18/+0.22/+nan/+0.21
amihud20,1,-0.0462860215790481,-0.0696392016929032,-0.0993682130786187,267,-0.1129511038038252,-0.11/-0.06/+nan/+0.04,0.0394648386316662,-0.0687986967239602,-0.1397032115999535,-0.174020939165996,227,-0.160012510617619,-0.15/-0.16/+nan/-0.02
beta60,1,0.0882936520109118,-0.0266342485397587,-0.0810150687551374,267,-0.1197429861226364,-0.05/-0.12/+nan/+0.08,-0.0134027751620423,0.1089272997850235,-0.0311597690354728,-0.0907728095572801,227,-0.065628156021054,-0.07/-0.01/+nan/+0.20
skew60,1,0.1091018412522609,0.0811220643882545,0.0637156562457091,267,0.0640806107020018,+0.09/+0.07/+nan/+0.06,0.0226772987147114,0.1354469220690161,0.1292808477619273,0.1126992719627641,227,0.1154126697812905,+0.12/+0.16/+nan/+0.19
lv60+lv20,2,0.1841435362505786,0.1424722373534227,0.1015636497362795,267,0.0652995801767674,+0.13/+0.07/+nan/+0.21,0.0276586239871302,0.2244036294485139,0.1846397409479057,0.1426557777327853,227,0.155117218918779,+0.16/+0.22/+nan/+0.35
lv60+to20,2,0.1910145726041748,0.1588828097480498,0.1162824557611395,267,0.0867941521208749,+0.15/+0.09/+nan/+0.23,0.0304794622553938,0.2373398201593721,0.2215874129962896,0.1804389948135215,227,0.1872641099625711,+0.19/+0.27/+nan/+0.40
lv60+nh252,2,0.1446641100178536,0.1356970508526724,0.0907998185162515,267,0.0890991453095765,+0.14/+0.09/+nan/+0.15,0.0282530294397082,0.1939464845686882,0.215336365462783,0.1875763473594596,227,0.1950580053566527,+0.20/+0.24/+nan/+0.33
lv60+dlow252,2,0.1522611743527707,0.100959255695658,0.0601908185101693,267,0.0195999919766823,+0.08/+0.02/+nan/+0.20,0.0239191898942345,0.1815351223260106,0.1083331327451185,0.0632376014235966,227,0.0793706603338467,+0.08/+0.13/+nan/+0.28
lv60+mom12_1,2,0.1638382824041235,0.122091983862844,0.0890774525215577,267,0.0880976102132523,+0.13/+0.09/+nan/+0.11,0.0431744760052295,0.2111690546401864,0.196192475500203,0.1667129664069485,227,0.1763038496255781,+0.18/+0.24/+nan/+0.29
lv60+mom21,2,0.0940055673200655,0.0907922570287477,0.0499696430761578,267,0.0347907915114103,+0.09/+0.03/+nan/+0.13,0.0272405836116628,0.1279172215683352,0.147308472399646,0.1199972192374437,227,0.1319926481274062,+0.13/+0.15/+nan/+0.25
lv60+mom63,2,0.1073424869153577,0.1088301004184474,0.0723130566337782,267,0.0725953576193727,+0.12/+0.07/+nan/+0.11,0.0272703577292281,0.1473770490659789,0.1985008344516005,0.1761008070025779,227,0.1806216777235869,+0.18/+0.23/+nan/+0.28
lv60+ret5,2,0.1360137474016833,0.0883646828821867,0.0591967898936928,267,0.0448756941355813,+0.09/+0.04/+nan/+0.12,0.0259640265850636,0.1603243382015999,0.1161315449458134,0.0824487546930253,227,0.0927853940522905,+0.09/+0.17/+nan/+0.21
lv60+upratio63,2,0.1402743594882918,0.1299539912062549,0.0966621782537577,267,0.0936694325283202,+0.14/+0.09/+nan/+0.12,0.0330874780380213,0.1804114039129574,0.2267120520118565,0.2059482009608446,227,0.2101774685867452,+0.21/+0.26/+nan/+0.30
lv60+on60,2,0.152914219150084,0.0934647482656726,0.0508507799464409,267,0.0082496098822938,+0.07/+0.01/+nan/+0.19,0.0276992904423382,0.1831436414444058,0.1139464485035821,0.0708769386372096,227,0.0826858050904797,+0.08/+0.14/+nan/+0.30
lv60+size,2,0.1753087178188908,0.1723570179652096,0.1327632848316798,267,0.1094285528889698,+0.19/+0.11/+nan/+0.16,0.0390137507661048,0.2278960610548069,0.2741207310286696,0.2486459476944345,227,0.2504685128098015,+0.25/+0.33/+nan/+0.37
lv60+amt20,2,0.1416570883132313,0.0866009120855211,0.0465800383056034,267,0.0341303546276394,+0.05/+0.03/+nan/+0.20,0.0263141408743141,0.1631058273605335,0.0882013917937266,0.0449758531914043,227,0.0593419766161339,+0.06/+0.11/+nan/+0.27
lv60+max5_21,2,0.1830377965343869,0.1368552772784067,0.0982143453637624,267,0.0669820514564181,+0.13/+0.07/+nan/+0.20,0.026799295813392,0.2192286454788928,0.180193802417051,0.1409725552699355,227,0.1505448382400706,+0.15/+0.22/+nan/+0.34
lv60+bbw20,2,0.1716681674003765,0.1364600060777073,0.0947776423620902,267,0.0810074941101763,+0.12/+0.08/+nan/+0.20,0.0306767285053759,0.2166040358644449,0.186957573037498,0.1483213864710887,227,0.1566845393132747,+0.16/+0.23/+nan/+0.35
lv60+sma20gap,2,0.1023219440065117,0.0973029290629455,0.0582116304830928,267,0.0470889140044237,+0.09/+0.05/+nan/+0.14,0.0275968957515057,0.1312349846696086,0.1491298155021652,0.117869540509131,227,0.1302733738717898,+0.13/+0.16/+nan/+0.27
lv60+rsi14,2,0.149779201030574,0.1121053062414723,0.0795579606959677,267,0.0502276094661324,+0.09/+0.05/+nan/+0.20,0.0301308580893112,0.1762335036322792,0.1138063567921852,0.0728372529430423,227,0.0850544116994806,+0.09/+0.15/+nan/+0.27
lv60+ev_buyback60,2,0.1732427663997445,0.1394522403068489,0.0987885427009093,267,0.0718619530989615,+0.13/+0.07/+nan/+0.20,0.0317245976582033,0.218550398345845,0.1928587417452314,0.1513784493549265,227,0.1633583216923603,+0.16/+0.23/+nan/+0.36
lv60+ev_dilution60,2,0.1759280854819147,0.1439625310350836,0.1041298913488615,267,0.0789550738734389,+0.13/+0.08/+nan/+0.20,0.0253509735260945,0.220934446373745,0.1999012005867186,0.1610849766461293,227,0.1708889731045304,+0.17/+0.23/+nan/+0.36
lv60+downvol60,2,0.1651748030276589,0.1329763010061232,0.08991013964876,267,0.059656271010016,+0.12/+0.06/+nan/+0.20,0.0245539349495377,0.2077200549075842,0.1877473091592645,0.1463721140606171,227,0.1586159142460563,+0.16/+0.22/+nan/+0.35
lv60+hl_range20,2,0.1885735360235508,0.1596804175683518,0.1177480412032802,267,0.0898183574445571,+0.15/+0.09/+nan/+0.23,0.0292808662027605,0.2345477458668677,0.2103806667080858,0.168036116757086,227,0.176146871462443,+0.18/+0.26/+nan/+0.39
lv60+volvol20,2,0.1834569261783389,0.1633290877307118,0.1298475503331715,267,0.1162715272858463,+0.16/+0.12/+nan/+0.19,0.0334051622633104,0.2247300769656056,0.2319450873570706,0.2025478595897571,227,0.2065835027181721,+0.21/+0.28/+nan/+0.35
lv60+amihud20,2,0.0896180625693383,0.0431754574717794,0.0047606915377646,267,0.0031254530363844,+0.01/+0.00/+nan/+0.16,0.0259551329651495,0.1030034008327854,0.0265268884757577,-0.0193175572399698,227,-0.0003694976361837,-0.00/+0.03/+nan/+0.21
lv60+beta60,2,0.1580183097091883,0.0634519864347412,0.0074944264520252,267,-0.0362547596885145,+0.05/-0.04/+nan/+0.16,0.0219018828986311,0.1960106829411851,0.0863733497039556,0.0301964759478935,227,0.0503709735577207,+0.05/+0.11/+nan/+0.31
lv60+skew60,2,0.1644590302395248,0.125407406963487,0.0933004515940877,267,0.0764330894036264,+0.13/+0.08/+nan/+0.15,0.0317057148123505,0.2042041338252744,0.1812783644087503,0.151719974185902,227,0.1571403492415752,+0.16/+0.22/+nan/+0.31
lv20+to20,2,0.1874603709668339,0.1540073638860521,0.1120503636796542,267,0.075828181623861,+0.14/+0.08/+nan/+0.23,0.0329545617777751,0.2276065851410573,0.2006476727724341,0.1619517872013806,227,0.168557809370892,+0.17/+0.25/+nan/+0.37
