model,rule,n_days,closed_windows,mean_ret,median,win
lv_b,hold20,22,11,1.2174932925987618,0.2857616222209522,0.5909090909090909
lv_b,hold40,22,4,2.344140142754444,0.9193183459269123,0.6818181818181818
lv_b,trail10,22,4,-0.7295412332226281,-0.8337678417675813,0.4090909090909091
lv_b,trail15,22,4,-0.3650606336969364,-0.556756210629533,0.4090909090909091
lv_b,best,22,4,9.649105755076356,10.096253308869954,0.9545454545454546
lv_a,hold20,22,11,0.7868646265270846,0.6327920248275951,0.5909090909090909
lv_a,hold40,22,4,2.0599758883411936,0.7886138421718971,0.6818181818181818
lv_a,trail10,22,4,-0.3812869687917596,-0.5561947141498711,0.36363636363636365
lv_a,trail15,22,4,-0.8519331579694565,-1.3832118506179412,0.2727272727272727
lv_a,best,22,4,10.329696249974827,9.403907559109854,0.9545454545454546
v30,hold20,22,11,2.144506008125704,1.6245693168666204,0.6818181818181818
v30,hold40,22,4,3.933262807214722,3.036910239232076,0.7727272727272727
v30,trail10,22,4,-0.27648533107722995,-0.42124119581130337,0.4090909090909091
v30,trail15,22,4,-0.6693177557691474,-0.3904144427659417,0.36363636363636365
v30,best,22,4,10.100797196574586,10.472774976241626,1.0
sv_a,hold20,16,5,0.6148638798290145,0.26181331098352884,0.5625
sv_a,hold40,16,0,0.919742107792965,0.26181331098352884,0.5625
sv_a,trail10,16,0,-0.3590205458818484,-1.0130574139812174,0.375
sv_a,trail15,16,0,-0.0014904991739343905,-0.9384899455567988,0.4375
sv_a,best,16,0,7.558980000017297,6.51929578972956,0.9375
px_a,hold20,10,0,-0.2844873172102367,-0.3313618526344986,0.3
px_a,hold40,10,0,-0.2844873172102367,-0.3313618526344986,0.3
px_a,trail10,10,0,-0.30457047647910174,-0.3607530361662714,0.2
px_a,trail15,10,0,-0.3030302739532848,-0.3782157091974214,0.3
px_a,best,10,0,1.9902959041014696,2.2415846302160953,0.8
lv_e,hold20,22,11,2.1798018389408638,0.8585754152296701,0.5454545454545454
lv_e,hold40,22,4,3.239654244271987,2.734895474544004,0.6818181818181818
lv_e,trail10,22,4,-0.5067349235125237,-0.6326934178672248,0.36363636363636365
lv_e,trail15,22,4,0.4762699052118217,-0.33850290620266565,0.4090909090909091
lv_e,best,22,4,10.439559013889404,11.118664664042685,0.9545454545454546
