code,name,strategy,first_buy,qty,avg,cur,pnl,rs,tdays,signal,mfe,mae,eval_amt,pnl_amt,a,mkt,lvb_top20,lvb_rank,lvb_n,exc_mkt
050890,쏠리드,#저변동,2026-07-02,32.0,10254,8520,-16.91,-15.8,45,📉 시장 대비 약세,9.71,-28.32,272640,-55497,20260702,2.296661154319568,7.525288034192585,23.0,275.0,-19.20666115431957
001040,CJ,#저변동,2026-08-11,3.0,134167,131400,-2.06,-16.1,18,📉 시장 대비 약세,9.86,-12.35,394200,-8300,20260811,-1.7588464933487424,-0.42616097458319635,,,-0.3011535066512576
376300,디어유,#저변동,2026-08-19,14.0,18650,18060,-3.16,-11.0,13,📉 시장 대비 약세,3.16,-5.2,252840,-8260,20260819,1.432687000777877,0.8614905561138044,3.0,10.0,-4.592687000777877
015760,한국전력,#저변동,2026-08-24,5.0,31250,32150,2.88,-16.8,10,⚪ 보유,16.48,-0.32,160750,4500,20260824,2.594081065557252,0.29589592117527624,5.0,60.0,0.28591893444274774
035720,카카오,#저변동,2026-08-26,7.0,36100,36200,0.28,-11.7,8,⚪ 보유,3.19,-3.46,253400,700,20260826,-0.04675165362038047,-2.484623718186144,8.0,48.0,0.3267516536203805
352820,하이브,#저변동,2026-08-12,2.0,178900,178500,-0.22,-7.4,17,⚪ 보유,5.25,-8.72,357000,-800,20260812,-2.152748677900529,-0.2106019972985698,7.0,10.0,1.932748677900529
088980,맥쿼리인프라,#배당,2026-08-13,36.0,9710,9920,2.16,-7.0,16,⚪ 보유,3.19,1.54,357120,7560,20260813,-2.196606177538507,-3.8405800907408874,,,4.356606177538508
215000,골프존,#저변동,2026-08-18,9.0,35550,36800,3.52,-1.6,14,⚪ 보유,5.77,-4.08,331200,11250,20260818,-0.45706010113316653,-1.7918928838894506,2.0,7.0,3.9770601011331665
217590,티엠씨,#저변동,2026-08-31,28.0,11049,10360,-6.23,-29.0,5,⚪ 보유,2.28,-9.31,290080,-19280,20260831,-1.3000569208534096,-1.739909531807022,54.0,56.0,-4.929943079146591
000120,CJ대한통운,#저변동,2026-09-03,4.0,71800,73400,2.23,-12.3,2,⚪ 보유,3.34,0.97,293600,6400,20260903,1.830744508998916,0.9771461357400202,22.0,99.0,0.39925549100108393
