date,kospi,kosdaq,kq_ret20,kq_above60,kq_above20,breadth20,upratio5,regime,regime_pit,breadth20_pit,kq_above20_pit
20230626,2582.2,879.5,,False,False,,,약세,,,
20230627,2581.39,874.14,,False,False,,,약세,약세,,False
20230628,2564.19,866.97,,False,False,,,약세,약세,,False
20230629,2550.02,861.79,,False,False,,,약세,약세,,False
20230630,2564.28,868.24,,False,False,,,약세,약세,,False
20230703,2602.47,889.29,,False,False,,,약세,약세,,False
20230704,2593.31,890.0,,False,False,,,약세,약세,,False
20230705,2579.0,891.18,,False,False,,,약세,약세,,False
20230706,2556.29,870.53,,False,False,,,약세,약세,,False
20230707,2526.71,867.27,,False,False,,,약세,약세,,False
20230710,2520.7,860.35,,False,False,,,약세,약세,,False
20230711,2562.49,878.73,,False,False,,,약세,약세,,False
20230712,2574.72,879.88,,False,False,,,약세,약세,,False
20230713,2591.23,893.07,,False,False,,,약세,약세,,False
20230714,2628.3,896.28,,False,False,,,약세,약세,,False
20230717,2619.0,898.29,,False,False,0.4648648648648649,,약세,약세,,False
20230718,2607.62,914.14,,False,False,0.3921832884097035,,약세,약세,0.4648648648648649,False
20230719,2608.24,923.72,,False,False,0.3756720430107527,,약세,약세,0.3921832884097035,False
20230720,2600.23,931.6,,False,False,0.4034969737726967,,약세,약세,0.3756720430107527,False
20230721,2609.76,934.58,,False,True,0.374417055296469,0.38185971436687643,약세,약세,0.4034969737726967,False
20230724,2628.53,929.9,0.057305287094940205,False,True,0.2779255319148936,0.31903840901897534,반등,약세,0.374417055296469,True
20230725,2636.46,939.96,0.07529686320269069,False,True,0.25065963060686014,0.3137471403235149,반등,반등,0.2779255319148936,True
20230726,2592.36,900.63,0.03882487283296987,False,True,0.1456564337034618,0.2604390733492273,반등,반등,0.25065963060686014,True
20230727,2603.81,883.79,0.025528260945241854,False,False,0.2053982883475971,0.31051156910241495,반등,반등,0.1456564337034618,True
20230728,2608.32,913.74,0.052404865014281654,False,True,0.2521395655036208,0.3989960948892615,반등,반등,0.2053982883475971,False
20230731,2632.58,935.97,0.05249131329487566,False,True,0.33619550858652575,0.5154273113371661,반등,반등,0.2521395655036208,True
20230801,2667.07,939.67,0.05580898876404494,False,True,0.4119601328903654,0.5970879149539581,반등,반등,0.33619550858652575,True
20230802,2616.47,909.76,0.020848762315132774,False,True,0.3521970705725699,0.6262172882867927,반등,반등,0.4119601328903654,True
20230803,2605.39,920.32,0.057195042100789184,False,True,0.35935397039030953,0.5421638848735887,반등,반등,0.3521970705725699,True
20230804,2602.8,918.43,0.05898970332191822,False,True,0.38227334235453314,0.4951699666113605,반등,반등,0.35935397039030953,True
20230807,2580.71,898.22,0.044016969837856745,False,False,0.38336713995943206,0.42985967358785127,반등,반등,0.38227334235453314,True
20230808,2573.98,892.34,0.015488261468255438,False,False,0.33220338983050846,0.3516300435411144,반등,반등,0.38336713995943206,False
20230809,2605.12,908.98,0.033072691730690496,False,False,0.40027137042062416,0.452278477921687,반등,반등,0.33220338983050846,False
20230810,2601.56,911.29,0.020401536273752185,False,False,0.45084745762711864,0.47327799887430694,반등,반등,0.40027137042062416,False
20230811,2591.26,912.2,0.017762306422100416,False,False,0.5251700680272109,0.4925036485387735,반등,반등,0.45084745762711864,False
20230814,2570.87,901.68,0.003773836956884713,False,False,0.4769335142469471,0.4664637392891522,반등,반등,0.5251700680272109,False
20230816,2525.64,878.29,-0.039217187739295944,False,False,0.35588633288227334,0.4501264993175919,약세,반등,0.4769335142469471,False
20230817,2519.85,886.04,-0.040791581864634385,False,False,0.3165075034106412,0.3795503832465765,약세,약세,0.35588633288227334,False
20230818,2504.5,877.32,-0.058265349935594624,False,False,0.3146374829001368,0.3625791573892648,약세,약세,0.3165075034106412,False
20230821,2508.8,888.71,-0.049080870551477696,False,False,0.3365318711446196,0.33529768139927996,약세,약세,0.3146374829001368,False
20230822,2515.74,893.33,-0.039326809334336965,False,False,0.3388773388773389,0.352053911588346,약세,약세,0.3365318711446196,False
20230823,2505.5,882.87,-0.06073662709051453,False,False,0.34265734265734266,0.403213955874236,약세,약세,0.3388773388773389,False
20230824,2537.68,901.74,0.0012324706039106292,False,False,0.4073013600572656,0.46701008497957874,반등,약세,0.34265734265734266,False
20230825,2519.14,899.38,0.01763993708912759,False,False,0.38197424892703863,0.4606887621596033,반등,반등,0.4073013600572656,False
20230828,2543.41,909.38,-0.0047715980475846465,False,True,0.4632405424696645,0.505071434088349,약세,반등,0.38197424892703863,False
20230829,2552.16,916.24,-0.021079735461606686,False,True,0.5468639887244539,0.5698914663502418,약세,약세,0.4632405424696645,True
20230830,2561.22,923.81,-0.016878265774154744,False,True,0.6102889358703312,0.6012656735384024,약세,약세,0.5468639887244539,True
20230831,2556.27,928.4,0.020488920154766,False,True,0.5981767180925667,0.5446603049916969,반등,약세,0.6102889358703312,True
20230901,2563.71,919.74,-0.0006302155771905626,False,True,0.5819958129797628,0.5471840978290371,약세,반등,0.5981767180925667,True
20230904,2584.55,919.16,0.0007948346635018311,False,True,0.5821205821205822,0.4925412157771615,반등,약세,0.5819958129797628,True
20230905,2582.18,921.48,0.025895660305938373,False,True,0.5703395703395704,0.4392249950190802,반등,반등,0.5821205821205822,True
20230906,2563.34,917.95,0.02869982293744533,False,True,0.5456431535269709,0.39973309639372606,반등,반등,0.5703395703395704,True
20230907,2548.26,906.36,-0.0028823516469008714,False,True,0.457439446366782,0.36921940358057237,약세,반등,0.5456431535269709,True
20230908,2547.68,914.18,0.0031713285562224858,False,True,0.4972337482710927,0.4165789651499425,반등,약세,0.457439446366782,True
20230911,2556.88,912.55,0.00038368778776565193,False,True,0.5366528354080221,0.4270435631664077,반등,반등,0.4972337482710927,True
20230912,2536.58,898.04,-0.0040369088811995635,False,False,0.47892190739460955,0.3926671847679146,약세,반등,0.5366528354080221,True
20230913,2534.7,882.72,0.00504389210852918,False,False,0.4228890439637125,0.3729754490656042,반등,약세,0.47892190739460955,False
20230914,2572.89,899.47,0.015157329240214956,False,False,0.4968553459119497,0.46484993372196526,반등,반등,0.4228890439637125,False
20230915,2601.28,899.03,0.024745816805726406,False,False,0.5449477351916376,0.46631180619486895,반등,반등,0.4968553459119497,False
20230918,2574.72,891.29,0.0029030842457042905,False,False,0.4840499306518724,0.42650559728339477,반등,반등,0.5449477351916376,False
20230919,2559.21,883.89,-0.01056720360896879,False,False,0.4315352697095436,0.4301371868458127,약세,반등,0.4840499306518724,False
20230920,2559.74,882.72,-0.00016990043834308466,False,False,0.37976437976437977,0.4447191207578234,약세,약세,0.4315352697095436,False
20230921,2514.97,860.68,-0.04553418945594079,False,False,0.2477693891557996,0.32677989198345914,약세,약세,0.37976437976437977,False
20230922,2508.13,857.35,-0.04673219328870992,False,False,0.22045611610228058,0.2709172035905568,약세,약세,0.2477693891557996,False
20230925,2495.76,839.17,-0.07720644834942492,False,False,0.19372822299651568,0.2533704358898702,약세,약세,0.22045611610228058,False
20230926,2462.97,827.82,-0.0965030996245525,False,False,0.15196078431372548,0.23319423262848255,약세,약세,0.19372822299651568,False
20230927,2465.07,841.02,-0.08961799504227053,False,False,0.17970401691331925,0.3134548477728186,약세,약세,0.15196078431372548,False
20231004,2405.69,807.4,-0.13033175355450233,False,False,0.1281869688385269,0.3107553663205738,약세,약세,0.17970401691331925,False
20231005,2403.6,801.02,-0.12907995737925937,False,False,0.1213626685592619,0.3073600740367414,약세,약세,0.1281869688385269,False
20231006,2408.73,816.39,-0.11180860785934987,False,False,0.16845878136200718,0.4270019008697563,약세,약세,0.1213626685592619,False
20231010,2402.58,795.0,-0.1372574553978383,False,False,0.15778097982708933,0.43506339636132474,약세,약세,0.16845878136200718,False
20231011,2450.08,817.12,-0.10984258401873748,False,False,0.2223826714801444,0.4510365100860966,약세,약세,0.15778097982708933,False
20231012,2479.82,835.49,-0.0781918884328523,False,False,0.28748180494905384,0.5866493276490112,약세,약세,0.2223826714801444,False
20231013,2456.15,822.78,-0.0999803102233695,False,False,0.2609016999260902,0.5693325010192313,약세,약세,0.28748180494905384,False
20231016,2436.24,810.54,-0.11178565558051612,False,False,0.2260677466863034,0.45092275867200976,약세,약세,0.2609016999260902,False
20231017,2460.17,820.38,-0.0864772170504654,False,False,0.3117559523809524,0.5487523696230184,약세,약세,0.2260677466863034,False
20231018,2462.6,808.89,-0.08363920609026654,False,False,0.3117469879518072,0.4420495293811846,약세,약세,0.3117559523809524,False
20231019,2415.8,784.04,-0.12833112833112836,False,False,0.20257966616084977,0.30629313433156374,약세,약세,0.3117469879518072,False
20231020,2375.0,769.25,-0.14435558323971387,False,False,0.17061973986228002,0.29632520339399465,약세,약세,0.20257966616084977,False
20231023,2357.02,763.69,-0.1431632801893883,False,False,0.1486590038314176,0.31679896749378084,약세,약세,0.17061973986228002,False
20231024,2383.51,784.86,-0.1120388283609951,False,False,0.22477064220183487,0.3367244262093771,약세,약세,0.1486590038314176,False
20231025,2363.17,770.84,-0.12674460757658146,False,False,0.2692307692307692,0.3777077440963095,약세,약세,0.22477064220183487,False
20231026,2299.08,743.85,-0.13574150671562013,False,False,0.1799227799227799,0.3748040817085803,약세,약세,0.2692307692307692,False
20231027,2302.81,748.49,-0.12697264827666643,False,False,0.18579234972677597,0.4341759740053287,약세,약세,0.1799227799227799,False
20231030,2310.55,757.12,-0.097775182620923,False,False,0.24472243940578578,0.5045978493329762,약세,약세,0.18579234972677597,False
20231031,2277.99,736.1,-0.11079703317146239,False,False,0.19498825371965545,0.38461121207391874,약세,약세,0.24472243940578578,False
20231101,2301.56,739.23,-0.12103160448027395,False,False,0.2622820919175911,0.42299082928713344,약세,약세,0.19498825371965545,False
20231102,2343.12,772.84,-0.04280406242259094,False,False,0.39209486166007906,0.5708852850076761,약세,약세,0.2622820919175911,False
20231103,2368.34,782.05,-0.023682305061047182,False,False,0.4964314036478985,0.6305565247025765,약세,약세,0.39209486166007906,False
20231106,2502.37,839.45,0.028246303849875698,False,True,0.7191455696202531,0.6571542672031455,반등,약세,0.4964314036478985,False
20231107,2443.96,824.37,0.03694339622641518,False,True,0.6296590007930214,0.6655991689821341,반등,반등,0.7191455696202531,True
20231108,2421.62,811.02,-0.007465243783042919,False,True,0.5899053627760252,0.6004289669594072,약세,반등,0.6296590007930214,True
20231109,2427.08,802.87,-0.03904295682772985,False,True,0.5704169944925256,0.5000476419935372,약세,약세,0.5899053627760252,True
20231110,2409.66,789.31,-0.040679160893556054,False,True,0.4822974036191975,0.3962558016909538,약세,약세,0.5704169944925256,True
20231113,2403.76,774.42,-0.04456288400325714,False,False,0.4198895027624309,0.2849032345783685,약세,약세,0.4822974036191975,True
20231114,2433.25,794.19,-0.0319242302347692,False,True,0.5831363278171788,0.4002759140221162,약세,약세,0.4198895027624309,False
20231115,2486.67,809.36,0.0005810431579078568,False,True,0.7282693813625685,0.4852663663094912,반등,약세,0.5831363278171788,True
20231116,2488.18,811.11,0.034526299678588,False,True,0.7541111981205951,0.5405659934967854,반등,반등,0.7282693813625685,True
20231117,2469.85,799.06,0.038752031199219994,False,True,0.6708562450903378,0.5362483955986617,반등,반등,0.7541111981205951,True
20231120,2491.2,813.08,0.06467283845539429,False,True,0.7456964006259781,0.6326891642128019,반등,반등,0.6708562450903378,True
20231121,2510.42,817.01,0.04096271946589192,False,True,0.7904984423676013,0.5924510637142123,반등,반등,0.7456964006259781,True
20231122,2511.7,814.61,0.05678221161330499,False,True,0.7660406885758998,0.5103234244775918,반등,반등,0.7904984423676013,True
20231123,2514.96,815.98,0.09696847482691395,False,True,0.7523219814241486,0.4772077630129071,반등,반등,0.7660406885758998,True
20231124,2496.63,815.0,0.08885890259054885,False,True,0.7432327919566899,0.5238615377343663,반등,반등,0.7523219814241486,True
20231127,2495.66,810.25,0.07017381656804722,False,True,0.6755725190839694,0.44593610558250696,반등,반등,0.7432327919566899,True
20231128,2521.76,816.44,0.10914277951365303,False,True,0.6472838561591431,0.41146380569715435,반등,반등,0.6755725190839694,True
20231129,2519.81,822.44,0.1125630723861315,False,True,0.5908396946564886,0.403934149387797,반등,반등,0.6472838561591431,True
20231130,2535.29,831.68,0.07613477563273108,True,True,0.6264150943396226,0.438926497071657,강세,반등,0.5908396946564886,True
20231201,2505.01,827.24,0.057784029154146266,True,True,0.5682852807283764,0.4230978316888968,강세,강세,0.6264150943396226,True
20231204,2514.95,828.52,-0.013020430043480968,True,True,0.5613636363636364,0.44030694573007184,조정,강세,0.5682852807283764,True
20231205,2494.28,813.38,-0.013331392457270441,False,True,0.4939668174962293,0.40523624509386424,약세,조정,0.5613636363636364,True
20231206,2495.38,819.54,0.010505289635273973,False,True,0.5338855421686747,0.46272842756420357,반등,약세,0.4939668174962293,True
20231207,2492.07,813.2,0.012866341998081898,False,True,0.4751131221719457,0.39778053490931875,반등,반등,0.5338855421686747,True
20231208,2517.85,830.37,0.05202011883797253,True,True,0.5361670395227442,0.45421815818096956,강세,반등,0.4751131221719457,True
20231211,2525.36,835.25,0.07854910771932544,True,True,0.5561299852289513,0.47673617438436244,강세,강세,0.5361670395227442,True
20231212,2535.27,839.53,0.05708961331671247,True,True,0.5664697193500738,0.5166705846897867,강세,강세,0.5561299852289513,True
