cagr,vol,sharpe,mdd,win,confirm
0.0747,0.1018,0.734,-0.1737,10,1
0.051,0.1189,0.429,-0.2207,10,2
0.0514,0.1263,0.407,-0.2261,10,3
0.0577,0.1301,0.444,-0.2181,10,4
0.0607,0.1332,0.455,-0.2227,10,5
0.0706,0.1024,0.69,-0.1806,15,1
0.0533,0.1133,0.47,-0.2205,15,2
0.0573,0.1196,0.479,-0.1991,15,3
0.0444,0.1232,0.36,-0.2261,15,4
0.0344,0.1254,0.274,-0.2354,15,5
0.0708,0.1022,0.693,-0.1681,20,1
0.0652,0.1129,0.578,-0.1979,20,2
0.088,0.118,0.746,-0.1603,20,3
0.0791,0.1189,0.665,-0.1702,20,4
0.0705,0.1196,0.589,-0.1773,20,5
0.054,0.1119,0.482,-0.1955,25,1
0.0757,0.1171,0.646,-0.1774,25,2
0.0817,0.1176,0.695,-0.1726,25,3
0.0755,0.1185,0.637,-0.1847,25,4
0.0684,0.1192,0.573,-0.1831,25,5
0.0543,0.1127,0.482,-0.2013,30,1
0.0655,0.1173,0.558,-0.188,30,2
0.0694,0.1181,0.587,-0.1879,30,3
0.0579,0.1197,0.484,-0.2089,30,4
0.0556,0.1199,0.464,-0.2092,30,5
0.0542,0.1123,0.482,-0.2003,40,1
0.0608,0.1167,0.521,-0.1925,40,2
0.0608,0.1172,0.519,-0.1925,40,3
0.0455,0.1187,0.384,-0.2133,40,4
0.0402,0.1192,0.337,-0.2136,40,5
