ym,kospi_ret,kosdaq_ret,breadth,regime,days
202306,-0.006939818759197469,-0.012802728823194998,,약세,5
202307,0.011569777941724535,0.05249131329487566,0.3162371985470406,약세,21
202308,-0.04154371651287747,-0.011993572211521086,0.41306914192424055,반등,22
202309,-0.03847549059761046,-0.08558940570161133,0.4212635416359015,반등,19
202310,-0.05308248361177059,-0.08830814961605149,0.21144273189596766,약세,19
202311,0.1015528597994404,0.12506256510152447,0.6198362187667837,반등,22
202312,0.05998778447990216,0.04754363908901893,0.5554430905645601,강세,19
202401,-0.06469374225132118,-0.09066706108563816,0.45903731665969993,강세,22
202402,0.03929265357173772,0.08041515906501573,0.5212840966996811,강세,19
202403,0.027057851301476754,0.03726359439614191,0.45289138832250453,강세,20
202404,-0.020306711404511235,-0.047695764151460485,0.3591563346540479,약세,21
202405,-0.017561902632608595,-0.031701019043666734,0.5567776318316803,약세,20
202406,0.042981972175417216,-0.005066767686333851,0.39756978210386185,약세,19
202407,-0.011988688839678852,-0.05193885380393082,0.35709183151013313,약세,23
202408,-0.03721450995075026,-0.056383907169987646,0.35682195269153427,약세,21
202409,-0.03272286460276019,-0.006929187088051458,0.41158837887080924,약세,18
202410,-0.0021626348231050807,-0.025021977877789925,0.44163455723163203,반등,20
202411,-0.03400383895278414,-0.06976201906590751,0.33788821899153104,약세,21
202412,-0.02240393077148739,0.0034771543560605522,0.44801316156620585,약세,20
202501,0.04936763737317307,0.060673142740631736,0.6135200450922659,강세,18
202502,0.032123718902178355,0.05706166524580869,0.5745305851142233,강세,20
202503,-0.018901349192540717,-0.0881555766364005,0.3510489056124516,조정,20
202504,0.013968485636890904,0.03729843083375517,0.5147758790521905,약세,22
202505,0.05386379351431181,0.01730252403513144,0.5692714205817829,강세,19
202506,0.13810083105777382,0.055667373596833825,0.6912212345193073,강세,19
202507,0.05042318709238902,0.027524340602549602,0.5012878535391059,강세,23
202508,0.021350191222058168,0.03121158400082824,0.35566410568361934,조정,20
202509,0.08962019516820297,0.07259872611464968,0.5857799055734367,강세,22
202510,0.18857119707855996,0.06515721484846315,0.456722055093359,강세,18
202511,-0.06994057135818954,-0.0020556557869990666,0.37770124636420455,강세,20
202512,0.07494190599356698,0.0033500292721004854,0.5613054286744377,강세,21
202601,0.2122525599645444,0.21560540203263634,0.5807657746418953,강세,21
202602,0.26152450567411556,0.08596452893404716,0.689185549392525,강세,17
202603,-0.12766945618975434,-0.07498461808912715,0.3257583128942084,강세,21
202604,0.20445908700969206,0.06824168144922838,0.6576923188861243,강세,22
202605,0.22187721187431442,-0.11447262181356799,0.3092644243599742,강세,18
202606,-0.0354900448091684,-0.12747254840337896,0.14996103278251316,약세,21
202607,-0.20569380531612913,-0.225523215150374,0.229370597560991,약세,22
202608,0.08990403439100603,0.13147080762188912,0.6934388397257477,반등,20
202609,-0.03994850639281433,-0.021028919330289164,0.4472880634140204,반등,2
