cagr,vol,sharpe,mdd,variant,cut
0.0826,0.1465,0.564,-0.2228,없음,전체
0.1068,0.1233,0.866,-0.0731,없음,2024
0.1648,0.1005,1.64,-0.0889,없음,2025
-0.0593,0.2184,-0.272,-0.2228,없음,2026
0.0708,0.1022,0.693,-0.1681,전체노출 SMA20,전체
0.0051,0.103,0.05,-0.1947,전체노출 SMA20 (스위치당 0.25%),전체
0.077,0.0766,1.006,-0.0368,전체노출 SMA20,2024
0.129,0.0822,1.57,-0.0718,전체노출 SMA20,2025
-0.0182,0.1509,-0.121,-0.1681,전체노출 SMA20,2026
0.088,0.118,0.746,-0.1603,전체노출 확인3일,전체
0.0505,0.1187,0.425,-0.1708,전체노출 확인3일 (스위치당 0.25%),전체
0.0642,0.0845,0.76,-0.0399,전체노출 확인3일,2024
0.1862,0.0871,2.138,-0.064,전체노출 확인3일,2025
-0.0104,0.183,-0.057,-0.1603,전체노출 확인3일,2026
0.0547,0.1155,0.474,-0.1828,신규진입만 SMA20,전체
0.0494,0.0835,0.592,-0.0455,신규진입만 SMA20,2024
0.1461,0.0836,1.746,-0.0558,신규진입만 SMA20,2025
-0.0599,0.1795,-0.334,-0.1828,신규진입만 SMA20,2026
0.0586,0.1177,0.498,-0.1844,신규진입만 확인3일,전체
0.0633,0.0863,0.733,-0.0455,신규진입만 확인3일,2024
0.1446,0.086,1.681,-0.0605,신규진입만 확인3일,2025
-0.0628,0.1815,-0.346,-0.1844,신규진입만 확인3일,2026
