factor,universe,h,hyp,first_anchor,n_week,ic,lo,hi,pos,n_daily
fl_foreign5n,전체(가드),5,-1,20260514,14,0.003719001269395735,-0.040068789156001615,0.05439950648703875,0.35714285714285715,70
fl_foreign5n,전체(가드),10,-1,20260514,13,0.034702621352042246,-0.007246100100511879,0.0765916810359731,0.6153846153846154,65
fl_foreign5n,전체(가드),20,-1,20260514,11,0.03613268462937272,-0.00830908083609662,0.0841824021380036,0.5454545454545454,55
fl_foreign5n,대형(시총상위20%),5,-1,20260514,14,-0.00029501481267072007,-0.06339641149096013,0.0730999809575799,0.42857142857142855,70
fl_foreign5n,대형(시총상위20%),10,-1,20260514,13,0.05002791623435277,-0.01639751510904881,0.12209321031404072,0.5384615384615384,65
fl_foreign5n,대형(시총상위20%),20,-1,20260514,11,-0.007807646643718761,-0.07452049786996015,0.07241890198638008,0.45454545454545453,55
fl_foreign5n,조용함상위30%,5,-1,20260514,14,0.006113716870610002,-0.03774952989059086,0.05220608944186302,0.42857142857142855,70
fl_foreign5n,조용함상위30%,10,-1,20260514,13,0.030619275982265992,-0.011233669513458987,0.0712270972931381,0.5384615384615384,65
fl_foreign5n,조용함상위30%,20,-1,20260514,11,0.02909260025837814,-0.02368371473355798,0.07753912990638773,0.5454545454545454,55
fl_foreign5n,과매도(RSI<40),5,-1,20260514,12,0.06841016297070278,0.021791982298377997,0.11222197200439131,0.6666666666666666,61
fl_foreign5n,과매도(RSI<40),10,-1,20260514,11,0.11346386863447959,0.04230217935039079,0.19508120535371715,0.8181818181818182,56
fl_foreign5n,과매도(RSI<40),20,-1,20260514,11,0.14373983021146686,0.0833074674734464,0.21884843100327564,0.8181818181818182,55
fl_foreign20n,전체(가드),5,-1,20260514,14,0.034589134565387175,0.00660744951224534,0.06571571169859976,0.7142857142857143,70
fl_foreign20n,전체(가드),10,-1,20260514,13,0.048184689672200895,0.009321706354152566,0.080117442109384,0.7692307692307693,65
fl_foreign20n,전체(가드),20,-1,20260514,11,0.045437289206172266,-0.00034889501885778073,0.08982279751365416,0.8181818181818182,55
fl_foreign20n,대형(시총상위20%),5,-1,20260514,14,0.008266777004795644,-0.03081871932718917,0.04927089844288755,0.42857142857142855,70
fl_foreign20n,대형(시총상위20%),10,-1,20260514,13,-0.003990246846167221,-0.04770868015498391,0.04642107128221091,0.46153846153846156,65
fl_foreign20n,대형(시총상위20%),20,-1,20260514,11,-0.039215896498979726,-0.07620644800197528,0.005588039624520021,0.2727272727272727,55
fl_foreign20n,조용함상위30%,5,-1,20260514,14,0.03204074542558128,0.007071524014780912,0.05725672610664353,0.7142857142857143,70
fl_foreign20n,조용함상위30%,10,-1,20260514,13,0.036142682323543715,0.010240182587041654,0.06169198694895396,0.7692307692307693,65
fl_foreign20n,조용함상위30%,20,-1,20260514,11,0.012405568671166404,-0.023264339201433035,0.054478657494185775,0.5454545454545454,55
fl_foreign20n,과매도(RSI<40),5,-1,20260514,12,0.11249908862411429,0.07102935254298426,0.15303773956141,0.9166666666666666,61
fl_foreign20n,과매도(RSI<40),10,-1,20260514,11,0.17305480877722676,0.10558978162458153,0.24235482225647545,0.9090909090909091,56
fl_foreign20n,과매도(RSI<40),20,-1,20260514,11,0.158591691749645,0.09670079633662565,0.2298587303073007,0.8181818181818182,55
fl_inst5n,전체(가드),5,-1,20260514,14,0.025452739525743978,-0.012160296376841274,0.06319660664226937,0.5714285714285714,70
fl_inst5n,전체(가드),10,-1,20260514,13,-0.004324493534162249,-0.06765805766313229,0.06209727786829118,0.46153846153846156,65
fl_inst5n,전체(가드),20,-1,20260514,11,0.020899879947442104,-0.01926941957361474,0.06388508934261862,0.7272727272727273,55
fl_inst5n,대형(시총상위20%),5,-1,20260514,14,0.017681265559419925,-0.04115824507282444,0.08253607459562734,0.42857142857142855,70
fl_inst5n,대형(시총상위20%),10,-1,20260514,13,-0.03465957472112324,-0.12777136541853565,0.06064821124340461,0.38461538461538464,65
fl_inst5n,대형(시총상위20%),20,-1,20260514,11,0.02576041912609527,-0.04412025760376678,0.09874191879518396,0.5454545454545454,55
fl_inst5n,조용함상위30%,5,-1,20260514,14,0.014566728280956611,-0.03117206426718783,0.060153619339383166,0.5,70
fl_inst5n,조용함상위30%,10,-1,20260514,13,0.01641208294547129,-0.05954627187622939,0.08054543635746392,0.5384615384615384,65
fl_inst5n,조용함상위30%,20,-1,20260514,11,0.020903617622994867,-0.02661782813957496,0.06549396023466802,0.7272727272727273,55
fl_inst5n,과매도(RSI<40),5,-1,20260514,12,0.03574929747542583,-0.01657280437718277,0.08810056081024514,0.5833333333333334,61
fl_inst5n,과매도(RSI<40),10,-1,20260514,11,0.024626564198829807,-0.020775521405738254,0.07585249177598044,0.45454545454545453,56
fl_inst5n,과매도(RSI<40),20,-1,20260514,11,-0.02079452372641907,-0.06216808162288176,0.0174197664475573,0.36363636363636365,55
fl_inst20n,전체(가드),5,-1,20260514,14,0.00890618417339527,-0.04844275314763055,0.0640141749009262,0.42857142857142855,70
fl_inst20n,전체(가드),10,-1,20260514,13,0.012583518966091214,-0.03551570633813028,0.06345253410249942,0.6153846153846154,65
fl_inst20n,전체(가드),20,-1,20260514,11,0.024638174718055905,-0.0016754925521657682,0.052488591956340334,0.8181818181818182,55
fl_inst20n,대형(시총상위20%),5,-1,20260514,14,0.0035543634525806757,-0.07757859910407854,0.08616971376480265,0.5714285714285714,70
fl_inst20n,대형(시총상위20%),10,-1,20260514,13,0.007733867242595915,-0.05131385917238688,0.07499183252933099,0.5384615384615384,65
fl_inst20n,대형(시총상위20%),20,-1,20260514,11,0.06673158980796258,0.018258307485820795,0.11444045072916366,0.8181818181818182,55
fl_inst20n,조용함상위30%,5,-1,20260514,14,-0.0073524434564975994,-0.0778709182126585,0.06244715521406228,0.5,70
fl_inst20n,조용함상위30%,10,-1,20260514,13,-0.001220747010375022,-0.05307503467584916,0.05457157612380715,0.46153846153846156,65
fl_inst20n,조용함상위30%,20,-1,20260514,11,0.00021505807974869532,-0.047735769057735494,0.047758399693970374,0.6363636363636364,55
fl_inst20n,과매도(RSI<40),5,-1,20260514,12,0.013557515135294148,-0.052016095251393835,0.08683578122597911,0.5,61
fl_inst20n,과매도(RSI<40),10,-1,20260514,11,-0.0015925990550342412,-0.054070275779571506,0.04953368978947385,0.6363636363636364,56
fl_inst20n,과매도(RSI<40),20,-1,20260514,11,-0.039251397482616204,-0.07592250071253343,-0.003090132109948946,0.2727272727272727,55
fl_person5n,전체(가드),5,1,20260514,14,0.0009031632411578965,-0.06077561251647823,0.07162160341591292,0.5,70
fl_person5n,전체(가드),10,1,20260514,13,0.01270637546139839,-0.051493976967422056,0.08356290567648883,0.5384615384615384,65
fl_person5n,전체(가드),20,1,20260514,11,0.02796394547956479,-0.016531940771455353,0.07828512149602397,0.6363636363636364,55
fl_person5n,대형(시총상위20%),5,1,20260514,14,-0.023648004547450144,-0.10592064544548764,0.06883173130358519,0.42857142857142855,70
fl_person5n,대형(시총상위20%),10,1,20260514,13,-0.015982481246534962,-0.09773123314470554,0.05899192739272204,0.38461538461538464,65
fl_person5n,대형(시총상위20%),20,1,20260514,11,-0.02620299551211802,-0.10680535569227191,0.04864189661929923,0.2727272727272727,55
fl_person5n,조용함상위30%,5,1,20260514,14,-0.011938792895558966,-0.06824044372584945,0.04604242785092867,0.2857142857142857,70
fl_person5n,조용함상위30%,10,1,20260514,13,0.013034414943850854,-0.06572508114819357,0.08215316453741871,0.5384615384615384,65
fl_person5n,조용함상위30%,20,1,20260514,11,0.007210148160270371,-0.049751261150980136,0.06812565959641505,0.45454545454545453,55
fl_person5n,과매도(RSI<40),5,1,20260514,12,0.08456968070154236,0.027088640906420262,0.14376435835706927,0.75,61
fl_person5n,과매도(RSI<40),10,1,20260514,11,0.11570160511966922,0.038453580040272245,0.19021987278298877,0.7272727272727273,56
fl_person5n,과매도(RSI<40),20,1,20260514,11,0.11027164413930796,0.04098473151856592,0.183680789166142,0.7272727272727273,55
fl_person20n,전체(가드),5,1,20260514,14,0.018637094274260253,-0.04065088001141838,0.09404502364247898,0.5,70
fl_person20n,전체(가드),10,1,20260514,13,0.024531149069113557,-0.036052224221568174,0.09138979094734051,0.6153846153846154,65
fl_person20n,전체(가드),20,1,20260514,11,0.022442155968174064,-0.020541780121421573,0.07106153166958251,0.5454545454545454,55
fl_person20n,대형(시총상위20%),5,1,20260514,14,-0.02125999628997343,-0.11423273518945591,0.07837538692878321,0.2857142857142857,70
fl_person20n,대형(시총상위20%),10,1,20260514,13,-0.03826809868483919,-0.10436660542298906,0.05191239742769199,0.23076923076923078,65
fl_person20n,대형(시총상위20%),20,1,20260514,11,-0.019394681282228866,-0.07897426601802854,0.06096363704616734,0.36363636363636365,55
fl_person20n,조용함상위30%,5,1,20260514,14,0.006328514878088256,-0.05264815754007967,0.07623430946861232,0.5,70
fl_person20n,조용함상위30%,10,1,20260514,13,0.006903899615820344,-0.04656675715635552,0.06635766751980493,0.46153846153846156,65
fl_person20n,조용함상위30%,20,1,20260514,11,-0.0214238180598922,-0.06639275274764649,0.02876836914323998,0.2727272727272727,55
fl_person20n,과매도(RSI<40),5,1,20260514,12,0.1201396139557752,0.058804564955227,0.19017408433440258,0.8333333333333334,61
fl_person20n,과매도(RSI<40),10,1,20260514,11,0.14314419697581546,0.05835667809985294,0.21764578537712007,0.9090909090909091,56
fl_person20n,과매도(RSI<40),20,1,20260514,11,0.10282419606698669,0.02718152675205986,0.1832227349526449,0.7272727272727273,55
fl_pension5n,전체(가드),5,-1,20260529,12,0.034513418578400686,0.0010863804486370417,0.07906839785825215,0.75,60
fl_pension5n,전체(가드),10,-1,20260529,11,0.02804818909471545,-0.029495713402903835,0.0964735937448379,0.6363636363636364,55
fl_pension5n,전체(가드),20,-1,20260529,9,0.04179263876556381,-0.009475222472987233,0.10008493288193852,0.6666666666666666,45
fl_pension5n,대형(시총상위20%),5,-1,20260529,12,0.02796460290981916,-0.019778824993937304,0.08805088552057291,0.5833333333333334,60
fl_pension5n,대형(시총상위20%),10,-1,20260529,11,-0.0017902960342585322,-0.08115349795879787,0.09940858325970632,0.45454545454545453,55
fl_pension5n,대형(시총상위20%),20,-1,20260529,9,0.03657507805135065,-0.03470900146494224,0.12207675638050573,0.4444444444444444,45
fl_pension5n,조용함상위30%,5,-1,20260529,12,0.017550040776438718,-0.020628618083551497,0.05352320311817122,0.5833333333333334,60
fl_pension5n,조용함상위30%,10,-1,20260529,11,0.03965150954261491,-0.022388605910069474,0.11029017351854152,0.6363636363636364,55
fl_pension5n,조용함상위30%,20,-1,20260529,9,0.04133843709638636,-0.006949289488733235,0.0917259335351088,0.4444444444444444,45
fl_pension5n,과매도(RSI<40),5,-1,20260529,10,0.054398511432428596,-0.008946105637860505,0.11833300986452439,0.8,51
fl_pension5n,과매도(RSI<40),10,-1,20260529,9,0.03855206103827236,-0.031705704535985355,0.12047799212035601,0.3333333333333333,46
fl_pension5n,과매도(RSI<40),20,-1,20260529,9,-0.0036636885054707794,-0.07366475337488264,0.07062206509370493,0.3333333333333333,45
fl_pension20n,전체(가드),5,-1,20260529,12,0.026980454363212808,-0.01664050252127935,0.06786500222010938,0.5833333333333334,60
fl_pension20n,전체(가드),10,-1,20260529,11,0.04066322104674098,-0.006109534496724751,0.09039663072497535,0.6363636363636364,55
fl_pension20n,전체(가드),20,-1,20260529,9,0.052709949029849074,0.012226296631780216,0.09057258507335979,0.6666666666666666,45
fl_pension20n,대형(시총상위20%),5,-1,20260529,12,0.022578075784559535,-0.04652422958897311,0.08783507106070845,0.6666666666666666,60
fl_pension20n,대형(시총상위20%),10,-1,20260529,11,0.027681010453524477,-0.036086271270335875,0.10048127118012727,0.5454545454545454,55
fl_pension20n,대형(시총상위20%),20,-1,20260529,9,0.060193628755385524,0.006406199098299751,0.11776936671961462,0.7777777777777778,45
fl_pension20n,조용함상위30%,5,-1,20260529,12,0.01332448072046727,-0.03917025818773707,0.06384055041356028,0.5,60
fl_pension20n,조용함상위30%,10,-1,20260529,11,0.04220151677983118,-0.005926390170160244,0.09239893816437378,0.6363636363636364,55
fl_pension20n,조용함상위30%,20,-1,20260529,9,0.04413085201830239,0.00429241617425915,0.08690805108163233,0.6666666666666666,45
fl_pension20n,과매도(RSI<40),5,-1,20260529,10,0.05803880030167439,0.0031638493393185215,0.11649400641006899,0.7,51
fl_pension20n,과매도(RSI<40),10,-1,20260529,9,0.05251366900697991,-0.01918998333643834,0.11887795431526578,0.6666666666666666,46
fl_pension20n,과매도(RSI<40),20,-1,20260529,9,0.022949910989835558,-0.04098053674817005,0.07854216437803381,0.5555555555555556,45
fl_trust5n,전체(가드),5,1,20260529,12,-0.02040095560791091,-0.061385512525381956,0.014360480191016576,0.4166666666666667,60
fl_trust5n,전체(가드),10,1,20260529,11,-0.008581885167567103,-0.06667628286599296,0.03847074621189173,0.45454545454545453,55
fl_trust5n,전체(가드),20,1,20260529,9,-0.03455479466133652,-0.08864777872614547,0.004920268156856952,0.3333333333333333,45
fl_trust5n,대형(시총상위20%),5,1,20260529,12,-0.0022126678647791565,-0.07183673783568824,0.06047593211785885,0.4166666666666667,60
fl_trust5n,대형(시총상위20%),10,1,20260529,11,0.01796119326532056,-0.07852567653773779,0.09769319288409237,0.5454545454545454,55
fl_trust5n,대형(시총상위20%),20,1,20260529,9,-0.03627424045591311,-0.12345731557644438,0.025568575165063646,0.3333333333333333,45
fl_trust5n,조용함상위30%,5,1,20260529,12,-0.013560215353572302,-0.0673875077109431,0.03565111074888671,0.5,60
fl_trust5n,조용함상위30%,10,1,20260529,11,-0.012015319519460404,-0.062165671836368855,0.03541768813564475,0.36363636363636365,55
fl_trust5n,조용함상위30%,20,1,20260529,9,-0.028584403945341633,-0.06308910674329189,0.0027747416721986247,0.3333333333333333,45
fl_trust5n,과매도(RSI<40),5,1,20260529,10,-0.03243233076758622,-0.07288026948235676,0.0050618628848314124,0.3,51
fl_trust5n,과매도(RSI<40),10,1,20260529,9,-0.023607942250735762,-0.07057153247897935,0.018538476588489086,0.3333333333333333,46
fl_trust5n,과매도(RSI<40),20,1,20260529,9,-0.0030731240583061086,-0.045532543499859156,0.0394370620819151,0.4444444444444444,45
fl_trust20n,전체(가드),5,1,20260529,12,-0.007003293589998357,-0.04667030865049427,0.028763151412155605,0.5,60
fl_trust20n,전체(가드),10,1,20260529,11,-0.010555923750692501,-0.05039344091554032,0.0261628512062051,0.5454545454545454,55
fl_trust20n,전체(가드),20,1,20260529,9,-0.02639702882767679,-0.05040196031163019,-0.004774909333593316,0.2222222222222222,45
fl_trust20n,대형(시총상위20%),5,1,20260529,12,0.005020215513741817,-0.06133204400082315,0.06639972774193431,0.5,60
fl_trust20n,대형(시총상위20%),10,1,20260529,11,0.002532768572833322,-0.057787866597114726,0.05419537939783585,0.5454545454545454,55
fl_trust20n,대형(시총상위20%),20,1,20260529,9,-0.06331780918127468,-0.0971327342907267,-0.034785908974303774,0.1111111111111111,45
fl_trust20n,조용함상위30%,5,1,20260529,12,0.0038746730632205767,-0.04359498938693763,0.04314791307563324,0.5833333333333334,60
