name,family,h,n,filled,win2x,loss30,top2_to_cash,kospi_weight,net,net_lo,net_hi,excess,excess_lo,excess_hi,delta_base,delta_base_lo,delta_base_hi,delta_amount,delta_amount_lo,delta_amount_hi,delta_base_excess,delta_base_excess_lo,delta_base_excess_hi,delta_2024,n_2024,delta_2025,n_2025,delta_2026,n_2026,batch_simultaneous_lo,batch_simultaneous_hi
base_beta_near,baseline,60,20,19.95,0.05750000000000001,0.0925,0.08453981875600905,0.38249999999999995,0.19799827695039313,0.07957471185345638,0.3109210418006605,0.09474333655784073,0.044831773797949885,0.14614335162507006,0.0,0.0,0.0,0.050348610249924056,-0.01671132994113603,0.11385847771627948,0.0,0.0,0.0,0.0,5,0.0,12,0.0,3,,
base_amount,baseline,60,20,20.0,0.025,0.052500000000000005,0.05778279408532848,0.8350000000000002,0.14764966670046906,0.057177667369797305,0.24196085200301354,-0.008013931063987307,-0.050640682499547375,0.03147342251828579,-0.050348610249924056,-0.11385847771627945,0.016711329941136034,0.0,0.0,0.0,-0.10275726762182805,-0.17726668978937682,-0.025665053624765802,-0.0035636990135864575,5,-0.0931778287353835,12,0.04299341163135104,3,,
base_R1_amount,baseline,60,20,20.0,0.05750000000000001,0.08750000000000001,0.10023860850714986,0.4925,0.22211875156886243,0.07921057705032848,0.3626014957806493,0.10081549910771115,0.03424022474418337,0.17547124108422812,0.024120474618469327,-0.015463986545478097,0.07139659023937245,0.07446908486839339,-0.0020693505836958006,0.15541320027448724,0.006072162549870438,-0.027432419945607883,0.04491000826819804,-0.0017634816343366166,5,0.0027619641972241246,12,0.15269444339146004,3,,
up_capture,market_response,60,20,19.95,0.05000000000000001,0.1025,0.025708292996846405,0.3175,0.1311754929002822,0.03322064105987271,0.23939241850872026,0.03361644749445285,-0.030007924439683357,0.09603453793761978,-0.06682278405011093,-0.13500379034782517,-0.009804740661845487,-0.01647417380018688,-0.09700001243285376,0.06326663187401459,-0.06112688906338788,-0.12681452624735437,-0.006503883282682151,0.03547249409225533,5,-0.09338298507337044,12,-0.13107411019435006,3,,
asymmetry,market_response,60,20,19.9,0.030000000000000006,0.14999999999999997,-0.05181998688246063,0.30999999999999994,0.032311626287450886,-0.0455917084321173,0.12940782587574445,-0.06623808122141576,-0.15075906563343394,0.00671690135209061,-0.16568665066294225,-0.26214164322454747,-0.07825949890081157,-0.11533804041301818,-0.23609612563696628,-0.01773234171827608,-0.16098141777925648,-0.25389921573676244,-0.07563778442253247,-0.018023919906276907,5,-0.16992986993374334,12,-0.39481832484084656,3,,
downside_filter,market_response,60,20,19.95,0.030000000000000006,0.12500000000000003,-0.03447032383271269,0.27749999999999997,0.05563904015323549,-0.03276616480581454,0.15469155391298234,-0.023868060123920194,-0.08920001248778693,0.04138216003612735,-0.14235923679715762,-0.20908214446371368,-0.07871083147368772,-0.09201062654723355,-0.16441967840858152,-0.02168668019616584,-0.11861139668176093,-0.18956102112071677,-0.05415326983070149,-0.026257852700664146,5,-0.17587865311087683,12,-0.20178387836976994,3,,
resilience,market_response,60,20,19.95,0.045,0.13999999999999999,-0.020761434293079563,0.31,0.08221129680726799,-0.0035597193886976923,0.1755612022365013,-0.001089007486461359,-0.06262150997946023,0.058574656775806526,-0.11578698014312512,-0.17825494439679676,-0.058391942727724404,-0.06543836989320108,-0.13105979067150783,-0.002942706664059517,-0.09583234404430208,-0.16567426108303834,-0.03491382182201207,0.00555939187620094,5,-0.1561742699918128,12,-0.1564817741139178,3,,
relative_resilience,market_response,60,20,19.9,0.0425,0.1925,-0.08124831233962035,0.25499999999999995,0.05494111062095689,-0.04910660864898088,0.19595157998722748,-0.03299990372096639,-0.11718350210358183,0.06812723501985368,-0.14305716632943621,-0.25486479017741903,-0.035133462283664,-0.09270855607951216,-0.22315723134560578,0.03381387640248278,-0.1277432402788071,-0.22683543862609587,-0.03255274676299144,-0.06673065821033428,5,-0.1211000468076978,12,-0.3580964912815598,3,,
steady60,trend_quality,60,20,20.0,0.052500000000000005,0.0925,0.07745880814255565,0.475,0.18661993079688852,0.07307262492562609,0.29496605772929557,0.07551501430896067,0.03251497726525427,0.12014312876836923,-0.011378346153504604,-0.0539008465323687,0.03163950636402359,0.038970264096419446,-0.011334444186853736,0.09043192420483867,-0.019228322248880058,-0.060226448412029336,0.021154799012668438,0.024454705843242906,5,-0.04639292238669912,12,0.06895820545136094,3,,
steady126,trend_quality,60,20,20.0,0.06250000000000001,0.08,0.11375771095960874,0.5025,0.22717834852765897,0.11156782054095077,0.34096214392284413,0.11623037482009327,0.06919500677230175,0.1665841650150629,0.029180071577265897,-0.00012991822294904895,0.06149736778535162,0.07952868182718995,0.017701007271376013,0.1429342884609308,0.021487038262252543,-0.014150242195703384,0.057812372588278524,0.05261383320002351,5,0.005169530346298384,12,0.08616596712987327,3,,
efficient,trend_quality,60,20,19.95,0.06,0.11750000000000001,0.06107891092314359,0.3675,0.17258223811209902,0.05247711837239777,0.28116675409846326,0.07157579085251561,0.020020848679759496,0.1271602200926292,-0.025416038838294075,-0.051702112053972155,0.004363703226588501,0.024932571411629984,-0.02478476279319567,0.08045245572474259,-0.023167545705325122,-0.05204344769731702,0.00875608042582649,-0.008482687719554429,5,-0.040980836091124115,12,0.008620898308459982,3,,
drift,trend_quality,60,20,19.95,0.07,0.13249999999999998,0.07537211077834041,0.38249999999999995,0.19410214715114055,0.06827814406536448,0.319455935498057,0.093016608780673,0.02964159018964931,0.16118256372942058,-0.0038961297992525625,-0.04009323352323952,0.030718225977476973,0.0464524804506715,-0.023905796107932867,0.11396983644058191,-0.001726727777167747,-0.04101729863126481,0.0381026363182521,0.035447771191936504,5,-0.03428685223947151,12,0.05209359164297476,3,,
small_losses,trend_quality,60,20,20.0,0.025,0.052500000000000005,0.039967695582895195,0.62,0.12101493601126692,0.02725208794810468,0.21364801257873114,0.011189574228853295,-0.030172348044090688,0.06355983570426081,-0.0769833409391262,-0.13284860032457368,-0.019959821993436364,-0.026634730689202128,-0.11343831721249846,0.04432201275756312,-0.08355376232898742,-0.13846335417294264,-0.028280066628031026,-0.01952764375485646,5,-0.06984128252896837,12,-0.20131106988687364,3,,
quiet_recent,trend_quality,60,20,20.0,0.019999999999999997,0.0225,0.05926124883018006,0.6625,0.13392874575829244,0.04616694785491676,0.22346400467329083,-4.784910244012008e-05,-0.047004179039918784,0.04655887152233018,-0.06406953119210068,-0.14609085586502352,0.0056845243963613715,-0.013720920942176617,-0.0799955251671422,0.05279679173049329,-0.09479118566028086,-0.1828667150560983,-0.020135125382962863,-0.012580340253589053,5,-0.10369229949004131,12,0.008606223768809096,3,,
repeated_high,trend_persistence,60,20,20.0,0.05750000000000001,0.0925,0.09862095576575258,0.425,0.21001283169833584,0.07861217682049806,0.33675860489502124,0.10311862600350633,0.04569257879224532,0.16695702509030216,0.012014554747942802,-0.007336214473963084,0.03393137999843055,0.06236316499786687,-0.014398240237007108,0.1422570541215291,0.008375289445665582,-0.006817817408161642,0.02488399090181517,0.0026725354093505337,5,0.01881509572489384,12,0.0003824230711257694,3,,
price_nearness,trend_persistence,60,20,19.95,0.05750000000000001,0.11249999999999998,0.06820321553995876,0.36999999999999994,0.17976328716942044,0.06005013938312573,0.29491263192685646,0.0934849889146962,0.038850782799354215,0.14931863274236934,-0.018234989780972648,-0.062481720302593115,0.017816761339261362,0.032113620468951415,-0.06602720341565302,0.11921152818266201,-0.001258347643144525,-0.02614145912796135,0.021839452904461952,-0.015563219306872007,5,0.00027763856543351156,12,-0.09673845395676502,3,,
multi_horizon,trend_persistence,60,20,19.95,0.05500000000000001,0.14999999999999997,0.027059320831158057,0.315,0.136512974291408,0.01971832554839632,0.2493208216465186,0.0458894902533775,-0.007629012260999507,0.10428008509820175,-0.06148530265898513,-0.08807369215978655,-0.03581673801205286,-0.011136692409061075,-0.0811704569569088,0.05869694847426568,-0.04885384630446323,-0.07832095734095763,-0.021646566121644863,-0.036250877503933354,5,-0.06811553459323405,12,-0.07702175018040908,3,,
accelerating,trend_persistence,60,20,19.95,0.045000000000000005,0.1425,0.006478393271035674,0.32500000000000007,0.12353004440073845,0.03265258728310519,0.2081950606336063,0.026298475264513687,-0.010823702123793341,0.06424373781692078,-0.07446823254965465,-0.11833615938705574,-0.02733657881421643,-0.024119622299730598,-0.07776118000870874,0.02233692915081657,-0.06844486129332705,-0.11500695456218864,-0.02089312741174167,-0.009068827769206377,5,-0.11101039688983283,12,-0.0372985831563557,3,,
squeeze_then_strength,price_volume_sequence,60,20,19.9,0.025,0.17250000000000001,-0.09153171735356755,0.275,0.0021824092431802166,-0.10194071994776571,0.12221498180696067,-0.0865755288076205,-0.14320684147695642,-0.017639192620975484,-0.19581586770721288,-0.26694628743720417,-0.12213390769890888,-0.14546725745728886,-0.2466727848034206,-0.04444439305141182,-0.1813188653654612,-0.2484663126824559,-0.11683937613615741,-0.1345446098837572,5,-0.20126273743366163,12,-0.2761471518405107,3,,
squeeze_in_leaders,price_volume_sequence,60,20,20.0,0.04000000000000001,0.1,0.024279875289648246,0.38249999999999995,0.13296042177452833,0.020012277517662398,0.2505237213061611,0.026992519731938325,-0.022863838502822396,0.0939978521122086,-0.06503785517586476,-0.11891351047082135,-0.0056333854324052005,-0.014689244925940714,-0.07640721159001213,0.059533256768435516,-0.06775081682590241,-0.12466427645997519,-0.004833337671439175,-0.03745234864298861,5,-0.10403990391449335,12,0.044994495557189214,3,,
tight_now,price_volume_sequence,60,20,20.0,0.0325,0.085,0.01005835441231886,0.3275,0.1059050725265778,0.0035558701965255845,0.20475246476353245,0.016491900887079507,-0.024589277452235575,0.059159614044190005,-0.0920932044238153,-0.12658099317834587,-0.06138074681570776,-0.041744594173891265,-0.1107456036609116,0.0211550157630471,-0.0782514356707612,-0.11419411104518448,-0.050774122515299024,-0.04716233987444098,5,-0.10506564484978292,12,-0.11508821696890208,3,,
dry_then_strength,price_volume_sequence,60,20,19.95,0.035,0.1375,-0.056627283515353864,0.3225,0.0513839563424278,-0.051842114386335514,0.16867011767674123,-0.03916296398199397,-0.10098876005992127,0.03647100421050147,-0.14661432060796534,-0.22586579792680112,-0.06900720449987176,-0.09626571035804124,-0.1828876732695346,0.003361902974337143,-0.13390630053983468,-0.21588515372507472,-0.05816423218359818,-0.07653048242879384,5,-0.15808091663582294,12,-0.21755433346182054,3,,
dry_in_leaders,price_volume_sequence,60,20,20.0,0.030000000000000006,0.09,-0.007254710488870356,0.28250000000000003,0.09064395684836687,0.011169005658903818,0.17413437775432625,0.0003159795645852857,-0.02942112164490364,0.03726450386761134,-0.10735432010202625,-0.17205275575928472,-0.04703153164836146,-0.05700570985210218,-0.11863256921125451,0.008077077478546902,-0.09442735699325544,-0.15887963289320642,-0.035698154467982336,-0.027856940131685427,5,-0.1423393063986573,12,-0.09991000819940343,3,,
dry_now,price_volume_sequence,60,20,20.0,0.017499999999999998,0.07500000000000001,-0.04746978259356107,0.265,0.03363505724695631,-0.024903202750295814,0.09033382844121478,-0.056843700541893416,-0.07566001301614421,-0.03728005629872642,-0.1643632197034368,-0.2279966589307999,-0.09985678711628865,-0.11401460945351274,-0.17392939289704165,-0.062310034273198915,-0.15158703709973415,-0.2163030553466429,-0.09139009509878447,-0.04641965611586574,5,-0.2024652002495352,12,-0.2085279034983284,3,,
restart,price_volume_sequence,60,20,20.0,0.05,0.11999999999999997,0.02660044274957658,0.35,0.12942019773642074,0.012189989535322115,0.24785403089046545,0.028618490143712316,-0.028701952102647255,0.0930110265152172,-0.06857807921397238,-0.11279733315150689,-0.032114778314747794,-0.01822946896404832,-0.0831410291424366,0.04976761893859058,-0.06612484641412841,-0.11366466631184398,-0.02476191149070043,-0.04132743531343881,5,-0.08898291313508717,12,-0.03237648336373568,3,,
firm_close,price_volume_sequence,60,20,20.0,0.057499999999999996,0.0925,0.08982774279365255,0.43499999999999994,0.21308726103839243,0.09784415868116651,0.34167965605622397,0.10080311834403803,0.0443592693066462,0.17254727679689913,0.015088984087999344,-0.060066885591307295,0.10119605601925542,0.0654375943379234,0.019232375288789474,0.1199913730139089,0.0060597817861973245,-0.06630272051113012,0.08584695175516546,0.04337727077004229,5,-0.054114081744552116,12,0.24475410294813357,3,,
pullback_dry,conditional_universe,60,20,20.0,0.02,0.07000000000000002,-0.03786095672858932,0.26,0.043348402772481906,-0.01190640502860852,0.09032234566441258,-0.04722694826853229,-0.08334676370517502,-0.012603549610029408,-0.15464987417791123,-0.23225409429780414,-0.0831727299536519,-0.10430126392798715,-0.17204273554761432,-0.05066204472621174,-0.14197028482637303,-0.22272495889617008,-0.06959430352010244,-0.02239964834160351,5,-0.19167026936994946,12,-0.22698533647027105,3,,
pullback_rebound,conditional_universe,60,20,20.0,0.05,0.09000000000000001,0.007128031736351781,0.34500000000000003,0.111755269044635,-0.011446543531570935,0.24047273030923752,0.02369614788329999,-0.058689339941661284,0.1090439896563913,-0.08624300790575809,-0.1585410341144081,-0.013211354801468662,-0.03589439765583405,-0.11656903067117211,0.05811454243200598,-0.07104718867454074,-0.15022793641276797,0.0032910813007218077,-0.07866334208450942,5,-0.10956644315988322,12,-0.0055820432580054495,3,,
leaders_only,conditional_universe,60,20,20.0,0.042499999999999996,0.0925,0.07466335047551284,0.425,0.18018216899669592,0.05288982716695853,0.31394265188304254,0.07238004707117313,0.005525192411095665,0.1446850692125699,-0.017816107953697185,-0.06959386508460601,0.03285481174785565,0.03253250229622686,-0.04422413401493067,0.11394893633015316,-0.0223632894866676,-0.07410718938467241,0.027622034305845894,0.013181568505749103,5,-0.05804823623619315,12,0.0914496110772095,3,,
large_only,conditional_universe,60,20,20.0,0.037500000000000006,0.07,0.10796401390647355,0.635,0.20907314398361182,0.09712730792921018,0.31594252730109557,0.0873393424128352,0.04277920987924755,0.13985904584249012,0.011074867033218685,-0.03694782588518301,0.06339010193600807,0.06142347728314275,-0.006328750971981072,0.12791699685792718,-0.0074039941450055324,-0.05973169216337352,0.04455713157941851,0.019075528242494443,5,-0.0005665013448490677,12,0.04430590519669675,3,,
mid_only,conditional_universe,60,20,19.95,0.065,0.1,0.03782975825507033,0.29,0.16284165315767854,0.057415108715747044,0.2662761245172075,0.07327866171609587,0.026235753723078546,0.12994801430592898,-0.035156623792714545,-0.07482966857282941,0.008581392921394449,0.015191986457209502,-0.03273012617507666,0.06535688671619833,-0.021464674841744868,-0.06551518840816616,0.030007834905052395,0.006095698985125986,5,-0.0674719864022265,12,0.025350955348932374,3,,
