name,family,market,date,exit_date,year,h,n_selected,n_filled,net,excess_index,excess_ew,delta_quiet,index,ew,win_fraction,missing_exit,stress_missing_net
base_quiet,baseline,KOSPI,20240102,20240131,2024,20,20,20,0.02238373140342171,0.06465718565320394,0.0598231655917514,0.0,-0.04227345424978224,-0.03743943418832969,0.65,0,0.02238373140342171
base_quiet_turn,baseline,KOSPI,20240102,20240131,2024,20,20,20,0.006148231995332332,0.04842168624511457,0.04358766618366203,-0.01623549940808938,-0.04227345424978224,-0.03743943418832969,0.55,0,0.006148231995332332
base_relative60,baseline,KOSPI,20240102,20240131,2024,20,20,20,-0.1227878023364408,-0.08051434808665855,-0.0853483681481111,-0.1451715337398625,-0.04227345424978224,-0.03743943418832969,0.15,0,-0.1227878023364408
base_nearhigh,baseline,KOSPI,20240102,20240131,2024,20,20,20,-0.07287376324032264,-0.030600308990540406,-0.03543432905199295,-0.09525749464374436,-0.04227345424978224,-0.03743943418832969,0.15,0,-0.07287376324032264
quiet_strength_rs5,quiet_strength,KOSPI,20240102,20240131,2024,20,20,20,-0.04358097910504655,-0.0013075248552643082,-0.006141544916716854,-0.06596471050846825,-0.04227345424978224,-0.03743943418832969,0.15,0,-0.04358097910504655
quiet_strength_rs20,quiet_strength,KOSPI,20240102,20240131,2024,20,20,20,-0.013817403073498524,0.028456051176283713,0.023622031114831167,-0.036201134476920235,-0.04227345424978224,-0.03743943418832969,0.35,0,-0.013817403073498524
quiet_strength_accelerate,quiet_strength,KOSPI,20240102,20240131,2024,20,20,20,-0.01642110771071571,0.02585234653906653,0.021018326477613983,-0.038804839114137415,-0.04227345424978224,-0.03743943418832969,0.35,0,-0.01642110771071571
quiet_strength_steady,quiet_strength,KOSPI,20240102,20240131,2024,20,20,20,-0.06115117816688172,-0.01887772391709948,-0.023711743978552025,-0.08353490957030343,-0.04227345424978224,-0.03743943418832969,0.15,0,-0.06115117816688172
quiet_strength_clv,quiet_strength,KOSPI,20240102,20240131,2024,20,20,20,-0.008468456952660386,0.03380499729712185,0.028970977235669305,-0.030852188356082097,-0.04227345424978224,-0.03743943418832969,0.5,0,-0.008468456952660386
squeeze_20,squeeze,KOSPI,20240102,20240131,2024,20,20,20,-0.054390302384308156,-0.012116848134525918,-0.016950868195978464,-0.07677403378772987,-0.04227345424978224,-0.03743943418832969,0.15,0,-0.054390302384308156
squeeze_60,squeeze,KOSPI,20240102,20240131,2024,20,20,20,-0.09649461079428232,-0.054221156544500076,-0.05905517660595262,-0.11887834219770402,-0.04227345424978224,-0.03743943418832969,0.1,0,-0.09649461079428232
squeeze_volume,squeeze,KOSPI,20240102,20240131,2024,20,20,20,-0.061230441967906245,-0.018956987718124006,-0.023791007779576552,-0.08361417337132795,-0.04227345424978224,-0.03743943418832969,0.15,0,-0.061230441967906245
squeeze_relative,squeeze,KOSPI,20240102,20240131,2024,20,20,20,-0.08328147989187297,-0.04100802564209073,-0.04584204570354328,-0.10566521129529469,-0.04227345424978224,-0.03743943418832969,0.15,0,-0.08328147989187297
squeeze_range,squeeze,KOSPI,20240102,20240131,2024,20,20,20,-0.042616434376895954,-0.00034298012711371506,-0.005177000188566261,-0.06500016578031767,-0.04227345424978224,-0.03743943418832969,0.25,0,-0.042616434376895954
pullback_dry,pullback,KOSPI,20240102,20240131,2024,20,20,20,-0.04751867705780706,-0.0052452228080248214,-0.010079242869477367,-0.06990240846122878,-0.04227345424978224,-0.03743943418832969,0.3,0,-0.04751867705780706
pullback_quiet,pullback,KOSPI,20240102,20240131,2024,20,20,20,0.02054589113848085,0.06281934538826309,0.05798532532681054,-0.0018378402649408612,-0.04227345424978224,-0.03743943418832969,0.55,0,0.02054589113848085
pullback_rebound,pullback,KOSPI,20240102,20240131,2024,20,20,20,-0.12982582953288377,-0.08755237528310153,-0.09238639534455408,-0.15220956093630547,-0.04227345424978224,-0.03743943418832969,0.15,0,-0.12982582953288377
pullback_high,pullback,KOSPI,20240102,20240131,2024,20,20,20,-0.03980426542164507,0.002469188828137167,-0.0023648312333153787,-0.06218799682506678,-0.04227345424978224,-0.03743943418832969,0.35,0,-0.03980426542164507
pullback_resume,pullback,KOSPI,20240102,20240131,2024,20,20,20,-0.0911936624742279,-0.04892020822444566,-0.05375422828589821,-0.11357739387764962,-0.04227345424978224,-0.03743943418832969,0.1,0,-0.0911936624742279
volume_clv,volume_sequence,KOSPI,20240102,20240131,2024,20,20,20,-0.032515086958616976,0.009758367291165262,0.004924347229712717,-0.054898818362038686,-0.04227345424978224,-0.03743943418832969,0.4,0,-0.032515086958616976
volume_restart,volume_sequence,KOSPI,20240102,20240131,2024,20,20,20,-0.06634239349584484,-0.0240689392460626,-0.028902959307515144,-0.08872612489926654,-0.04227345424978224,-0.03743943418832969,0.1,0,-0.06634239349584484
volume_quiet_restart,volume_sequence,KOSPI,20240102,20240131,2024,20,20,20,-0.05904627046519621,-0.016772816215413974,-0.02160683627686652,-0.08143000186861793,-0.04227345424978224,-0.03743943418832969,0.1,0,-0.05904627046519621
volume_upvolume,volume_sequence,KOSPI,20240102,20240131,2024,20,20,20,-0.044610000588146535,-0.0023365463383642968,-0.007170566399816843,-0.06699373199156824,-0.04227345424978224,-0.03743943418832969,0.15,0,-0.044610000588146535
volume_hold,volume_sequence,KOSPI,20240102,20240131,2024,20,20,20,-0.07522533969526415,-0.032951885445481915,-0.03778590550693446,-0.09760907109868586,-0.04227345424978224,-0.03743943418832969,0.15,0,-0.07522533969526415
relative_quiet,relative_strength,KOSPI,20240102,20240131,2024,20,20,20,-0.021628557501436153,0.020644896748346086,0.01581087668689354,-0.044012288904857866,-0.04227345424978224,-0.03743943418832969,0.35,0,-0.021628557501436153
relative_persistent,relative_strength,KOSPI,20240102,20240131,2024,20,20,20,-0.057641590605939354,-0.015368136356157115,-0.02020215641760966,-0.08002532200936106,-0.04227345424978224,-0.03743943418832969,0.3,0,-0.057641590605939354
relative_accelerate,relative_strength,KOSPI,20240102,20240131,2024,20,20,20,-0.08444846875698149,-0.04217501450719925,-0.0470090345686518,-0.1068322001604032,-0.04227345424978224,-0.03743943418832969,0.2,0,-0.08444846875698149
relative_high,relative_strength,KOSPI,20240102,20240131,2024,20,20,20,-0.03369550276177138,0.008577951488010861,0.0037439314265583154,-0.05607923416519309,-0.04227345424978224,-0.03743943418832969,0.3,0,-0.03369550276177138
relative_efficient,relative_strength,KOSPI,20240102,20240131,2024,20,20,20,-0.031237449796649108,0.01103600445313313,0.0062019843916805845,-0.05362118120007082,-0.04227345424978224,-0.03743943418832969,0.35,0,-0.031237449796649108
recovery_quiet,recovery,KOSPI,20240102,20240131,2024,20,20,20,-0.05914504715936131,-0.01687159290957907,-0.021705612971031615,-0.08152877856278301,-0.04227345424978224,-0.03743943418832969,0.2,0,-0.05914504715936131
recovery_slope,recovery,KOSPI,20240102,20240131,2024,20,20,20,-0.05558881744043611,-0.013315363190653871,-0.018149383252106417,-0.07797254884385782,-0.04227345424978224,-0.03743943418832969,0.3,0,-0.05558881744043611
recovery_rebound,recovery,KOSPI,20240102,20240131,2024,20,20,20,-0.007185108106402949,0.03508834614337929,0.030254326081926745,-0.029568839509824658,-0.04227345424978224,-0.03743943418832969,0.45,0,-0.007185108106402949
recovery_cross,recovery,KOSPI,20240102,20240131,2024,20,20,20,-0.03246372338480458,0.009809730864977662,0.004975710803525116,-0.05484745478822629,-0.04227345424978224,-0.03743943418832969,0.35,0,-0.03246372338480458
quiet_gate_steady,quiet_gate,KOSPI,20240102,20240131,2024,20,20,20,0.0035307998542116804,0.04580425410399392,0.040970234042541374,-0.018852931549210028,-0.04227345424978224,-0.03743943418832969,0.6,0,0.0035307998542116804
quiet_gate_rs20,quiet_gate,KOSPI,20240102,20240131,2024,20,20,20,-0.016765702803867254,0.025507751445914984,0.02067373138446244,-0.03914943420728896,-0.04227345424978224,-0.03743943418832969,0.4,0,-0.016765702803867254
quiet_gate_accelerate,quiet_gate,KOSPI,20240102,20240131,2024,20,20,20,-0.009761234226954107,0.03251222002282813,0.027678199961375584,-0.03214496563037582,-0.04227345424978224,-0.03743943418832969,0.45,0,-0.009761234226954107
quiet_gate_size,quiet_gate,KOSPI,20240102,20240131,2024,20,20,20,0.020848813410158356,0.0631222676599406,0.05828824759848805,-0.0015349179932633537,-0.04227345424978224,-0.03743943418832969,0.7,0,0.020848813410158356
quiet_gate_no_size,quiet_gate,KOSPI,20240102,20240131,2024,20,20,20,-0.002216788131237696,0.04005666611854454,0.035222646057091994,-0.024600519534659405,-0.04227345424978224,-0.03743943418832969,0.55,0,-0.002216788131237696
quiet_gate_turn,quiet_gate,KOSPI,20240102,20240131,2024,20,20,20,-0.018011995341602895,0.024261458908179344,0.019427438846726798,-0.040395726745024604,-0.04227345424978224,-0.03743943418832969,0.4,0,-0.018011995341602895
quiet_strength_with_size,share_approx,KOSPI,20240102,20240131,2024,20,20,20,-0.008524627806755896,0.03374882644302634,0.028914806381573795,-0.030908359210177608,-0.04227345424978224,-0.03743943418832969,0.5,0,-0.008524627806755896
quiet_strength_with_turn,share_approx,KOSPI,20240102,20240131,2024,20,20,20,-0.0206896819213876,0.02158377232839464,0.016749752266942093,-0.04307341332480931,-0.04227345424978224,-0.03743943418832969,0.45,0,-0.0206896819213876
quiet_strength_no_shares,share_approx,KOSPI,20240102,20240131,2024,20,20,20,-0.021628557501436153,0.020644896748346086,0.01581087668689354,-0.044012288904857866,-0.04227345424978224,-0.03743943418832969,0.35,0,-0.021628557501436153
control_size,posthoc_control,KOSPI,20240102,20240131,2024,20,20,20,-0.05475181051686486,-0.012478356267082623,-0.01731237632853517,-0.07713554192028657,-0.04227345424978224,-0.03743943418832969,0.3,0,-0.05475181051686486
control_amount,posthoc_control,KOSPI,20240102,20240131,2024,20,20,20,-0.10550729982487425,-0.06323384557509201,-0.06806786563654456,-0.12789103122829595,-0.04227345424978224,-0.03743943418832969,0.1,0,-0.10550729982487425
control_quiet_size,posthoc_control,KOSPI,20240102,20240131,2024,20,20,20,0.020907039007857876,0.06318049325764011,0.05834647319618757,-0.0014766923955638334,-0.04227345424978224,-0.03743943418832969,0.75,0,0.020907039007857876
control_rs20_size,posthoc_control,KOSPI,20240102,20240131,2024,20,20,20,-0.08446331358004157,-0.04218985933025933,-0.047023879391711876,-0.10684704498346329,-0.04227345424978224,-0.03743943418832969,0.15,0,-0.08446331358004157
base_quiet,baseline,KOSPI,20240102,20240304,2024,40,20,20,0.10801194225749751,0.08233030102572998,0.1031001045012385,0.0,0.025681641231767527,0.00491183775625901,0.85,0,0.10801194225749751
base_quiet_turn,baseline,KOSPI,20240102,20240304,2024,40,20,20,0.08136225148241272,0.05568061025064519,0.0764504137261537,-0.02664969077508479,0.025681641231767527,0.00491183775625901,0.7,0,0.08136225148241272
base_relative60,baseline,KOSPI,20240102,20240304,2024,40,20,20,-0.09730881589389963,-0.12299045712566715,-0.10222065365015864,-0.20532075815139714,0.025681641231767527,0.00491183775625901,0.2,0,-0.09730881589389963
base_nearhigh,baseline,KOSPI,20240102,20240304,2024,40,20,20,-0.03385828532881637,-0.0595399265605839,-0.03877012308507538,-0.14187022758631387,0.025681641231767527,0.00491183775625901,0.3,0,-0.03385828532881637
quiet_strength_rs5,quiet_strength,KOSPI,20240102,20240304,2024,40,20,20,-0.019444831739018252,-0.04512647297078578,-0.02435666949527726,-0.12745677399651575,0.025681641231767527,0.00491183775625901,0.35,0,-0.019444831739018252
quiet_strength_rs20,quiet_strength,KOSPI,20240102,20240304,2024,40,20,20,0.049684943495936086,0.02400330226416856,0.04477310573967708,-0.05832699876156142,0.025681641231767527,0.00491183775625901,0.6,0,0.049684943495936086
quiet_strength_accelerate,quiet_strength,KOSPI,20240102,20240304,2024,40,20,20,0.048936231370522845,0.02325459013875532,0.044024393614263836,-0.059075710886974664,0.025681641231767527,0.00491183775625901,0.5,0,0.048936231370522845
