a,b,metric,difference,lo,hi,n
R1,R1_amount,net,-0.05084539099199553,-0.10002333595714868,-0.012914477452589269,20
R1,R1_amount,excess,-0.020449787218809364,-0.04690866757373854,0.0021810534262987984,20
R1,beta_near,net,-0.007447946525964507,-0.03979347569782497,0.02671710611465889,20
R1,beta_near,excess,-0.02951160463253452,-0.06202897409101362,0.005281287205060277,20
R1,size_only,net,0.030890545705371864,-0.06644518637225917,0.13120581380582316,20
R1,size_only,excess,0.21549325027039606,0.10073627328902965,0.3148571815956886,20
R1,amount_only,net,0.01903965963127189,-0.09713518369020084,0.14317941363465866,20
R1,amount_only,excess,0.1455229311771737,-0.04002848585772041,0.31100849437169403,20
R1,beta_only,net,0.13580804627541,0.06720269202018805,0.20907767904945354,20
R1,beta_only,excess,0.09795253709151536,0.023381056717073554,0.17793363333635978,20
R1,momentum_only,net,0.20671763305195032,0.050589878131898545,0.33211829750485505,20
R1,momentum_only,excess,0.18696141439101585,0.033063816117867635,0.32224881743849054,20
R1,near_only,net,0.24962732058852527,0.08709710823904217,0.38267262800097007,20
R1,near_only,excess,0.2641335885184349,0.08521176291568319,0.4057072481743284,20
R1_amount,R1,net,0.05084539099199553,0.01291447745258927,0.1000233359571487,20
R1_amount,R1,excess,0.020449787218809364,-0.002181053426298794,0.04690866757373854,20
R1_amount,beta_near,net,0.043397444466031034,-0.015365643986836793,0.11293604054399609,20
R1_amount,beta_near,excess,-0.009061817413725155,-0.04492873951097309,0.023907364846057915,20
R1_amount,size_only,net,0.08173593669736741,0.011036144736434246,0.16773771238155982,20
R1_amount,size_only,excess,0.2359430374892054,0.11032444397935942,0.35467028779325965,20
R1_amount,amount_only,net,0.06988505062326741,-0.071035203151457,0.20642903283352645,20
R1_amount,amount_only,excess,0.1659727183959831,-0.02843519643844189,0.3511830935000368,20
R1_amount,beta_only,net,0.18665343726740555,0.12331497390148716,0.2482315612343335,20
R1_amount,beta_only,excess,0.11840232431032474,0.05745485923457323,0.1832844903289165,20
R1_amount,momentum_only,net,0.2575630240439458,0.07258416917017209,0.42732954003693735,20
R1_amount,momentum_only,excess,0.2074112016098252,0.0410768876516401,0.363598414323338,20
R1_amount,near_only,net,0.30047271158052086,0.11605355330964902,0.44911619561907873,20
R1_amount,near_only,excess,0.2845833757372442,0.10082243481056756,0.43436061092637296,20
beta_near,R1,net,0.007447946525964507,-0.02671710611465889,0.03979347569782498,20
beta_near,R1,excess,0.02951160463253452,-0.005281287205060266,0.06202897409101363,20
beta_near,R1_amount,net,-0.043397444466031034,-0.11293604054399607,0.015365643986836796,20
beta_near,R1_amount,excess,0.009061817413725155,-0.023907364846057905,0.044928739510973106,20
beta_near,size_only,net,0.03833849223133636,-0.07912026405596706,0.1546162795490859,20
beta_near,size_only,excess,0.24500485490293059,0.11792483155188474,0.3579163556187777,20
beta_near,amount_only,net,0.026487606157236398,-0.08455152941848589,0.1549066492388889,20
beta_near,amount_only,excess,0.17503453580970824,-0.019519919623705268,0.35607683833389975,20
beta_near,beta_only,net,0.1432559928013745,0.06423651471035377,0.23077637110806626,20
beta_near,beta_only,excess,0.12746414172404988,0.05111310363298566,0.21590607793554173,20
beta_near,momentum_only,net,0.21416557957791485,0.07058458980061218,0.3278765004066504,20
beta_near,momentum_only,excess,0.21647301902355037,0.054196518299991545,0.3629980500804782,20
beta_near,near_only,net,0.2570752671144898,0.10353707324774537,0.3970241483898897,20
beta_near,near_only,excess,0.2936451931509694,0.10254347883800756,0.45164454156095335,20
