variant,ic,n_run,diff,ci_lo,ci_hi,n_week,wk_pos
V9 +lv20,0.40661746042792124,25,0.05497145245274722,0.02743142613047995,0.0694884287798965,7,1.0
V0 rv단독,0.4031128417460809,25,0.05146683377090688,0.007555823096676441,0.06402491081967061,7,0.8571428571428571
V6 +to20,0.40282286964247566,25,0.05117686166730169,0.026331447482375484,0.0623571656621233,7,0.8571428571428571
V1 rv+roe (=lv_b),0.35164600797517404,25,0.0,0.0,0.0,7,0.0
V4 +sv5,0.32485096876858627,25,-0.026795039206587754,-0.03979876553896827,-0.007698559816888376,7,0.14285714285714285
V8 rv+sv (roe제거),0.3178860408743242,25,-0.03375996710084981,-0.06043290631811206,-0.006664417513927974,7,0.2857142857142857
V7 rv+nh (roe제거),0.3087809690813757,25,-0.042865038893798314,-0.09795748266179297,-0.006499260264839973,7,0.14285714285714285
V3 +nh252,0.3057547458215158,25,-0.04589126215365821,-0.09230631826220127,-0.008071363910492855,7,0.2857142857142857
V5 +nh252+sv5,0.29317555490275143,25,-0.058470453072422594,-0.08955074208684534,-0.014779472404910508,7,0.14285714285714285
V2 +rev (=lv_a),0.26481725530953676,25,-0.0868287526656373,-0.13584188191335483,-0.03438591759159513,7,0.14285714285714285
