factor,mean_ic,n_anchor,ci_lo,ci_hi,pos_share
lv20,-0.1853013205282113,10,-0.37238343337334934,0.03786326530612242,0.2
nh252_%,0.1463313325330132,10,0.025738025210084028,0.26979066626650655,0.7
lvb_score,0.09433974733003417,10,-0.057791269003091734,0.22883649213121968,0.8
amt20_억,-0.09357022809123648,10,-0.20293085234093639,0.008744552821128454,0.3
inst5_억,-0.08376547452440906,10,-0.1565669379642647,-0.014921063883673357,0.3
r20_%,0.07464585834333734,10,-0.07385450180072027,0.21236038415366146,0.7
person20_억,0.06184001445038203,10,-0.011122386153520198,0.12800091365021232,0.7
short_ratio5,0.038841107184512266,10,-0.04318006257306312,0.1178651971523042,0.6
inst20_억,-0.032999275601572606,10,-0.09951088465428139,0.03734717513628986,0.4
credit_rate,-0.028316511010555184,6,-0.18316781793252737,0.12491072703754426,0.6666666666666666
fgn20_억,-0.022093637454982003,10,-0.08356992797118847,0.043633793517406955,0.3
volr_5_20,0.01864585834333733,10,-0.03969899459783913,0.08630960384153663,0.6
rsi14,0.017826530612244908,10,-0.116284993997599,0.15519752400960385,0.5
mom12_%,-0.015208794155960242,10,-0.14973816409542537,0.11458977420755542,0.5
r5_%,0.014501800720288116,10,-0.1125208283313325,0.14539984993997598,0.5
mcap_조,-0.012019807923169265,10,-0.10077960684273708,0.07771162965186074,0.5
fgn5_억,-0.004396837515595597,10,-0.09351433657516184,0.07666278568463045,0.5
