factor,mean_ic,n_anchor,ci_lo,ci_hi,pos_share,top_terc_%,bot_terc_%,top_win,bot_win
lv20,-0.24485297308834322,10,-0.3508730809827573,-0.121276287020008,0.1,-1.5575093254273953,0.6848510020327255,0.3562349316605135,0.4968526019015025
lvb_score,0.18150813356491685,10,0.08238167505267216,0.2768575661542968,0.8,0.556065254910835,-1.5119651304588784,0.46922016859823606,0.3618805184117407
amt20_억,-0.16244068040737805,10,-0.2397235711103279,-0.07987766695412041,0.2,-1.3587421715112373,0.37143800858163123,0.3743808415168168,0.4712057213058857
mom12_%,-0.13209122605302717,10,-0.23770549935284088,-0.01901105142616008,0.2,-1.2710135387438346,-0.05051520695420671,0.3615212182691294,0.4427545495572648
rsi14,-0.11461396225479104,10,-0.17493088362198841,-0.05097071829002552,0.2,-1.129006604209066,0.36730486792155953,0.38895329618214936,0.45538565938166353
r20_%,0.08463917214559512,10,-0.005437652186812389,0.16500783792249393,0.8,-0.25421521753731824,-0.9848894985022163,0.4456406565846239,0.36802030164939425
short_ratio5,0.0631328756289701,10,0.00357471394110602,0.12150678018474291,0.8,0.005087680076206524,-0.7484328977071245,0.44373841420842214,0.38671706793760835
nh252_%,0.05145544699138223,10,-0.06644978299648865,0.14750067821742494,0.8,-0.40488711836952423,-0.5321175272981289,0.45544427068259286,0.3779345766184014
r5_%,0.050095799039788017,10,-0.026988185034248123,0.12709471117271753,0.6,-0.38757644861069307,-0.9470954081231703,0.4386406725585174,0.37730438871751726
inst5_억,-0.025472037002012383,10,-0.08235456319533478,0.029786878255588213,0.3,-0.4599959387017396,-0.31086838618230495,0.4232431685761372,0.4131074696819078
volr_5_20,0.02482569300578466,10,-0.033380521617799065,0.0810855577727278,0.5,-0.4677298964826388,-0.7147248388870047,0.3999677084429965,0.3968215172510415
fgn5_억,0.018839999670779005,10,-0.04817632180913527,0.07770518892835941,0.6,-0.4453620702135289,-0.8251966189370776,0.4046170824635241,0.4138098594427745
credit_rate,0.011497813447096375,6,-0.04896485197249111,0.07055103498693456,0.6666666666666666,0.41359083574467154,0.03932506821528925,0.3806776895616219,0.41643164538674377
person20_억,-0.00789885409393304,10,-0.048792657380252,0.04017986777642349,0.3,-0.501580683613209,-0.42825096196696144,0.4033907831061557,0.4088622338990023
fgn20_억,-0.0069194555099221025,10,-0.06718177334548503,0.041911913535946074,0.5,-0.6234298025294575,-0.4350930579551349,0.38960691657910973,0.42458672057308694
mcap_조,-0.005346277932736233,10,-0.095777753178626,0.08814852550583374,0.4,-0.5632564522379901,-0.3016996893570454,0.42769863363135974,0.40981681562531846
inst20_억,0.002719310726544638,10,-0.0388443285096561,0.03920415412679969,0.5,-0.2748715899973238,-0.5518524715648553,0.4323880715266137,0.3994196086220996
