track,model,일수,누적%,EW시장%,CW시장%,EW초과%p,EW승률%,구간
lowvol,mom_a,6,7.932483101375065,0.40050681872885185,-1.5526990677168673,7.531976282646213,66.66666666666666,common
lowvol,sm_a,6,4.4348845870034515,0.40050681872885185,-1.5526990677168673,4.0343777682746,83.33333333333334,common
wu,wu_a,6,2.5358569803735964,0.40050681872885185,-1.5526990677168673,2.1353501616447446,66.66666666666666,common
v3,v31f,6,1.8569834281123132,0.40050681872885185,-1.5526990677168673,1.4564766093834614,50.0,common
v3,v31d,6,1.6028911835199278,0.40050681872885185,-1.5526990677168673,1.202384364791076,50.0,common
lowvol,lv_b,6,0.4014873144776443,0.40050681872885185,-1.5526990677168673,0.0009804957487924426,33.33333333333333,common
v3,v31g,6,0.03594303146505773,0.40050681872885185,-1.5526990677168673,-0.3645637872637941,50.0,common
v3,v31b,6,-0.08030354794095196,0.40050681872885185,-1.5526990677168673,-0.4808103666698038,50.0,common
v3,v31a,6,-0.5984121620597027,0.40050681872885185,-1.5526990677168673,-0.9989189807885546,50.0,common
v3,v30,6,-0.5984121620597027,0.40050681872885185,-1.5526990677168673,-0.9989189807885546,50.0,common
v3,v31c,6,-0.5984121620597027,0.40050681872885185,-1.5526990677168673,-0.9989189807885546,50.0,common
lowvol,lv_a3,6,-1.3408344279834061,0.40050681872885185,-1.5526990677168673,-1.741341246712258,33.33333333333333,common
lowvol,lv_short,6,-3.178414612236402,0.40050681872885185,-1.5526990677168673,-3.578921430965254,33.33333333333333,common
lowvol,lv_a,6,-3.178414612236402,0.40050681872885185,-1.5526990677168673,-3.578921430965254,33.33333333333333,common
lowvol,lv_d,6,-3.6830318185291255,0.40050681872885185,-1.5526990677168673,-4.083538637257977,33.33333333333333,common
lowvol,hv_a,6,-4.545467638873335,0.40050681872885185,-1.5526990677168673,-4.945974457602187,50.0,common
wu,wu_b,6,-6.024417949334149,0.40050681872885185,-1.5526990677168673,-6.424924768063001,50.0,common
lowvol,lv_c,6,-7.095876742729756,0.40050681872885185,-1.5526990677168673,-7.496383561458608,50.0,common
lowvol,mom_a,10,12.746927760845072,5.045679804403513,-9.119084233268627,7.701247956441558,60.0,since_reg
lowvol,sm_a,10,9.794913764804614,5.045679804403513,-9.119084233268627,4.7492339604011,70.0,since_reg
lowvol,lv_b,11,3.6339294948266376,1.8261757191651684,-14.131696980981411,1.8077537756614692,45.45454545454545,since_reg
lowvol,lv_short,10,2.765602331936501,5.045679804403513,-9.119084233268627,-2.2800774724670125,40.0,since_reg
wu,wu_a,6,2.5358569803735964,0.40050681872885185,-1.5526990677168673,2.1353501616447446,66.66666666666666,since_reg
lowvol,lv_a3,11,2.0829677386633882,1.8261757191651684,-14.131696980981411,0.25679201949821984,45.45454545454545,since_reg
lowvol,lv_d,11,1.7374578574570032,1.8261757191651684,-14.131696980981411,-0.0887178617081652,54.54545454545454,since_reg
v3,v31b,23,-0.754117800506704,-8.855105296696387,-5.5984505197746115,8.100987496189683,69.56521739130434,since_reg
v3,v31c,23,-2.052564484063002,-8.855105296696387,-5.5984505197746115,6.802540812633385,69.56521739130434,since_reg
v3,v31a,23,-2.052564484063002,-8.855105296696387,-5.5984505197746115,6.802540812633385,69.56521739130434,since_reg
lowvol,lv_a,11,-2.5928718751978885,1.8261757191651684,-14.131696980981411,-4.419047594363057,36.36363636363637,since_reg
v3,v31g,14,-2.6113685323967406,-4.486693903661553,-15.87844423711362,1.8753253712648128,57.14285714285714,since_reg
v3,v30,25,-3.603850765175265,-11.551185197271197,-5.9796404423139045,7.947334432095932,72.0,since_reg
v3,v31f,14,-4.491020878572027,-4.486693903661553,-15.87844423711362,-0.0043269749104739574,50.0,since_reg
lowvol,hv_a,10,-5.046364402557513,5.045679804403513,-9.119084233268627,-10.092044206961027,50.0,since_reg
wu,wu_b,6,-6.024417949334149,0.40050681872885185,-1.5526990677168673,-6.424924768063001,50.0,since_reg
v3,v31d,23,-7.002148593486657,-8.855105296696387,-5.5984505197746115,1.8529567032097294,52.17391304347826,since_reg
lowvol,lv_c,11,-12.051647370841723,1.8261757191651684,-14.131696980981411,-13.877823090006892,36.36363636363637,since_reg
