run_id,n_v30,n_lvb,overlap,v30_20,lvb_20,union_20,v30_40,lvb_40,union_40
20260605,20,20,0,0.9914939644594422,7.886901740848915,4.439197852654178,6.527975345003135,9.937729395521838,8.186774612823044
20260609,20,20,1,3.0723787313570967,8.914931908535381,6.1101957467702315,3.9292656428905857,14.519022036849886,9.266411571149359
20260610,20,20,1,2.55419335198022,6.8175997000195165,4.797242177899572,5.620442715959598,13.29276404497514,9.649184123633901
20260611,20,20,0,1.9420937876357982,8.02970553168277,4.9858996596592835,3.7334190658019026,11.113462410034487,7.423440737918194
20260612,20,20,0,2.9561272081221417,4.785544784541726,3.870835996331933,3.8743123725373336,10.137912877562673,7.006112625050003
20260615,20,20,0,0.8512493629746036,7.398444658694092,4.124847010834348,0.6617104070376266,15.857037409939956,7.859496882096624
20260616,20,20,0,5.91497851742389,4.120450464716772,5.017714491070331,9.25220184009217,12.360488452368468,10.7664953178678
20260617,20,20,0,7.66341186513407,5.084555401613378,6.373983633373724,8.454451260419447,13.376724934999258,10.85248202495833
20260618,20,20,0,9.562553713570484,6.1266753577795185,7.888664258185145,17.842719045979724,8.29626800027768,13.191883921150524
20260619,20,20,0,3.2913928308519,5.104617306577086,4.174758601076989,11.706250216953048,8.780691064352654,10.280977809275933
20260622,20,20,0,1.118985393405191,4.343431423744871,2.6463545656713547,8.725323261371063,11.979222467688409,10.266643938047702
20260623,20,20,0,4.546017558381498,2.532856541484393,3.592414971430238,10.220801588620253,7.672934421084239,9.013917140840036
20260624,20,20,0,3.118346394342295,5.257679701827385,4.131714803151022,8.77765152261807,10.506329850291003,9.596499151515774
20260625,20,20,0,7.0809572992687375,7.103017533623929,7.091406883963303,12.700468772900773,9.19853114200602,11.091470401949131
20260627,20,20,0,0.7223214737424489,3.924519260160391,2.282366549176831,6.044087942003327,4.110083686586484,5.127980663121663
20260629,20,20,1,1.6154553811722305,5.7251447793645545,3.818285981117016,6.193117777134959,6.185797780801189,6.356111141061341
20260630,20,20,1,0.3235382807619619,6.278451903208477,3.4628436660162105,4.688592890307229,9.57282811363344,7.345973510533069
20260701,20,20,0,6.202033941757103,4.620164201539727,5.431379452933253,14.177314787412616,6.948991589987133,10.655823998923276
20260706,20,20,0,5.1543853407255265,5.235778887390403,5.195082114057965,3.51296895900411,1.911484710190281,2.712226834597195
20260707,20,20,0,3.8482610210508015,2.143563211923262,2.9959121164870317,3.5896490959997207,2.259915416650931,2.9247822563253263
20260708,20,20,0,1.6632041188697546,6.482947094949129,3.9462402654336692,,,
20260709,20,20,0,6.35837073672712,-0.511167463199516,3.2020964286527205,,,
20260710,20,20,1,6.7364985173107,2.715675400608479,4.705871669462168,,,
20260713,20,20,1,3.3754900014010984,4.482001426138986,3.9199108669175873,,,
20260714,20,20,0,1.2221929923999415,2.055816731345205,1.6052093048883058,,,
20260715,20,20,2,2.7980338691464777,4.038985436092401,3.436341526779052,,,
20260716,20,20,0,1.0688152181254122,5.634727166962994,3.0981094176087822,,,
20260720,20,20,0,2.6815373563455256,2.4625690688065265,2.5809303053140935,,,
20260721,20,20,1,7.855334628349148,0.8888341918904802,5.198389815358624,,,
20260722,20,20,1,0.6387522560767838,1.171041296876464,1.2172613114486721,,,
20260723,20,20,2,0.9185557177877227,2.0339793759837144,1.3804973255149184,,,
20260724,20,20,3,-1.2621962729145448,2.9269742474462905,1.4316138747761216,,,
20260727,20,20,2,3.8163452529318653,0.37007898382567944,2.282890979464649,,,
20260728,20,20,1,8.100490878875014,-3.11316928869426,3.2184757666670314,,,
20260729,20,20,1,4.7481641954021985,-4.678236886057374,0.4662998620211223,,,
20260730,20,20,1,-0.8659602785881659,-1.5272716722928426,-0.9558075265774884,,,
20260731,20,20,0,4.465220092141996,2.4293439796211667,3.5603862643549613,,,
20260803,20,20,0,0.23980548970546584,6.493442279318943,3.1130980687170635,,,
20260804,20,20,2,2.0160314621239133,-1.0145466492842725,0.7523426750259632,,,
20260805,20,20,2,2.16160226585125,-0.26537875101956343,1.1262209436561046,,,
20260806,20,20,3,,,,,,
20260807,20,17,0,,,,,,
20260810,20,18,5,,,,,,
20260811,20,19,5,,,,,,
20260812,20,20,5,,,,,,
20260814,20,9,1,,,,,,
20260818,20,18,5,,,,,,
20260819,20,17,4,,,,,,
20260821,20,20,0,,,,,,
20260824,20,20,0,,,,,,
20260825,20,20,4,,,,,,
20260826,20,19,2,,,,,,
20260827,20,20,4,,,,,,
20260828,20,20,3,,,,,,
20260831,20,20,2,,,,,,
20260901,20,20,2,,,,,,
20260902,20,20,2,,,,,,
20260903,20,20,1,,,,,,
20260904,20,20,0,,,,,,
