model,run_id,n_stocks,exc40_close,exc40_open,excidx40_close,exc20_close,exc20_open,excidx20_close
v30,20260602,20,5.061859013826583,4.941764899108022,18.01344395290787,3.395275702299395,3.3000674048231167,8.141530502417165
v30,20260604,20,3.487739072084542,2.3014115106973168,15.787037544299295,2.4331538915754107,1.153123387500365,2.15669998732086
v30,20260605,20,6.527975345003135,4.300900890977158,16.756701140042235,0.9914939644594422,-1.1895936268481981,-1.8346743609316265
v30,20260609,20,3.9292656428905857,3.9547297257274012,15.989960820021142,3.0723787313570967,3.1415442126924007,7.609406941767295
v30,20260610,20,5.620442715959598,7.618337299244196,19.25186047101002,2.55419335198022,4.415589561001118,6.482527882298339
v30,20260611,20,3.7334190658019026,4.8402959733070485,17.48326718218995,1.9420937876357982,3.0482152005153167,6.838965703028582
v30,20260612,20,3.8743123725373336,3.9329141830637666,18.688874641334326,2.9561272081221417,3.0265112760608432,12.641588167491285
v30,20260615,20,0.6617104070376266,0.5372357217062718,14.019447149497035,0.8512493629746036,0.7368461335937058,9.871566616734741
v30,20260616,20,9.25220184009217,8.23359702040263,21.563691256563278,5.91497851742389,4.992560976880358,13.244198825623712
v30,20260617,20,8.454451260419447,5.782851266007733,22.60846460510877,7.66341186513407,5.201286571809864,20.84925715938291
v30,20260618,20,17.842719045979724,15.675690777998781,33.534066130225106,9.562553713570484,7.720175102816737,25.190217886943703
v30,20260619,20,11.706250216953048,11.047804768912568,30.885019524060425,3.2913928308519,2.693297822673426,20.08632835711523
v30,20260622,20,8.725323261371063,4.021376502122619,21.31750147986234,1.118985393405191,-2.9533993950500648,14.909830438303146
v30,20260623,20,10.220801588620253,11.218072499913903,25.00065737527182,4.546017558381498,5.553145436572934,18.44985257026976
v30,20260624,20,8.77765152261807,8.386159819937227,26.91613262002009,3.118346394342295,2.7789213134442314,23.116265963775298
v30,20260625,20,12.700468772900773,7.274273119318492,29.27455836195337,7.0809572992687375,2.0391519843327623,23.936300775831
v30,20260627,20,6.044087942003327,14.766098475836037,21.54837753143052,0.7223214737424489,8.270584398561793,20.49442272058755
v30,20260629,20,6.193117777134959,5.082423978871169,21.469586989905526,1.6154553811722305,0.8204567199895074,22.873463212430387
v30,20260630,20,4.688592890307229,4.796850934168445,19.67918275494655,0.3235382807619619,0.3590815561720495,21.4342323991035
v30,20260701,20,14.177314787412616,11.977236090074477,23.148462471036446,6.202033941757103,4.344935188778041,16.57933641121771
v30,20260706,20,3.51296895900411,3.4251349093124284,13.481427524409037,5.1543853407255265,5.031354551341146,13.431238682579268
v30,20260707,20,3.5896490959997207,2.684987978302366,8.988438170305503,3.8482610210508015,2.9366824720329907,10.95836981959068
v30,20260708,20,,,,1.6632041188697546,0.22389315577157767,10.918031196830569
v30,20260709,20,,,,6.35837073672712,9.593266144162103,14.94897869536645
v30,20260710,20,,,,6.7364985173107,2.0158793208256647,11.961821779518692
v30,20260713,20,,,,3.3754900014010984,3.08057702682323,7.27562596119941
v30,20260714,20,,,,1.2221929923999415,4.635940463250817,5.8414145923202225
v30,20260715,20,,,,2.7980338691464777,1.5961523203226846,2.4550293610691427
v30,20260716,20,,,,1.0688152181254122,-2.2246643582171304,-0.7833779590687046
v30,20260720,20,,,,2.6815373563455256,4.307749337706726,4.517704315826165
v30,20260721,20,,,,7.855334628349148,7.845877797078114,6.426053262707997
v30,20260722,20,,,,0.6387522560767838,4.6286598718606635,1.1969588025442275
v30,20260723,20,,,,0.9185557177877227,-1.0880276077826274,-1.5302790275288032
v30,20260724,20,,,,-1.2621962729145448,-1.1327529551534916,-2.735045213778286
v30,20260727,20,,,,3.8163452529318653,-0.5756725767441475,-3.3163075249903184
v30,20260728,20,,,,8.100490878875014,3.634655013960098,-2.9936824506143944
v30,20260729,20,,,,4.7481641954021985,7.682207155458308,-7.959562538792127
v30,20260730,20,,,,-0.8659602785881659,2.4003798039086854,-3.170687985204793
v30,20260731,20,,,,4.465220092141996,6.159722845444198,0.801991157716811
v30,20260803,20,,,,0.23980548970546584,3.458198512908839,-0.7597016254584954
v30,20260804,20,,,,2.0160314621239133,2.720419553537542,3.358732365061362
v30,20260805,20,,,,2.16160226585125,2.227043216487002,-1.0000673722607163
v30,20260806,20,,,,,,
v30,20260807,20,,,,,,
v30,20260810,20,,,,,,
v30,20260811,20,,,,,,
v30,20260812,20,,,,,,
v30,20260814,20,,,,,,
v30,20260818,20,,,,,,
v30,20260819,20,,,,,,
v30,20260821,20,,,,,,
v30,20260824,20,,,,,,
v30,20260825,20,,,,,,
v30,20260826,20,,,,,,
v30,20260827,20,,,,,,
v30,20260828,20,,,,,,
v30,20260831,20,,,,,,
v30,20260901,20,,,,,,
v30,20260902,20,,,,,,
v30,20260903,20,,,,,,
v30,20260904,20,,,,,,
lv_b,20260605,20,9.937729395521838,7.927738583908627,20.35985233062587,7.886901740848915,5.8868441284341655,5.060733415457845
lv_b,20260609,20,14.519022036849886,14.467285982352365,27.05820344358418,8.914931908535381,8.870823273471009,13.333522346958272
lv_b,20260610,20,13.29276404497514,15.259238788032764,27.081781287203178,6.8175997000195165,8.705882878426753,10.745934230337639
lv_b,20260611,20,11.113462410034487,11.835401502551127,24.863310526422534,8.02970553168277,8.755436891482463,12.926577447075553
lv_b,20260612,20,10.137912877562673,9.852052536023958,24.952475146359664,4.785544784541726,4.54600272206482,14.471005743910862
lv_b,20260615,20,15.857037409939956,15.05176602155365,29.21477415239936,7.398444658694092,6.718656067267659,16.41876191245423
lv_b,20260616,20,12.360488452368468,13.37365895851735,24.930415848316034,4.120450464716772,5.028972223429553,11.44967077291659
lv_b,20260617,20,13.376724934999258,10.264118018357514,27.879128354894725,5.084555401613378,2.4963652982938758,18.270400695862214
lv_b,20260618,20,8.29626800027768,5.863373093732315,24.358961709814682,6.1266753577795185,3.8946733315315467,22.039284973749666
lv_b,20260619,20,8.780691064352654,7.489730637967368,28.43763335543822,5.104617306577086,3.8997890385914653,22.122984980497986
lv_b,20260622,20,11.979222467688409,8.799279832963897,25.329185737251745,4.343431423744871,1.4763423936997857,18.411224970855418
lv_b,20260623,20,7.672934421084239,9.56822967813514,22.955254600806228,2.532856541484393,4.2362189286734555,16.75732083832805
