code,strategy,first_buy,closed_at,realized_pnl,qty,buy_avg,sell_avg,ret_pct
010140,저변동,09-01,09-04,600,12,20800,20850,0.2
042700,공매도,09-01,09-04,9000,1,213000,222000,4.2
030000,공매도,09-01,09-04,-3640,13,19170,18890,-1.5
383220,저변동,08-12,09-03,-2600,5,66520,66000,-0.8
249420,저변동,07-01,09-02,8700,19,16502,16960,2.8
950190,저변동,08-18,09-01,41100,30,8560,9930,16.0
039200,저변동,07-01,08-31,13800,13,34673,35735,3.1
462870,저변동,08-05,08-31,-1400,7,32500,32300,-0.6
005690,저변동,08-07,08-31,-6960,24,11200,10910,-2.6
011200,스윙,08-13,08-26,7800,13,21100,21700,2.8
003690,스윙,08-12,08-20,1950,15,14370,14500,0.9
272210,저변동,06-30,08-19,26200,6,71867,76233,6.1
030200,저변동,07-31,08-14,8000,5,52000,53600,3.1
058470,저변동,08-06,08-14,17200,4,67200,71500,6.4
140860,저변동,08-06,08-14,31000,1,252000,283000,12.3
114090,저변동,08-06,08-13,3900,30,9240,9370,1.4
037270,저변동,08-04,08-12,15180,44,3235,3580,10.7
083650,저변동,06-30,08-12,3000,6,53467,53967,0.9
006280,스윙,06-18,08-12,12200,4,126750,129800,2.4
103590,저변동,06-30,08-12,3200,5,71700,72340,0.9
017800,저변동,07-08,08-11,3000,3,71100,72100,1.4
443060,저변동,07-09,08-11,3100,1,199900,203000,1.6
003550,모멘텀,07-13,08-10,5600,1,100700,106300,5.6
035720,모멘텀,07-07,08-06,20100,6,34550,37900,9.7
326030,저변동,07-22,08-06,7200,3,78300,80700,3.1
036570,저변동,07-31,08-06,11000,1,223500,234500,4.9
017670,모멘텀,07-13,08-04,30000,3,85800,95800,11.7
003490,모멘텀b,07-22,08-04,600,1,25300,25900,2.4
257720,저변동,06-30,07-08,33250,7,31700,36450,15.0
017800,스윙,06-26,07-03,3100,3,69600,70633,1.5
028050,스윙,06-26,07-03,54600,7,42000,49800,18.6
021240,스윙,06-26,07-03,28800,3,85300,94900,11.3
037270,스윙,06-26,07-03,13300,70,3115,3305,6.1
007340,스윙,06-26,07-03,4800,6,36200,37000,2.2
105840,스윙,06-26,07-02,10270,13,15560,16350,5.1
267250,스윙,06-30,07-01,1400,1,198600,200000,0.7
031210,스윙,06-25,06-30,4250,5,40600,41450,2.1
064350,스윙,06-26,06-30,10500,2,169350,174600,3.1
071970,스윙,06-25,06-29,3600,6,58200,58800,1.0
004430,스윙,05-26,06-26,-20160,9,11770,9530,-19.0
460860,스윙,06-16,06-26,-44040,36,9833,8610,-12.4
263750,스윙,06-18,06-26,-23750,5,39250,34500,-12.1
003720,스윙,06-23,06-26,-23320,44,7070,6540,-7.5
373220,스윙,06-25,06-26,-21500,1,362000,340500,-5.9
095340,스윙,06-18,06-25,2600,4,191550,192200,0.3
007660,스윙,06-23,06-25,15600,4,112000,115900,3.5
099320,스윙,06-25,06-25,-17500,4,88575,84200,-4.9
460930,스윙,05-29,06-23,-45240,12,16460,12690,-22.9
272550,스윙,05-18,06-23,-38600,20,10160,8230,-19.0
004980,스윙,05-19,06-23,-47547,27,9611,7850,-18.3
249420,스윙,05-18,06-23,-57800,13,21577,17131,-20.6
000390,스윙,05-22,06-23,-21450,13,7700,6050,-21.4
042370,스윙,06-01,06-23,-58820,17,13140,9680,-26.3
199820,스윙,05-26,06-18,-28050,9,13097,9980,-23.8
052690,스윙,05-18,06-18,6100,2,139350,142400,2.2
011930,스윙,05-21,06-18,-22600,7,27300,24071,-11.8
025860,스윙,05-27,06-18,-30510,27,7450,6320,-15.2
005880,스윙,06-10,06-18,18444,106,1901,2075,9.2
015760,스윙,06-05,06-16,14700,6,38050,40500,6.4
004310,스윙,05-18,06-16,6480,27,7320,7560,3.3
389650,스윙,05-29,06-05,27250,5,44450,49900,12.3
103140,스윙,05-18,05-27,600,3,85600,85800,0.2
