code,name,strategy,first_buy,qty,avg,cur,pnl,rs,tdays,signal,mfe,mae,eval_amt,pnl_amt
050890,쏠리드,#저변동,2026-07-02,32.0,10254,8520,-16.91,-15.8,45,📉 시장 대비 약세,9.71,-28.32,272640,-55497
001040,CJ,#저변동,2026-08-11,3.0,134167,131400,-2.06,-16.1,18,📉 시장 대비 약세,9.86,-12.35,394200,-8300
376300,디어유,#저변동,2026-08-19,14.0,18650,18060,-3.16,-11.0,13,📉 시장 대비 약세,3.16,-5.2,252840,-8260
015760,한국전력,#저변동,2026-08-24,5.0,31250,32150,2.88,-16.8,10,⚪ 보유,16.48,-0.32,160750,4500
035720,카카오,#저변동,2026-08-26,7.0,36100,36200,0.28,-11.7,8,⚪ 보유,3.19,-3.46,253400,700
352820,하이브,#저변동,2026-08-12,2.0,178900,178500,-0.22,-7.4,17,⚪ 보유,5.25,-8.72,357000,-800
088980,맥쿼리인프라,#배당,2026-08-13,36.0,9710,9920,2.16,-7.0,16,⚪ 보유,3.19,1.54,357120,7560
215000,골프존,#저변동,2026-08-18,9.0,35550,36800,3.52,-1.6,14,⚪ 보유,5.77,-4.08,331200,11250
217590,티엠씨,#저변동,2026-08-31,28.0,11049,10360,-6.23,-29.0,5,⚪ 보유,2.28,-9.31,290080,-19280
000120,CJ대한통운,#저변동,2026-09-03,4.0,71800,73400,2.23,-12.3,2,⚪ 보유,3.34,0.97,293600,6400
